# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1513225506,0,-1.513,0.075,0.089,-335846,-485528,115334,14.3,3643.8,1505975506,1505.975506
1513225931,425,-1.545,0.08,0.084,-335915,-485507,115315,14.3,3643.8,1505975931,1505.975931
1513226953,1447,-1.541,0.098,0.011,-335908,-485433,115010,14.3,3643.8,1505976953,1505.9769529999999
1513227975,2469,-1.498,0.127,0.113,-335812,-485310,115437,14.3,3643.8,1505977975,1505.977975
1513228997,3491,-1.466,0.042,-0.012,-335742,-485670,114911,14.3,3643.8,1505978997,1505.978997
1513230018,4512,-1.288,0.026,0.031,-335354,-485738,115093,14.3,3643.8,1505980018,1505.980018
1513231040,5534,-1.298,0.075,0.078,-335375,-485530,115289,14.3,3643.8,1505981040,1505.98104
1513232062,6556,-1.352,0.152,0.102,-335494,-485203,115391,14.3,3643.8,1505982062,1505.982062
1513233083,7577,-1.366,0.153,0.068,-335524,-485198,115248,14.3,3643.8,1505983083,1505.9830829999999
1513234105,8599,-1.236,0.236,0.047,-335240,-484845,115158,14.3,3643.8,1505984105,1505.984105
1513235127,9621,-1.264,0.107,0.05,-335300,-485393,115173,14.3,3643.8,1505985127,1505.985127
1513236149,10643,-1.16,0.183,0.092,-335073,-485071,115347,14.3,3643.8,1505986149,1505.9861489999998
1513237171,11665,-1.206,0.094,0.108,-335175,-485448,115416,14.3,3643.8,1505987171,1505.987171
1513238192,12686,-1.085,0.056,0.058,-334910,-485609,115206,14.3,3643.8,1505988192,1505.988192
1513239214,13708,-1.006,0.103,0.142,-334736,-485409,115558,14.3,3643.8,1505989214,1505.989214
1513240236,14730,-1.055,0.084,0.114,-334843,-485489,115442,14.3,3643.8,1505990236,1505.9902359999999
1513241258,15752,-0.78,0.085,0.077,-334243,-485486,115286,14.3,3643.8,1505991258,1505.991258
1513242279,16773,-0.826,0.053,0.052,-334343,-485620,115182,14.3,3643.8,1505992279,1505.9922789999998
1513243301,17795,-0.868,0.179,0.084,-334434,-485088,115316,14.3,3643.8,1505993301,1505.993301
1513244323,18817,-0.722,0.165,0.136,-334116,-485146,115531,14.3,3643.8,1505994323,1505.994323
1513245345,19839,-0.669,0.108,0.068,-334000,-485388,115248,14.3,3643.8,1505995345,1505.995345
1513246366,20860,-0.614,0.154,0.056,-333878,-485194,115197,14.3,3643.8,1505996366,1505.9963659999999
1513247388,21882,-0.518,0.137,-0.005,-333668,-485266,114944,14.3,3643.8,1505997388,1505.997388
1513248410,22904,-0.537,0.142,0.097,-333711,-485246,115369,14.3,3643.8,1505998410,1505.99841
1513249431,23925,-0.562,0.035,0.064,-333765,-485699,115232,14.3,3643.8,1505999431,1505.999431
1513250453,24947,-0.541,0.062,0.02,-333719,-485585,115048,14.3,3643.8,1506000453,1506.0004529999999
1513251475,25969,-0.505,0.148,0.108,-333641,-485220,115415,14.3,3643.8,1506001475,1506.001475
1513252497,26991,-0.385,0.1,0.133,-333379,-485421,115522,14.3,3643.8,1506002497,1506.002497
1513253518,28012,-0.342,0.057,0.084,-333283,-485606,115314,14.3,3643.8,1506003518,1506.003518
1513254540,29034,-0.394,0.005,0.066,-333397,-485823,115239,14.3,3643.8,1506004540,1506.00454
1513255562,30056,-0.274,-0.005,0.029,-333135,-485869,115084,14.3,3643.8,1506005562,1506.0055619999998
1513256584,31078,-0.379,0.091,0.105,-333365,-485459,115403,14.3,3643.8,1506006584,1506.006584
1513257606,32100,-0.332,0.043,0.161,-333261,-485662,115636,14.3,3643.8,1506007606,1506.007606
1513258627,33121,-0.078,0.028,0.132,-332706,-485726,115514,14.3,3643.8,1506008627,1506.008627
1513259649,34143,-0.246,0.072,0.111,-333073,-485541,115429,14.3,3643.8,1506009649,1506.0096489999999
1513260671,35165,-0.147,0.023,0.066,-332858,-485747,115239,14.3,3643.8,1506010671,1506.010671
1513261693,36187,-0.225,0.056,-0.017,-333028,-485611,114894,14.3,3643.8,1506011693,1506.011693
1513262714,37208,-0.148,0.057,0.074,-332859,-485605,115275,14.3,3643.8,1506012714,1506.012714
1513263736,38230,-0.073,0.113,0.009,-332695,-485369,115002,14.3,3643.8,1506013736,1506.0137359999999
1513264758,39252,-0.053,0.122,0.055,-332652,-485329,115194,14.3,3643.8,1506014758,1506.014758
1513265780,40274,-0.128,0.092,0.061,-332815,-485456,115217,14.3,3643.8,1506015780,1506.01578
1513266801,41295,0.075,0.106,0.079,-332372,-485396,115293,14.3,3643.8,1506016801,1506.016801
1513267823,42317,-0.089,0.067,0.095,-332730,-485563,115363,14.3,3643.8,1506017823,1506.017823
1513268845,43339,0.062,0.069,0.034,-332400,-485554,115106,14.3,3643.8,1506018845,1506.0188449999998
1513269866,44360,0.161,0.046,0.116,-332184,-485650,115447,14.3,3643.8,1506019866,1506.0198659999999
1513270888,45382,0.109,-0.002,0.061,-332297,-485855,115219,14.3,3643.8,1506020888,1506.020888
1513271910,46404,0.304,0.038,0.046,-331871,-485685,115156,14.3,3643.8,1506021910,1506.02191
1513272932,47426,0.325,-0.013,0.027,-331825,-485900,115078,14.3,3643.8,1506022932,1506.0229319999999
1513273953,48447,0.191,0.098,0.07,-332119,-485433,115256,14.3,3643.8,1506023953,1506.023953
1513274975,49469,0.368,0.047,0.031,-331731,-485649,115093,14.3,3643.8,1506024975,1506.024975
1513275997,50491,0.444,0.12,0.138,-331565,-485336,115542,14.3,3643.8,1506025997,1506.025997
1513277019,51513,0.431,0.137,0.058,-331592,-485266,115204,14.3,3643.8,1506027019,1506.0270189999999
1513278041,52535,0.485,0.074,0.029,-331475,-485534,115086,14.3,3643.8,1506028041,1506.028041
1513279062,53556,0.408,0.093,0.12,-331643,-485453,115465,14.3,3643.8,1506029062,1506.0290619999998
1513280084,54578,0.473,0.013,0.037,-331502,-485793,115118,14.3,3643.8,1506030084,1506.030084
1513281106,55600,0.504,0.064,0.09,-331434,-485575,115341,14.3,3643.8,1506031106,1506.031106
1513282127,56621,0.42,0.071,-0.006,-331617,-485546,114938,14.3,3643.8,1506032127,1506.032127
1513283149,57643,0.498,0.027,-0.027,-331446,-485730,114851,14.3,3643.8,1506033149,1506.0331489999999
1513284171,58665,0.525,0.025,0.061,-331387,-485739,115219,14.3,3643.8,1506034171,1506.034171
1513285193,59687,0.497,0.132,0.067,-331448,-485285,115243,14.3,3643.8,1506035193,1506.035193
1513286215,60709,0.513,0.049,0.122,-331413,-485640,115475,14.3,3643.8,1506036215,1506.0362149999999
1513287236,61730,0.585,0.111,0.008,-331257,-485375,114997,14.3,3643.8,1506037236,1506.037236
1513288258,62752,0.574,0.081,0.133,-331280,-485501,115521,14.3,3643.8,1506038258,1506.038258
1513289280,63774,0.629,-0.01,0.031,-331160,-485888,115092,14.3,3643.8,1506039280,1506.03928
1513290302,64796,0.583,0.021,0.096,-331260,-485756,115365,14.3,3643.8,1506040302,1506.0403019999999
1513291323,65817,0.593,0.135,0.084,-331239,-485276,115316,14.3,3643.8,1506041323,1506.041323
1513292345,66839,0.734,0.035,0.07,-330929,-485697,115258,14.3,3643.8,1506042345,1506.0423449999998
1513293367,67861,0.674,0.073,0.07,-331061,-485539,115257,14.3,3643.8,1506043367,1506.043367
1513294389,68883,0.611,-0.037,-0.017,-331199,-486001,114893,14.3,3643.8,1506044389,1506.044389
1513295410,69904,0.638,0.114,0.031,-331140,-485364,115092,14.3,3643.8,1506045410,1506.04541
1513296432,70926,0.722,0.007,0.044,-330956,-485818,115147,14.3,3643.8,1506046432,1506.0464319999999
1513297454,71948,0.757,0.033,0.095,-330879,-485707,115361,14.3,3643.8,1506047454,1506.047454
1513298476,72970,0.679,0.134,0.026,-331051,-485278,115074,14.3,3643.8,1506048476,1506.048476
1513299497,73991,0.677,0.089,-0.017,-331055,-485469,114892,14.3,3643.8,1506049497,1506.049497
1513300519,75013,0.824,0.032,0.045,-330732,-485712,115152,14.3,3643.8,1506050519,1506.050519
1513301541,76035,0.767,0.049,0.062,-330857,-485639,115221,14.3,3643.8,1506051541,1506.051541
1513302563,77057,0.833,0.106,0.024,-330713,-485399,115063,14.3,3643.8,1506052563,1506.052563
1513303584,78078,0.92,0.061,-0.023,-330524,-485588,114867,14.3,3643.8,1506053584,1506.053584
1513304606,79100,0.847,0.143,0.032,-330682,-485242,115098,14.3,3643.8,1506054606,1506.054606
1513305628,80122,0.964,0.113,0.014,-330427,-485368,115021,14.3,3643.8,1506055628,1506.0556279999998
1513306649,81143,0.938,0.001,0.026,-330484,-485840,115072,14.3,3643.8,1506056649,1506.0566489999999
1513307671,82165,0.864,0.042,0.065,-330645,-485669,115234,14.3,3643.8,1506057671,1506.057671
1513308693,83187,0.893,0.069,0.077,-330583,-485553,115285,14.3,3643.8,1506058693,1506.058693
1513309715,84209,0.938,-0.027,0.023,-330484,-485960,115061,14.3,3643.8,1506059715,1506.0597149999999
1513310737,85231,0.914,0.036,0.128,-330537,-485693,115501,14.3,3643.8,1506060737,1506.060737
1513311758,86252,0.931,0.088,0.064,-330500,-485475,115232,14.3,3643.8,1506061758,1506.0617579999998
1513312780,87274,0.845,0.066,0.067,-330687,-485568,115242,14.3,3643.8,1506062780,1506.06278
1513313802,88296,0.838,0.118,-0.014,-330702,-485345,114906,14.3,3643.8,1506063802,1506.063802
1513314823,89317,0.934,0.123,0.077,-330492,-485324,115286,14.3,3643.8,1506064823,1506.064823
1513315845,90339,0.885,0.002,0.06,-330600,-485836,115214,14.3,3643.8,1506065845,1506.0658449999999
1513316867,91361,0.894,0.078,0.127,-330580,-485514,115494,14.3,3643.8,1506066867,1506.066867
1513317889,92383,0.871,0.047,-0.015,-330630,-485648,114899,14.3,3643.8,1506067889,1506.067889
1513318922,93416,0.915,0.112,-0.011,-330533,-485373,114916,14.3,3643.8,1506068922,1506.068922
1513319997,94491,0.915,0.112,-0.011,-330533,-485373,114916,14.3,3643.8,1506069997,1506.0699969999998
1513321062,95556,0.996,0.068,0.011,-330370,-485557,114980,14.3,3643.8,1506071062,1506.071062
1513322083,96577,1.0,0.1,0.077,-330361,-485422,115257,14.3,3643.8,1506072083,1506.072083
1513323104,97598,0.993,0.078,0.014,-330376,-485517,114993,14.3,3643.8,1506073104,1506.0731039999998
1513324125,98619,0.867,0.008,0.055,-330653,-485812,115163,14.3,3643.8,1506074125,1506.0741249999999
1513325146,99640,0.942,0.106,0.011,-330488,-485396,114981,14.3,3643.8,1506075146,1506.075146
1513326167,100661,0.961,0.062,0.097,-330446,-485582,115340,14.3,3643.8,1506076167,1506.076167
1513327188,101682,1.051,0.1,0.034,-330250,-485424,115077,14.3,3643.8,1506077188,1506.077188
1513328208,102702,0.994,0.026,0.078,-330374,-485737,115260,14.3,3643.8,1506078208,1506.078208
1513329229,103723,1.06,-0.017,0.029,-330230,-485917,115056,14.3,3643.8,1506079229,1506.079229
1513330250,104744,1.032,-0.033,0.01,-330291,-485988,114975,14.3,3643.8,1506080250,1506.08025
1513331271,105765,1.14,0.094,0.123,-330056,-485448,115450,14.3,3643.8,1506081271,1506.081271
1513332292,106786,1.118,0.064,0.136,-330104,-485573,115503,14.3,3643.8,1506082292,1506.0822919999998
1513333313,107807,1.046,0.016,0.07,-330261,-485780,115228,14.3,3643.8,1506083313,1506.0833129999999
1513334334,108828,1.151,0.125,-0.063,-330030,-485317,114673,14.3,3643.8,1506084334,1506.084334
1513335355,109849,1.071,0.117,0.05,-330207,-485349,115146,14.3,3643.8,1506085355,1506.085355
1513336375,110869,1.062,0.061,0.072,-330226,-485587,115236,14.3,3643.8,1506086375,1506.0863749999999
1513337396,111890,1.22,0.005,0.046,-329879,-485827,115126,14.3,3643.8,1506087396,1506.087396
1513338417,112911,1.2,0.077,-0.043,-329924,-485520,114756,14.3,3643.8,1506088417,1506.088417
1513339438,113932,1.159,0.071,0.079,-330014,-485547,115264,14.3,3643.8,1506089438,1506.089438
1513340459,114953,1.099,0.018,0.086,-330144,-485769,115296,14.3,3643.8,1506090459,1506.090459
1513341480,115974,1.022,0.04,0.087,-330314,-485678,115298,14.3,3643.8,1506091480,1506.0914799999998
1513342501,116995,1.192,0.001,0.038,-329942,-485840,115093,14.3,3643.8,1506092501,1506.0925009999999
1513343522,118016,1.073,-0.054,0.049,-330201,-486074,115142,14.3,3643.8,1506093522,1506.093522
1513344542,119036,1.039,0.018,0.11,-330277,-485771,115396,14.3,3643.8,1506094542,1506.0945419999998
1513345563,120057,1.247,0.053,0.074,-329821,-485621,115243,14.3,3643.8,1506095563,1506.0955629999999
1513346585,121079,0.957,-0.011,0.031,-330456,-485892,115063,14.3,3643.8,1506096585,1506.096585
1513347606,122100,1.083,0.084,0.077,-330180,-485490,115257,14.3,3643.8,1506097606,1506.097606
1513348628,123122,1.033,0.082,0.125,-330289,-485500,115459,14.3,3643.8,1506098628,1506.098628
1513349650,124144,0.99,0.025,0.16,-330384,-485739,115603,14.3,3643.8,1506099650,1506.0996499999999
1513350672,125166,1.131,0.102,0.081,-330075,-485416,115275,14.3,3643.8,1506100672,1506.100672
1513351693,126187,1.064,0.096,0.096,-330222,-485439,115335,14.3,3643.8,1506101693,1506.1016929999998
1513352715,127209,1.098,0.011,0.102,-330148,-485799,115363,14.3,3643.8,1506102715,1506.102715
1513353737,128231,1.192,0.004,0.138,-329942,-485829,115512,14.3,3643.8,1506103737,1506.103737
1513354759,129253,1.062,0.015,0.06,-330225,-485784,115184,14.3,3643.8,1506104759,1506.1047589999998
1513355780,130274,1.242,0.014,-0.021,-329832,-485785,114845,14.3,3643.8,1506105780,1506.1057799999999
1513356802,131296,1.181,0.083,0.059,-329966,-485496,115180,14.3,3643.8,1506106802,1506.106802
1513357824,132318,1.108,0.062,0.063,-330124,-485583,115197,14.3,3643.8,1506107824,1506.107824
1513358846,133340,1.045,0.075,0.097,-330262,-485529,115341,14.3,3643.8,1506108846,1506.1088459999999
1513359867,134361,1.105,0.037,0.127,-330131,-485689,115466,14.3,3643.8,1506109867,1506.109867
1513360889,135383,1.144,0.093,0.095,-330046,-485454,115334,14.3,3643.8,1506110889,1506.110889
1513361911,136405,1.124,0.052,0.058,-330089,-485627,115179,14.3,3643.8,1506111911,1506.111911
1513362933,137427,1.129,0.106,0.044,-330079,-485396,115120,14.3,3643.8,1506112933,1506.1129329999999
