# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1920258132,0,10.768,0.028,-0.279,-308687,-485165,114094,69.1,3800.4,1913008132,1913.008132
1920258974,842,10.962,0.04,-0.643,-308264,-485117,112572,69.1,3800.4,1913008974,1913.0089739999999
1920259996,1864,10.685,0.024,-0.503,-308868,-485184,113157,69.1,3800.4,1913009996,1913.009996
1920261018,2886,10.906,-0.024,-0.304,-308387,-485387,113986,69.1,3800.4,1913011018,1913.011018
1920262039,3907,10.873,-0.045,-0.222,-308459,-485477,114332,69.1,3800.4,1913012039,1913.012039
1920263061,4929,10.995,-0.021,-0.42,-308192,-485374,113504,69.1,3800.4,1913013061,1913.0130609999999
1920264083,5951,10.92,-0.034,-0.615,-308356,-485428,112689,69.1,3800.4,1913014083,1913.0140829999998
1920265105,6973,10.97,-0.061,-0.47,-308246,-485544,113295,69.1,3800.4,1913015105,1913.015105
1920266127,7995,10.997,0.008,-0.445,-308186,-485252,113399,69.1,3800.4,1913016127,1913.0161269999999
1920267148,9016,11.061,-0.147,-0.606,-308048,-485908,112727,69.1,3800.4,1913017148,1913.017148
1920268170,10038,11.067,-0.077,-0.428,-308034,-485611,113469,69.1,3800.4,1913018170,1913.0181699999998
1920269192,11060,11.007,-0.187,-0.48,-308165,-486076,113251,69.1,3800.4,1913019192,1913.019192
1920270214,12082,11.119,-0.166,-0.695,-307920,-485988,112352,69.1,3800.4,1913020214,1913.020214
1920271235,13103,11.035,-0.154,-0.536,-308105,-485935,113017,69.1,3800.4,1913021235,1913.021235
1920272257,14125,10.993,-0.205,-0.347,-308196,-486154,113806,69.1,3800.4,1913022257,1913.0222569999999
1920273279,15147,11.261,-0.144,-0.14,-307611,-485894,114672,69.1,3800.4,1913023279,1913.023279
1920274301,16169,11.152,-0.222,-0.133,-307849,-486223,114704,69.1,3800.4,1913024301,1913.024301
1920275322,17190,11.225,-0.181,-0.137,-307689,-486049,114686,69.1,3800.4,1913025322,1913.025322
1920276344,18212,11.143,-0.235,-0.219,-307869,-486280,114342,69.1,3800.4,1913026344,1913.0263439999999
1920277366,19234,11.207,-0.3,-0.425,-307729,-486556,113483,69.1,3800.4,1913027366,1913.0273659999998
1920278388,20256,11.21,-0.268,-0.477,-307722,-486418,113266,69.1,3800.4,1913028388,1913.028388
1920279409,21277,11.117,-0.292,-0.492,-307925,-486519,113202,69.1,3800.4,1913029409,1913.029409
1920280431,22299,11.212,-0.293,-0.289,-307717,-486524,114051,69.1,3800.4,1913030431,1913.030431
1920281453,23321,11.223,-0.375,-0.354,-307693,-486873,113780,69.1,3800.4,1913031453,1913.0314529999998
1920282475,24343,11.084,-0.294,-0.405,-307996,-486528,113564,69.1,3800.4,1913032475,1913.032475
1920283496,25364,11.2,-0.221,-0.327,-307744,-486220,113891,69.1,3800.4,1913033496,1913.033496
1920284518,26386,11.364,-0.187,-0.472,-307385,-486078,113286,69.1,3800.4,1913034518,1913.034518
1920285540,27408,11.143,-0.188,-0.486,-307868,-486080,113225,69.1,3800.4,1913035540,1913.0355399999999
1920286562,28430,11.029,-0.177,-0.552,-308118,-486034,112952,69.1,3800.4,1913036562,1913.036562
1920287583,29451,11.143,-0.083,-0.634,-307867,-485637,112607,69.1,3800.4,1913037583,1913.0375829999998
1920288605,30473,11.079,-0.009,-0.534,-308007,-485324,113026,69.1,3800.4,1913038605,1913.038605
1920289627,31495,11.059,-0.126,-0.618,-308052,-485819,112675,69.1,3800.4,1913039627,1913.0396269999999
1920290649,32517,11.022,-0.149,-0.516,-308133,-485914,113101,69.1,3800.4,1913040649,1913.0406489999998
1920291670,33538,10.996,-0.076,-0.538,-308189,-485607,113008,69.1,3800.4,1913041670,1913.0416699999998
1920292692,34560,11.218,-0.144,-0.734,-307704,-485893,112191,69.1,3800.4,1913042692,1913.042692
1920293714,35582,11.129,-0.234,-0.938,-307898,-486276,111336,69.1,3800.4,1913043714,1913.043714
1920294736,36604,11.149,-0.185,-1.0,-307855,-486068,111080,69.1,3800.4,1913044736,1913.0447359999998
1920295758,37626,11.283,-0.329,-0.969,-307563,-486678,111209,69.1,3800.4,1913045758,1913.045758
1920296779,38647,11.254,-0.378,-1.101,-307626,-486884,110655,69.1,3800.4,1913046779,1913.046779
1920297801,39669,11.46,-0.456,-1.154,-307176,-487215,110436,69.1,3800.4,1913047801,1913.047801
1920298823,40691,11.373,-0.464,-1.288,-307366,-487248,109873,69.1,3800.4,1913048823,1913.0488229999999
1920299845,41713,11.415,-0.522,-1.192,-307274,-487492,110277,69.1,3800.4,1913049845,1913.049845
1920300866,42734,11.368,-0.511,-1.183,-307377,-487449,110314,69.1,3800.4,1913050866,1913.0508659999998
1920301888,43756,11.26,-0.471,-0.952,-307613,-487279,111279,69.1,3800.4,1913051888,1913.051888
1920302910,44778,11.164,-0.442,-0.837,-307823,-487156,111759,69.1,3800.4,1913052910,1913.0529099999999
1920303932,45800,11.284,-0.356,-0.812,-307559,-486790,111864,69.1,3800.4,1913053932,1913.0539319999998
1920304954,46822,10.966,-0.43,-0.81,-308254,-487105,111874,69.1,3800.4,1913054954,1913.054954
1920305975,47843,11.011,-0.421,-0.845,-308156,-487065,111727,69.1,3800.4,1913055975,1913.055975
1920306997,48865,11.004,-0.339,-0.673,-308172,-486719,112447,69.1,3800.4,1913056997,1913.056997
1920308019,49887,11.063,-0.391,-0.493,-308043,-486940,113199,69.1,3800.4,1913058019,1913.0580189999998
1920309040,50908,11.037,-0.337,-0.368,-308099,-486710,113721,69.1,3800.4,1913059040,1913.0590399999999
1920310062,51930,11.111,-0.308,-0.39,-307937,-486588,113630,69.1,3800.4,1913060062,1913.060062
1920311084,52952,11.036,-0.298,-0.616,-308101,-486546,112684,69.1,3800.4,1913061084,1913.061084
