# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2179457291,0,14.161,-0.152,1.42,-301294,-486036,121083,189.0,3790.9,2172207291,2172.2072909999997
2179458089,798,14.09,-0.259,1.126,-301450,-486492,119852,189.0,3790.9,2172208089,2172.2080889999997
2179459109,1818,13.866,-0.361,1.335,-301939,-486922,120726,189.0,3790.9,2172209109,2172.209109
2179460140,2849,14.133,-0.271,1.076,-301355,-486541,119644,189.0,3790.9,2172210140,2172.2101399999997
2179461218,3927,14.133,-0.271,1.076,-301355,-486541,119644,189.0,3790.9,2172211218,2172.211218
2179462282,4991,13.962,0.211,1.247,-301719,-484537,120360,189.0,3790.9,2172212282,2172.212282
2179463303,6012,13.832,0.144,0.515,-302003,-484819,117297,189.0,3790.9,2172213303,2172.213303
2179464324,7033,14.059,0.223,0.964,-301506,-484486,119174,189.0,3790.9,2172214324,2172.214324
2179465345,8054,14.12,0.364,1.232,-301374,-483888,120295,189.0,3790.9,2172215345,2172.215345
2179466366,9075,14.316,0.368,1.192,-300945,-483873,120130,189.0,3790.9,2172216366,2172.216366
2179467387,10096,14.379,0.388,1.502,-300807,-483788,121425,189.0,3790.9,2172217387,2172.2173869999997
2179468408,11117,14.438,0.287,2.296,-300678,-484214,124746,189.0,3790.9,2172218408,2172.2184079999997
2179469429,12138,14.532,0.261,1.725,-300472,-484327,122359,189.0,3790.9,2172219429,2172.2194289999998
2179470449,13158,14.773,0.148,0.613,-299946,-484804,117710,189.0,3790.9,2172220449,2172.220449
2179471470,14179,14.741,-0.05,0.713,-300016,-485641,118128,189.0,3790.9,2172221470,2172.22147
2179472491,15200,14.897,0.026,0.785,-299674,-485321,118428,189.0,3790.9,2172222491,2172.222491
2179473512,16221,14.841,0.014,0.502,-299797,-485372,117246,189.0,3790.9,2172223512,2172.223512
2179474533,17242,14.83,-0.083,0.112,-299821,-485781,115615,189.0,3790.9,2172224533,2172.224533
2179475554,18263,14.882,-0.118,0.094,-299707,-485931,115540,189.0,3790.9,2172225554,2172.225554
2179476575,19284,14.881,-0.158,0.737,-299709,-486098,118228,189.0,3790.9,2172226575,2172.2265749999997
2179477596,20305,14.902,-0.117,1.314,-299665,-485925,120640,189.0,3790.9,2172227596,2172.2275959999997
2179478616,21325,14.745,0.044,1.697,-300007,-485242,122243,189.0,3790.9,2172228616,2172.228616
2179479637,22346,14.86,-0.075,1.515,-299757,-485747,121478,189.0,3790.9,2172229637,2172.229637
2179480658,23367,14.689,0.145,2.258,-300130,-484818,124588,189.0,3790.9,2172230658,2172.230658
2179481679,24388,14.763,0.296,2.393,-299967,-484179,125152,189.0,3790.9,2172231679,2172.231679
2179482700,25409,14.548,0.411,2.427,-300437,-483690,125292,189.0,3790.9,2172232700,2172.2327
2179483721,26430,14.638,0.585,2.191,-300242,-482954,124305,189.0,3790.9,2172233721,2172.233721
2179484742,27451,14.642,0.458,2.213,-300233,-483490,124397,189.0,3790.9,2172234742,2172.234742
2179485763,28472,14.488,0.502,2.538,-300569,-483305,125756,189.0,3790.9,2172235763,2172.2357629999997
2179486785,29494,14.543,0.596,2.33,-300448,-482908,124888,189.0,3790.9,2172236785,2172.236785
