# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1888078757,0,-37.988,0.89,1.219,-415659,-482077,120037,32.0,3964.2,1880828757,1880.828757
1888079221,464,-38.107,0.935,1.172,-415919,-481885,119841,32.0,3964.2,1880829221,1880.829221
1888080240,1483,-38.089,1.042,1.216,-415881,-481429,120024,32.0,3964.2,1880830240,1880.83024
1888081260,2503,-38.098,1.123,1.301,-415900,-481087,120382,32.0,3964.2,1880831260,1880.83126
1888082279,3522,-38.15,1.246,1.456,-416013,-480568,121029,32.0,3964.2,1880832279,1880.832279
1888083299,4542,-38.177,1.263,1.406,-416074,-480496,120820,32.0,3964.2,1880833299,1880.833299
1888084318,5561,-38.188,1.156,1.495,-416097,-480947,121191,32.0,3964.2,1880834318,1880.834318
1888085340,6583,-38.2,1.226,1.515,-416123,-480653,121275,32.0,3964.2,1880835340,1880.8353399999999
1888086361,7604,-38.131,1.135,1.441,-415973,-481038,120966,32.0,3964.2,1880836361,1880.836361
1888087383,8626,-38.165,1.265,1.361,-416046,-480486,120630,32.0,3964.2,1880837383,1880.8373829999998
1888088405,9648,-38.09,1.095,1.365,-415883,-481205,120650,32.0,3964.2,1880838405,1880.838405
1888089427,10670,-37.97,0.878,1.297,-415621,-482127,120363,32.0,3964.2,1880839427,1880.839427
1888090448,11691,-38.044,0.933,1.288,-415783,-481895,120327,32.0,3964.2,1880840448,1880.840448
1888091470,12713,-38.098,1.002,1.411,-415901,-481599,120841,32.0,3964.2,1880841470,1880.8414699999998
1888092492,13735,-37.971,1.026,1.407,-415622,-481498,120822,32.0,3964.2,1880842492,1880.842492
1888093514,14757,-38.112,1.002,1.363,-415930,-481599,120641,32.0,3964.2,1880843514,1880.843514
1888094535,15778,-38.156,1.048,1.287,-416028,-481406,120320,32.0,3964.2,1880844535,1880.844535
1888095557,16800,-38.031,0.981,1.353,-415753,-481689,120597,32.0,3964.2,1880845557,1880.8455569999999
1888096579,17822,-38.017,1.008,1.357,-415722,-481577,120613,32.0,3964.2,1880846579,1880.846579
1888097601,18844,-37.921,1.056,1.282,-415512,-481373,120299,32.0,3964.2,1880847601,1880.847601
1888098622,19865,-37.815,1.074,1.3,-415282,-481296,120378,32.0,3964.2,1880848622,1880.848622
1888099644,20887,-37.811,1.044,1.283,-415272,-481421,120306,32.0,3964.2,1880849644,1880.849644
1888100666,21909,-37.646,0.963,1.265,-414912,-481767,120229,32.0,3964.2,1880850666,1880.8506659999998
1888101688,22931,-37.616,1.051,1.177,-414845,-481394,119860,32.0,3964.2,1880851688,1880.851688
1888102710,23953,-37.599,0.868,1.105,-414808,-482167,119560,32.0,3964.2,1880852710,1880.85271
1888103731,24974,-37.44,0.875,1.032,-414460,-482139,119256,32.0,3964.2,1880853731,1880.853731
1888104753,25996,-37.42,0.8,1.001,-414416,-482456,119123,32.0,3964.2,1880854753,1880.8547529999998
1888105775,27018,-37.428,0.826,1.111,-414434,-482348,119584,32.0,3964.2,1880855775,1880.855775
1888106797,28040,-37.577,0.907,1.128,-414761,-482004,119656,32.0,3964.2,1880856797,1880.856797
1888107818,29061,-37.58,0.886,0.985,-414766,-482093,119059,32.0,3964.2,1880857818,1880.857818
1888108840,30083,-37.528,0.843,1.118,-414653,-482274,119615,32.0,3964.2,1880858840,1880.8588399999999
1888109862,31105,-37.556,0.858,1.09,-414715,-482211,119499,32.0,3964.2,1880859862,1880.859862
1888110884,32127,-37.419,0.743,1.103,-414415,-482696,119551,32.0,3964.2,1880860884,1880.860884
1888111917,33160,-37.576,0.796,1.07,-414758,-482475,119412,32.0,3964.2,1880861917,1880.861917
1888112993,34236,-37.576,0.796,1.07,-414758,-482475,119412,32.0,3964.2,1880862993,1880.862993
1888114057,35300,-37.63,0.738,1.096,-414611,-482178,119971,32.0,3964.2,1880864057,1880.864057
1888115078,36321,-37.673,0.684,1.066,-414707,-482406,119844,32.0,3964.2,1880865078,1880.8650779999998
1888116099,37342,-37.556,0.746,0.935,-414451,-482145,119299,32.0,3964.2,1880866099,1880.8660989999998
1888117120,38363,-37.549,0.785,1.106,-414434,-481978,120012,32.0,3964.2,1880867120,1880.8671199999999
1888118141,39384,-37.489,0.838,1.18,-414304,-481756,120321,32.0,3964.2,1880868141,1880.868141
1888119162,40405,-37.546,0.942,1.141,-414429,-481313,120157,32.0,3964.2,1880869162,1880.869162
