# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1409421942,0,-41.622,-0.064,0.04,-423588,-486081,115161,7.7,4194.1,1402171942,1402.171942
1409422760,818,-41.358,-0.041,-0.078,-423012,-485984,114665,7.7,4194.1,1402172760,1402.17276
1409423782,1840,-41.542,0.052,-0.023,-423414,-485588,114894,7.7,4194.1,1402173782,1402.1737819999998
1409424804,2862,-41.348,0.037,-0.054,-422989,-485655,114766,7.7,4194.1,1402174804,1402.174804
1409425826,3884,-41.293,-0.028,-0.045,-422869,-485930,114805,7.7,4194.1,1402175826,1402.175826
1409426847,4905,-41.162,0.035,0.058,-422583,-485662,115233,7.7,4194.1,1402176847,1402.176847
1409427869,5927,-41.015,0.025,-0.02,-422260,-485704,114907,7.7,4194.1,1402177869,1402.1778689999999
1409428891,6949,-40.823,0.047,-0.022,-421841,-485609,114901,7.7,4194.1,1402178891,1402.178891
1409429913,7971,-41.035,0.02,0.036,-422304,-485726,115142,7.7,4194.1,1402179913,1402.179913
1409430934,8992,-40.781,0.02,0.056,-421748,-485725,115228,7.7,4194.1,1402180934,1402.180934
1409431956,10014,-40.59,-0.025,0.118,-421330,-485917,115484,7.7,4194.1,1402181956,1402.181956
1409432978,11036,-40.622,-0.04,0.222,-421400,-485978,115921,7.7,4194.1,1402182978,1402.182978
1409433999,12057,-40.491,0.174,0.178,-421115,-485071,115737,7.7,4194.1,1402183999,1402.1839989999999
1409435021,13079,-40.264,0.034,0.184,-420618,-485667,115760,7.7,4194.1,1402185021,1402.185021
1409436043,14101,-40.338,0.036,0.115,-420779,-485658,115472,7.7,4194.1,1402186043,1402.186043
1409437065,15123,-40.115,0.041,0.119,-420293,-485638,115488,7.7,4194.1,1402187065,1402.1870649999998
1409438087,16145,-40.094,-0.033,0.17,-420245,-485951,115704,7.7,4194.1,1402188087,1402.188087
1409439108,17166,-39.938,0.023,0.088,-419905,-485713,115361,7.7,4194.1,1402189108,1402.189108
1409440130,18188,-39.874,0.023,0.034,-419765,-485713,115133,7.7,4194.1,1402190130,1402.19013
1409441152,19210,-39.711,-0.082,0.052,-419409,-486159,115210,7.7,4194.1,1402191152,1402.1911519999999
1409442174,20232,-39.467,-0.057,0.01,-418874,-486050,115033,7.7,4194.1,1402192174,1402.192174
1409443195,21253,-39.383,-0.07,-0.038,-418691,-486106,114833,7.7,4194.1,1402193195,1402.1931949999998
1409444217,22275,-39.193,-0.113,0.009,-418276,-486289,115028,7.7,4194.1,1402194217,1402.194217
1409445239,23297,-39.16,-0.04,-0.063,-418203,-485980,114728,7.7,4194.1,1402195239,1402.195239
1409446260,24318,-39.039,-0.049,0.044,-417939,-486017,115175,7.7,4194.1,1402196260,1402.19626
1409447282,25340,-38.96,-0.159,0.035,-417766,-486484,115138,7.7,4194.1,1402197282,1402.1972819999999
1409448304,26362,-38.792,-0.127,0.083,-417398,-486350,115340,7.7,4194.1,1402198304,1402.198304
1409449326,27384,-38.73,-0.148,-0.004,-417262,-486438,114977,7.7,4194.1,1402199326,1402.199326
1409450348,28406,-38.555,-0.125,0.027,-416880,-486341,115104,7.7,4194.1,1402200348,1402.2003479999998
1409451369,29427,-38.485,-0.19,-0.025,-416727,-486615,114888,7.7,4194.1,1402201369,1402.2013689999999
1409452391,30449,-38.507,-0.187,0.012,-416774,-486600,115040,7.7,4194.1,1402202391,1402.202391
1409453413,31471,-38.263,-0.228,0.027,-416241,-486777,115106,7.7,4194.1,1402203413,1402.203413
1409454434,32492,-38.263,-0.086,0.04,-416241,-486176,115161,7.7,4194.1,1402204434,1402.204434
1409455456,33514,-38.352,-0.056,0.071,-416435,-486046,115288,7.7,4194.1,1402205456,1402.205456
1409456478,34536,-38.024,-0.112,0.034,-415717,-486283,115133,7.7,4194.1,1402206478,1402.2064779999998
1409457500,35558,-38.103,-0.057,0.01,-415891,-486051,115035,7.7,4194.1,1402207500,1402.2075
1409458521,36579,-37.987,-0.051,0.053,-415638,-486025,115212,7.7,4194.1,1402208521,1402.208521
1409459543,37601,-37.803,0.014,0.023,-415235,-485751,115088,7.7,4194.1,1402209543,1402.209543
1409460565,38623,-37.783,-0.171,0.061,-415191,-486536,115248,7.7,4194.1,1402210565,1402.2105649999999
