# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
83047405,0,-25.481,-0.378,0.466,-387721,-486487,117337,1087.3,5271.7,75797405,75.797405
83048087,682,-25.662,-0.304,0.522,-388115,-486175,117573,1087.3,5271.7,75798087,75.798087
83049106,1701,-25.686,-0.421,0.389,-388169,-486666,117017,1087.3,5271.7,75799106,75.799106
83050126,2721,-25.675,-0.42,0.441,-388145,-486663,117233,1087.3,5271.7,75800126,75.80012599999999
83051145,3740,-25.692,-0.466,0.437,-388181,-486857,117217,1087.3,5271.7,75801145,75.80114499999999
83052165,4760,-25.801,-0.495,0.434,-388420,-486982,117205,1087.3,5271.7,75802165,75.802165
83053184,5779,-25.761,-0.508,0.378,-388332,-487036,116972,1087.3,5271.7,75803184,75.803184
83054204,6799,-25.953,-0.504,0.49,-388750,-487018,117438,1087.3,5271.7,75804204,75.804204
83055223,7818,-25.924,-0.494,0.516,-388687,-486976,117547,1087.3,5271.7,75805223,75.805223
83056243,8838,-26.09,-0.341,0.49,-389050,-486331,117437,1087.3,5271.7,75806243,75.806243
83057262,9857,-25.948,-0.393,0.532,-388741,-486548,117614,1087.3,5271.7,75807262,75.807262
83058282,10877,-25.792,-0.489,0.455,-388399,-486955,117293,1087.3,5271.7,75808282,75.80828199999999
83059301,11896,-25.907,-0.266,0.468,-388651,-486013,117347,1087.3,5271.7,75809301,75.80930099999999
83060321,12916,-25.729,-0.431,0.461,-388262,-486710,117320,1087.3,5271.7,75810321,75.810321
83061340,13935,-25.792,-0.482,0.513,-388400,-486925,117537,1087.3,5271.7,75811340,75.81134
83062360,14955,-25.757,-0.489,0.381,-388324,-486956,116982,1087.3,5271.7,75812360,75.81236
83063379,15974,-25.759,-0.544,0.471,-388327,-487188,117358,1087.3,5271.7,75813379,75.813379
83064399,16994,-25.843,-0.679,0.489,-388511,-487760,117436,1087.3,5271.7,75814399,75.814399
83065418,18013,-26.006,-0.459,0.491,-388867,-486829,117445,1087.3,5271.7,75815418,75.815418
83066438,19033,-25.785,-0.383,0.483,-388384,-486509,117408,1087.3,5271.7,75816438,75.81643799999999
83067457,20052,-25.747,-0.404,0.448,-388302,-486595,117262,1087.3,5271.7,75817457,75.81745699999999
83068477,21072,-25.747,-0.424,0.467,-388301,-486680,117342,1087.3,5271.7,75818477,75.818477
83069496,22091,-25.812,-0.375,0.553,-388443,-486474,117702,1087.3,5271.7,75819496,75.819496
83070516,23111,-25.701,-0.502,0.47,-388201,-487011,117355,1087.3,5271.7,75820516,75.820516
83071536,24131,-25.737,-0.393,0.412,-388280,-486549,117112,1087.3,5271.7,75821536,75.821536
83072555,25150,-25.737,-0.243,0.462,-388280,-485914,117321,1087.3,5271.7,75822555,75.822555
83073575,26170,-25.748,-0.247,0.447,-388304,-485932,117261,1087.3,5271.7,75823575,75.82357499999999
83074594,27189,-25.692,-0.455,0.555,-388182,-486810,117712,1087.3,5271.7,75824594,75.82459399999999
83075614,28209,-25.817,-0.408,0.469,-388454,-486611,117353,1087.3,5271.7,75825614,75.825614
83076633,29228,-25.762,-0.386,0.422,-388335,-486520,117156,1087.3,5271.7,75826633,75.826633
83077653,30248,-25.772,-0.566,0.439,-388356,-487280,117226,1087.3,5271.7,75827653,75.827653
83078672,31267,-25.817,-0.469,0.44,-388455,-486871,117229,1087.3,5271.7,75828672,75.828672
83079691,32286,-25.83,-0.556,0.4,-388482,-487240,117063,1087.3,5271.7,75829691,75.829691
83080711,33306,-25.773,-0.624,0.502,-388359,-487528,117488,1087.3,5271.7,75830711,75.830711
83081731,34326,-26.012,-0.627,0.455,-388880,-487537,117294,1087.3,5271.7,75831731,75.83173099999999
83082750,35345,-25.942,-0.568,0.468,-388728,-487291,117348,1087.3,5271.7,75832750,75.83274999999999
83083770,36365,-25.976,-0.56,0.439,-388802,-487257,117227,1087.3,5271.7,75833770,75.83377
83084789,37384,-26.166,-0.427,0.451,-389216,-486693,117275,1087.3,5271.7,75834789,75.834789
83085809,38404,-26.058,-0.652,0.446,-388981,-487643,117255,1087.3,5271.7,75835809,75.835809
83086828,39423,-26.146,-0.536,0.41,-389173,-487153,117104,1087.3,5271.7,75836828,75.836828
83087848,40443,-26.093,-0.676,0.477,-389056,-487747,117385,1087.3,5271.7,75837848,75.837848
83088867,41462,-26.281,-0.517,0.47,-389467,-487075,117355,1087.3,5271.7,75838867,75.838867
83089887,42482,-26.25,-0.418,0.531,-389399,-486656,117612,1087.3,5271.7,75839887,75.83988699999999
83090906,43501,-26.259,-0.426,0.539,-389418,-486687,117644,1087.3,5271.7,75840906,75.84090599999999
83091926,44521,-26.251,-0.611,0.427,-389402,-487472,117175,1087.3,5271.7,75841926,75.841926
83092945,45540,-26.454,-0.534,0.38,-389845,-487145,116979,1087.3,5271.7,75842945,75.842945
83093965,46560,-26.384,-0.416,0.467,-389692,-486646,117343,1087.3,5271.7,75843965,75.843965
83094984,47579,-26.261,-0.443,0.446,-389424,-486763,117257,1087.3,5271.7,75844984,75.844984
83096004,48599,-26.261,-0.383,0.615,-389423,-486508,117962,1087.3,5271.7,75846004,75.846004
83097023,49618,-26.343,-0.428,0.445,-389603,-486698,117251,1087.3,5271.7,75847023,75.847023
83098043,50638,-26.319,-0.404,0.501,-389549,-486598,117487,1087.3,5271.7,75848043,75.84804299999999
83099062,51657,-26.308,-0.516,0.352,-389526,-487071,116864,1087.3,5271.7,75849062,75.849062
83100082,52677,-26.343,-0.248,0.511,-389603,-485938,117527,1087.3,5271.7,75850082,75.850082
83101101,53696,-26.526,-0.144,0.536,-390001,-485499,117631,1087.3,5271.7,75851101,75.851101
83102121,54716,-26.373,-0.178,0.453,-389668,-485640,117284,1087.3,5271.7,75852121,75.852121
83103140,55735,-26.317,-0.366,0.496,-389546,-486436,117465,1087.3,5271.7,75853140,75.85314
83104160,56755,-26.429,-0.342,0.455,-389790,-486336,117292,1087.3,5271.7,75854160,75.85416
83105179,57774,-26.271,-0.403,0.415,-389444,-486592,117127,1087.3,5271.7,75855179,75.85517899999999
83106199,58794,-26.43,-0.257,0.447,-389792,-485975,117261,1087.3,5271.7,75856199,75.85619899999999
83107218,59813,-26.533,-0.276,0.425,-390016,-486054,117169,1087.3,5271.7,75857218,75.857218
83108238,60833,-26.481,-0.337,0.537,-389904,-486313,117637,1087.3,5271.7,75858238,75.858238
83109257,61852,-26.671,-0.28,0.42,-390318,-486071,117147,1087.3,5271.7,75859257,75.859257
83110277,62872,-26.585,-0.414,0.418,-390130,-486640,117138,1087.3,5271.7,75860277,75.860277
83111296,63891,-26.697,-0.491,0.348,-390374,-486965,116846,1087.3,5271.7,75861296,75.861296
