# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
199588933,0,-0.0,-0.018,0.07,-332085,-484781,115771,1637.5,4685.1,192338933,192.338933
199589253,320,0.018,-0.002,-0.012,-332046,-484714,115426,1637.5,4685.1,192339253,192.33925299999999
199590275,1342,0.052,0.079,0.044,-331971,-484374,115662,1637.5,4685.1,192340275,192.340275
199591296,2363,0.054,-0.018,0.019,-331968,-484782,115559,1637.5,4685.1,192341296,192.341296
199592318,3385,0.076,0.016,-0.096,-331918,-484639,115077,1637.5,4685.1,192342318,192.34231799999998
199593340,4407,0.125,0.062,0.007,-331812,-484444,115507,1637.5,4685.1,192343340,192.34333999999998
199594362,5429,0.003,-0.003,0.055,-332078,-484721,115707,1637.5,4685.1,192344362,192.344362
199595384,6451,0.09,0.053,0.116,-331889,-484481,115960,1637.5,4685.1,192345384,192.345384
199596405,7472,0.069,0.021,0.006,-331935,-484616,115504,1637.5,4685.1,192346405,192.346405
199597427,8494,0.034,0.027,0.051,-332010,-484593,115691,1637.5,4685.1,192347427,192.34742699999998
199598449,9516,0.137,0.005,0.041,-331787,-484684,115649,1637.5,4685.1,192348449,192.348449
199599471,10538,0.166,-0.032,0.011,-331723,-484841,115524,1637.5,4685.1,192349471,192.349471
199600493,11560,0.057,0.002,-0.056,-331960,-484699,115242,1637.5,4685.1,192350493,192.350493
199601514,12581,0.162,0.038,0.017,-331732,-484546,115548,1637.5,4685.1,192351514,192.35151399999998
199602536,13603,0.067,0.014,0.054,-331938,-484648,115703,1637.5,4685.1,192352536,192.352536
199603558,14625,0.059,0.023,0.031,-331956,-484610,115609,1637.5,4685.1,192353558,192.353558
199604580,15647,0.103,-0.036,0.021,-331860,-484858,115566,1637.5,4685.1,192354580,192.35458
199605601,16668,0.233,0.035,0.049,-331576,-484557,115683,1637.5,4685.1,192355601,192.35560099999998
199606623,17690,0.182,0.004,-0.028,-331687,-484688,115362,1637.5,4685.1,192356623,192.35662299999998
199607645,18712,0.126,0.029,-0.041,-331809,-484583,115307,1637.5,4685.1,192357645,192.357645
199608667,19734,0.166,-0.021,0.041,-331722,-484795,115651,1637.5,4685.1,192358667,192.358667
199609689,20756,0.207,0.031,0.047,-331633,-484577,115675,1637.5,4685.1,192359689,192.359689
199610710,21777,0.104,-0.015,0.006,-331857,-484771,115503,1637.5,4685.1,192360710,192.36070999999998
199611732,22799,0.14,0.051,-0.023,-331779,-484489,115382,1637.5,4685.1,192361732,192.361732
199612754,23821,0.263,-0.007,0.097,-331512,-484735,115884,1637.5,4685.1,192362754,192.362754
199613776,24843,0.061,0.066,0.07,-331951,-484429,115769,1637.5,4685.1,192363776,192.363776
199614798,25865,0.11,0.025,0.057,-331846,-484602,115717,1637.5,4685.1,192364798,192.36479799999998
199615819,26886,0.137,0.023,0.056,-331787,-484608,115711,1637.5,4685.1,192365819,192.365819
199616841,27908,-0.026,0.056,-0.026,-332142,-484472,115371,1637.5,4685.1,192366841,192.366841
199617863,28930,0.263,0.045,0.065,-331511,-484515,115750,1637.5,4685.1,192367863,192.367863
199618885,29952,0.158,0.027,0.069,-331741,-484594,115766,1637.5,4685.1,192368885,192.36888499999998
199619906,30973,0.062,0.03,0.099,-331950,-484578,115893,1637.5,4685.1,192369906,192.369906
199620928,31995,0.25,-0.058,0.033,-331539,-484953,115617,1637.5,4685.1,192370928,192.370928
199621950,33017,0.018,0.02,-0.021,-332045,-484622,115389,1637.5,4685.1,192371950,192.37195
199622972,34039,0.18,0.003,-0.014,-331692,-484694,115421,1637.5,4685.1,192372972,192.372972
199623994,35061,0.258,-0.005,0.089,-331523,-484726,115850,1637.5,4685.1,192373994,192.37399399999998
199625015,36082,0.126,-0.006,0.027,-331810,-484732,115592,1637.5,4685.1,192375015,192.375015
199626037,37104,0.069,0.009,-0.041,-331934,-484669,115308,1637.5,4685.1,192376037,192.376037
