# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4100159790,0,26.606,-1.325,5.628,-274030,-490305,139023,2094.8,4744.1,4092909790,4092.9097899999997
4100160406,616,27.418,-1.08,6.245,-272258,-489268,141598,2094.8,4744.1,4092910406,4092.910406
4100161425,1635,25.615,0.963,6.807,-276192,-480638,143942,2094.8,4744.1,4092911425,4092.911425
4100162445,2655,26.457,-1.017,6.319,-274354,-489006,141907,2094.8,4744.1,4092912445,4092.912445
4100163464,3674,27.752,-1.021,6.207,-271529,-489022,141441,2094.8,4744.1,4092913464,4092.9134639999997
4100164484,4694,26.44,-0.392,4.799,-274391,-486361,135564,2094.8,4744.1,4092914484,4092.914484
4100165503,5713,26.256,-1.601,5.108,-274793,-491473,136851,2094.8,4744.1,4092915503,4092.9155029999997
4100166523,6733,27.577,-2.727,4.65,-271911,-496228,134943,2094.8,4744.1,4092916523,4092.916523
4100167542,7752,27.677,-2.353,3.405,-271693,-494648,129746,2094.8,4744.1,4092917542,4092.9175419999997
4100168562,8772,25.196,-0.675,4.862,-277105,-487559,135825,2094.8,4744.1,4092918562,4092.918562
4100169581,9791,25.605,-2.637,5.912,-276213,-495850,140210,2094.8,4744.1,4092919581,4092.9195809999997
4100170601,10811,27.808,-4.854,3.464,-271406,-505216,129991,2094.8,4744.1,4092920601,4092.920601
4100171620,11830,28.797,-4.101,4.425,-269249,-502037,134003,2094.8,4744.1,4092921620,4092.9216199999996
4100172640,12850,27.826,-2.72,5.292,-271368,-496199,137622,2094.8,4744.1,4092922640,4092.92264
4100173659,13869,26.509,-0.929,5.63,-274242,-488632,139033,2094.8,4744.1,4092923659,4092.9236589999996
4100174679,14889,25.562,-1.571,4.784,-276307,-491345,135500,2094.8,4744.1,4092924679,4092.9246789999997
4100175698,15908,26.774,-2.933,5.362,-273662,-497098,137914,2094.8,4744.1,4092925698,4092.925698
4100176718,16928,28.712,-4.341,7.69,-269433,-503050,147629,2094.8,4744.1,4092926718,4092.9267179999997
4100177737,17947,28.628,-3.047,7.937,-269618,-497581,148661,2094.8,4744.1,4092927737,4092.927737
4100178757,18967,27.009,-2.342,5.947,-273150,-494604,140354,2094.8,4744.1,4092928757,4092.9287569999997
4100179777,19987,26.537,-1.707,5.181,-274181,-491920,137156,2094.8,4744.1,4092929777,4092.929777
4100180796,21006,26.924,-2.517,4.557,-273335,-495342,134554,2094.8,4744.1,4092930796,4092.9307959999996
4100181816,22026,27.188,-1.866,4.062,-272760,-492591,132487,2094.8,4744.1,4092931816,4092.931816
4100182835,23045,27.234,-2.851,2.625,-272659,-496755,126488,2094.8,4744.1,4092932835,4092.9328349999996
4100183855,24065,27.885,-3.526,2.976,-271239,-499604,127953,2094.8,4744.1,4092933855,4092.9338549999998
4100184874,25084,27.031,-2.675,4.36,-273103,-496010,133731,2094.8,4744.1,4092934874,4092.934874
4100185894,26104,27.172,-3.126,3.552,-272794,-497915,130358,2094.8,4744.1,4092935894,4092.9358939999997
4100186925,27135,27.455,-2.748,3.437,-272177,-496319,129880,2094.8,4744.1,4092936925,4092.936925
4100188000,28210,27.455,-2.748,3.437,-272177,-496319,129880,2094.8,4744.1,4092938000,4092.9379999999996
4100189064,29274,26.943,-2.747,5.824,-273295,-496312,139840,2094.8,4744.1,4092939064,4092.9390639999997
4100190085,30295,27.2,-3.087,4.104,-272733,-497749,132663,2094.8,4744.1,4092940085,4092.9400849999997
4100191106,31316,27.392,-2.906,3.757,-272314,-496987,131214,2094.8,4744.1,4092941106,4092.9411059999998
4100192127,32337,27.615,-2.417,4.538,-271827,-494918,134474,2094.8,4744.1,4092942127,4092.942127
4100193148,33358,27.477,-2.45,5.101,-272129,-495058,136822,2094.8,4744.1,4092943148,4092.943148
4100194169,34379,26.819,-2.62,5.197,-273565,-495779,137225,2094.8,4744.1,4092944169,4092.944169
4100195190,35400,27.691,-3.593,4.848,-271661,-499890,135766,2094.8,4744.1,4092945190,4092.94519
4100196211,36421,26.103,-2.032,4.084,-275126,-493292,132578,2094.8,4744.1,4092946211,4092.946211
4100197232,37442,26.563,-2.352,1.938,-274123,-494645,123623,2094.8,4744.1,4092947232,4092.947232
4100198252,38462,28.401,-4.27,2.602,-270113,-502748,126392,2094.8,4744.1,4092948252,4092.9482519999997
4100199273,39483,27.982,-4.136,5.814,-271027,-502184,139799,2094.8,4744.1,4092949273,4092.9492729999997
4100200294,40504,27.361,-3.554,4.655,-272382,-499723,134964,2094.8,4744.1,4092950294,4092.9502939999998
4100201315,41525,27.451,-3.614,1.975,-272185,-499976,123779,2094.8,4744.1,4092951315,4092.951315
4100202336,42546,29.292,-5.359,1.194,-268168,-507350,120518,2094.8,4744.1,4092952336,4092.952336
4100203357,43567,28.885,-5.475,1.467,-269056,-507842,121658,2094.8,4744.1,4092953357,4092.953357
4100204378,44588,27.405,-3.585,2.828,-272286,-499854,127337,2094.8,4744.1,4092954378,4092.954378
4100205399,45609,25.991,-1.755,6.576,-275371,-492123,142980,2094.8,4744.1,4092955399,4092.955399
4100206420,46630,24.787,-0.432,8.56,-277999,-486534,151261,2094.8,4744.1,4092956420,4092.95642
4100207441,47651,26.194,-0.895,6.833,-274929,-488489,144052,2094.8,4744.1,4092957441,4092.957441
4100208461,48671,26.195,-0.57,5.388,-274926,-487117,138020,2094.8,4744.1,4092958461,4092.9584609999997
4100209482,49692,26.229,-0.351,5.562,-274851,-486191,138749,2094.8,4744.1,4092959482,4092.9594819999998
4100210503,50713,26.657,-1.435,5.064,-273918,-490770,136668,2094.8,4744.1,4092960503,4092.960503
4100211525,51735,26.128,-0.366,5.698,-275072,-486252,139316,2094.8,4744.1,4092961525,4092.9615249999997
4100212546,52756,26.108,0.255,4.347,-275116,-483631,133676,2094.8,4744.1,4092962546,4092.9625459999997
4100213568,53778,27.308,-1.152,2.826,-272498,-489575,127330,2094.8,4744.1,4092963568,4092.9635679999997
4100214590,54800,27.055,-1.153,2.513,-273049,-489578,126022,2094.8,4744.1,4092964590,4092.9645899999996
4100215612,55822,28.049,-2.928,2.083,-270880,-497080,124228,2094.8,4744.1,4092965612,4092.965612
4100216634,56844,28.527,-3.93,3.364,-269838,-501313,129573,2094.8,4744.1,4092966634,4092.966634
4100217655,57865,27.787,-2.807,5.006,-271453,-496566,136429,2094.8,4744.1,4092967655,4092.967655
4100218677,58887,27.188,-2.063,4.636,-272760,-493423,134883,2094.8,4744.1,4092968677,4092.968677
4100219699,59909,26.802,-2.397,5.225,-273601,-494837,137341,2094.8,4744.1,4092969699,4092.9696989999998
4100220721,60931,27.741,-3.012,4.826,-271553,-497433,135678,2094.8,4744.1,4092970721,4092.9707209999997
4100221742,61952,28.225,-3.263,4.402,-270497,-498496,133906,2094.8,4744.1,4092971742,4092.9717419999997
4100222764,62974,26.854,-2.468,4.004,-273488,-495133,132245,2094.8,4744.1,4092972764,4092.9727639999996
4100223786,63996,26.723,-2.043,4.11,-273775,-493341,132687,2094.8,4744.1,4092973786,4092.973786
4100224808,65018,25.725,-1.306,5.737,-275951,-490223,139480,2094.8,4744.1,4092974808,4092.974808
4100225830,66040,25.003,-0.029,6.823,-277527,-484831,144012,2094.8,4744.1,4092975830,4092.97583
4100226851,67061,26.334,-1.079,5.415,-274622,-489264,138134,2094.8,4744.1,4092976851,4092.976851
4100227873,68083,27.007,-2.183,4.165,-273154,-493929,132918,2094.8,4744.1,4092977873,4092.977873
4100228895,69105,26.958,-2.77,3.997,-273261,-496412,132218,2094.8,4744.1,4092978895,4092.9788949999997
4100229917,70127,26.813,-2.992,5.461,-273578,-497349,138328,2094.8,4744.1,4092979917,4092.9799169999997
4100230938,71148,26.486,-2.464,4.809,-274291,-495118,135605,2094.8,4744.1,4092980938,4092.9809379999997
4100231960,72170,27.718,-3.584,4.131,-271603,-499850,132775,2094.8,4744.1,4092981960,4092.9819599999996
4100232982,73192,27.056,-3.138,3.568,-273048,-497968,130426,2094.8,4744.1,4092982982,4092.982982
4100234004,74214,27.939,-3.567,1.903,-271120,-499780,123477,2094.8,4744.1,4092984004,4092.984004
4100235026,75236,27.613,-3.084,3.407,-271833,-497736,129754,2094.8,4744.1,4092985026,4092.985026
4100236047,76257,26.403,-2.106,5.067,-274472,-493607,136682,2094.8,4744.1,4092986047,4092.986047
4100237069,77279,27.032,-2.723,3.242,-273100,-496213,129065,2094.8,4744.1,4092987069,4092.987069
4100238091,78301,26.575,-2.916,3.847,-274096,-497026,131592,2094.8,4744.1,4092988091,4092.9880909999997
4100239113,79323,25.805,-2.141,5.306,-275778,-493752,137681,2094.8,4744.1,4092989113,4092.9891129999996
4100240134,80344,27.101,-2.741,5.364,-272950,-496290,137923,2094.8,4744.1,4092990134,4092.9901339999997
4100241156,81366,26.871,-2.425,5.32,-273451,-494955,137739,2094.8,4744.1,4092991156,4092.9911559999996
4100242178,82388,26.667,-2.243,5.254,-273896,-494183,137464,2094.8,4744.1,4092992178,4092.992178
4100243200,83410,26.773,-1.698,4.785,-273666,-491880,135503,2094.8,4744.1,4092993200,4092.9932
4100244222,84432,27.211,-1.973,4.462,-272710,-493043,134156,2094.8,4744.1,4092994222,4092.994222
4100245243,85453,26.325,-1.922,6.606,-274643,-492829,143106,2094.8,4744.1,4092995243,4092.995243
4100246265,86475,24.747,-0.548,7.039,-278085,-487022,144910,2094.8,4744.1,4092996265,4092.9962649999998
4100247287,87497,26.384,-1.812,3.43,-274514,-492362,129850,2094.8,4744.1,4092997287,4092.9972869999997
4100248309,88519,27.725,-3.279,6.276,-271587,-498561,141727,2094.8,4744.1,4092998309,4092.9983089999996
4100249330,89540,27.598,-3.09,7.027,-271865,-497762,144862,2094.8,4744.1,4092999330,4092.9993299999996
4100250352,90562,25.953,-1.639,6.053,-275454,-491633,140795,2094.8,4744.1,4093000352,4093.000352
4100251374,91584,25.698,-1.239,5.255,-276010,-489942,137467,2094.8,4744.1,4093001374,4093.001374
4100252396,92606,26.477,-1.661,5.129,-274310,-491727,136942,2094.8,4744.1,4093002396,4093.002396
4100253418,93628,26.741,-2.367,5.807,-273735,-494708,139770,2094.8,4744.1,4093003418,4093.003418
4100254439,94649,27.317,-3.451,4.37,-272477,-499290,133773,2094.8,4744.1,4093004439,4093.004439
4100255461,95671,26.712,-2.994,2.066,-273799,-497357,124155,2094.8,4744.1,4093005461,4093.0054609999997
4100256483,96693,27.644,-4.099,1.115,-271764,-502027,120189,2094.8,4744.1,4093006483,4093.0064829999997
4100257505,97715,27.426,-3.726,2.263,-272240,-500450,124979,2094.8,4744.1,4093007505,4093.007505
4100258526,98736,26.608,-2.981,6.966,-274024,-497301,144607,2094.8,4744.1,4093008526,4093.0085259999996
4100259548,99758,25.594,-1.532,6.577,-276237,-491180,142982,2094.8,4744.1,4093009548,4093.009548
4100260570,100780,24.46,0.145,5.52,-278713,-484096,138572,2094.8,4744.1,4093010570,4093.01057
4100261592,101802,24.302,0.117,8.06,-279056,-484213,149171,2094.8,4744.1,4093011592,4093.011592
4100262614,102824,23.795,0.552,7.949,-280164,-482374,148710,2094.8,4744.1,4093012614,4093.0126139999998
4100263635,103845,23.291,1.127,7.683,-281263,-479943,147601,2094.8,4744.1,4093013635,4093.013635
4100264657,104867,24.064,0.391,7.239,-279576,-483053,145746,2094.8,4744.1,4093014657,4093.0146569999997
4100265679,105889,24.789,-0.67,7.04,-277995,-487539,144917,2094.8,4744.1,4093015679,4093.0156789999996
4100266701,106911,26.054,-2.27,4.855,-275233,-494300,135798,2094.8,4744.1,4093016701,4093.016701
4100267723,107933,26.119,-2.605,5.742,-275092,-495715,139500,2094.8,4744.1,4093017723,4093.017723
4100268744,108954,26.413,-2.121,5.896,-274450,-493670,140141,2094.8,4744.1,4093018744,4093.018744
4100269766,109976,25.567,-1.508,5.079,-276297,-491077,136731,2094.8,4744.1,4093019766,4093.019766
4100270788,110998,28.239,-3.813,4.244,-270465,-500817,133248,2094.8,4744.1,4093020788,4093.020788
4100271810,112020,28.107,-4.877,3.973,-270755,-505313,132116,2094.8,4744.1,4093021810,4093.0218099999997
4100272832,113042,26.939,-4.017,4.494,-273302,-501681,134290,2094.8,4744.1,4093022832,4093.0228319999997
4100273853,114063,26.556,-2.919,3.022,-274139,-497041,128149,2094.8,4744.1,4093023853,4093.0238529999997
4100274875,115085,27.089,-3.087,2.964,-272975,-497751,127903,2094.8,4744.1,4093024875,4093.0248749999996
4100275897,116107,27.921,-3.435,2.276,-271159,-499219,125033,2094.8,4744.1,4093025897,4093.025897
4100276919,117129,28.22,-4.042,1.96,-270507,-501785,123715,2094.8,4744.1,4093026919,4093.026919
4100277940,118150,26.641,-3.365,1.574,-273953,-498924,122102,2094.8,4744.1,4093027940,4093.02794
4100278962,119172,26.965,-2.844,1.763,-273245,-496725,122894,2094.8,4744.1,4093028962,4093.028962
4100279984,120194,26.363,-2.019,2.022,-274559,-493237,123975,2094.8,4744.1,4093029984,4093.029984
4100281006,121216,25.184,-1.062,4.359,-277132,-489194,133726,2094.8,4744.1,4093031006,4093.0310059999997
4100282027,122237,24.554,-0.845,6.528,-278506,-488275,142779,2094.8,4744.1,4093032027,4093.0320269999997
4100283049,123259,26.007,-2.519,4.825,-275337,-495349,135671,2094.8,4744.1,4093033049,4093.0330489999997
4100284071,124281,26.107,-3.721,4.643,-275119,-500429,134914,2094.8,4744.1,4093034071,4093.034071
4100285093,125303,25.706,-2.46,3.899,-275994,-495102,131807,2094.8,4744.1,4093035093,4093.035093
4100286115,126325,25.772,-2.258,5.299,-275849,-494247,137652,2094.8,4744.1,4093036115,4093.036115
4100287136,127346,25.416,-2.552,6.608,-276625,-495489,143114,2094.8,4744.1,4093037136,4093.037136
4100288158,128368,24.698,-1.726,6.907,-278192,-491999,144363,2094.8,4744.1,4093038158,4093.038158
4100289180,129390,25.934,-2.438,5.988,-275496,-495010,140524,2094.8,4744.1,4093039180,4093.0391799999998
4100290202,130412,27.169,-3.09,4.142,-272800,-497762,132821,2094.8,4744.1,4093040202,4093.0402019999997
4100291235,131445,27.509,-3.545,2.224,-272059,-499685,124815,2094.8,4744.1,4093041235,4093.0412349999997
4100292312,132522,27.509,-3.545,2.224,-272059,-499685,124815,2094.8,4744.1,4093042312,4093.042312
4100293377,133587,25.592,-2.371,3.909,-276233,-494724,131849,2094.8,4744.1,4093043377,4093.043377
4100294398,134608,26.485,-3.314,1.391,-274284,-498708,121341,2094.8,4744.1,4093044398,4093.044398
4100295419,135629,26.759,-3.885,1.116,-273687,-501121,120193,2094.8,4744.1,4093045419,4093.045419
4100296440,136650,26.296,-3.049,3.295,-274696,-497590,129288,2094.8,4744.1,4093046440,4093.0464399999996
4100297461,137671,25.668,-2.693,2.482,-276067,-496085,125892,2094.8,4744.1,4093047461,4093.0474609999997
4100298481,138691,27.902,-4.526,0.978,-271194,-503831,119615,2094.8,4744.1,4093048481,4093.048481
4100299502,139712,26.916,-3.839,0.509,-273344,-500930,117657,2094.8,4744.1,4093049502,4093.049502
4100300523,140733,26.586,-3.182,1.876,-274065,-498150,123366,2094.8,4744.1,4093050523,4093.050523
4100301544,141754,25.976,-2.127,3.32,-275396,-493694,129392,2094.8,4744.1,4093051544,4093.051544
4100302565,142775,26.119,-1.795,5.626,-275084,-492292,139016,2094.8,4744.1,4093052565,4093.052565
4100303586,143796,25.095,-0.745,7.203,-277317,-487855,145597,2094.8,4744.1,4093053586,4093.053586
4100304607,144817,24.754,-0.709,5.585,-278062,-487704,138844,2094.8,4744.1,4093054607,4093.054607
4100305628,145838,25.862,-1.894,2.863,-275643,-492708,127485,2094.8,4744.1,4093055628,4093.0556279999996
4100306649,146859,25.103,-1.484,4.973,-277300,-490978,136288,2094.8,4744.1,4093056649,4093.0566489999997
4100307670,147880,23.533,0.085,7.01,-280725,-484349,144792,2094.8,4744.1,4093057670,4093.0576699999997
4100308690,148900,24.112,-0.518,7.008,-279463,-486896,144784,2094.8,4744.1,4093058690,4093.05869
4100309711,149921,24.491,-0.591,6.024,-278636,-487202,140674,2094.8,4744.1,4093059711,4093.059711
4100310732,150942,24.834,-0.905,4.993,-277887,-488531,136374,2094.8,4744.1,4093060732,4093.060732
4100311753,151963,25.122,-1.723,3.896,-277258,-491987,131793,2094.8,4744.1,4093061753,4093.061753
4100312774,152984,25.422,-1.78,3.436,-276604,-492229,129875,2094.8,4744.1,4093062774,4093.062774
4100313795,154005,25.169,-1.637,4.624,-277157,-491625,134834,2094.8,4744.1,4093063795,4093.063795
4100314816,155026,24.199,-0.849,2.878,-279273,-488294,127545,2094.8,4744.1,4093064816,4093.0648159999996
4100315837,156047,25.419,-1.693,2.704,-276611,-491859,126821,2094.8,4744.1,4093065837,4093.0658369999996
4100316859,157069,26.062,-2.094,1.776,-275208,-493555,122948,2094.8,4744.1,4093066859,4093.066859
4100317881,158091,26.024,-2.517,3.667,-275290,-495344,130838,2094.8,4744.1,4093067881,4093.067881
4100318902,159112,24.372,-1.519,5.596,-278894,-491124,138890,2094.8,4744.1,4093068902,4093.068902
4100319924,160134,23.802,-1.305,6.145,-280139,-490220,141181,2094.8,4744.1,4093069924,4093.069924
4100320946,161156,23.949,-1.575,5.944,-279818,-491362,140340,2094.8,4744.1,4093070946,4093.070946
4100321968,162178,24.229,-1.775,6.9,-279206,-492206,144330,2094.8,4744.1,4093071968,4093.0719679999997
4100322989,163199,24.086,-1.566,5.4,-279519,-491324,138070,2094.8,4744.1,4093072989,4093.072989
4100324011,164221,24.381,-2.269,3.163,-278876,-494293,128737,2094.8,4744.1,4093074011,4093.0740109999997
4100325033,165243,24.722,-2.679,3.8,-278131,-496025,131396,2094.8,4744.1,4093075033,4093.0750329999996
4100326055,166265,24.349,-2.68,4.024,-278945,-496029,132330,2094.8,4744.1,4093076055,4093.076055
4100327077,167287,24.837,-3.276,3.25,-277880,-498551,129100,2094.8,4744.1,4093077077,4093.077077
4100328098,168308,24.363,-2.737,2.564,-278914,-496273,126234,2094.8,4744.1,4093078098,4093.078098
4100329120,169330,24.572,-3.067,4.692,-278459,-497667,135118,2094.8,4744.1,4093079120,4093.07912
4100330142,170352,23.171,-1.572,5.874,-281516,-491347,140048,2094.8,4744.1,4093080142,4093.080142
4100331164,171374,24.152,-2.476,5.944,-279375,-495168,140344,2094.8,4744.1,4093081164,4093.0811639999997
4100332186,172396,24.997,-3.271,8.566,-277531,-498527,151286,2094.8,4744.1,4093082186,4093.0821859999996
4100333207,173417,22.936,-0.846,8.214,-282029,-488282,149817,2094.8,4744.1,4093083207,4093.0832069999997
4100334229,174439,22.011,1.018,5.497,-284046,-480404,138477,2094.8,4744.1,4093084229,4093.0842289999996
4100335251,175461,23.16,-0.197,5.651,-281540,-485541,139119,2094.8,4744.1,4093085251,4093.085251
4100336273,176483,23.626,-1.037,4.265,-280523,-489088,133333,2094.8,4744.1,4093086273,4093.086273
4100337294,177504,24.82,-2.192,2.365,-277918,-493970,125404,2094.8,4744.1,4093087294,4093.087294
4100338316,178526,24.73,-2.172,2.539,-278114,-493886,126131,2094.8,4744.1,4093088316,4093.088316
4100339338,179548,22.945,-0.305,4.512,-282008,-485995,134367,2094.8,4744.1,4093089338,4093.0893379999998
4100340360,180570,23.908,-0.981,3.517,-279908,-488851,130212,2094.8,4744.1,4093090360,4093.0903599999997
4100341382,181592,25.1,-2.854,1.77,-277307,-496767,122922,2094.8,4744.1,4093091382,4093.0913819999996
4100342403,182613,25.013,-3.218,3.562,-277497,-498302,130400,2094.8,4744.1,4093092403,4093.0924029999996
4100343425,183635,24.525,-2.39,3.487,-278561,-494805,130088,2094.8,4744.1,4093093425,4093.093425
4100344447,184657,24.607,-2.586,2.164,-278382,-495635,124567,2094.8,4744.1,4093094447,4093.094447
4100345469,185679,24.504,-2.574,3.298,-278608,-495582,129299,2094.8,4744.1,4093095469,4093.095469
4100346491,186701,26.07,-3.759,2.032,-275190,-500591,124015,2094.8,4744.1,4093096491,4093.096491
4100347512,187722,25.354,-3.242,1.687,-276753,-498405,122577,2094.8,4744.1,4093097512,4093.097512
4100348534,188744,23.932,-1.62,3.009,-279856,-491553,128093,2094.8,4744.1,4093098534,4093.0985339999997
4100349556,189766,24.081,-1.505,3.17,-279529,-491065,128763,2094.8,4744.1,4093099556,4093.0995559999997
4100350578,190788,24.499,-1.745,3.151,-278617,-492081,128686,2094.8,4744.1,4093100578,4093.100578
4100351599,191809,23.62,-1.044,3.48,-280535,-489116,130058,2094.8,4744.1,4093101599,4093.1015989999996
4100352621,192831,22.769,-0.435,4.972,-282393,-486546,136286,2094.8,4744.1,4093102621,4093.102621
4100353643,193853,22.635,-0.014,5.316,-282684,-484765,137723,2094.8,4744.1,4093103643,4093.103643
4100354665,194875,23.208,-0.364,4.717,-281434,-486244,135220,2094.8,4744.1,4093104665,4093.104665
4100355687,195897,23.294,-0.851,4.318,-281248,-488304,133557,2094.8,4744.1,4093105687,4093.1056869999998
4100356708,196918,22.969,-0.88,4.64,-281955,-488424,134901,2094.8,4744.1,4093106708,4093.106708
4100357730,197940,23.309,-1.082,5.271,-281215,-489278,137533,2094.8,4744.1,4093107730,4093.1077299999997
