# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
148686640,0,1.924,-0.029,-0.064,-327860,-484830,115209,715.8,4757.3,141436640,141.43663999999998
148687390,750,1.926,-0.07,-0.162,-327857,-485001,114802,715.8,4757.3,141437390,141.43739
148688412,1772,2.066,-0.004,-0.091,-327551,-484724,115100,715.8,4757.3,141438412,141.438412
148689434,2794,2.089,-0.101,-0.135,-327501,-485132,114915,715.8,4757.3,141439434,141.439434
148690456,3816,2.178,-0.122,-0.071,-327307,-485221,115182,715.8,4757.3,141440456,141.44045599999998
148691477,4837,2.216,0.032,-0.18,-327223,-484571,114726,715.8,4757.3,141441477,141.441477
148692499,5859,2.239,-0.082,-0.084,-327172,-485052,115129,715.8,4757.3,141442499,141.442499
148693521,6881,2.293,-0.086,-0.178,-327055,-485071,114735,715.8,4757.3,141443521,141.443521
148694543,7903,2.295,-0.145,-0.159,-327051,-485321,114812,715.8,4757.3,141444543,141.44454299999998
148695564,8924,2.158,-0.107,-0.213,-327349,-485160,114589,715.8,4757.3,141445564,141.445564
148696586,9946,2.377,-0.118,-0.139,-326871,-485207,114899,715.8,4757.3,141446586,141.446586
148697608,10968,2.425,-0.127,-0.235,-326767,-485245,114497,715.8,4757.3,141447608,141.447608
148698630,11990,2.283,-0.123,-0.14,-327077,-485226,114892,715.8,4757.3,141448630,141.44862999999998
148699651,13011,2.602,-0.139,-0.111,-326380,-485293,115013,715.8,4757.3,141449651,141.449651
148700673,14033,2.502,-0.147,-0.141,-326599,-485326,114889,715.8,4757.3,141450673,141.450673
148701695,15055,2.534,-0.113,-0.09,-326529,-485183,115104,715.8,4757.3,141451695,141.451695
148702717,16077,2.589,-0.12,-0.079,-326409,-485215,115149,715.8,4757.3,141452717,141.452717
148703739,17099,2.684,-0.109,0.005,-326202,-485167,115498,715.8,4757.3,141453739,141.45373899999998
148704760,18120,2.758,-0.108,-0.127,-326040,-485164,114947,715.8,4757.3,141454760,141.45476
148705782,19142,2.794,-0.126,-0.027,-325963,-485239,115365,715.8,4757.3,141455782,141.455782
148706804,20164,2.869,-0.087,-0.121,-325798,-485076,114974,715.8,4757.3,141456804,141.456804
148707826,21186,3.082,-0.044,-0.063,-325335,-484894,115215,715.8,4757.3,141457826,141.45782599999998
148708848,22208,3.121,-0.075,-0.092,-325248,-485022,115094,715.8,4757.3,141458848,141.458848
148709869,23229,3.137,-0.153,0.012,-325215,-485351,115528,715.8,4757.3,141459869,141.459869
148710891,24251,3.203,-0.237,-0.067,-325070,-485707,115198,715.8,4757.3,141460891,141.460891
148711913,25273,3.201,-0.178,-0.062,-325074,-485458,115220,715.8,4757.3,141461913,141.46191299999998
148712935,26295,3.375,-0.214,-0.025,-324694,-485611,115372,715.8,4757.3,141462935,141.462935
148713956,27316,3.424,-0.16,0.083,-324588,-485384,115825,715.8,4757.3,141463956,141.463956
148714978,28338,3.574,-0.185,-0.014,-324260,-485490,115420,715.8,4757.3,141464978,141.464978
148716000,29360,3.588,-0.28,-0.033,-324230,-485888,115338,715.8,4757.3,141466000,141.46599999999998
148717022,30382,3.673,-0.176,-0.013,-324044,-485451,115422,715.8,4757.3,141467022,141.467022
148718043,31403,3.746,-0.173,0.031,-323885,-485438,115609,715.8,4757.3,141468043,141.468043
148719065,32425,3.841,-0.199,-0.008,-323679,-485546,115445,715.8,4757.3,141469065,141.469065
148720087,33447,3.724,-0.134,0.003,-323933,-485271,115491,715.8,4757.3,141470087,141.470087
148721109,34469,3.941,-0.12,0.047,-323460,-485214,115673,715.8,4757.3,141471109,141.47110899999998
148722131,35491,3.973,-0.214,-0.015,-323391,-485612,115417,715.8,4757.3,141472131,141.472131
148723152,36512,4.129,-0.183,-0.024,-323049,-485481,115378,715.8,4757.3,141473152,141.473152
148724174,37534,4.128,-0.169,-0.039,-323052,-485421,115314,715.8,4757.3,141474174,141.474174
148725196,38556,4.358,-0.122,0.097,-322551,-485223,115884,715.8,4757.3,141475196,141.47519599999998
148726218,39578,4.243,-0.142,0.121,-322801,-485306,115982,715.8,4757.3,141476218,141.476218
