# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4085665646,0,0.023,0.107,-0.017,-332035,-484255,115436,2123.1,5052.8,4078415646,4078.415646
4085666197,551,-0.066,0.007,0.092,-332230,-484675,115888,2123.1,5052.8,4078416197,4078.416197
4085667219,1573,0.04,0.104,0.054,-331997,-484268,115733,2123.1,5052.8,4078417219,4078.417219
4085668240,2594,-0.038,0.0,0.008,-332168,-484705,115538,2123.1,5052.8,4078418240,4078.41824
4085669262,3616,-0.089,0.12,0.086,-332278,-484200,115866,2123.1,5052.8,4078419262,4078.419262
4085670284,4638,0.068,0.147,0.007,-331936,-484087,115537,2123.1,5052.8,4078420284,4078.420284
4085671306,5660,0.031,0.104,0.044,-332018,-484266,115689,2123.1,5052.8,4078421306,4078.4213059999997
4085672327,6681,0.029,0.05,0.049,-332022,-484497,115710,2123.1,5052.8,4078422327,4078.4223269999998
4085673349,7703,-0.018,0.039,0.114,-332124,-484543,115981,2123.1,5052.8,4078423349,4078.4233489999997
4085674371,8725,-0.089,0.091,0.072,-332280,-484322,115805,2123.1,5052.8,4078424371,4078.4243709999996
4085675393,9747,0.029,0.06,0.024,-332021,-484455,115606,2123.1,5052.8,4078425393,4078.425393
4085676415,10769,0.081,0.043,0.058,-331909,-484524,115749,2123.1,5052.8,4078426415,4078.426415
4085677436,11790,0.026,-0.02,0.066,-332029,-484793,115783,2123.1,5052.8,4078427436,4078.427436
4085678458,12812,0.084,0.048,0.088,-331901,-484503,115872,2123.1,5052.8,4078428458,4078.428458
4085679480,13834,0.11,-0.034,-0.01,-331844,-484850,115463,2123.1,5052.8,4078429480,4078.42948
4085680502,14856,0.083,-0.042,0.047,-331904,-484885,115701,2123.1,5052.8,4078430502,4078.4305019999997
4085681523,15877,0.019,0.056,0.041,-332043,-484470,115675,2123.1,5052.8,4078431523,4078.4315229999997
4085682545,16899,0.152,0.034,-0.019,-331753,-484564,115428,2123.1,5052.8,4078432545,4078.4325449999997
4085683567,17921,-0.086,-0.008,0.04,-332272,-484742,115672,2123.1,5052.8,4078433567,4078.433567
4085684589,18943,-0.074,-0.038,-0.014,-332247,-484867,115449,2123.1,5052.8,4078434589,4078.434589
4085685611,19965,0.14,0.012,-0.005,-331780,-484658,115487,2123.1,5052.8,4078435611,4078.435611
4085686632,20986,-0.082,-0.022,-0.007,-332264,-484798,115478,2123.1,5052.8,4078436632,4078.436632
4085687654,22008,0.092,0.041,0.068,-331884,-484533,115789,2123.1,5052.8,4078437654,4078.437654
4085688676,23030,-0.023,-0.011,0.012,-332136,-484754,115555,2123.1,5052.8,4078438676,4078.4386759999998
4085689698,24052,0.007,-0.007,-0.01,-332070,-484735,115464,2123.1,5052.8,4078439698,4078.4396979999997
4085690719,25073,-0.046,0.047,0.1,-332186,-484506,115924,2123.1,5052.8,4078440719,4078.4407189999997
4085691741,26095,-0.026,0.044,0.06,-332142,-484522,115756,2123.1,5052.8,4078441741,4078.4417409999996
4085692763,27117,-0.01,0.084,0.054,-332106,-484350,115732,2123.1,5052.8,4078442763,4078.442763
4085693785,28139,-0.022,-0.005,0.001,-332132,-484727,115511,2123.1,5052.8,4078443785,4078.443785
4085694807,29161,-0.023,0.045,0.013,-332136,-484516,115561,2123.1,5052.8,4078444807,4078.444807
4085695828,30182,0.05,-0.01,0.078,-331975,-484749,115830,2123.1,5052.8,4078445828,4078.445828
4085696850,31204,-0.079,0.087,0.109,-332258,-484341,115959,2123.1,5052.8,4078446850,4078.44685
4085697872,32226,-0.043,0.007,-0.021,-332178,-484677,115417,2123.1,5052.8,4078447872,4078.4478719999997
4085698894,33248,0.067,0.042,0.055,-331938,-484528,115734,2123.1,5052.8,4078448894,4078.4488939999997
4085699915,34269,-0.101,0.015,0.028,-332306,-484645,115621,2123.1,5052.8,4078449915,4078.4499149999997
4085700937,35291,0.061,0.036,0.023,-331951,-484554,115603,2123.1,5052.8,4078450937,4078.4509369999996
4085701959,36313,-0.017,0.066,0.076,-332121,-484429,115822,2123.1,5052.8,4078451959,4078.451959
4085702981,37335,0.025,-0.069,0.008,-332031,-484997,115538,2123.1,5052.8,4078452981,4078.452981
4085704003,38357,-0.026,0.092,0.05,-332142,-484316,115714,2123.1,5052.8,4078454003,4078.454003
4085705036,39390,0.026,0.109,0.04,-332029,-484248,115673,2123.1,5052.8,4078455036,4078.455036
4085706112,40466,0.026,0.109,0.04,-332029,-484248,115673,2123.1,5052.8,4078456112,4078.456112
4085707177,41531,0.183,0.057,-0.008,-331673,-484467,115499,2123.1,5052.8,4078457177,4078.457177
4085708198,42552,-0.039,0.007,0.042,-332157,-484677,115708,2123.1,5052.8,4078458198,4078.458198
4085709219,43573,-0.069,0.009,-0.014,-332221,-484669,115477,2123.1,5052.8,4078459219,4078.459219
4085710239,44593,0.111,0.014,0.093,-331830,-484646,115924,2123.1,5052.8,4078460239,4078.460239
4085711260,45614,0.019,0.005,0.015,-332031,-484687,115595,2123.1,5052.8,4078461260,4078.46126
4085712281,46635,-0.019,-0.006,-0.003,-332112,-484733,115523,2123.1,5052.8,4078462281,4078.4622809999996
4085713302,47656,-0.008,-0.032,-0.026,-332088,-484840,115426,2123.1,5052.8,4078463302,4078.4633019999997
4085714323,48677,-0.013,0.036,-0.043,-332099,-484555,115354,2123.1,5052.8,4078464323,4078.4643229999997
4085715344,49698,0.017,0.077,0.017,-332034,-484380,115607,2123.1,5052.8,4078465344,4078.4653439999997
4085716365,50719,-0.068,0.033,0.046,-332219,-484566,115726,2123.1,5052.8,4078466365,4078.4663649999998
4085717386,51740,-0.099,-0.022,0.003,-332287,-484798,115545,2123.1,5052.8,4078467386,4078.467386
4085718407,52761,-0.017,0.073,-0.032,-332109,-484400,115401,2123.1,5052.8,4078468407,4078.468407
4085719427,53781,-0.103,0.019,0.035,-332297,-484625,115679,2123.1,5052.8,4078469427,4078.469427
4085720448,54802,0.014,0.07,0.008,-332041,-484412,115568,2123.1,5052.8,4078470448,4078.470448
4085721469,55823,-0.141,-0.002,-0.025,-332378,-484714,115429,2123.1,5052.8,4078471469,4078.4714689999996
4085722490,56844,-0.016,0.001,0.047,-332106,-484703,115729,2123.1,5052.8,4078472490,4078.4724899999997
4085723511,57865,-0.042,-0.006,-0.008,-332163,-484734,115500,2123.1,5052.8,4078473511,4078.4735109999997
4085724532,58886,-0.014,0.064,0.013,-332103,-484437,115588,2123.1,5052.8,4078474532,4078.4745319999997
4085725553,59907,-0.044,0.034,-0.052,-332167,-484563,115319,2123.1,5052.8,4078475553,4078.4755529999998
4085726574,60928,0.098,-0.012,-0.017,-331857,-484759,115464,2123.1,5052.8,4078476574,4078.476574
4085727595,61949,0.035,0.042,0.016,-331994,-484530,115600,2123.1,5052.8,4078477595,4078.477595
4085728616,62970,-0.091,0.002,-0.015,-332271,-484699,115472,2123.1,5052.8,4078478616,4078.478616
4085729636,63990,0.122,0.038,0.007,-331806,-484547,115564,2123.1,5052.8,4078479636,4078.479636
4085730657,65011,0.09,0.016,-0.019,-331876,-484639,115455,2123.1,5052.8,4078480657,4078.4806569999996
4085731678,66032,0.082,-0.017,-0.06,-331893,-484780,115283,2123.1,5052.8,4078481678,4078.4816779999996
4085732699,67053,0.07,0.015,-0.05,-331919,-484642,115325,2123.1,5052.8,4078482699,4078.4826989999997
4085733721,68075,0.088,0.044,0.034,-331880,-484522,115676,2123.1,5052.8,4078483721,4078.4837209999996
4085734743,69097,0.148,0.081,-0.094,-331748,-484364,115141,2123.1,5052.8,4078484743,4078.484743
4085735765,70119,0.16,0.014,-0.047,-331723,-484649,115336,2123.1,5052.8,4078485765,4078.485765
4085736786,71140,0.006,-0.054,-0.003,-332058,-484936,115521,2123.1,5052.8,4078486786,4078.486786
4085737808,72162,0.052,0.042,-0.036,-331959,-484530,115385,2123.1,5052.8,4078487808,4078.487808
4085738830,73184,0.154,0.024,0.047,-331735,-484605,115730,2123.1,5052.8,4078488830,4078.48883
4085739852,74206,0.149,0.017,-0.004,-331747,-484636,115518,2123.1,5052.8,4078489852,4078.4898519999997
4085740874,75228,0.123,0.036,-0.099,-331804,-484553,115123,2123.1,5052.8,4078490874,4078.4908739999996
4085741895,76249,0.093,0.062,-0.065,-331869,-484443,115262,2123.1,5052.8,4078491895,4078.4918949999997
4085742917,77271,0.16,0.015,-0.082,-331722,-484643,115191,2123.1,5052.8,4078492917,4078.492917
4085743939,78293,0.142,0.013,-0.056,-331762,-484653,115301,2123.1,5052.8,4078493939,4078.493939
4085744961,79315,0.007,-0.006,-0.019,-332057,-484730,115454,2123.1,5052.8,4078494961,4078.494961
4085745982,80336,0.175,-0.068,0.007,-331689,-484994,115563,2123.1,5052.8,4078495982,4078.495982
4085747004,81358,0.212,0.011,0.081,-331608,-484662,115874,2123.1,5052.8,4078497004,4078.497004
