# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
4069360082,0,-6.223,-0.157,0.032,-345775,-485556,115641,935.6,4738.2,4062110082,4062.1100819999997
4069361085,1003,-6.381,-0.237,-0.06,-346120,-485895,115256,935.6,4738.2,4062111085,4062.111085
4069362107,2025,-6.23,-0.155,-0.011,-345789,-485549,115461,935.6,4738.2,4062112107,4062.112107
4069363129,3047,-6.305,-0.142,0.009,-345954,-485496,115545,935.6,4738.2,4062113129,4062.113129
4069364151,4069,-6.392,-0.148,0.077,-346143,-485518,115826,935.6,4738.2,4062114151,4062.1141509999998
4069365172,5090,-6.285,-0.09,0.003,-345910,-485273,115518,935.6,4738.2,4062115172,4062.115172
4069366194,6112,-6.343,-0.143,0.111,-346036,-485499,115969,935.6,4738.2,4062116194,4062.1161939999997
4069367216,7134,-6.402,-0.161,0.025,-346166,-485576,115611,935.6,4738.2,4062117216,4062.1172159999996
4069368238,8156,-6.373,-0.327,0.0,-346101,-486277,115507,935.6,4738.2,4062118238,4062.118238
4069369259,9177,-6.46,-0.361,0.029,-346291,-486420,115627,935.6,4738.2,4062119259,4062.1192589999996
4069370281,10199,-6.356,-0.378,0.061,-346064,-486494,115759,935.6,4738.2,4062120281,4062.120281
4069371303,11221,-6.331,-0.237,0.038,-346010,-485898,115663,935.6,4738.2,4062121303,4062.121303
4069372325,12243,-6.506,-0.362,0.092,-346393,-486423,115892,935.6,4738.2,4062122325,4062.122325
4069373347,13265,-6.487,-0.319,-0.049,-346351,-486244,115299,935.6,4738.2,4062123347,4062.1233469999997
4069374368,14286,-6.444,-0.296,0.088,-346258,-486147,115875,935.6,4738.2,4062124368,4062.124368
4069375390,15308,-6.484,-0.358,0.078,-346344,-486407,115831,935.6,4738.2,4062125390,4062.1253899999997
4069376412,16330,-6.386,-0.313,0.027,-346131,-486218,115620,935.6,4738.2,4062126412,4062.1264119999996
