# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2880549034,0,0.846,-1.199,-0.733,-330306,-490218,112169,250.8,4572.0,2873299034,2873.2990339999997
2880549655,621,0.17,-1.049,-0.456,-331783,-489583,113327,250.8,4572.0,2873299655,2873.299655
2880550676,1642,-0.756,-0.525,-0.255,-333806,-487365,114169,250.8,4572.0,2873300676,2873.300676
2880551697,2663,-1.05,-0.237,0.018,-334447,-486148,115307,250.8,4572.0,2873301697,2873.301697
2880552718,3684,-1.311,0.059,0.1,-335018,-484897,115649,250.8,4572.0,2873302718,2873.302718
2880553738,4704,-1.317,-0.13,-0.134,-335032,-485697,114674,250.8,4572.0,2873303738,2873.303738
2880554759,5725,-1.324,-0.434,-0.206,-335046,-486981,114372,250.8,4572.0,2873304759,2873.3047589999996
2880555780,6746,-1.383,-0.112,0.068,-335176,-485619,115516,250.8,4572.0,2873305780,2873.3057799999997
2880556801,7767,-1.305,0.175,0.355,-335004,-484404,116715,250.8,4572.0,2873306801,2873.3068009999997
2880557822,8788,-1.208,0.461,0.448,-334793,-483195,117103,250.8,4572.0,2873307822,2873.3078219999998
2880558843,9809,-0.964,0.615,0.5,-334261,-482543,117322,250.8,4572.0,2873308843,2873.308843
2880559864,10830,-0.536,0.431,0.409,-333325,-483321,116944,250.8,4572.0,2873309864,2873.309864
2880560885,11851,-0.316,0.37,0.39,-332845,-483579,116864,250.8,4572.0,2873310885,2873.310885
2880561906,12872,-0.096,0.326,0.289,-332365,-483765,116440,250.8,4572.0,2873311906,2873.311906
2880562926,13892,0.311,0.327,0.365,-331476,-483761,116760,250.8,4572.0,2873312926,2873.312926
2880563947,14913,0.387,0.274,0.434,-331309,-483986,117048,250.8,4572.0,2873313947,2873.3139469999996
2880564968,15934,1.044,1.293,0.821,-329875,-479678,118662,250.8,4572.0,2873314968,2873.3149679999997
2880565989,16955,2.348,0.751,0.413,-327025,-481970,116958,250.8,4572.0,2873315989,2873.3159889999997
2880567010,17976,3.326,0.25,-0.128,-324890,-484090,114696,250.8,4572.0,2873317010,2873.3170099999998
2880568031,18997,2.726,-0.949,-0.479,-326199,-489162,113232,250.8,4572.0,2873318031,2873.318031
2880569052,20018,2.002,-0.863,-0.306,-327782,-488796,113955,250.8,4572.0,2873319052,2873.319052
2880570073,21039,1.341,-0.443,-0.147,-329225,-487019,114618,250.8,4572.0,2873320073,2873.320073
2880571094,22060,1.359,-0.122,0.047,-329187,-485661,115429,250.8,4572.0,2873321094,2873.321094
2880572114,23080,1.556,0.151,-0.055,-328756,-484506,115005,250.8,4572.0,2873322114,2873.322114
2880573135,24101,2.033,-0.19,-0.212,-327713,-485950,114348,250.8,4572.0,2873323135,2873.323135
2880574156,25122,2.383,-0.305,-0.26,-326949,-486437,114148,250.8,4572.0,2873324156,2873.3241559999997
2880575177,26143,2.508,-0.197,0.064,-326677,-485981,115500,250.8,4572.0,2873325177,2873.3251769999997
2880576198,27164,2.72,0.544,0.408,-326214,-482843,116936,250.8,4572.0,2873326198,2873.3261979999997
2880577219,28185,3.576,0.55,0.316,-324344,-482818,116552,250.8,4572.0,2873327219,2873.327219
2880578240,29206,3.207,-0.867,-0.526,-325150,-488812,113033,250.8,4572.0,2873328240,2873.32824
2880579261,30227,1.799,-0.941,-0.351,-328224,-489128,113768,250.8,4572.0,2873329261,2873.329261
2880580282,31248,0.896,-1.336,-0.493,-330197,-490797,113172,250.8,4572.0,2873330282,2873.330282
2880581302,32268,-0.085,-0.383,-0.16,-332340,-486765,114564,250.8,4572.0,2873331302,2873.331302
2880582323,33289,-0.038,-0.04,0.262,-332238,-485316,116327,250.8,4572.0,2873332323,2873.332323
2880583344,34310,0.527,1.073,0.56,-331004,-480607,117575,250.8,4572.0,2873333344,2873.3333439999997
2880584365,35331,1.83,0.102,-0.525,-328158,-484714,113038,250.8,4572.0,2873334365,2873.3343649999997
2880585386,36352,1.011,-1.587,-0.479,-329946,-491858,113232,250.8,4572.0,2873335386,2873.3353859999997
2880586407,37373,0.41,-0.624,-0.151,-331258,-487786,114602,250.8,4572.0,2873336407,2873.336407
2880587428,38394,-0.543,0.163,0.212,-333340,-484458,116118,250.8,4572.0,2873337428,2873.337428
2880588449,39415,-0.382,0.327,0.304,-332989,-483763,116502,250.8,4572.0,2873338449,2873.338449
2880589469,40435,-0.53,0.617,0.331,-333312,-482536,116614,250.8,4572.0,2873339469,2873.339469
2880590490,41456,-0.228,-0.133,-0.117,-332652,-485707,114744,250.8,4572.0,2873340490,2873.34049
2880591511,42477,-0.204,-0.155,-0.212,-332601,-485803,114349,250.8,4572.0,2873341511,2873.341511
2880592532,43498,-0.217,-0.014,0.325,-332629,-485205,116591,250.8,4572.0,2873342532,2873.3425319999997
2880593553,44519,0.572,1.677,0.917,-330906,-478053,119066,250.8,4572.0,2873343553,2873.3435529999997
2880594574,45540,1.994,1.865,1.009,-327798,-477256,119449,250.8,4572.0,2873344574,2873.3445739999997
2880595595,46561,3.719,1.429,0.694,-324032,-479102,118131,250.8,4572.0,2873345595,2873.345595
2880596616,47582,4.605,0.136,-0.161,-322095,-484571,114558,250.8,4572.0,2873346616,2873.346616
2880597637,48603,3.476,-1.444,-0.453,-324561,-491256,113338,250.8,4572.0,2873347637,2873.347637
2880598658,49624,2.495,-0.669,-0.081,-326704,-487977,114893,250.8,4572.0,2873348658,2873.348658
2880599678,50644,2.059,0.314,0.328,-327657,-483816,116604,250.8,4572.0,2873349678,2873.349678
2880600699,51665,2.751,0.834,0.49,-326145,-481620,117280,250.8,4572.0,2873350699,2873.350699
2880601720,52686,4.404,0.902,0.124,-322534,-481332,115753,250.8,4572.0,2873351720,2873.3517199999997
2880602741,53707,5.14,-0.882,-1.079,-320928,-488879,110722,250.8,4572.0,2873352741,2873.3527409999997
2880603762,54728,3.515,-3.069,-1.604,-324477,-498128,108529,250.8,4572.0,2873353762,2873.3537619999997
2880604783,55749,1.69,-1.952,-0.879,-328463,-493403,111560,250.8,4572.0,2873354783,2873.3547829999998
2880605804,56770,0.203,-0.449,-0.082,-331710,-487046,114889,250.8,4572.0,2873355804,2873.355804
2880606825,57791,0.684,1.148,0.589,-330661,-480288,117696,250.8,4572.0,2873356825,2873.356825
2880607846,58812,2.3,1.759,0.512,-327130,-477704,117371,250.8,4572.0,2873357846,2873.357846
2880608867,59833,4.199,0.859,-0.144,-322982,-481513,114632,250.8,4572.0,2873358867,2873.358867
2880609887,60853,4.542,-0.938,-0.697,-322234,-489112,112322,250.8,4572.0,2873359887,2873.359887
2880610908,61874,3.545,-0.767,-0.049,-324411,-488391,115027,250.8,4572.0,2873360908,2873.3609079999997
2880611929,62895,2.71,0.293,0.577,-326235,-483907,117644,250.8,4572.0,2873361929,2873.3619289999997
2880612950,63916,3.111,2.002,1.058,-325359,-476679,119652,250.8,4572.0,2873362950,2873.3629499999997
2880613971,64937,4.632,2.359,0.956,-322036,-475168,119229,250.8,4572.0,2873363971,2873.3639709999998
2880614992,65958,6.351,1.622,0.276,-318282,-478283,116385,250.8,4572.0,2873364992,2873.364992
2880616013,66979,7.279,0.504,-0.391,-316256,-483012,113600,250.8,4572.0,2873366013,2873.366013
2880617034,68000,7.234,-0.754,-0.615,-316354,-488336,112664,250.8,4572.0,2873367034,2873.367034
2880618054,69020,5.956,-0.818,-0.254,-319144,-488605,114172,250.8,4572.0,2873368054,2873.368054
2880619075,70041,5.132,-0.225,0.094,-320944,-486096,115626,250.8,4572.0,2873369075,2873.369075
2880620096,71062,5.247,0.813,0.241,-320693,-481708,116242,250.8,4572.0,2873370096,2873.3700959999996
2880621117,72083,6.313,0.934,-0.024,-318366,-481196,115131,250.8,4572.0,2873371117,2873.3711169999997
2880622138,73104,7.45,0.347,-0.35,-315881,-483678,113769,250.8,4572.0,2873372138,2873.3721379999997
2880623159,74125,7.843,-0.424,-0.603,-315024,-486940,112715,250.8,4572.0,2873373159,2873.3731589999998
2880624180,75146,7.429,-1.343,-0.653,-315928,-490827,112502,250.8,4572.0,2873374180,2873.37418
2880625201,76167,6.244,-1.359,-0.335,-318515,-490896,113831,250.8,4572.0,2873375201,2873.375201
2880626222,77188,5.438,-0.367,0.014,-320277,-486700,115290,828.6,5029.0,2873376222,2873.376222
2880627242,78208,5.582,0.723,0.48,-319962,-482086,117237,828.6,5029.0,2873377242,2873.377242
2880628263,79229,6.577,1.368,0.434,-317788,-479359,117045,828.6,5029.0,2873378263,2873.378263
2880629284,80250,8.023,0.965,0.191,-314630,-481062,116032,828.6,5029.0,2873379284,2873.3792839999996
2880630305,81271,8.88,0.301,-0.004,-312758,-483871,115214,828.6,5029.0,2873380305,2873.3803049999997
2880631326,82292,8.602,-0.279,-0.079,-313365,-486325,114901,828.6,5029.0,2873381326,2873.3813259999997
2880632347,83313,8.26,-0.403,-0.027,-314113,-486850,115121,828.6,5029.0,2873382347,2873.3823469999998
2880633368,84334,7.727,0.113,0.321,-315277,-484669,116573,828.6,5029.0,2873383368,2873.383368
2880634389,85355,7.944,0.706,0.623,-314802,-482160,117838,828.6,5029.0,2873384389,2873.384389
2880635409,86375,8.814,0.917,0.688,-312903,-481266,118109,828.6,5029.0,2873385409,2873.385409
2880636431,87397,9.519,0.578,0.495,-311363,-482699,117301,828.6,5029.0,2873386431,2873.386431
2880637451,88417,10.186,-0.172,0.268,-309906,-485873,116352,828.6,5029.0,2873387451,2873.387451
2880638472,89438,10.082,-0.624,0.257,-310134,-487787,116305,828.6,5029.0,2873388472,2873.388472
2880639493,90459,9.551,-0.705,0.28,-311292,-488129,116402,828.6,5029.0,2873389493,2873.3894929999997
2880640526,91492,9.378,-0.469,0.444,-311670,-487131,117090,828.6,5029.0,2873390526,2873.3905259999997
2880641601,92567,9.378,-0.469,0.444,-311670,-487131,117090,828.6,5029.0,2873391601,2873.391601
2880642666,93632,10.057,0.087,0.337,-310188,-484780,116641,828.6,5029.0,2873392666,2873.3926659999997
2880643687,94653,10.742,-0.269,0.227,-308691,-486283,116181,828.6,5029.0,2873393687,2873.3936869999998
2880644708,95674,10.846,-0.648,0.121,-308464,-487887,115737,828.6,5029.0,2873394708,2873.394708
2880645729,96695,10.679,-0.764,0.214,-308828,-488378,116128,828.6,5029.0,2873395729,2873.395729
2880646750,97716,10.303,-0.627,0.228,-309650,-487799,116184,828.6,5029.0,2873396750,2873.39675
2880647771,98737,10.235,-0.218,0.355,-309799,-486068,116718,828.6,5029.0,2873397771,2873.397771
2880648791,99757,10.294,-0.008,0.482,-309669,-485180,117249,828.6,5029.0,2873398791,2873.398791
2880649812,100778,10.705,-0.029,0.595,-308772,-485270,117721,828.6,5029.0,2873399812,2873.3998119999997
2880650833,101799,10.95,-0.324,0.56,-308238,-486517,117573,828.6,5029.0,2873400833,2873.4008329999997
2880651854,102820,11.165,-0.499,0.709,-307768,-487258,118196,828.6,5029.0,2873401854,2873.4018539999997
2880652875,103841,10.969,-0.503,0.582,-308196,-487273,117666,828.6,5029.0,2873402875,2873.4028749999998
2880653896,104862,10.87,-0.454,0.486,-308412,-487066,117262,828.6,5029.0,2873403896,2873.403896
