# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2618259484,0,-0.029,-0.042,0.012,-332163,-485142,115451,615.4,4719.0,2611009484,2611.0094839999997
2618260289,805,-0.06,-0.021,0.043,-332231,-485052,115582,615.4,4719.0,2611010289,2611.010289
2618261310,1826,-0.121,-0.011,-0.026,-332364,-485011,115296,615.4,4719.0,2611011310,2611.01131
2618262331,2847,-0.056,0.002,0.012,-332223,-484955,115454,615.4,4719.0,2611012331,2611.012331
2618263352,3868,0.055,-0.002,-0.04,-331980,-484973,115235,615.4,4719.0,2611013352,2611.013352
2618264373,4889,0.013,0.001,-0.039,-332071,-484959,115238,615.4,4719.0,2611014373,2611.014373
2618265394,5910,-0.057,0.106,-0.024,-332225,-484517,115302,615.4,4719.0,2611015394,2611.015394
2618266414,6930,-0.039,-0.02,-0.036,-332186,-485050,115253,615.4,4719.0,2611016414,2611.0164139999997
2618267435,7951,-0.009,-0.013,-0.01,-332121,-485018,115359,615.4,4719.0,2611017435,2611.0174349999998
2618268456,8972,-0.072,-0.071,0.05,-332258,-485263,115612,615.4,4719.0,2611018456,2611.018456
2618269477,9993,-0.011,0.015,0.032,-332125,-484901,115536,615.4,4719.0,2611019477,2611.019477
2618270498,11014,0.02,-0.002,0.045,-332056,-484971,115592,615.4,4719.0,2611020498,2611.020498
2618271520,12036,-0.032,-0.014,0.07,-332171,-485025,115696,615.4,4719.0,2611021520,2611.02152
2618272542,13058,-0.085,-0.022,-0.031,-332286,-485059,115273,615.4,4719.0,2611022542,2611.0225419999997
2618273564,14080,-0.116,-0.041,0.004,-332354,-485138,115418,615.4,4719.0,2611023564,2611.023564
2618274597,15113,0.002,0.019,0.028,-332095,-484884,115519,615.4,4719.0,2611024597,2611.024597
2618275673,16189,0.002,0.019,0.028,-332095,-484884,115519,615.4,4719.0,2611025673,2611.025673
2618276738,17254,-0.166,0.076,-0.009,-332462,-484641,115335,615.4,4719.0,2611026738,2611.026738
2618277758,18274,0.055,0.032,0.01,-331980,-484830,115414,615.4,4719.0,2611027758,2611.0277579999997
2618278779,19295,-0.139,-0.07,0.028,-332404,-485262,115491,615.4,4719.0,2611028779,2611.0287789999998
2618279800,20316,-0.093,0.076,-0.024,-332303,-484643,115275,615.4,4719.0,2611029800,2611.0298
2618280821,21337,-0.052,-0.016,-0.018,-332214,-485031,115301,615.4,4719.0,2611030821,2611.030821
2618281842,22358,-0.111,-0.047,0.029,-332343,-485164,115494,615.4,4719.0,2611031842,2611.031842
2618282863,23379,-0.009,-0.033,-0.006,-332119,-485104,115348,615.4,4719.0,2611032863,2611.032863
2618283884,24400,0.018,0.1,0.018,-332062,-484542,115449,615.4,4719.0,2611033884,2611.033884
2618284905,25421,-0.027,-0.026,-0.008,-332159,-485076,115343,615.4,4719.0,2611034905,2611.034905
2618285926,26442,-0.056,-0.052,0.074,-332223,-485185,115684,615.4,4719.0,2611035926,2611.035926
2618286946,27462,0.049,0.011,-0.007,-331994,-484916,115346,615.4,4719.0,2611036946,2611.0369459999997
2618287967,28483,-0.159,-0.015,0.039,-332447,-485028,115536,615.4,4719.0,2611037967,2611.0379669999998
2618288988,29504,0.084,0.011,0.076,-331916,-484916,115693,615.4,4719.0,2611038988,2611.038988
2618290009,30525,-0.116,0.038,-0.01,-332354,-484802,115333,615.4,4719.0,2611040009,2611.040009
2618291030,31546,0.018,-0.006,0.083,-332061,-484990,115719,615.4,4719.0,2611041030,2611.04103
2618292051,32567,0.015,-0.034,0.039,-332067,-485108,115539,615.4,4719.0,2611042051,2611.042051
2618293072,33588,-0.007,-0.005,-0.031,-332115,-484984,115245,615.4,4719.0,2611043072,2611.043072
2618294093,34609,-0.023,-0.005,-0.021,-332150,-484986,115286,615.4,4719.0,2611044093,2611.044093
2618295114,35630,0.003,0.003,-0.065,-332093,-484951,115101,615.4,4719.0,2611045114,2611.045114
2618296135,36651,-0.019,-0.079,-0.072,-332142,-485300,115072,615.4,4719.0,2611046135,2611.046135
2618297155,37671,-0.053,-0.037,-0.019,-332217,-485119,115297,615.4,4719.0,2611047155,2611.0471549999997
2618298176,38692,-0.011,-0.034,-0.131,-332124,-485109,114827,615.4,4719.0,2611048176,2611.048176
2618299197,39713,0.041,0.004,-0.014,-332011,-484947,115317,615.4,4719.0,2611049197,2611.049197
2618300218,40734,-0.001,-0.026,0.009,-332103,-485072,115411,615.4,4719.0,2611050218,2611.050218
2618301239,41755,0.04,-0.018,0.026,-332013,-485042,115481,615.4,4719.0,2611051239,2611.051239
2618302260,42776,0.133,0.019,-0.05,-331810,-484884,115164,615.4,4719.0,2611052260,2611.05226
2618303282,43798,-0.021,0.016,-0.095,-332147,-484898,114978,615.4,4719.0,2611053282,2611.053282
2618304303,44819,-0.054,0.011,0.027,-332219,-484917,115486,615.4,4719.0,2611054303,2611.054303
2618305325,45841,-0.04,-0.052,0.045,-332187,-485183,115564,615.4,4719.0,2611055325,2611.055325
2618306347,46863,-0.045,0.03,-0.048,-332199,-484838,115174,615.4,4719.0,2611056347,2611.0563469999997
2618307369,47885,-0.02,-0.056,-0.012,-332143,-485202,115325,615.4,4719.0,2611057369,2611.057369
2618308391,48907,0.001,0.086,0.035,-332097,-484599,115522,615.4,4719.0,2611058391,2611.058391
2618309412,49928,0.045,-0.066,0.065,-332001,-485244,115647,615.4,4719.0,2611059412,2611.059412
2618310434,50950,-0.085,-0.013,0.004,-332285,-485020,115393,615.4,4719.0,2611060434,2611.060434
2618311456,51972,-0.071,0.015,0.085,-332256,-484899,115730,615.4,4719.0,2611061456,2611.061456
2618312478,52994,-0.162,0.02,0.035,-332454,-484878,115522,615.4,4719.0,2611062478,2611.062478
2618313499,54015,0.039,-0.026,-0.027,-332015,-485076,115262,615.4,4719.0,2611063499,2611.063499
2618314521,55037,0.057,-0.079,0.026,-331975,-485297,115481,615.4,4719.0,2611064521,2611.064521
2618315543,56059,0.007,-0.01,-0.034,-332086,-485007,115231,615.4,4719.0,2611065543,2611.0655429999997
2618316565,57081,0.106,0.019,0.01,-331869,-484885,115418,615.4,4719.0,2611066565,2611.066565
2618317586,58102,0.007,0.13,0.05,-332085,-484414,115582,615.4,4719.0,2611067586,2611.0675859999997
2618318608,59124,-0.041,-0.012,0.092,-332190,-485017,115757,615.4,4719.0,2611068608,2611.068608
2618319630,60146,0.094,0.051,0.002,-331896,-484750,115384,615.4,4719.0,2611069630,2611.06963
2618320652,61168,-0.048,-0.045,0.034,-332205,-485155,115516,615.4,4719.0,2611070652,2611.070652
2618321674,62190,-0.067,-0.069,0.073,-332246,-485256,115680,615.4,4719.0,2611071674,2611.071674
2618322695,63211,0.005,-0.018,0.022,-332090,-485039,115466,615.4,4719.0,2611072695,2611.072695
2618323717,64233,-0.046,0.015,0.028,-332201,-484899,115491,615.4,4719.0,2611073717,2611.0737169999998
2618324739,65255,0.052,-0.029,0.003,-331986,-485087,115388,615.4,4719.0,2611074739,2611.0747389999997
2618325761,66277,-0.021,0.0,0.042,-332146,-484963,115548,615.4,4719.0,2611075761,2611.075761
2618326782,67298,0.012,-0.116,0.064,-332074,-485453,115640,615.4,4719.0,2611076782,2611.076782
2618327804,68320,0.083,-0.047,0.051,-331920,-485161,115589,615.4,4719.0,2611077804,2611.077804
2618328826,69342,0.04,0.042,0.038,-332013,-484787,115532,615.4,4719.0,2611078826,2611.078826
2618329848,70364,-0.088,0.04,0.093,-332292,-484797,115763,615.4,4719.0,2611079848,2611.079848
2618330870,71386,-0.066,0.015,0.028,-332244,-484901,115493,615.4,4719.0,2611080870,2611.08087
2618331891,72407,-0.094,0.019,-0.007,-332306,-484884,115345,615.4,4719.0,2611081891,2611.081891
2618332913,73429,0.076,0.032,0.122,-331935,-484828,115885,615.4,4719.0,2611082913,2611.0829129999997
2618333935,74451,0.003,-0.013,0.031,-332093,-485020,115503,615.4,4719.0,2611083935,2611.0839349999997
2618334957,75473,-0.117,0.031,0.098,-332356,-484833,115782,615.4,4719.0,2611084957,2611.084957
2618335978,76494,-0.068,-0.017,0.085,-332248,-485037,115729,615.4,4719.0,2611085978,2611.085978
2618337000,77516,0.059,0.137,0.024,-331971,-484387,115474,615.4,4719.0,2611087000,2611.087
2618338022,78538,-0.059,0.017,0.048,-332229,-484894,115575,615.4,4719.0,2611088022,2611.088022
2618339044,79560,0.057,0.005,0.016,-331975,-484943,115441,615.4,4719.0,2611089044,2611.089044
2618340065,80581,-0.137,0.065,-0.023,-332400,-484688,115278,615.4,4719.0,2611090065,2611.090065
2618341087,81603,-0.064,0.056,0.061,-332239,-484726,115628,615.4,4719.0,2611091087,2611.091087
2618342109,82625,-0.048,0.032,0.045,-332204,-484828,115561,615.4,4719.0,2611092109,2611.0921089999997
2618343131,83647,-0.135,0.011,0.056,-332395,-484918,115610,615.4,4719.0,2611093131,2611.093131
2618344152,84668,-0.004,0.026,0.114,-332108,-484853,115852,615.4,4719.0,2611094152,2611.0941519999997
2618345174,85690,-0.039,0.073,0.039,-332185,-484657,115538,615.4,4719.0,2611095174,2611.095174
2618346196,86712,-0.047,0.055,0.083,-332203,-484733,115722,615.4,4719.0,2611096196,2611.096196
2618347218,87734,-0.006,0.009,-0.021,-332113,-484927,115285,615.4,4719.0,2611097218,2611.097218
2618348239,88755,0.015,0.03,0.013,-332067,-484838,115430,615.4,4719.0,2611098239,2611.098239
2618349261,89777,-0.1,-0.063,0.019,-332318,-485231,115454,615.4,4719.0,2611099261,2611.099261
2618350283,90799,-0.136,-0.018,0.136,-332398,-485041,115943,615.4,4719.0,2611100283,2611.1002829999998
2618351305,91821,-0.008,0.006,0.109,-332118,-484940,115830,615.4,4719.0,2611101305,2611.1013049999997
2618352327,92843,-0.025,0.032,0.067,-332154,-484827,115654,615.4,4719.0,2611102327,2611.102327
2618353348,93864,0.031,0.048,0.075,-332033,-484763,115688,615.4,4719.0,2611103348,2611.103348
2618354370,94886,0.024,0.023,0.073,-332047,-484867,115680,615.4,4719.0,2611104370,2611.10437
2618355392,95908,-0.117,0.025,0.075,-332356,-484858,115689,615.4,4719.0,2611105392,2611.105392
2618356414,96930,0.007,-0.003,0.061,-332084,-484975,115630,615.4,4719.0,2611106414,2611.106414
2618357436,97952,0.027,0.016,0.096,-332041,-484896,115776,615.4,4719.0,2611107436,2611.107436
2618358457,98973,-0.041,0.004,0.042,-332189,-484949,115551,615.4,4719.0,2611108457,2611.108457
2618359479,99995,0.039,-0.001,0.038,-332015,-484967,115535,615.4,4719.0,2611109479,2611.1094789999997
2618360501,101017,-0.075,0.058,0.066,-332265,-484721,115648,615.4,4719.0,2611110501,2611.1105009999997
2618361522,102038,0.036,0.013,0.023,-332021,-484911,115470,615.4,4719.0,2611111522,2611.1115219999997
2618362544,103060,-0.167,0.036,0.055,-332464,-484813,115606,615.4,4719.0,2611112544,2611.112544
2618363566,104082,-0.009,0.041,0.021,-332121,-484790,115463,615.4,4719.0,2611113566,2611.113566
2618364588,105104,-0.016,0.075,0.077,-332135,-484648,115694,615.4,4719.0,2611114588,2611.114588
2618365610,106126,-0.134,0.065,0.064,-332392,-484689,115642,615.4,4719.0,2611115610,2611.11561
2618366631,107147,-0.037,0.049,0.117,-332180,-484759,115865,615.4,4719.0,2611116631,2611.116631
2618367653,108169,-0.1,0.021,0.065,-332319,-484874,115645,615.4,4719.0,2611117653,2611.117653
2618368675,109191,-0.129,0.035,0.059,-332382,-484817,115621,615.4,4719.0,2611118675,2611.1186749999997
2618369697,110213,-0.109,0.032,0.035,-332338,-484828,115522,615.4,4719.0,2611119697,2611.119697
2618370718,111234,-0.139,0.064,-0.03,-332404,-484693,115249,615.4,4719.0,2611120718,2611.1207179999997
2618371740,112256,-0.131,0.073,0.077,-332387,-484654,115696,615.4,4719.0,2611121740,2611.12174
2618372762,113278,0.07,0.041,0.129,-331947,-484789,115915,615.4,4719.0,2611122762,2611.122762
2618373784,114300,-0.159,-0.004,0.052,-332448,-484982,115592,615.4,4719.0,2611123784,2611.123784
2618374805,115321,-0.065,0.022,-0.008,-332242,-484871,115339,615.4,4719.0,2611124805,2611.124805
2618375827,116343,0.116,0.072,0.034,-331847,-484661,115517,615.4,4719.0,2611125827,2611.125827
2618376849,117365,-0.033,0.08,0.057,-332173,-484628,115611,615.4,4719.0,2611126849,2611.1268489999998
2618377871,118387,0.045,0.025,0.043,-332002,-484858,115554,615.4,4719.0,2611127871,2611.1278709999997
2618378904,119420,0.128,0.072,0.069,-331821,-484658,115663,615.4,4719.0,2611128904,2611.1289039999997
2618379981,120497,0.128,0.072,0.069,-331821,-484658,115663,615.4,4719.0,2611129981,2611.129981
2618381046,121562,0.052,-0.03,0.038,-331986,-485054,115532,615.4,4719.0,2611131046,2611.131046
2618382066,122582,0.015,0.036,0.035,-332068,-484777,115522,615.4,4719.0,2611132066,2611.1320659999997
2618383087,123603,-0.067,0.026,-0.068,-332247,-484818,115090,615.4,4719.0,2611133087,2611.1330869999997
2618384108,124624,0.095,-0.03,0.118,-331892,-485056,115867,615.4,4719.0,2611134108,2611.1341079999997
2618385129,125645,-0.064,-0.058,0.07,-332240,-485171,115667,615.4,4719.0,2611135129,2611.135129
2618386150,126666,0.033,0.033,0.124,-332028,-484787,115894,615.4,4719.0,2611136150,2611.13615
2618387171,127687,-0.123,-0.07,0.124,-332368,-485222,115894,615.4,4719.0,2611137171,2611.137171
2618388192,128708,-0.025,0.001,0.041,-332154,-484923,115547,615.4,4719.0,2611138192,2611.138192
2618389213,129729,0.075,0.119,0.1,-331937,-484425,115794,615.4,4719.0,2611139213,2611.139213
2618390233,130749,-0.109,0.056,0.123,-332339,-484690,115888,615.4,4719.0,2611140233,2611.140233
2618391254,131770,-0.187,0.057,0.134,-332508,-484685,115932,615.4,4719.0,2611141254,2611.1412539999997
2618392275,132791,-0.093,0.026,0.092,-332304,-484819,115757,615.4,4719.0,2611142275,2611.1422749999997
2618393296,133812,-0.16,-0.067,0.069,-332450,-485211,115663,615.4,4719.0,2611143296,2611.1432959999997
2618394317,134833,-0.054,0.034,0.069,-332218,-484784,115664,615.4,4719.0,2611144317,2611.144317
2618395338,135854,-0.068,-0.033,0.039,-332248,-485067,115539,615.4,4719.0,2611145338,2611.145338
2618396359,136875,-0.144,0.002,0.142,-332415,-484919,115967,615.4,4719.0,2611146359,2611.146359
2618397380,137896,-0.05,-0.001,0.057,-332210,-484933,115614,615.4,4719.0,2611147380,2611.14738
2618398401,138917,-0.094,-0.002,0.068,-332306,-484935,115660,615.4,4719.0,2611148401,2611.148401
2618399421,139937,-0.068,-0.009,0.013,-332249,-484967,115429,615.4,4719.0,2611149421,2611.149421
2618400442,140958,-0.093,0.071,0.055,-332303,-484628,115603,615.4,4719.0,2611150442,2611.1504419999997
2618401463,141979,-0.042,0.024,0.105,-332191,-484826,115813,615.4,4719.0,2611151463,2611.1514629999997
2618402484,143000,-0.078,0.012,0.007,-332271,-484876,115405,615.4,4719.0,2611152484,2611.1524839999997
2618403505,144021,0.0,0.004,0.028,-332100,-484912,115490,615.4,4719.0,2611153505,2611.1535049999998
2618404526,145042,-0.114,0.045,-0.004,-332349,-484736,115357,615.4,4719.0,2611154526,2611.154526
2618405547,146063,-0.1,-0.048,0.003,-332319,-485131,115388,615.4,4719.0,2611155547,2611.155547
2618406567,147083,-0.037,-0.034,0.066,-332181,-485070,115652,615.4,4719.0,2611156567,2611.156567
2618407589,148105,-0.08,-0.003,0.016,-332274,-484939,115440,615.4,4719.0,2611157589,2611.157589
2618408611,149127,0.068,0.027,0.088,-331952,-484814,115742,615.4,4719.0,2611158611,2611.158611
2618409632,150148,0.04,-0.108,0.111,-332013,-485384,115838,615.4,4719.0,2611159632,2611.159632
2618410654,151170,-0.038,0.053,0.076,-332183,-484704,115690,615.4,4719.0,2611160654,2611.160654
2618411676,152192,0.093,0.004,0.099,-331898,-484910,115786,615.4,4719.0,2611161676,2611.1616759999997
2618412698,153214,0.026,-0.059,0.022,-332044,-485177,115468,615.4,4719.0,2611162698,2611.162698
2618413719,154235,-0.016,-0.015,0.094,-332136,-484992,115766,615.4,4719.0,2611163719,2611.1637189999997
2618414741,155257,-0.02,0.062,-0.021,-332145,-484665,115288,615.4,4719.0,2611164741,2611.164741
2618415763,156279,-0.09,-0.004,0.055,-332297,-484946,115604,615.4,4719.0,2611165763,2611.165763
2618416785,157301,-0.086,-0.074,-0.018,-332287,-485242,115301,615.4,4719.0,2611166785,2611.166785
2618417807,158323,-0.046,-0.053,0.069,-332201,-485152,115662,615.4,4719.0,2611167807,2611.167807
2618418828,159344,-0.038,-0.03,-0.029,-332184,-485053,115254,615.4,4719.0,2611168828,2611.168828
2618419850,160366,-0.067,-0.017,-0.063,-332246,-485001,115113,615.4,4719.0,2611169850,2611.1698499999998
2618420872,161388,-0.069,-0.011,-0.011,-332250,-484973,115327,615.4,4719.0,2611170872,2611.1708719999997
2618421894,162410,-0.265,-0.088,0.008,-332679,-485298,115407,615.4,4719.0,2611171894,2611.171894
2618422915,163431,-0.074,0.011,-0.02,-332261,-484881,115290,615.4,4719.0,2611172915,2611.172915
2618423937,164453,-0.104,0.033,-0.019,-332328,-484788,115293,615.4,4719.0,2611173937,2611.173937
2618424959,165475,-0.082,0.027,0.001,-332280,-484812,115377,615.4,4719.0,2611174959,2611.174959
2618425981,166497,-0.163,0.012,-0.001,-332456,-484875,115372,615.4,4719.0,2611175981,2611.175981
2618427002,167518,-0.181,0.051,0.05,-332496,-484714,115583,615.4,4719.0,2611177002,2611.177002
2618428024,168540,-0.117,0.037,0.043,-332355,-484770,115554,615.4,4719.0,2611178024,2611.178024
2618429046,169562,-0.093,-0.011,0.024,-332303,-484974,115475,615.4,4719.0,2611179046,2611.1790459999997
2618430068,170584,-0.081,-0.044,0.041,-332278,-485116,115546,615.4,4719.0,2611180068,2611.1800679999997
2618431090,171606,0.043,0.054,-0.089,-332006,-484701,115002,615.4,4719.0,2611181090,2611.18109
2618432111,172627,-0.047,-0.093,-0.009,-332203,-485322,115335,615.4,4719.0,2611182111,2611.182111
2618433133,173649,-0.135,-0.004,0.059,-332395,-484945,115622,615.4,4719.0,2611183133,2611.183133
2618434155,174671,0.064,-0.067,0.044,-331960,-485212,115560,615.4,4719.0,2611184155,2611.184155
2618435177,175693,0.004,-0.027,-0.05,-332091,-485044,115167,615.4,4719.0,2611185177,2611.185177
2618436198,176714,-0.042,-0.042,-0.065,-332191,-485106,115103,615.4,4719.0,2611186198,2611.186198
2618437220,177736,0.02,-0.02,-0.024,-332056,-485013,115274,615.4,4719.0,2611187220,2611.18722
2618438242,178758,-0.117,-0.053,-0.021,-332356,-485153,115285,615.4,4719.0,2611188242,2611.1882419999997
2618439264,179780,0.065,0.021,-0.05,-331959,-484838,115165,615.4,4719.0,2611189264,2611.189264
2618440285,180801,-0.018,-0.012,-0.003,-332139,-484980,115362,615.4,4719.0,2611190285,2611.1902849999997
2618441307,181823,-0.045,-0.031,-0.009,-332199,-485057,115338,615.4,4719.0,2611191307,2611.191307
2618442329,182845,0.047,0.015,-0.007,-331998,-484865,115344,615.4,4719.0,2611192329,2611.192329
2618443351,183867,-0.086,-0.09,0.01,-332288,-485309,115418,615.4,4719.0,2611193351,2611.193351
2618444373,184889,-0.216,-0.01,-0.083,-332572,-484969,115027,615.4,4719.0,2611194373,2611.194373
2618445394,185910,-0.082,-0.078,0.007,-332279,-485259,115405,615.4,4719.0,2611195394,2611.195394
2618446416,186932,-0.14,-0.019,-0.052,-332405,-485009,115156,615.4,4719.0,2611196416,2611.1964159999998
2618447438,187954,-0.09,0.029,-0.056,-332296,-484804,115140,615.4,4719.0,2611197438,2611.1974379999997
2618448460,188976,-0.047,0.037,0.016,-332203,-484771,115440,615.4,4719.0,2611198460,2611.19846
2618449481,189997,-0.16,-0.066,-0.033,-332450,-485206,115236,615.4,4719.0,2611199481,2611.199481
2618450503,191019,-0.085,0.024,0.019,-332286,-484826,115454,615.4,4719.0,2611200503,2611.200503
2618451525,192041,-0.03,-0.044,0.003,-332166,-485113,115387,615.4,4719.0,2611201525,2611.201525
2618452547,193063,-0.146,-0.0,-0.028,-332419,-484929,115258,615.4,4719.0,2611202547,2611.202547
2618453568,194084,-0.014,0.013,-0.048,-332130,-484873,115172,615.4,4719.0,2611203568,2611.203568
2618454590,195106,-0.071,-0.06,-0.003,-332256,-485183,115360,615.4,4719.0,2611204590,2611.20459
2618455612,196128,-0.083,-0.064,-0.124,-332281,-485198,114857,615.4,4719.0,2611205612,2611.2056119999997
2618456634,197150,0.075,-0.007,-0.031,-331937,-484958,115244,615.4,4719.0,2611206634,2611.2066339999997
2618457656,198172,-0.04,-0.003,-0.07,-332187,-484942,115080,615.4,4719.0,2611207656,2611.207656
2618458677,199193,-0.017,0.045,-0.079,-332137,-484736,115045,615.4,4719.0,2611208677,2611.208677
2618459699,200215,-0.052,-0.028,-0.062,-332214,-485047,115116,615.4,4719.0,2611209699,2611.209699
2618460721,201237,-0.046,-0.046,-0.039,-332201,-485124,115211,615.4,4719.0,2611210721,2611.210721
2618461743,202259,0.041,-0.072,-0.083,-332011,-485231,115026,615.4,4719.0,2611211743,2611.211743
2618462764,203280,-0.007,-0.029,0.021,-332115,-485049,115462,615.4,4719.0,2611212764,2611.212764
