# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
2597281136,0,3.938,0.018,0.14,-323638,-485426,115732,238.3,4774.4,2590031136,2590.031136
2597282137,1001,3.959,-0.028,0.082,-323594,-485622,115490,238.3,4774.4,2590032137,2590.0321369999997
2597283158,2022,4.152,0.065,0.182,-323170,-485227,115906,238.3,4774.4,2590033158,2590.0331579999997
2597284179,3043,4.271,0.059,0.16,-322911,-485252,115816,238.3,4774.4,2590034179,2590.0341789999998
2597285200,4064,4.413,0.057,0.104,-322601,-485262,115581,238.3,4774.4,2590035200,2590.0352
2597286221,5085,4.697,0.064,0.201,-321979,-485231,115984,238.3,4774.4,2590036221,2590.036221
2597287242,6106,4.791,0.084,0.104,-321774,-485148,115582,238.3,4774.4,2590037242,2590.037242
2597288263,7127,4.954,0.02,0.064,-321419,-485418,115411,238.3,4774.4,2590038263,2590.038263
2597289284,8148,4.905,0.044,0.14,-321525,-485318,115731,238.3,4774.4,2590039284,2590.039284
2597290305,9169,5.138,0.013,0.238,-321017,-485447,116139,238.3,4774.4,2590040305,2590.040305
2597291326,10190,5.348,-0.105,0.093,-320558,-485946,115535,238.3,4774.4,2590041326,2590.041326
2597292346,11210,5.5,0.058,0.092,-320225,-485257,115529,238.3,4774.4,2590042346,2590.0423459999997
2597293367,12231,5.771,0.009,0.036,-319632,-485463,115296,238.3,4774.4,2590043367,2590.0433669999998
2597294388,13252,5.91,0.003,0.036,-319328,-485490,115296,238.3,4774.4,2590044388,2590.044388
2597295409,14273,5.987,0.063,0.111,-319160,-485238,115608,238.3,4774.4,2590045409,2590.045409
2597296430,15294,6.22,0.007,0.124,-318650,-485472,115662,238.3,4774.4,2590046430,2590.04643
2597297451,16315,6.406,0.031,0.247,-318244,-485373,116177,238.3,4774.4,2590047451,2590.047451
2597298472,17336,6.48,0.057,0.202,-318083,-485261,115989,238.3,4774.4,2590048472,2590.048472
2597299493,18357,6.796,0.118,0.157,-317393,-485004,115801,238.3,4774.4,2590049493,2590.049493
2597300514,19378,6.94,-0.028,0.119,-317078,-485622,115643,238.3,4774.4,2590050514,2590.050514
2597301534,20398,7.059,0.007,0.145,-316818,-485475,115750,238.3,4774.4,2590051534,2590.0515339999997
2597302555,21419,7.201,0.07,0.223,-316507,-485208,116077,238.3,4774.4,2590052555,2590.0525549999998
2597303576,22440,7.438,0.009,0.135,-315990,-485464,115711,238.3,4774.4,2590053576,2590.053576
2597304597,23461,7.549,-0.108,0.113,-315747,-485959,115616,238.3,4774.4,2590054597,2590.054597
2597305618,24482,7.824,0.018,0.103,-315146,-485425,115576,238.3,4774.4,2590055618,2590.055618
2597306639,25503,8.065,-0.134,0.32,-314618,-486070,116483,238.3,4774.4,2590056639,2590.056639
2597307660,26524,8.237,-0.213,0.071,-314242,-486403,115441,238.3,4774.4,2590057660,2590.05766
2597308681,27545,8.485,-0.281,0.163,-313700,-486694,115827,238.3,4774.4,2590058681,2590.058681
2597309702,28566,8.506,-0.227,0.047,-313655,-486464,115341,238.3,4774.4,2590059702,2590.059702
2597310722,29586,8.717,-0.185,0.198,-313193,-486288,115971,238.3,4774.4,2590060722,2590.0607219999997
2597311743,30607,8.877,-0.275,0.207,-312843,-486666,116009,238.3,4774.4,2590061743,2590.0617429999998
2597312764,31628,9.015,-0.265,0.144,-312542,-486623,115749,238.3,4774.4,2590062764,2590.062764
2597313785,32649,9.338,-0.437,0.181,-311836,-487352,115902,238.3,4774.4,2590063785,2590.063785
2597314806,33670,9.401,-0.431,0.011,-311699,-487329,115193,238.3,4774.4,2590064806,2590.064806
2597315827,34691,9.425,-0.439,0.192,-311646,-487361,115949,238.3,4774.4,2590065827,2590.065827
2597316848,35712,9.661,-0.322,0.268,-311129,-486867,116265,238.3,4774.4,2590066848,2590.066848
2597317869,36733,9.685,-0.281,0.258,-311077,-486693,116224,238.3,4774.4,2590067869,2590.067869
2597318890,37754,9.878,-0.246,0.226,-310656,-486546,116089,238.3,4774.4,2590068890,2590.06889
2597319911,38775,10.017,-0.284,0.291,-310352,-486706,116362,238.3,4774.4,2590069911,2590.069911
2597320931,39795,10.153,-0.352,0.304,-310055,-486995,116417,238.3,4774.4,2590070931,2590.0709309999997
2597321952,40816,10.358,-0.318,0.318,-309607,-486851,116475,238.3,4774.4,2590071952,2590.071952
2597322973,41837,10.475,-0.292,0.282,-309350,-486741,116323,238.3,4774.4,2590072973,2590.072973
2597323994,42858,10.54,-0.402,0.136,-309208,-487203,115712,238.3,4774.4,2590073994,2590.073994
2597325015,43879,10.834,-0.262,0.071,-308567,-486611,115440,238.3,4774.4,2590075015,2590.075015
2597326036,44900,10.803,-0.264,0.06,-308635,-486620,115398,238.3,4774.4,2590076036,2590.076036
2597327057,45921,11.101,-0.378,0.054,-307983,-487103,115370,238.3,4774.4,2590077057,2590.077057
2597328078,46942,11.274,-0.325,-0.041,-307605,-486877,114973,238.3,4774.4,2590078078,2590.078078
2597329099,47963,11.239,-0.309,-0.126,-307681,-486810,114619,238.3,4774.4,2590079099,2590.079099
2597330119,48983,11.57,-0.248,-0.163,-306957,-486554,114463,238.3,4774.4,2590080119,2590.0801189999997
2597331140,50004,11.679,-0.217,-0.259,-306719,-486422,114063,238.3,4774.4,2590081140,2590.08114
2597332161,51025,11.806,-0.121,-0.238,-306442,-486015,114148,238.3,4774.4,2590082161,2590.082161
2597333182,52046,11.872,-0.057,-0.149,-306297,-485744,114521,238.3,4774.4,2590083182,2590.083182
2597334203,53067,12.038,-0.039,-0.194,-305935,-485669,114335,238.3,4774.4,2590084203,2590.084203
2597335224,54088,12.139,-0.149,-0.142,-305713,-486135,114552,238.3,4774.4,2590085224,2590.085224
2597336245,55109,12.183,-0.004,0.118,-305618,-485521,115638,238.3,4774.4,2590086245,2590.086245
2597337266,56130,12.182,-0.032,0.293,-305619,-485640,116372,238.3,4774.4,2590087266,2590.087266
2597338287,57151,12.408,-0.048,0.306,-305125,-485706,116426,238.3,4774.4,2590088287,2590.088287
2597339307,58171,12.598,-0.277,0.214,-304711,-486677,116042,238.3,4774.4,2590089307,2590.0893069999997
2597340328,59192,12.676,-0.284,0.229,-304540,-486707,116104,238.3,4774.4,2590090328,2590.0903279999998
2597341349,60213,12.792,-0.208,0.327,-304287,-486382,116513,238.3,4774.4,2590091349,2590.091349
2597342370,61234,12.956,-0.234,0.314,-303929,-486492,116460,238.3,4774.4,2590092370,2590.09237
2597343391,62255,13.013,-0.211,0.335,-303804,-486397,116548,238.3,4774.4,2590093391,2590.093391
2597344412,63276,13.171,-0.284,0.127,-303459,-486705,115678,238.3,4774.4,2590094412,2590.094412
2597345433,64297,13.37,-0.401,-0.154,-303024,-487202,114502,238.3,4774.4,2590095433,2590.095433
2597346454,65318,13.389,-0.324,0.05,-302982,-486875,115354,238.3,4774.4,2590096454,2590.096454
2597347475,66339,13.662,-0.337,0.182,-302385,-486929,115904,238.3,4774.4,2590097475,2590.097475
2597348495,67359,13.689,-0.16,0.422,-302326,-486182,116911,238.3,4774.4,2590098495,2590.0984949999997
2597349516,68380,13.96,-0.328,0.406,-301733,-486892,116843,238.3,4774.4,2590099516,2590.0995159999998
2597350537,69401,14.057,-0.53,0.324,-301522,-487745,116501,238.3,4774.4,2590100537,2590.100537
2597351558,70422,14.147,-0.591,0.234,-301325,-488006,116123,238.3,4774.4,2590101558,2590.101558
2597352579,71443,14.297,-0.692,0.053,-300997,-488431,115368,238.3,4774.4,2590102579,2590.102579
2597353600,72464,14.281,-0.644,0.086,-301032,-488230,115506,238.3,4774.4,2590103600,2590.1036
2597354621,73485,14.374,-0.642,0.006,-300829,-488220,115169,238.3,4774.4,2590104621,2590.104621
2597355642,74506,14.654,-0.596,-0.215,-300218,-488028,114246,238.3,4774.4,2590105642,2590.105642
2597356663,75527,14.686,-0.576,-0.312,-300146,-487943,113842,238.3,4774.4,2590106663,2590.106663
2597357684,76548,14.792,-0.435,-0.201,-299915,-487344,114305,238.3,4774.4,2590107684,2590.107684
2597358704,77568,14.993,-0.354,-0.15,-299476,-487000,114519,238.3,4774.4,2590108704,2590.1087039999998
2597359725,78589,15.073,-0.353,0.063,-299301,-486997,115410,238.3,4774.4,2590109725,2590.109725
2597360746,79610,15.28,-0.463,0.223,-298848,-487465,116078,238.3,4774.4,2590110746,2590.110746
