t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1343777638,0,-37.791,-0.2,0.144,-415209,-486619,115594,15.6,3871.1
1343778171,533,-37.948,-0.149,0.188,-415551,-486404,115778,15.6,3871.1
1343779192,1554,-38.11,-0.1,0.242,-415907,-486196,116004,15.6,3871.1
1343780213,2575,-38.116,0.05,0.226,-415920,-485562,115937,15.6,3871.1
1343781234,3596,-38.387,0.067,0.322,-416513,-485490,116338,15.6,3871.1
1343782254,4616,-38.397,0.046,0.4,-416533,-485579,116664,15.6,3871.1
1343783275,5637,-38.524,0.099,0.384,-416811,-485356,116600,15.6,3871.1
1343784296,6658,-38.83,0.15,0.322,-417481,-485136,116338,15.6,3871.1
1343785317,7679,-38.744,0.235,0.302,-417292,-484777,116256,15.6,3871.1
1343786338,8700,-38.9,0.137,0.308,-417634,-485194,116281,15.6,3871.1
1343787359,9721,-38.874,0.139,0.306,-417578,-485185,116271,15.6,3871.1
1343788380,10742,-38.976,0.228,0.287,-417801,-484809,116195,15.6,3871.1
1343789400,11762,-39.01,0.197,0.346,-417874,-484938,116441,15.6,3871.1
1343790421,12783,-39.181,0.322,0.428,-418248,-484408,116781,15.6,3871.1
1343791442,13804,-39.287,0.375,0.36,-418480,-484185,116500,15.6,3871.1
1343792463,14825,-39.389,0.403,0.15,-418703,-484068,115618,15.6,3871.1
1343793484,15846,-39.169,0.161,0.226,-418222,-485093,115936,15.6,3871.1
1343794505,16867,-39.158,0.176,0.033,-418199,-485026,115129,15.6,3871.1
1343795526,17888,-39.15,0.084,-0.12,-418181,-485419,114490,15.6,3871.1
1343796546,18908,-39.049,-0.038,-0.289,-417959,-485934,113781,15.6,3871.1
1343797567,19929,-38.989,-0.122,-0.403,-417828,-486291,113307,15.6,3871.1
1343798588,20950,-38.974,-0.305,-0.507,-417795,-487065,112868,15.6,3871.1
1343799609,21971,-38.966,-0.338,-0.469,-417779,-487205,113028,15.6,3871.1
1343800630,22992,-39.12,-0.299,-0.546,-418116,-487040,112708,15.6,3871.1
1343801651,24013,-39.013,-0.404,-0.55,-417882,-487486,112688,15.6,3871.1
1343802672,25034,-39.093,-0.415,-0.577,-418056,-487533,112578,15.6,3871.1
1343803692,26054,-39.151,-0.317,-0.604,-418183,-487118,112463,15.6,3871.1
1343804713,27075,-39.275,-0.151,-0.465,-418454,-486414,113047,15.6,3871.1
1343805734,28096,-39.494,-0.226,-0.424,-418934,-486732,113219,15.6,3871.1
1343806755,29117,-39.534,-0.243,-0.388,-419022,-486803,113366,15.6,3871.1
1343807788,30150,-39.569,-0.138,-0.356,-419098,-486359,113502,15.6,3871.1
