t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1452251847,46.994,-1.248,-2.126,-229727,-491096,106066,33.8,4027.1
1452252421,46.985,-1.596,-1.863,-229747,-492570,107167,33.8,4027.1
1452253442,47.408,-1.733,-2.33,-228821,-493154,105213,33.8,4027.1
1452254463,47.749,-2.244,-0.123,-228077,-495318,114450,33.8,4027.1
1452255484,47.893,-2.815,0.226,-227762,-497735,115909,33.8,4027.1
1452256505,47.633,-2.85,-1.399,-228330,-497884,109108,33.8,4027.1
1452257526,47.51,-2.693,-0.73,-228600,-497219,111910,33.8,4027.1
1452258547,47.829,-2.84,-0.705,-227902,-497844,112013,33.8,4027.1
1452259567,48.05,-2.837,-1.161,-227418,-497830,110103,33.8,4027.1
1452260588,47.859,-2.733,-1.838,-227836,-497389,107270,33.8,4027.1
1452261609,47.56,-2.31,-1.259,-228489,-495597,109693,33.8,4027.1
1452262630,47.542,-2.324,-1.761,-228529,-495657,107592,33.8,4027.1
1452263651,47.186,-1.971,-1.291,-229307,-494162,109561,33.8,4027.1
1452264672,47.321,-1.769,-1.624,-229012,-493303,108167,33.8,4027.1
1452265693,47.322,-1.831,-2.334,-229010,-493568,105194,33.8,4027.1
1452266714,47.631,-2.247,-2.985,-228335,-495330,102469,33.8,4027.1
1452267734,47.718,-2.542,-3.053,-228144,-496580,102184,33.8,4027.1
1452268755,47.579,-2.765,-2.092,-228449,-497523,106206,33.8,4027.1
1452269776,47.196,-2.623,-2.285,-229286,-496922,105401,33.8,4027.1
1452270797,46.937,-2.166,-2.277,-229853,-494987,105434,33.8,4027.1
1452271818,46.534,-2.278,-1.886,-230733,-495462,107071,33.8,4027.1
1452272839,46.416,-1.83,-0.936,-230993,-493562,111046,33.8,4027.1
1452273860,46.293,-1.56,-0.556,-231261,-492418,112638,33.8,4027.1
1452274881,46.262,-1.293,-0.474,-231329,-491288,112980,33.8,4027.1
1452275901,45.966,-0.849,1.199,-231977,-489408,119982,33.8,4027.1
1452276922,45.479,-0.287,1.72,-233041,-487026,122160,33.8,4027.1
1452277943,45.695,-0.367,1.321,-232570,-487366,120493,33.8,4027.1
1452278964,46.361,-1.139,0.766,-231112,-490635,118170,33.8,4027.1
1452279985,46.448,-1.195,0.134,-230923,-490871,115524,33.8,4027.1
1452281006,46.454,-1.099,-0.326,-230909,-490468,113601,33.8,4027.1
1452282027,46.691,-0.948,0.118,-230391,-489825,115457,33.8,4027.1
1452283047,46.772,-0.991,-0.92,-230214,-490009,111113,33.8,4027.1
1452284068,46.713,-1.082,-1.924,-230342,-490392,106911,33.8,4027.1
1452285089,46.336,-1.045,-2.002,-231168,-490237,106584,33.8,4027.1
1452286110,46.499,-1.26,-1.909,-230811,-491147,106973,33.8,4027.1
1452287131,47.055,-1.791,-3.911,-229595,-493397,98595,33.8,4027.1
1452288152,47.424,-1.848,-3.774,-228786,-493639,99167,33.8,4027.1
1452289173,47.407,-2.06,-3.317,-228824,-494538,101080,33.8,4027.1
1452290194,47.601,-2.206,-2.857,-228399,-495154,103005,33.8,4027.1
1452291215,47.636,-2.24,-2.327,-228324,-495299,105223,33.8,4027.1
1452292247,46.864,-1.669,-0.663,-230011,-492882,112189,33.8,4027.1
1452293323,46.864,-1.669,-0.663,-230011,-492882,112189,33.8,4027.1
1452294387,46.588,-1.006,-0.487,-230616,-490074,112924,33.8,4027.1
1452295408,46.71,-1.365,0.335,-230350,-491593,116364,33.8,4027.1
1452296429,46.813,-1.559,-0.802,-230124,-492416,111608,33.8,4027.1
1452297450,47.116,-1.969,-1.833,-229461,-494151,107291,33.8,4027.1
1452298471,47.658,-2.393,-2.673,-228275,-495949,103778,33.8,4027.1
1452299492,47.835,-2.64,-2.095,-227889,-496996,106194,33.8,4027.1
1452300513,47.427,-2.296,-0.499,-228780,-495537,112873,33.8,4027.1
1452301534,47.381,-2.43,-1.106,-228880,-496106,110333,33.8,4027.1
1452302555,47.649,-2.7,-3.124,-228295,-497248,101888,33.8,4027.1
1452303575,47.947,-2.804,-2.512,-227643,-497688,104450,33.8,4027.1
1452304596,47.685,-2.562,-1.201,-228215,-496665,109936,33.8,4027.1
1452305617,47.339,-2.442,-2.217,-228972,-496158,105685,33.8,4027.1
1452306638,47.397,-2.204,-1.811,-228847,-495147,107384,33.8,4027.1
1452307659,47.265,-1.819,1.092,-229134,-493518,119532,33.8,4027.1
1452308680,47.196,-1.879,0.735,-229285,-493770,118038,33.8,4027.1
1452309701,47.243,-1.639,-0.43,-229183,-492754,113163,33.8,4027.1
1452310721,46.868,-1.435,1.68,-230003,-491889,121993,33.8,4027.1
1452311742,47.041,-1.561,1.144,-229626,-492424,119750,33.8,4027.1
1452312763,47.04,-1.574,1.103,-229627,-492479,119578,33.8,4027.1
1452313784,46.564,-1.031,0.809,-230668,-490177,118349,33.8,4027.1
1452314805,46.267,-0.786,1.359,-231319,-489142,120652,33.8,4027.1
1452315826,46.449,-0.962,1.759,-230919,-489886,122324,33.8,4027.1
1452316847,46.742,-1.3,0.819,-230280,-491319,118391,33.8,4027.1
1452317868,46.742,-1.172,1.168,-230279,-490774,119853,33.8,4027.1
1452318888,46.369,-0.897,0.178,-231094,-489612,115707,33.8,4027.1
1452319910,46.613,-1.02,-1.589,-230562,-490132,108313,33.8,4027.1
1452320932,46.934,-1.199,-4.472,-229858,-490889,96247,33.8,4027.1
1452321954,46.881,-1.026,-4.396,-229974,-490155,96564,33.8,4027.1
1452322975,47.332,-1.319,-3.065,-228988,-491397,102136,33.8,4027.1
1452323997,47.334,-1.538,-3.304,-228984,-492328,101137,33.8,4027.1
1452325019,47.421,-1.527,-4.228,-228794,-492278,97266,33.8,4027.1
1452326040,47.428,-1.23,-5.887,-228778,-491020,90323,33.8,4027.1
1452327062,47.333,-1.003,-5.456,-228987,-490058,92126,33.8,4027.1
1452328084,47.399,-1.164,-4.537,-228842,-490742,95975,33.8,4027.1
1452329106,47.492,-1.331,-4.484,-228639,-491448,96197,33.8,4027.1
1452330128,47.227,-1.226,-2.76,-229217,-491006,103410,33.8,4027.1
1452331149,47.154,-0.944,0.217,-229377,-489811,115872,33.8,4027.1
1452332171,47.123,-1.152,1.464,-229446,-490692,121092,33.8,4027.1
1452333193,47.135,-1.548,1.177,-229420,-492370,119889,33.8,4027.1
1452334215,47.704,-2.256,-0.715,-228174,-495366,111969,33.8,4027.1
1452335236,48.338,-2.873,-1.56,-226788,-497980,108433,33.8,4027.1
1452336258,48.634,-3.396,-0.623,-226139,-500197,112356,33.8,4027.1
1452337280,48.504,-3.36,-1.676,-226424,-500044,107950,33.8,4027.1
1452338302,48.235,-3.314,-3.422,-227012,-499849,100640,33.8,4027.1
1452339323,48.111,-3.374,-4.14,-227284,-500104,97636,33.8,4027.1
1452340345,47.906,-2.893,-3.817,-227733,-498068,98986,33.8,4027.1
1452341367,47.668,-2.419,-2.98,-228254,-496060,102490,33.8,4027.1
1452342388,47.486,-2.117,-3.364,-228651,-494779,100882,33.8,4027.1
1452343410,47.138,-1.769,-3.258,-229413,-493306,101328,33.8,4027.1
1452344432,46.325,-1.01,-2.881,-231191,-490089,102905,33.8,4027.1
1452345454,45.821,-0.621,-2.772,-232294,-488440,103362,33.8,4027.1
1452346475,45.803,-0.543,-3.376,-232333,-488112,100833,33.8,4027.1
1452347497,45.773,-0.691,-3.778,-232398,-488738,99150,33.8,4027.1
1452348519,45.837,-0.986,-2.337,-232258,-489986,105183,33.8,4027.1
1452349541,45.897,-1.487,-2.758,-232127,-492111,103420,33.8,4027.1
1452350563,46.118,-1.784,-3.079,-231644,-493369,102075,33.8,4027.1
1452351584,46.209,-1.959,-3.002,-231444,-494111,102397,33.8,4027.1
1452352606,46.237,-2.099,-2.62,-231383,-494703,103996,33.8,4027.1
1452353628,45.957,-1.807,-1.967,-231997,-493464,106729,33.8,4027.1
1452354649,45.627,-1.222,-0.515,-232719,-490986,112807,33.8,4027.1
1452355671,45.38,-0.836,-0.599,-233258,-489351,112456,33.8,4027.1
1452356693,45.164,-0.677,-2.072,-233731,-488676,106291,33.8,4027.1
1452357715,45.262,-0.472,-0.29,-233516,-487810,113750,33.8,4027.1
1452358737,45.369,-0.557,-0.584,-233282,-488170,112519,33.8,4027.1
1452359758,45.544,-0.494,0.074,-232899,-487902,115274,33.8,4027.1
1452360780,45.591,-0.533,-0.059,-232798,-488068,114716,33.8,4027.1
1452361802,45.526,-0.63,-1.447,-232940,-488480,108907,33.8,4027.1
1452362824,45.619,-0.5,-3.798,-232735,-487929,99067,33.8,4027.1
1452363845,45.445,-0.526,-2.679,-233117,-488039,103751,33.8,4027.1
1452364867,45.319,-0.532,-2.467,-233392,-488064,104636,33.8,4027.1
1452365889,45.298,-0.693,-2.832,-233437,-488747,103109,33.8,4027.1
1452366911,45.499,-0.951,-3.492,-232998,-489841,100348,33.8,4027.1
1452367932,45.389,-1.211,-4.932,-233238,-490941,94320,33.8,4027.1
1452368954,45.455,-1.156,-3.289,-233095,-490707,101198,33.8,4027.1
1452369976,45.536,-1.004,0.614,-232917,-490065,117531,33.8,4027.1
1452370998,45.637,-1.093,0.879,-232697,-490442,118642,33.8,4027.1
1452372019,45.529,-1.063,-0.532,-232932,-490313,112735,33.8,4027.1
1452373041,45.192,-0.76,-0.331,-233670,-489029,113580,33.8,4027.1
1452374063,44.687,-0.575,0.542,-234775,-488244,117230,33.8,4027.1
1452375085,44.424,-0.265,1.889,-235350,-486931,122870,33.8,4027.1
1452376106,44.397,0.016,3.177,-235410,-485744,128258,33.8,4027.1
1452377128,44.727,-0.036,1.499,-234688,-485964,121237,33.8,4027.1
1452378150,44.551,-0.189,0.301,-235073,-486609,116222,33.8,4027.1
1452379172,44.473,-0.37,1.326,-235242,-487377,120512,33.8,4027.1
1452380193,44.358,-0.441,1.8,-235494,-487679,122495,33.8,4027.1
1452381215,44.127,-0.321,0.37,-236000,-487170,116510,33.8,4027.1
1452382237,44.201,-0.348,-1.914,-235837,-487284,106953,33.8,4027.1
1452383258,44.718,-0.779,-0.956,-234707,-489112,110963,33.8,4027.1
1452384280,45.372,-1.395,-1.416,-233277,-491722,109037,33.8,4027.1
1452385302,45.099,-1.571,-0.755,-233874,-492465,111802,33.8,4027.1
1452386324,45.01,-1.538,-0.539,-234067,-492325,112708,33.8,4027.1
1452387346,44.671,-1.354,0.747,-234810,-491546,118088,33.8,4027.1
1452388367,44.357,-1.041,0.438,-235497,-490221,116797,33.8,4027.1
1452389389,43.838,-0.622,2.584,-236632,-488446,125779,33.8,4027.1
1452390411,44.064,-0.987,2.219,-236138,-489990,124249,33.8,4027.1
1452391432,44.583,-1.774,1.1,-235003,-493324,119567,33.8,4027.1
1452392454,44.912,-1.615,0.673,-234282,-492653,117781,33.8,4027.1
1452393476,44.769,-1.197,0.074,-234596,-490880,115272,33.8,4027.1
1452394498,44.334,-0.623,-0.293,-235547,-488448,113738,33.8,4027.1
1452395520,44.158,-0.202,-0.19,-235932,-486666,114168,33.8,4027.1
1452396553,43.82,0.334,-0.428,-236671,-484394,113172,33.8,4027.1
1452397629,43.82,0.334,-0.428,-236671,-484394,113172,33.8,4027.1
1452398694,44.103,0.159,0.464,-236057,-485135,116906,33.8,4027.1
1452399715,44.108,0.507,0.193,-236047,-483661,115771,33.8,4027.1
1452400736,44.183,-0.207,1.062,-235882,-486686,119409,33.8,4027.1
1452401756,44.526,-0.929,3.691,-235132,-489746,130411,33.8,4027.1
1452402777,44.796,-2.364,3.116,-234541,-495825,128004,33.8,4027.1
1452403798,45.259,-3.243,0.58,-233529,-499549,117390,33.8,4027.1
1452404819,46.033,-3.68,-0.711,-231834,-501400,111986,33.8,4027.1
1452405840,46.497,-4.439,-0.938,-230819,-504617,111037,33.8,4027.1
1452406861,46.251,-4.597,-0.959,-231358,-505286,110949,33.8,4027.1
1452407882,46.147,-4.379,-2.456,-231586,-504361,104684,33.8,4027.1
1452408902,45.477,-4.049,-2.907,-233052,-502965,102798,33.8,4027.1
1452409923,44.807,-3.219,-3.039,-234518,-499447,102243,33.8,4027.1
1452410944,44.215,-2.272,-2.881,-235812,-495437,102907,33.8,4027.1
1452411965,43.765,-1.676,-2.487,-236798,-492912,104556,33.8,4027.1
1452412986,43.931,-1.613,-2.657,-236434,-492642,103844,33.8,4027.1
1452414007,43.867,-1.633,-2.347,-236574,-492727,105141,33.8,4027.1
1452415028,43.701,-1.251,-1.598,-236938,-491112,108274,33.8,4027.1
1452416049,43.48,-0.991,-1.255,-237421,-490009,109711,33.8,4027.1
1452417070,43.312,-0.849,-0.424,-237789,-489407,113189,33.8,4027.1
1452418090,43.23,-1.208,-0.319,-237968,-490929,113628,33.8,4027.1
1452419111,43.848,-1.818,-0.311,-236616,-493511,113662,33.8,4027.1
1452420132,44.117,-2.114,0.36,-236027,-494768,116471,33.8,4027.1
1452421153,44.054,-2.134,-0.774,-236164,-494852,111725,33.8,4027.1
1452422174,44.244,-2.112,-0.462,-235750,-494756,113030,33.8,4027.1
1452423195,44.389,-2.417,-1.286,-235433,-496049,109581,33.8,4027.1
1452424216,44.824,-1.359,-2.481,-234481,-491569,104578,33.8,4027.1
1452425237,45.471,-1.966,-3.901,-233065,-494141,98636,33.8,4027.1
1452426259,45.217,-3.118,-4.811,-233620,-499022,94828,33.8,4027.1
1452427280,44.892,-2.322,-3.33,-234331,-495647,101027,33.8,4027.1
1452428302,44.351,-0.753,-2.365,-235514,-488998,105066,33.8,4027.1
1452429324,44.09,-1.086,-1.929,-236087,-490409,106891,33.8,4027.1
1452430346,44.019,-0.578,-2.182,-236242,-488258,105831,33.8,4027.1
1452431368,44.042,-1.672,-2.759,-236190,-492894,103414,33.8,4027.1
1452432389,43.67,-1.454,-2.092,-237005,-491972,106206,33.8,4027.1
1452433411,43.591,-2.068,-1.687,-237177,-494571,107902,33.8,4027.1
1452434433,43.094,-1.216,-1.363,-238265,-490960,109259,33.8,4027.1
1452435455,42.91,-0.301,-1.299,-238668,-487086,109528,33.8,4027.1
1452436476,42.72,-1.354,-1.023,-239084,-491545,110681,33.8,4027.1
1452437498,42.431,-0.827,-0.298,-239715,-489312,113716,33.8,4027.1
1452438520,42.766,-1.256,0.596,-238983,-491133,117457,33.8,4027.1
1452439542,42.957,-1.606,2.306,-238564,-492616,124616,33.8,4027.1
1452440563,42.98,-1.374,2.458,-238514,-491633,125252,33.8,4027.1
1452441585,43.299,-0.281,2.507,-237816,-486999,125456,33.8,4027.1
1452442607,43.499,-1.067,1.487,-237378,-490329,121185,33.8,4027.1
1452443629,43.589,-1.469,0.385,-237183,-492034,116573,33.8,4027.1
1452444650,43.584,-1.018,0.47,-237194,-490121,116929,33.8,4027.1
1452445672,43.3,-0.33,0.236,-237815,-487209,115950,33.8,4027.1
1452446694,43.097,-0.27,-0.707,-238259,-486955,112003,33.8,4027.1
1452447716,42.987,-0.448,-0.265,-238499,-487709,113854,33.8,4027.1
1452448737,42.674,-0.573,0.786,-239183,-488236,118253,33.8,4027.1
1452449759,42.718,-0.769,0.134,-239088,-489069,115526,33.8,4027.1
1452450781,43.111,-1.124,-2.262,-238227,-490572,105496,33.8,4027.1
1452451802,43.126,-1.23,-2.733,-238195,-491020,103523,33.8,4027.1
1452452824,42.895,-1.144,-2.887,-238700,-490657,102882,33.8,4027.1
1452453846,42.994,-1.551,-1.743,-238485,-492379,107670,33.8,4027.1
1452454868,42.909,-1.467,-1.315,-238670,-492027,109459,33.8,4027.1
1452455890,42.654,-1.499,-2.687,-239228,-492162,103718,33.8,4027.1
1452456911,42.427,-1.219,-3.236,-239724,-490976,101419,33.8,4027.1
1452457933,42.295,-1.118,-2.502,-240014,-490545,104492,33.8,4027.1
1452458955,42.528,-1.224,-1.264,-239504,-490995,109673,33.8,4027.1
1452459977,42.567,-1.386,-1.144,-239419,-491683,110177,33.8,4027.1
1452460998,42.622,-1.51,-0.414,-239297,-492209,113232,33.8,4027.1
1452462020,42.639,-1.624,-0.388,-239261,-492692,113338,33.8,4027.1
1452463042,42.301,-1.423,-1.372,-240000,-491840,109219,33.8,4027.1
1452464064,41.878,-1.247,-1.624,-240925,-491095,108165,33.8,4027.1
1452465085,41.78,-1.018,-0.31,-241140,-490121,113667,33.8,4027.1
1452466107,41.701,-1.041,-0.471,-241313,-490219,112994,33.8,4027.1
1452467129,42.068,-1.46,-1.362,-240510,-491994,109262,33.8,4027.1
1452468151,42.371,-2.083,-2.121,-239848,-494637,106088,33.8,4027.1
1452469172,42.625,-2.308,-1.35,-239292,-495589,109312,33.8,4027.1
1452470194,42.516,-2.266,-1.913,-239530,-495412,106958,33.8,4027.1
1452471216,42.252,-1.878,-1.697,-240108,-493766,107860,33.8,4027.1
1452472238,42.187,-1.858,-1.242,-240249,-493683,109764,33.8,4027.1
1452473259,42.069,-1.985,-0.917,-240508,-494221,111125,33.8,4027.1
1452474281,41.633,-1.756,-0.953,-241462,-493250,110975,33.8,4027.1
1452475303,41.459,-1.478,-0.254,-241843,-492071,113901,33.8,4027.1
1452476325,41.333,-1.205,-0.825,-242119,-490916,111511,33.8,4027.1
1452477346,41.081,-0.914,-1.859,-242670,-489684,107181,33.8,4027.1
1452478368,41.013,-0.93,-0.658,-242817,-489748,112211,33.8,4027.1
1452479390,41.023,-0.929,-1.26,-242797,-489744,109689,33.8,4027.1
1452480412,40.808,-0.766,-0.76,-243267,-489055,111781,33.8,4027.1
1452481433,40.721,-0.581,-0.887,-243456,-488270,111252,33.8,4027.1
1452482455,40.594,-0.446,-0.352,-243734,-487701,113490,33.8,4027.1
1452483477,41.022,-0.614,0.519,-242799,-488412,117136,33.8,4027.1
1452484499,41.327,-0.962,-0.484,-242130,-489887,112937,33.8,4027.1
1452485520,41.692,-1.261,0.03,-241332,-491151,115089,33.8,4027.1
1452486542,42.074,-1.64,-0.318,-240496,-492757,113631,33.8,4027.1
1452487564,42.376,-2.003,-1.239,-239836,-494297,109778,33.8,4027.1
1452488586,42.317,-1.985,-1.489,-239965,-494219,108730,33.8,4027.1
1452489607,42.279,-1.857,-1.797,-240049,-493678,107441,33.8,4027.1
1452490629,42.166,-1.661,-2.462,-240295,-492847,104658,33.8,4027.1
1452491651,41.8,-1.398,-3.084,-241097,-491733,102057,33.8,4027.1
1452492673,41.939,-1.248,-2.553,-240791,-491098,104280,33.8,4027.1
1452493694,41.417,-0.972,-3.081,-241935,-489927,102068,33.8,4027.1
1452494716,41.184,-0.824,-3.108,-242443,-489302,101957,33.8,4027.1
1452495738,41.008,-0.715,-2.836,-242830,-488839,103092,33.8,4027.1
1452496760,40.562,-0.354,-2.839,-243805,-487308,103082,33.8,4027.1
1452497782,40.394,-0.22,-2.454,-244172,-486743,104692,33.8,4027.1
1452498803,40.258,-0.039,-0.534,-244470,-485973,112730,33.8,4027.1
1452499825,40.297,0.026,0.016,-244385,-485698,115030,33.8,4027.1
1452500858,40.247,-0.133,-0.823,-244495,-486374,111520,33.8,4027.1
1452501935,40.247,-0.133,-0.823,-244495,-486374,111520,33.8,4027.1
1452503000,40.061,-0.227,1.673,-244895,-486771,121965,33.8,4027.1
1452504021,40.168,-0.382,1.874,-244660,-487429,122806,33.8,4027.1
1452505042,40.26,-0.419,0.613,-244460,-487587,117527,33.8,4027.1
1452506063,40.539,-0.844,-0.593,-243850,-489385,112483,33.8,4027.1
1452507084,40.94,-1.24,-0.973,-242971,-491063,110893,33.8,4027.1
1452508105,41.199,-1.736,-1.686,-242406,-493166,107906,33.8,4027.1
1452509125,41.569,-1.702,-0.494,-241595,-493021,112896,33.8,4027.1
1452510146,41.294,-1.244,-1.177,-242198,-491081,110036,33.8,4027.1
1452511167,40.926,-0.963,-2.988,-243002,-489890,102459,33.8,4027.1
1452512188,40.769,-1.014,-3.004,-243345,-490105,102389,33.8,4027.1
1452513209,40.215,-0.373,-1.641,-244558,-487389,108096,33.8,4027.1
1452514230,39.593,0.26,0.256,-245918,-484708,116033,33.8,4027.1
1452515251,39.114,0.853,0.527,-246966,-482195,117168,33.8,4027.1
1452516272,38.889,1.224,0.037,-247458,-480625,115117,33.8,4027.1
1452517292,39.044,1.094,0.052,-247120,-481176,115183,33.8,4027.1
1452518313,38.889,1.036,-0.019,-247458,-481419,114882,33.8,4027.1
1452519334,38.799,1.171,0.737,-247655,-480848,118046,33.8,4027.1
1452520355,38.932,1.219,1.283,-247365,-480645,120333,33.8,4027.1
1452521376,39.056,0.941,0.712,-247093,-481824,117942,33.8,4027.1
1452522397,39.475,0.594,-0.42,-246176,-483294,113207,33.8,4027.1
1452523418,39.798,0.288,0.661,-245469,-484591,117729,33.8,4027.1
1452524439,39.711,0.286,1.035,-245661,-484599,119295,33.8,4027.1
1452525460,39.884,0.091,1.97,-245281,-485426,123208,33.8,4027.1
1452526481,40.112,0.093,1.776,-244782,-485414,122397,33.8,4027.1
1452527503,40.198,-0.039,1.472,-244595,-485976,121124,33.8,4027.1
1452528525,40.616,-0.406,0.936,-243681,-487528,118879,33.8,4027.1
1452529546,40.792,-0.871,0.784,-243295,-489502,118246,33.8,4027.1
1452530568,40.817,-1.137,0.324,-243240,-490628,116320,33.8,4027.1
1452531590,40.619,-0.982,0.117,-243675,-489969,115455,33.8,4027.1
1452532612,40.51,-0.775,0.61,-243912,-489094,117515,33.8,4027.1
1452533633,40.385,-0.874,0.025,-244187,-489513,115066,33.8,4027.1
1452534655,40.487,-0.814,-0.507,-243963,-489258,112840,33.8,4027.1
1452535677,40.436,-0.74,-1.138,-244075,-488945,110201,33.8,4027.1
1452536699,40.608,-0.554,-2.048,-243699,-488156,106392,33.8,4027.1
1452537721,40.281,-0.251,-1.718,-244413,-486875,107775,33.8,4027.1
1452538742,40.102,-0.208,0.098,-244806,-486693,115374,33.8,4027.1
1452539764,40.028,-0.168,-0.216,-244966,-486521,114058,33.8,4027.1
1452540786,40.104,-0.035,-0.334,-244800,-485957,113565,33.8,4027.1
1452541808,40.312,-0.171,-0.382,-244345,-486533,113364,33.8,4027.1
1452542829,40.547,-0.362,-0.954,-243832,-487344,110969,33.8,4027.1
1452543851,40.913,-0.856,-1.041,-243030,-489436,110606,33.8,4027.1
1452544873,41.182,-1.181,-1.474,-242443,-490812,108793,33.8,4027.1
1452545894,41.26,-1.356,-2.292,-242271,-491554,105370,33.8,4027.1
1452546916,41.112,-1.267,-3.834,-242596,-491177,98918,33.8,4027.1
1452547938,40.807,-1.115,-4.656,-243262,-490535,95477,33.8,4027.1
1452548960,40.718,-1.037,-3.756,-243458,-490204,99243,33.8,4027.1
1452549982,40.502,-1.037,-0.892,-243931,-490205,111229,33.8,4027.1
1452551003,40.394,-1.168,-1.036,-244166,-490757,110626,33.8,4027.1
1452552025,40.203,-0.822,0.06,-244583,-489293,115215,33.8,4027.1
1452553047,40.101,-0.853,-1.737,-244808,-489425,107693,33.8,4027.1
1452554069,40.177,-1.068,-2.223,-244641,-490336,105658,33.8,4027.1
1452555090,40.464,-1.337,-1.116,-244014,-491475,110293,33.8,4027.1
1452556112,40.669,-1.549,-1.592,-243564,-492373,108302,33.8,4027.1
1452557134,40.635,-1.51,-0.767,-243638,-492206,111752,33.8,4027.1
1452558156,40.722,-1.484,-1.769,-243448,-492099,107559,33.8,4027.1
1452559177,40.957,-1.635,-1.127,-242934,-492736,110247,33.8,4027.1
1452560199,41.107,-1.603,-1.711,-242606,-492600,107801,33.8,4027.1
1452561221,41.175,-1.594,-2.683,-242457,-492565,103736,33.8,4027.1
1452562243,40.937,-1.457,-2.771,-242979,-491984,103364,33.8,4027.1
1452563264,40.675,-1.077,-2.893,-243551,-490371,102854,33.8,4027.1
1452564286,40.139,-0.766,-2.235,-244725,-489053,105611,33.8,4027.1
1452565308,40.396,-1.008,-3.016,-244161,-490079,102342,33.8,4027.1
