t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2113778517,0,15.371,-0.534,-1.069,-298649,-487653,110677,476.5,3985.5
2113779520,1003,15.46,-0.445,-1.059,-298456,-487276,110717,476.5,3985.5
2113780540,2023,15.333,-0.467,-0.979,-298732,-487372,111050,476.5,3985.5
2113781559,3042,15.518,-0.481,-1.245,-298328,-487430,109937,476.5,3985.5
2113782579,4062,15.396,-0.668,-1.291,-298596,-488220,109745,476.5,3985.5
2113783598,5081,15.451,-0.574,-0.579,-298474,-487823,112724,476.5,3985.5
2113784618,6101,15.467,-0.482,-0.368,-298439,-487434,113607,476.5,3985.5
2113785637,7120,15.251,-0.468,-0.758,-298911,-487376,111976,476.5,3985.5
2113786657,8140,15.264,-0.475,-0.756,-298883,-487403,111982,476.5,3985.5
2113787676,9159,15.289,-0.534,-0.942,-298829,-487653,111205,476.5,3985.5
2113788696,10179,15.32,-0.516,-0.601,-298761,-487577,112630,476.5,3985.5
2113789715,11198,15.401,-0.671,-0.586,-298585,-488232,112694,476.5,3985.5
2113790735,12218,15.432,-0.541,-0.569,-298517,-487683,112767,476.5,3985.5
2113791754,13237,15.379,-0.461,-1.203,-298633,-487345,110115,476.5,3985.5
2113792774,14257,15.208,-0.286,-0.585,-299006,-486604,112700,476.5,3985.5
2113793793,15276,15.132,-0.246,0.169,-299173,-486437,115853,476.5,3985.5
2113794813,16296,14.873,-0.192,0.347,-299739,-486208,116594,476.5,3985.5
2113795832,17315,14.855,-0.151,0.039,-299778,-486034,115309,476.5,3985.5
2113796852,18335,14.799,-0.248,-0.389,-299900,-486442,113517,476.5,3985.5
2113797871,19354,14.95,-0.21,-0.57,-299569,-486281,112761,476.5,3985.5
2113798891,20374,14.934,-0.197,-1.016,-299606,-486228,110898,476.5,3985.5
2113799910,21393,14.892,-0.12,-1.067,-299697,-485900,110684,476.5,3985.5
2113800930,22413,14.805,-0.201,-1.109,-299886,-486245,110509,476.5,3985.5
2113801949,23432,14.806,-0.212,-1.061,-299885,-486291,110707,476.5,3985.5
2113802969,24452,14.874,-0.121,-0.961,-299737,-485907,111128,476.5,3985.5
2113803989,25472,14.951,-0.167,-0.761,-299567,-486101,111962,476.5,3985.5
2113805010,26493,14.887,-0.286,-1.094,-299708,-486605,110572,476.5,3985.5
2113806031,27514,14.99,-0.243,-1.083,-299482,-486423,110617,476.5,3985.5
2113807052,28535,15.04,-0.249,-1.03,-299373,-486449,110839,476.5,3985.5
2113808072,29555,14.869,-0.199,-1.192,-299748,-486238,110159,476.5,3985.5
2113809093,30576,14.992,-0.125,-0.589,-299479,-485924,112684,476.5,3985.5
2113810114,31597,14.654,-0.093,-0.346,-300218,-485787,113697,476.5,3985.5
2113811135,32618,14.713,-0.042,-0.226,-300088,-485570,114200,476.5,3985.5
2113812156,33639,14.742,0.021,-0.313,-300025,-485303,113838,476.5,3985.5
2113813177,34660,14.663,-0.022,-0.282,-300197,-485485,113968,476.5,3985.5
2113814198,35681,14.612,-0.042,-0.503,-300308,-485571,113042,476.5,3985.5
2113815219,36702,14.569,-0.001,-0.62,-300402,-485398,112552,476.5,3985.5
