t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2234787938,0,-1.026,0.072,0.049,-334489,-485163,115348,117.6,3893.2
2234788831,893,-1.076,0.083,0.123,-334598,-485115,115658,117.6,3893.2
2234789850,1912,-0.953,0.077,0.134,-334330,-485139,115706,117.6,3893.2
2234790870,2932,-0.999,0.018,0.158,-334430,-485391,115805,117.6,3893.2
2234791889,3951,-0.972,0.069,0.064,-334371,-485175,115413,117.6,3893.2
2234792909,4971,-0.97,-0.012,0.009,-334366,-485519,115183,117.6,3893.2
2234793928,5990,-1.001,0.075,0.021,-334433,-485149,115235,117.6,3893.2
2234794948,7010,-0.975,-0.024,0.012,-334377,-485567,115196,117.6,3893.2
2234795967,8029,-1.011,-0.008,0.002,-334455,-485500,115155,117.6,3893.2
2234796987,9049,-0.908,0.09,0.079,-334230,-485085,115474,117.6,3893.2
2234798006,10068,-1.004,0.084,-0.034,-334440,-485113,115004,117.6,3893.2
2234799026,11088,-1.033,0.077,-0.004,-334504,-485140,115128,117.6,3893.2
2234800045,12107,-0.984,0.024,-0.037,-334397,-485365,114989,117.6,3893.2
2234801065,13127,-0.885,0.04,0.074,-334181,-485297,115453,117.6,3893.2
2234802084,14146,-0.943,0.028,0.08,-334307,-485347,115480,117.6,3893.2
2234803104,15166,-1.054,0.037,0.078,-334550,-485311,115471,117.6,3893.2
2234804123,16185,-0.914,-0.028,0.061,-334244,-485585,115400,117.6,3893.2
2234805143,17205,-1.012,-0.019,0.022,-334459,-485547,115238,117.6,3893.2
2234806162,18224,-0.975,0.038,0.054,-334377,-485306,115371,117.6,3893.2
2234807182,19244,-0.947,0.083,0.179,-334316,-485115,115893,117.6,3893.2
2234808201,20263,-0.981,0.086,0.1,-334390,-485103,115563,117.6,3893.2
2234809221,21283,-1.045,0.051,0.108,-334529,-485251,115595,117.6,3893.2
2234810240,22302,-0.917,0.029,0.105,-334250,-485343,115585,117.6,3893.2
2234811260,23322,-0.856,0.085,0.024,-334116,-485109,115246,117.6,3893.2
2234812279,24341,-0.963,0.053,0.035,-334350,-485243,115293,117.6,3893.2
2234813298,25360,-0.989,0.069,0.068,-334407,-485175,115429,117.6,3893.2
2234814318,26380,-0.964,0.054,0.013,-334353,-485238,115201,117.6,3893.2
2234815337,27399,-1.003,0.026,0.103,-334438,-485357,115577,117.6,3893.2
2234816357,28419,-0.955,-0.004,-0.012,-334333,-485482,115096,117.6,3893.2
2234817376,29438,-0.912,0.067,0.062,-334239,-485185,115403,117.6,3893.2
2234818396,30458,-0.892,0.057,0.03,-334196,-485227,115271,117.6,3893.2
2234819415,31477,-0.817,-0.001,0.076,-334032,-485473,115461,117.6,3893.2
2234820435,32497,-0.941,0.136,0.076,-334303,-484889,115462,117.6,3893.2
2234821454,33516,-0.895,0.08,0.026,-334203,-485127,115255,117.6,3893.2
2234822474,34536,-0.878,0.019,0.083,-334166,-485387,115494,117.6,3893.2
2234823493,35555,-0.848,0.016,-0.006,-334099,-485399,115120,117.6,3893.2
2234824513,36575,-1.001,0.034,0.045,-334434,-485324,115333,117.6,3893.2
2234825532,37594,-0.84,-0.025,0.056,-334082,-485571,115381,117.6,3893.2
2234826552,38614,-0.973,0.012,-0.008,-334373,-485415,115111,117.6,3893.2
2234827571,39633,-0.85,0.069,0.083,-334104,-485174,115491,117.6,3893.2
2234828591,40653,-0.922,0.049,0.063,-334261,-485259,115407,117.6,3893.2
2234829610,41672,-0.958,0.025,-0.013,-334339,-485361,115090,117.6,3893.2
2234830630,42692,-0.862,0.047,-0.027,-334130,-485267,115031,117.6,3893.2
2234831649,43711,-0.852,0.043,0.026,-334109,-485285,115252,117.6,3893.2
2234832669,44731,-0.825,0.058,-0.003,-334049,-485221,115134,117.6,3893.2
2234833688,45750,-0.987,0.102,0.038,-334403,-485036,115303,117.6,3893.2
2234834708,46770,-0.851,0.012,0.029,-334105,-485414,115267,117.6,3893.2
2234835727,47789,-0.872,0.032,-0.001,-334151,-485330,115139,117.6,3893.2
2234836747,48809,-0.934,0.091,0.077,-334288,-485083,115467,117.6,3893.2
2234837766,49828,-0.937,0.043,0.108,-334295,-485286,115598,117.6,3893.2
2234838786,50848,-0.894,0.042,0.068,-334201,-485289,115429,117.6,3893.2
2234839805,51867,-0.971,0.082,0.057,-334368,-485118,115383,117.6,3893.2
2234840825,52887,-0.838,0.07,0.126,-334077,-485170,115670,117.6,3893.2
2234841844,53906,-0.724,0.039,0.123,-333829,-485300,115659,117.6,3893.2
2234842864,54926,-0.899,0.0,0.086,-334211,-485466,115503,117.6,3893.2
2234843883,55945,-0.914,0.075,0.074,-334244,-485150,115454,117.6,3893.2
2234844902,56964,-0.866,0.099,0.031,-334139,-485048,115276,117.6,3893.2
2234845922,57984,-0.872,0.036,0.04,-334152,-485316,115314,117.6,3893.2
2234846942,59004,-0.745,0.063,0.106,-333875,-485202,115587,117.6,3893.2
2234847961,60023,-0.77,0.041,0.051,-333929,-485295,115359,117.6,3893.2
2234848981,61043,-0.829,-0.014,-0.003,-334057,-485527,115132,117.6,3893.2
2234850000,62062,-0.755,-0.023,0.003,-333896,-485563,115158,117.6,3893.2
2234851019,63081,-0.708,0.047,0.088,-333794,-485267,115515,117.6,3893.2
2234852039,64101,-0.77,0.021,0.012,-333930,-485379,115195,117.6,3893.2
2234853070,65132,-0.636,0.012,0.089,-333636,-485417,115517,117.6,3893.2
2234854148,66210,-0.636,0.012,0.089,-333636,-485417,115517,117.6,3893.2
2234855212,67274,-0.669,0.035,0.166,-333709,-485281,115869,117.6,3893.2
2234856233,68295,-0.713,0.047,0.002,-333805,-485233,115181,117.6,3893.2
2234857254,69316,-0.773,0.007,0.113,-333935,-485400,115645,117.6,3893.2
2234858275,70337,-0.746,0.043,0.044,-333877,-485247,115357,117.6,3893.2
2234859296,71358,-0.723,0.149,0.074,-333827,-484801,115484,117.6,3893.2
2234860317,72379,-0.823,0.057,-0.013,-334044,-485188,115117,117.6,3893.2
2234861338,73400,-0.724,0.027,0.091,-333828,-485316,115555,117.6,3893.2
2234862359,74421,-0.804,0.036,-0.014,-334003,-485278,115116,117.6,3893.2
2234863380,75442,-0.76,0.02,0.054,-333907,-485344,115401,117.6,3893.2
2234864400,76462,-0.681,0.06,0.036,-333734,-485175,115326,117.6,3893.2
2234865421,77483,-0.745,0.042,-0.037,-333874,-485253,115020,117.6,3893.2
2234866442,78504,-0.758,-0.012,0.024,-333902,-485483,115273,117.6,3893.2
2234867463,79525,-0.747,0.051,0.068,-333879,-485213,115459,117.6,3893.2
2234868484,80546,-0.798,0.024,0.046,-333990,-485329,115366,117.6,3893.2
2234869505,81567,-0.779,0.041,0.022,-333949,-485258,115264,117.6,3893.2
2234870526,82588,-0.767,0.02,-0.042,-333923,-485345,114996,117.6,3893.2
