t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2218546292,0,-17.393,0.159,0.206,-370277,-484759,116006,348.5,4502.1
2218546971,679,-17.358,0.249,0.179,-370202,-484377,115895,348.5,4502.1
2218547992,1700,-17.421,0.171,0.305,-370339,-484706,116421,348.5,4502.1
2218549014,2722,-17.548,0.147,0.306,-370617,-484808,116423,348.5,4502.1
2218550036,3744,-17.447,0.158,0.295,-370395,-484761,116377,348.5,4502.1
2218551058,4766,-17.241,0.22,0.291,-369945,-484499,116361,348.5,4502.1
2218552079,5787,-17.362,0.109,0.326,-370210,-484968,116509,348.5,4502.1
2218553101,6809,-17.42,0.086,0.295,-370336,-485066,116380,348.5,4502.1
2218554123,7831,-17.45,0.201,0.251,-370403,-484579,116193,348.5,4502.1
2218555145,8853,-17.483,0.234,0.277,-370475,-484440,116302,348.5,4502.1
2218556166,9874,-17.46,0.1,0.22,-370425,-485008,116065,348.5,4502.1
2218557188,10896,-17.508,0.235,0.336,-370530,-484434,116549,348.5,4502.1
2218558210,11918,-17.459,0.219,0.371,-370421,-484505,116696,348.5,4502.1
2218559232,12940,-17.217,0.165,0.255,-369893,-484732,116212,348.5,4502.1
2218560253,13961,-17.464,0.112,0.278,-370432,-484955,116309,348.5,4502.1
2218561275,14983,-17.493,0.233,0.278,-370496,-484443,116309,348.5,4502.1
2218562297,16005,-17.334,0.288,0.313,-370148,-484212,116455,348.5,4502.1
2218563319,17027,-17.482,0.201,0.24,-370472,-484578,116149,348.5,4502.1
2218564340,18048,-17.373,0.218,0.235,-370234,-484506,116128,348.5,4502.1
2218565362,19070,-17.434,0.173,0.345,-370367,-484700,116586,348.5,4502.1
2218566384,20092,-17.377,0.109,0.199,-370243,-484968,115976,348.5,4502.1
2218567406,21114,-17.395,0.105,0.186,-370283,-484984,115922,348.5,4502.1
2218568427,22135,-17.561,0.208,0.205,-370645,-484549,116002,348.5,4502.1
2218569449,23157,-17.397,0.206,0.337,-370286,-484559,116553,348.5,4502.1
2218570471,24179,-17.452,0.14,0.337,-370406,-484837,116556,348.5,4502.1
2218571493,25201,-17.52,0.142,0.297,-370556,-484828,116387,348.5,4502.1
2218572514,26222,-17.465,0.19,0.289,-370435,-484628,116353,348.5,4502.1
2218573536,27244,-17.232,0.08,0.136,-369925,-485090,115715,348.5,4502.1
2218574558,28266,-17.488,0.083,0.317,-370486,-485080,116472,348.5,4502.1
2218575580,29288,-17.386,0.144,0.232,-370262,-484821,116114,348.5,4502.1
2218576613,30321,-17.439,0.176,0.261,-370378,-484685,116237,348.5,4502.1
2218577688,31396,-17.439,0.176,0.261,-370378,-484685,116237,348.5,4502.1
2218578753,32461,-17.344,0.138,0.286,-370154,-484847,116368,348.5,4502.1
2218579774,33482,-17.451,0.199,0.231,-370388,-484588,116141,348.5,4502.1
2218580795,34503,-17.264,0.14,0.237,-369980,-484838,116164,348.5,4502.1
2218581816,35524,-17.347,0.104,0.294,-370160,-484992,116403,348.5,4502.1
2218582837,36545,-17.508,0.078,0.268,-370513,-485102,116293,348.5,4502.1
2218583857,37565,-17.338,0.097,0.245,-370141,-485020,116198,348.5,4502.1
2218584878,38586,-17.361,0.089,0.234,-370192,-485052,116152,348.5,4502.1
2218585899,39607,-17.437,0.167,0.246,-370357,-484722,116203,348.5,4502.1
2218586920,40628,-17.162,0.126,0.243,-369757,-484899,116189,348.5,4502.1
2218587941,41649,-17.241,0.002,0.235,-369929,-485420,116158,348.5,4502.1
2218588962,42670,-17.263,0.111,0.165,-369976,-484961,115865,348.5,4502.1
2218589983,43691,-17.24,0.156,0.235,-369927,-484772,116156,348.5,4502.1
2218591004,44712,-17.367,0.158,0.241,-370204,-484760,116180,348.5,4502.1
2218592024,45732,-17.323,0.114,0.261,-370108,-484948,116266,348.5,4502.1
2218593045,46753,-17.211,0.061,0.262,-369863,-485174,116269,348.5,4502.1
2218594066,47774,-17.288,0.113,0.243,-370032,-484950,116189,348.5,4502.1
2218595087,48795,-17.157,0.079,0.288,-369745,-485094,116376,348.5,4502.1
2218596108,49816,-17.131,0.121,0.219,-369689,-484918,116091,348.5,4502.1
2218597129,50837,-17.272,0.098,0.302,-369997,-485017,116437,348.5,4502.1
2218598150,51858,-17.262,0.085,0.272,-369974,-485069,116312,348.5,4502.1
2218599171,52879,-17.241,0.213,0.366,-369928,-484527,116703,348.5,4502.1
2218600192,53900,-17.207,0.076,0.261,-369855,-485110,116264,348.5,4502.1
2218601212,54920,-16.968,0.069,0.288,-369332,-485140,116379,348.5,4502.1
2218602233,55941,-17.037,0.059,0.273,-369484,-485180,116315,348.5,4502.1
2218603254,56962,-17.152,0.101,0.235,-369735,-485002,116154,348.5,4502.1
2218604276,57984,-17.053,0.109,0.267,-369519,-484970,116289,348.5,4502.1
