t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1888078757,0,-37.988,0.89,1.219,-415659,-482077,120037,32.0,3964.2
1888079221,464,-38.107,0.935,1.172,-415919,-481885,119841,32.0,3964.2
1888080240,1483,-38.089,1.042,1.216,-415881,-481429,120024,32.0,3964.2
1888081260,2503,-38.098,1.123,1.301,-415900,-481087,120382,32.0,3964.2
1888082279,3522,-38.15,1.246,1.456,-416013,-480568,121029,32.0,3964.2
1888083299,4542,-38.177,1.263,1.406,-416074,-480496,120820,32.0,3964.2
1888084318,5561,-38.188,1.156,1.495,-416097,-480947,121191,32.0,3964.2
1888085340,6583,-38.2,1.226,1.515,-416123,-480653,121275,32.0,3964.2
1888086361,7604,-38.131,1.135,1.441,-415973,-481038,120966,32.0,3964.2
1888087383,8626,-38.165,1.265,1.361,-416046,-480486,120630,32.0,3964.2
1888088405,9648,-38.09,1.095,1.365,-415883,-481205,120650,32.0,3964.2
1888089427,10670,-37.97,0.878,1.297,-415621,-482127,120363,32.0,3964.2
1888090448,11691,-38.044,0.933,1.288,-415783,-481895,120327,32.0,3964.2
1888091470,12713,-38.098,1.002,1.411,-415901,-481599,120841,32.0,3964.2
1888092492,13735,-37.971,1.026,1.407,-415622,-481498,120822,32.0,3964.2
1888093514,14757,-38.112,1.002,1.363,-415930,-481599,120641,32.0,3964.2
1888094535,15778,-38.156,1.048,1.287,-416028,-481406,120320,32.0,3964.2
1888095557,16800,-38.031,0.981,1.353,-415753,-481689,120597,32.0,3964.2
1888096579,17822,-38.017,1.008,1.357,-415722,-481577,120613,32.0,3964.2
1888097601,18844,-37.921,1.056,1.282,-415512,-481373,120299,32.0,3964.2
1888098622,19865,-37.815,1.074,1.3,-415282,-481296,120378,32.0,3964.2
1888099644,20887,-37.811,1.044,1.283,-415272,-481421,120306,32.0,3964.2
1888100666,21909,-37.646,0.963,1.265,-414912,-481767,120229,32.0,3964.2
1888101688,22931,-37.616,1.051,1.177,-414845,-481394,119860,32.0,3964.2
1888102710,23953,-37.599,0.868,1.105,-414808,-482167,119560,32.0,3964.2
1888103731,24974,-37.44,0.875,1.032,-414460,-482139,119256,32.0,3964.2
1888104753,25996,-37.42,0.8,1.001,-414416,-482456,119123,32.0,3964.2
1888105775,27018,-37.428,0.826,1.111,-414434,-482348,119584,32.0,3964.2
1888106797,28040,-37.577,0.907,1.128,-414761,-482004,119656,32.0,3964.2
1888107818,29061,-37.58,0.886,0.985,-414766,-482093,119059,32.0,3964.2
1888108840,30083,-37.528,0.843,1.118,-414653,-482274,119615,32.0,3964.2
1888109862,31105,-37.556,0.858,1.09,-414715,-482211,119499,32.0,3964.2
1888110884,32127,-37.419,0.743,1.103,-414415,-482696,119551,32.0,3964.2
1888111917,33160,-37.576,0.796,1.07,-414758,-482475,119412,32.0,3964.2
1888112993,34236,-37.576,0.796,1.07,-414758,-482475,119412,32.0,3964.2
1888114057,35300,-37.63,0.738,1.096,-414611,-482178,119971,32.0,3964.2
1888115078,36321,-37.673,0.684,1.066,-414707,-482406,119844,32.0,3964.2
1888116099,37342,-37.556,0.746,0.935,-414451,-482145,119299,32.0,3964.2
1888117120,38363,-37.549,0.785,1.106,-414434,-481978,120012,32.0,3964.2
1888118141,39384,-37.489,0.838,1.18,-414304,-481756,120321,32.0,3964.2
1888119162,40405,-37.546,0.942,1.141,-414429,-481313,120157,32.0,3964.2
1888120183,41426,-37.365,0.846,1.199,-414034,-481722,120400,32.0,3964.2
1888121204,42447,-37.617,0.959,1.264,-414583,-481244,120674,32.0,3964.2
1888122224,43467,-37.59,1.086,1.286,-414525,-480704,120767,32.0,3964.2
1888123245,44488,-37.498,0.947,1.301,-414324,-481292,120826,32.0,3964.2
1888124266,45509,-37.306,0.935,1.171,-413904,-481345,120284,32.0,3964.2
1888125287,46530,-37.253,0.881,1.125,-413789,-481574,120091,32.0,3964.2
1888126308,47551,-37.058,0.794,1.041,-413363,-481941,119743,32.0,3964.2
1888127329,48572,-37.185,0.758,1.022,-413639,-482094,119660,32.0,3964.2
1888128350,49593,-37.133,0.865,1.042,-413526,-481638,119747,32.0,3964.2
1888129371,50614,-37.042,0.925,1.152,-413327,-481387,120203,32.0,3964.2
1888130391,51634,-36.981,0.717,0.981,-413193,-482266,119492,32.0,3964.2
1888131412,52655,-36.848,0.66,1.044,-412903,-482508,119754,32.0,3964.2
1888132433,53676,-36.997,0.687,1.067,-413228,-482393,119848,32.0,3964.2
1888133454,54697,-37.019,0.713,1.123,-413277,-482285,120083,32.0,3964.2
1888134475,55718,-37.154,0.888,1.269,-413571,-481541,120695,32.0,3964.2
1888135496,56739,-37.166,0.901,1.274,-413597,-481487,120714,32.0,3964.2
1888136517,57760,-37.308,0.948,1.258,-413909,-481287,120650,32.0,3964.2
1888137538,58781,-37.086,0.82,1.129,-413424,-481832,120110,32.0,3964.2
1888138559,59802,-37.079,0.721,1.04,-413409,-482250,119735,32.0,3964.2
1888139580,60823,-37.149,0.804,1.157,-413562,-481896,120224,32.0,3964.2
1888140601,61844,-37.005,0.84,1.23,-413247,-481747,120533,32.0,3964.2
1888141623,62866,-37.13,0.81,1.091,-413520,-481873,119952,32.0,3964.2
1888142645,63888,-36.937,0.892,1.12,-413097,-481524,120070,32.0,3964.2
1888143667,64910,-36.868,0.819,1.136,-412947,-481835,120137,32.0,3964.2
1888144688,65931,-36.96,0.669,0.969,-413148,-482470,119441,32.0,3964.2
1888145710,66953,-36.7,0.708,1.082,-412580,-482305,119914,32.0,3964.2
1888146732,67975,-36.756,0.702,0.974,-412703,-482329,119459,32.0,3964.2
1888147754,68997,-36.72,0.77,0.993,-412624,-482043,119541,32.0,3964.2
1888148775,70018,-36.669,0.663,0.996,-412511,-482493,119552,32.0,3964.2
1888149797,71040,-36.795,0.772,0.981,-412787,-482034,119492,32.0,3964.2
1888150819,72062,-36.853,0.844,0.985,-412915,-481727,119508,32.0,3964.2
1888151841,73084,-36.754,0.859,1.074,-412697,-481664,119878,32.0,3964.2
1888152862,74105,-36.799,0.787,1.042,-412797,-481971,119746,32.0,3964.2
1888153884,75127,-36.805,0.758,1.061,-412809,-482093,119826,32.0,3964.2
1888154906,76149,-36.823,0.825,1.077,-412849,-481810,119891,32.0,3964.2
1888155928,77171,-36.896,0.857,1.198,-413007,-481672,120396,32.0,3964.2
