t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1133269302,0,27.076,-0.567,-1.504,-273260,-487920,108873,12.6,4351.9
1133270102,800,27.225,-0.672,-0.904,-272934,-488362,111381,12.6,4351.9
1133271122,1820,27.083,-0.551,-1.673,-273245,-487850,108166,12.6,4351.9
1133272141,2839,27.351,-0.56,-2.309,-272658,-487890,105506,12.6,4351.9
1133273161,3859,27.398,-0.61,-0.676,-272556,-488100,112334,12.6,4351.9
1133274180,4878,27.496,-0.622,-0.621,-272341,-488153,112564,12.6,4351.9
1133275200,5898,27.62,-0.675,-1.871,-272070,-488378,107336,12.6,4351.9
1133276219,6917,27.555,-0.646,-2.814,-272211,-488256,103391,12.6,4351.9
1133277239,7937,27.739,-0.707,-3.585,-271810,-488511,100168,12.6,4351.9
1133278258,8956,27.875,-0.751,-3.716,-271511,-488699,99617,12.6,4351.9
1133279278,9976,27.99,-0.766,-3.63,-271260,-488760,99977,12.6,4351.9
1133280297,10995,28.173,-0.875,-3.3,-270861,-489225,101357,12.6,4351.9
1133281317,12015,28.239,-0.931,-3.79,-270716,-489462,99309,12.6,4351.9
1133282336,13034,28.371,-1.108,-3.377,-270427,-490210,101038,12.6,4351.9
1133283356,14054,28.463,-1.152,-3.098,-270227,-490395,102202,12.6,4351.9
1133284375,15073,28.479,-1.188,-3.159,-270192,-490547,101950,12.6,4351.9
1133285395,16093,28.495,-1.194,-2.249,-270156,-490574,105754,12.6,4351.9
1133286414,17112,28.664,-1.127,-1.539,-269787,-490290,108725,12.6,4351.9
1133287434,18132,28.433,-0.89,-1.992,-270291,-489285,106828,12.6,4351.9
1133288453,19151,28.654,-0.925,-1.923,-269809,-489437,107118,12.6,4351.9
1133289473,20171,28.586,-0.883,-1.011,-269958,-489259,110933,12.6,4351.9
1133290492,21190,28.443,-0.932,-0.808,-270270,-489464,111781,12.6,4351.9
1133291512,22210,28.627,-0.785,-1.933,-269868,-488844,107076,12.6,4351.9
1133292531,23229,28.61,-0.845,-2.154,-269904,-489098,106151,12.6,4351.9
1133293551,24249,28.684,-0.731,-2.214,-269742,-488614,105900,12.6,4351.9
1133294570,25268,28.795,-0.753,-2.127,-269500,-488709,106265,12.6,4351.9
1133295590,26288,29.032,-0.677,-0.273,-268981,-488384,114021,12.6,4351.9
1133296609,27307,28.902,-0.608,0.354,-269267,-488093,116644,12.6,4351.9
1133297629,28327,28.931,-0.532,-0.903,-269202,-487770,111384,12.6,4351.9
1133298648,29346,28.957,-0.544,-1.471,-269146,-487821,109009,12.6,4351.9
1133299668,30366,29.038,-0.576,-1.107,-268968,-487959,110534,12.6,4351.9
1133300687,31385,29.361,-0.649,-1.318,-268262,-488268,109651,12.6,4351.9
1133301706,32404,29.376,-0.769,-0.831,-268229,-488774,111687,12.6,4351.9
1133302726,33424,29.578,-0.756,0.061,-267788,-488720,115418,12.6,4351.9
1133303745,34443,29.806,-0.927,0.099,-267289,-489444,115575,12.6,4351.9
1133304777,35475,29.915,-1.028,-1.581,-267051,-489872,108550,12.6,4351.9
1133305855,36553,29.915,-1.028,-1.581,-267051,-489872,108550,12.6,4351.9
1133306920,37618,29.832,-0.632,-1.44,-267232,-488193,109137,12.6,4351.9
1133307940,38638,29.815,-0.525,-1.393,-267270,-487743,109335,12.6,4351.9
1133308961,39659,29.769,-0.614,-1.339,-267371,-488120,109562,12.6,4351.9
1133309982,40680,29.771,-0.503,1.367,-267365,-487649,120882,12.6,4351.9
1133311003,41701,29.991,-0.465,1.028,-266885,-487486,119463,12.6,4351.9
1133312024,42722,30.039,-0.569,-0.489,-266779,-487927,113119,12.6,4351.9
1133313045,43743,30.241,-0.604,-1.712,-266339,-488077,108002,12.6,4351.9
1133314066,44764,30.316,-0.711,-1.958,-266173,-488529,106974,12.6,4351.9
1133315087,45785,30.335,-0.577,-0.814,-266132,-487961,111756,12.6,4351.9
1133316108,46806,30.379,-0.613,-0.424,-266037,-488113,113387,12.6,4351.9
1133317128,47826,30.466,-0.685,-0.89,-265847,-488421,111441,12.6,4351.9
1133318149,48847,30.585,-0.674,-1.499,-265585,-488373,108892,12.6,4351.9
1133319170,49868,30.644,-0.763,-3.228,-265457,-488751,101661,12.6,4351.9
1133320191,50889,30.86,-0.936,-3.141,-264984,-489480,102024,12.6,4351.9
1133321212,51910,31.15,-0.938,-2.354,-264350,-489491,105316,12.6,4351.9
1133322233,52931,31.357,-1.017,-2.145,-263898,-489825,106192,12.6,4351.9
1133323254,53952,31.248,-0.888,-2.36,-264135,-489280,105292,12.6,4351.9
1133324274,54972,31.237,-0.767,-2.925,-264159,-488766,102926,12.6,4351.9
1133325295,55993,31.276,-0.706,-2.854,-264074,-488506,103226,12.6,4351.9
1133326316,57014,31.305,-0.579,-2.835,-264011,-487972,103302,12.6,4351.9
1133327337,58035,31.42,-0.572,-1.472,-263760,-487942,109005,12.6,4351.9
1133328358,59056,31.338,-0.44,-1.691,-263939,-487380,108087,12.6,4351.9
1133329379,60077,31.457,-0.636,-2.332,-263680,-488211,105408,12.6,4351.9
1133330400,61098,31.59,-0.742,-1.332,-263389,-488659,109592,12.6,4351.9
1133331421,62119,31.499,-0.666,-0.19,-263587,-488339,114368,12.6,4351.9
1133332443,63141,31.571,-0.659,-0.669,-263429,-488311,112363,12.6,4351.9
1133333465,64163,31.645,-0.506,-0.185,-263268,-487660,114387,12.6,4351.9
1133334486,65184,31.753,-0.488,0.152,-263031,-487584,115798,12.6,4351.9
1133335508,66206,31.923,-0.755,-1.739,-262659,-488714,107887,12.6,4351.9
1133336530,67228,32.328,-0.821,-1.931,-261774,-488995,107085,12.6,4351.9
1133337552,68250,32.402,-0.872,-1.897,-261613,-489210,107229,12.6,4351.9
1133338573,69271,32.51,-0.804,-2.431,-261377,-488923,104995,12.6,4351.9
1133339595,70293,32.79,-0.849,-2.509,-260765,-489113,104666,12.6,4351.9
1133340617,71315,32.974,-0.917,-3.457,-260362,-489401,100700,12.6,4351.9
1133341639,72337,32.919,-0.868,-3.941,-260481,-489192,98676,12.6,4351.9
1133342660,73358,32.802,-0.475,-2.642,-260738,-487528,104113,12.6,4351.9
