t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1116560207,0,-0.137,0.02,-0.023,-332767,-485472,115066,36.8,4545.4
1116561031,824,0.064,0.065,-0.017,-332328,-485281,115091,36.8,4545.4
1116562053,1846,-0.034,0.04,0.069,-332543,-485386,115451,36.8,4545.4
1116563074,2867,0.015,-0.048,0.039,-332436,-485757,115325,36.8,4545.4
1116564096,3889,-0.119,-0.025,-0.12,-332729,-485663,114659,36.8,4545.4
1116565118,4911,-0.118,0.056,0.024,-332727,-485320,115263,36.8,4545.4
1116566140,5933,-0.082,0.026,0.09,-332647,-485443,115537,36.8,4545.4
1116567161,6954,-0.122,-0.028,0.062,-332735,-485674,115422,36.8,4545.4
1116568183,7976,-0.081,0.02,0.036,-332645,-485469,115315,36.8,4545.4
1116569205,8998,0.088,0.001,0.097,-332277,-485549,115567,36.8,4545.4
1116570227,10020,-0.032,0.026,0.121,-332539,-485446,115670,36.8,4545.4
1116571248,11041,-0.117,0.082,0.031,-332725,-485209,115294,36.8,4545.4
1116572270,12063,0.095,0.006,-0.051,-332260,-485529,114951,36.8,4545.4
1116573292,13085,0.027,0.045,0.011,-332409,-485364,115209,36.8,4545.4
1116574314,14107,0.056,0.056,0.045,-332346,-485318,115350,36.8,4545.4
1116575335,15128,0.09,0.0,0.015,-332272,-485555,115224,36.8,4545.4
1116576357,16150,0.041,0.004,0.098,-332379,-485538,115572,36.8,4545.4
1116577379,17172,0.1,0.09,-0.002,-332250,-485175,115155,36.8,4545.4
1116578401,18194,0.193,0.011,0.059,-332047,-485509,115411,36.8,4545.4
1116579422,19215,0.092,-0.055,-0.021,-332268,-485786,115076,36.8,4545.4
1116580444,20237,0.169,-0.013,-0.046,-332098,-485610,114971,36.8,4545.4
1116581466,21259,0.104,-0.013,-0.006,-332240,-485611,115138,36.8,4545.4
1116582487,22280,0.125,0.028,0.091,-332195,-485437,115541,36.8,4545.4
1116583509,23302,0.236,0.004,0.118,-331953,-485538,115657,36.8,4545.4
1116584531,24324,0.166,-0.047,0.062,-332106,-485756,115420,36.8,4545.4
1116585553,25346,0.196,0.018,0.098,-332040,-485480,115573,36.8,4545.4
1116586575,26368,0.105,0.031,0.04,-332238,-485422,115331,36.8,4545.4
1116587596,27389,0.013,0.055,0.093,-332440,-485324,115551,36.8,4545.4
1116588618,28411,0.12,0.032,-0.062,-332205,-485420,114905,36.8,4545.4
1116589640,29433,0.076,0.05,0.075,-332303,-485345,115475,36.8,4545.4
1116590662,30455,0.001,0.026,0.023,-332467,-485445,115257,36.8,4545.4
1116591683,31476,0.042,-0.018,0.033,-332376,-485631,115300,36.8,4545.4
1116592705,32498,0.151,0.056,-0.047,-332138,-485317,114967,36.8,4545.4
1116593727,33520,-0.013,0.002,0.046,-332496,-485548,115355,36.8,4545.4
1116594748,34541,0.073,0.027,0.031,-332308,-485439,115291,36.8,4545.4
1116595770,35563,-0.082,0.017,0.022,-332648,-485482,115256,36.8,4545.4
1116596792,36585,0.062,0.133,0.061,-332333,-484992,115417,36.8,4545.4
1116597814,37607,0.061,0.126,-0.03,-332336,-485020,115039,36.8,4545.4
1116598836,38629,-0.0,0.054,-0.009,-332469,-485328,115124,36.8,4545.4
1116599857,39650,0.076,0.074,-0.029,-332302,-485243,115041,36.8,4545.4
1116600879,40672,0.05,0.042,0.014,-332360,-485376,115219,36.8,4545.4
1116601901,41694,0.067,0.06,-0.033,-332321,-485302,115025,36.8,4545.4
1116602923,42716,0.073,0.013,0.01,-332308,-485499,115206,36.8,4545.4
1116603944,43737,0.009,0.056,0.019,-332448,-485318,115243,36.8,4545.4
1116604966,44759,-0.129,0.022,-0.005,-332751,-485464,115142,36.8,4545.4
1116605988,45781,0.048,-0.021,0.032,-332363,-485642,115295,36.8,4545.4
1116607021,46814,0.0,-0.022,-0.043,-332468,-485649,114984,36.8,4545.4
