t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1090744226,-29.422,-0.048,0.028,-396716,-485582,115619,,
1090745193,-29.413,0.044,-0.081,-396697,-485189,115160,,
1090746212,-29.301,0.041,-0.064,-396451,-485205,115232,,
1090747232,-29.294,-0.019,-0.105,-396435,-485458,115060,,
1090748251,-29.32,0.008,-0.021,-396493,-485343,115411,,
1090749271,-29.001,0.028,0.017,-395796,-485258,115572,,
1090750290,-29.078,0.005,-0.011,-395964,-485357,115453,,
1090751310,-29.111,-0.046,-0.045,-396035,-485571,115313,,
1090752329,-28.898,-0.024,-0.061,-395569,-485478,115245,,
1090753349,-28.975,-0.015,0.083,-395738,-485440,115847,,
1090754368,-28.878,-0.045,-0.071,-395527,-485567,115205,,
1090755387,-28.791,0.109,-0.012,-395336,-484915,115452,,
1090756407,-28.884,0.006,-0.026,-395539,-485351,115390,,
1090757427,-28.469,-0.005,-0.017,-394631,-485399,115430,,
1090758446,-28.47,0.041,-0.022,-394635,-485204,115407,,
1090759466,-28.547,-0.03,0.067,-394802,-485504,115782,,
1090760485,-28.448,0.01,-0.03,-394586,-485337,115375,,
1090761505,-28.311,0.027,-0.005,-394286,-485262,115481,,
1090762524,-28.32,0.006,0.023,-394307,-485353,115596,,
1090763544,-28.145,0.04,-0.041,-393924,-485209,115330,,
1090764563,-27.999,0.064,-0.054,-393604,-485106,115274,,
1090765583,-27.8,-0.0,-0.023,-393169,-485378,115403,,
1090766602,-27.613,0.058,-0.004,-392760,-485131,115484,,
1090767622,-27.944,0.018,0.008,-393483,-485303,115534,,
1090768641,-27.66,-0.009,-0.021,-392863,-485416,115412,,
1090769660,-27.514,0.021,-0.024,-392543,-485288,115400,,
1090770680,-27.521,0.063,-0.001,-392560,-485111,115497,,
1090771711,-27.278,0.04,-0.017,-392028,-485208,115427,,
1090772787,-27.278,0.04,-0.017,-392028,-485208,115427,,
1090773852,-26.837,-0.125,-0.065,-391064,-485870,115255,,
1090774873,-26.882,-0.026,-0.068,-391161,-485451,115244,,
1090775894,-26.918,0.021,-0.078,-391240,-485254,115202,,
1090776915,-26.671,-0.12,-0.018,-390701,-485851,115455,,
1090777936,-26.519,0.08,-0.011,-390369,-485003,115484,,
1090778956,-26.585,0.021,-0.047,-390513,-485252,115330,,
1090779977,-26.31,0.083,-0.074,-389910,-484990,115218,,
1090780998,-26.1,0.084,0.022,-389451,-484987,115620,,
1090782019,-25.996,-0.01,-0.001,-389224,-485385,115525,,
1090783040,-25.82,0.045,-0.023,-388840,-485149,115431,,
1090784061,-25.884,0.071,-0.051,-388979,-485039,115317,,
1090785082,-25.681,0.066,-0.06,-388535,-485062,115276,,
1090786103,-25.544,0.054,0.013,-388237,-485113,115582,,
1090787124,-25.474,0.132,0.068,-388083,-484783,115814,,
1090788144,-25.19,0.139,-0.015,-387462,-484751,115467,,
1090789165,-24.915,0.117,0.076,-386861,-484846,115846,,
1090790186,-24.819,0.169,0.012,-386650,-484625,115580,,
1090791207,-24.478,0.22,0.065,-385904,-484408,115799,,
1090792228,-24.3,0.073,0.1,-385515,-485030,115946,,
1090793249,-24.211,0.133,0.076,-385322,-484777,115846,,
1090794270,-23.903,0.057,-0.025,-384648,-485098,115425,,
1090795290,-23.709,0.24,0.034,-384224,-484326,115672,,
1090796312,-23.418,0.095,-0.015,-383587,-484937,115466,,
1090797333,-23.063,0.141,0.091,-382811,-484746,115908,,
1090798355,-22.899,0.136,0.152,-382452,-484767,116166,,
1090799376,-22.634,0.097,0.04,-381873,-484931,115697,,
1090800398,-22.445,0.126,0.021,-381460,-484806,115616,,
1090801420,-22.268,0.137,0.035,-381072,-484759,115673,,
1090802442,-22.009,0.061,0.052,-380506,-485085,115746,,
1090803463,-21.845,0.145,0.075,-380148,-484727,115842,,
1090804485,-21.57,0.056,0.072,-379545,-485104,115831,,
1090805507,-21.469,0.071,-0.0,-379325,-485039,115527,,
1090806529,-21.299,0.142,-0.007,-378954,-484741,115500,,
1090807550,-21.086,0.173,0.041,-378488,-484607,115699,,
1090808572,-20.756,0.087,-0.023,-377767,-484973,115432,,
1090809594,-20.673,0.015,0.02,-377584,-485276,115612,,
1090810616,-20.359,0.073,0.018,-376897,-485030,115605,,
1090811637,-20.237,0.085,-0.052,-376631,-484983,115313,,
1090812659,-20.134,0.116,0.006,-376407,-484850,115553,,
1090813681,-19.915,0.084,0.07,-375926,-484986,115822,,
1090814703,-19.74,0.125,0.068,-375545,-484810,115813,,
1090815724,-19.466,0.168,0.032,-374945,-484628,115664,,
1090816746,-19.17,0.171,0.033,-374298,-484616,115668,,
1090817768,-19.096,0.034,0.06,-374135,-485199,115780,,
1090818790,-19.012,0.121,-0.043,-373952,-484828,115348,,
1090819811,-18.611,0.099,-0.047,-373075,-484920,115330,,
1090820833,-18.558,0.096,0.079,-372959,-484935,115858,,
1090821855,-18.362,0.091,-0.042,-372531,-484956,115353,,
1090822877,-18.239,0.016,-0.002,-372261,-485275,115519,,
1090823898,-18.139,0.037,-0.023,-372044,-485185,115434,,
1090824920,-17.8,0.089,-0.034,-371302,-484966,115388,,
1090825942,-17.667,0.198,0.058,-371012,-484503,115770,,
1090826964,-17.423,0.053,-0.014,-370477,-485116,115469,,
1090827985,-17.164,0.038,0.013,-369911,-485181,115581,,
1090829007,-17.107,0.049,-0.077,-369786,-485133,115205,,
1090830029,-17.077,0.112,0.041,-369722,-484867,115698,,
1090831051,-16.818,0.125,0.005,-369155,-484812,115548,,
1090832072,-16.68,0.109,0.056,-368854,-484878,115764,,
1090833094,-16.562,0.038,0.092,-368595,-485179,115915,,
1090834116,-16.252,0.14,0.011,-367917,-484750,115576,,
1090835138,-16.181,0.143,0.146,-367762,-484737,116141,,
1090836159,-15.881,0.151,0.089,-367105,-484701,115899,,
1090837181,-15.581,0.13,0.068,-366449,-484789,115812,,
1090838203,-15.626,0.133,0.035,-366548,-484780,115676,,
1090839225,-15.416,0.132,0.097,-366088,-484783,115933,,
