t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2814906490,0.566,-0.048,0.077,-330919,-485347,115584,459.9,4852.8
2814907016,0.465,-0.057,0.085,-331139,-485389,115616,459.9,4852.8
2814908036,0.519,0.019,0.01,-331021,-485067,115303,459.9,4852.8
2814909055,0.429,0.016,-0.024,-331217,-485078,115162,459.9,4852.8
2814910075,0.296,0.159,-0.051,-331508,-484472,115047,459.9,4852.8
2814911094,0.432,-0.025,-0.01,-331210,-485250,115221,459.9,4852.8
2814912114,0.398,0.023,-0.027,-331285,-485048,115149,459.9,4852.8
2814913133,0.471,0.0,0.01,-331126,-485146,115302,459.9,4852.8
2814914153,0.519,0.05,0.097,-331020,-484934,115667,459.9,4852.8
2814915172,0.504,0.042,0.067,-331054,-484967,115543,459.9,4852.8
2814916192,0.396,0.053,0.02,-331289,-484923,115343,459.9,4852.8
2814917211,0.571,-0.085,0.089,-330908,-485505,115634,459.9,4852.8
2814918231,0.457,0.062,0.053,-331157,-484884,115482,459.9,4852.8
2814919250,0.374,-0.015,0.01,-331338,-485209,115304,459.9,4852.8
2814920270,0.532,0.012,0.034,-330993,-485097,115404,459.9,4852.8
2814921289,0.411,0.009,-0.054,-331257,-485107,115037,459.9,4852.8
2814922309,0.42,0.011,-0.013,-331238,-485100,115205,459.9,4852.8
2814923328,0.457,0.027,0.005,-331157,-485030,115284,459.9,4852.8
2814924348,0.525,0.051,0.004,-331008,-484932,115277,459.9,4852.8
2814925379,0.492,0.011,-0.061,-331080,-485099,115008,459.9,4852.8
2814926455,0.492,0.011,-0.061,-331080,-485099,115008,459.9,4852.8
2814927520,0.472,0.031,-0.021,-331109,-485015,115143,459.9,4852.8
2814928541,0.437,0.087,-0.028,-331186,-484776,115114,459.9,4852.8
2814929562,0.427,0.051,0.014,-331208,-484929,115292,459.9,4852.8
2814930583,0.598,0.033,0.084,-330834,-485005,115583,459.9,4852.8
