t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
2921539201,-22.96,-0.037,0.214,-382303,-485304,116126,694.8,4314.0
2921539932,-22.817,0.024,0.219,-381990,-485044,116150,694.8,4314.0
2921540954,-22.784,-0.126,0.188,-381919,-485680,116017,694.8,4314.0
2921541975,-22.716,-0.065,0.236,-381771,-485423,116217,694.8,4314.0
2921542997,-22.598,0.007,0.243,-381512,-485117,116249,694.8,4314.0
2921544019,-22.621,-0.032,0.21,-381562,-485280,116109,694.8,4314.0
2921545041,-22.582,-0.044,0.266,-381478,-485330,116345,694.8,4314.0
2921546062,-22.377,-0.067,0.236,-381029,-485431,116217,694.8,4314.0
2921547084,-22.35,-0.044,0.275,-380972,-485332,116382,694.8,4314.0
2921548106,-22.218,-0.01,0.256,-380683,-485188,116303,694.8,4314.0
2921549128,-22.328,-0.071,0.189,-380924,-485447,116024,694.8,4314.0
2921550149,-22.055,-0.005,0.291,-380327,-485168,116447,694.8,4314.0
2921551171,-21.959,-0.098,0.292,-380117,-485561,116453,694.8,4314.0
2921552193,-21.886,-0.027,0.266,-379958,-485261,116345,694.8,4314.0
2921553215,-21.805,-0.103,0.206,-379780,-485580,116095,694.8,4314.0
2921554237,-21.869,-0.058,0.24,-379921,-485391,116235,694.8,4314.0
2921555258,-21.796,-0.001,0.112,-379761,-485152,115699,694.8,4314.0
2921556280,-21.633,-0.004,0.238,-379405,-485162,116229,694.8,4314.0
2921557302,-21.543,0.06,0.25,-379209,-484893,116277,694.8,4314.0
2921558324,-21.457,0.074,0.208,-379020,-484835,116104,694.8,4314.0
2921559345,-21.208,-0.042,0.218,-378476,-485325,116144,694.8,4314.0
2921560367,-21.127,0.057,0.171,-378300,-484905,115948,694.8,4314.0
2921561389,-20.917,0.002,0.1,-377841,-485137,115649,694.8,4314.0
2921562411,-20.896,0.009,0.176,-377796,-485110,115968,694.8,4314.0
2921563433,-20.912,-0.05,0.148,-377831,-485357,115851,694.8,4314.0
2921564454,-20.678,-0.091,0.229,-377318,-485533,116189,694.8,4314.0
2921565476,-20.653,-0.132,0.088,-377265,-485703,115600,694.8,4314.0
2921566498,-20.597,-0.011,0.106,-377142,-485192,115676,694.8,4314.0
