t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
83047405,0,-25.481,-0.378,0.466,-387721,-486487,117337,1087.3,5271.7
83048087,682,-25.662,-0.304,0.522,-388115,-486175,117573,1087.3,5271.7
83049106,1701,-25.686,-0.421,0.389,-388169,-486666,117017,1087.3,5271.7
83050126,2721,-25.675,-0.42,0.441,-388145,-486663,117233,1087.3,5271.7
83051145,3740,-25.692,-0.466,0.437,-388181,-486857,117217,1087.3,5271.7
83052165,4760,-25.801,-0.495,0.434,-388420,-486982,117205,1087.3,5271.7
83053184,5779,-25.761,-0.508,0.378,-388332,-487036,116972,1087.3,5271.7
83054204,6799,-25.953,-0.504,0.49,-388750,-487018,117438,1087.3,5271.7
83055223,7818,-25.924,-0.494,0.516,-388687,-486976,117547,1087.3,5271.7
83056243,8838,-26.09,-0.341,0.49,-389050,-486331,117437,1087.3,5271.7
83057262,9857,-25.948,-0.393,0.532,-388741,-486548,117614,1087.3,5271.7
83058282,10877,-25.792,-0.489,0.455,-388399,-486955,117293,1087.3,5271.7
83059301,11896,-25.907,-0.266,0.468,-388651,-486013,117347,1087.3,5271.7
83060321,12916,-25.729,-0.431,0.461,-388262,-486710,117320,1087.3,5271.7
83061340,13935,-25.792,-0.482,0.513,-388400,-486925,117537,1087.3,5271.7
83062360,14955,-25.757,-0.489,0.381,-388324,-486956,116982,1087.3,5271.7
83063379,15974,-25.759,-0.544,0.471,-388327,-487188,117358,1087.3,5271.7
83064399,16994,-25.843,-0.679,0.489,-388511,-487760,117436,1087.3,5271.7
83065418,18013,-26.006,-0.459,0.491,-388867,-486829,117445,1087.3,5271.7
83066438,19033,-25.785,-0.383,0.483,-388384,-486509,117408,1087.3,5271.7
83067457,20052,-25.747,-0.404,0.448,-388302,-486595,117262,1087.3,5271.7
83068477,21072,-25.747,-0.424,0.467,-388301,-486680,117342,1087.3,5271.7
83069496,22091,-25.812,-0.375,0.553,-388443,-486474,117702,1087.3,5271.7
83070516,23111,-25.701,-0.502,0.47,-388201,-487011,117355,1087.3,5271.7
83071536,24131,-25.737,-0.393,0.412,-388280,-486549,117112,1087.3,5271.7
83072555,25150,-25.737,-0.243,0.462,-388280,-485914,117321,1087.3,5271.7
83073575,26170,-25.748,-0.247,0.447,-388304,-485932,117261,1087.3,5271.7
83074594,27189,-25.692,-0.455,0.555,-388182,-486810,117712,1087.3,5271.7
83075614,28209,-25.817,-0.408,0.469,-388454,-486611,117353,1087.3,5271.7
83076633,29228,-25.762,-0.386,0.422,-388335,-486520,117156,1087.3,5271.7
83077653,30248,-25.772,-0.566,0.439,-388356,-487280,117226,1087.3,5271.7
83078672,31267,-25.817,-0.469,0.44,-388455,-486871,117229,1087.3,5271.7
83079691,32286,-25.83,-0.556,0.4,-388482,-487240,117063,1087.3,5271.7
83080711,33306,-25.773,-0.624,0.502,-388359,-487528,117488,1087.3,5271.7
83081731,34326,-26.012,-0.627,0.455,-388880,-487537,117294,1087.3,5271.7
83082750,35345,-25.942,-0.568,0.468,-388728,-487291,117348,1087.3,5271.7
83083770,36365,-25.976,-0.56,0.439,-388802,-487257,117227,1087.3,5271.7
83084789,37384,-26.166,-0.427,0.451,-389216,-486693,117275,1087.3,5271.7
83085809,38404,-26.058,-0.652,0.446,-388981,-487643,117255,1087.3,5271.7
83086828,39423,-26.146,-0.536,0.41,-389173,-487153,117104,1087.3,5271.7
83087848,40443,-26.093,-0.676,0.477,-389056,-487747,117385,1087.3,5271.7
83088867,41462,-26.281,-0.517,0.47,-389467,-487075,117355,1087.3,5271.7
83089887,42482,-26.25,-0.418,0.531,-389399,-486656,117612,1087.3,5271.7
83090906,43501,-26.259,-0.426,0.539,-389418,-486687,117644,1087.3,5271.7
83091926,44521,-26.251,-0.611,0.427,-389402,-487472,117175,1087.3,5271.7
83092945,45540,-26.454,-0.534,0.38,-389845,-487145,116979,1087.3,5271.7
83093965,46560,-26.384,-0.416,0.467,-389692,-486646,117343,1087.3,5271.7
83094984,47579,-26.261,-0.443,0.446,-389424,-486763,117257,1087.3,5271.7
83096004,48599,-26.261,-0.383,0.615,-389423,-486508,117962,1087.3,5271.7
83097023,49618,-26.343,-0.428,0.445,-389603,-486698,117251,1087.3,5271.7
