t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
193185539,0,9.986,-0.917,0.969,-310284,-488654,119521,731.7,4431.2
193186545,1006,9.862,-0.794,1.166,-310553,-488136,120345,731.7,4431.2
193187564,2025,9.726,-0.659,1.635,-310851,-487564,122302,731.7,4431.2
193188584,3045,9.622,-0.608,1.72,-311077,-487350,122658,731.7,4431.2
193189603,4064,9.748,-0.636,1.526,-310802,-487469,121849,731.7,4431.2
193190623,5084,9.643,-0.549,1.628,-311032,-487101,122273,731.7,4431.2
193191643,6104,9.657,-0.492,1.615,-311000,-486857,122219,731.7,4431.2
193192662,7123,9.634,-0.596,1.832,-311051,-487296,123127,731.7,4431.2
193193682,8143,9.741,-0.87,1.851,-310817,-488456,123206,731.7,4431.2
193194701,9162,9.958,-1.017,1.484,-310345,-489076,121671,731.7,4431.2
193195721,10182,10.112,-1.161,1.143,-310008,-489687,120249,731.7,4431.2
193196740,11201,10.209,-1.326,0.978,-309796,-490383,119559,731.7,4431.2
193197760,12221,10.48,-1.229,1.047,-309206,-489975,119850,731.7,4431.2
193198779,13240,10.437,-1.066,1.127,-309300,-489285,120184,731.7,4431.2
193199799,14260,10.178,-0.883,1.201,-309864,-488509,120493,731.7,4431.2
193200818,15279,10.2,-0.827,0.842,-309817,-488273,118991,731.7,4431.2
193201849,16310,10.127,-0.927,0.611,-309975,-488698,118027,731.7,4431.2
193202925,17386,10.127,-0.927,0.611,-309975,-488698,118027,731.7,4431.2
193203990,18451,9.875,-0.61,2.329,-310538,-487356,125201,731.7,4431.2
193205011,19472,9.927,-0.535,2.655,-310424,-487039,126561,731.7,4431.2
193206032,20493,9.904,-0.497,2.088,-310474,-486881,124195,731.7,4431.2
193207053,21514,9.801,-0.402,1.598,-310698,-486478,122149,731.7,4431.2
193208074,22535,9.676,-0.369,1.446,-310972,-486338,121516,731.7,4431.2
193209095,23556,9.924,-0.567,1.418,-310431,-487174,121398,731.7,4431.2
193210115,24576,9.929,-0.634,1.673,-310419,-487459,122460,731.7,4431.2
193211136,25597,10.136,-0.613,1.444,-309968,-487371,121507,731.7,4431.2
193212157,26618,10.136,-0.778,1.633,-309968,-488069,122296,731.7,4431.2
193213178,27639,10.049,-0.63,1.888,-310158,-487441,123361,731.7,4431.2
193214199,28660,10.388,-0.727,1.885,-309417,-487850,123346,731.7,4431.2
193215220,29681,10.772,-1.183,1.59,-308580,-489778,122116,731.7,4431.2
193216241,30702,11.163,-1.623,1.552,-307727,-491637,121957,731.7,4431.2
193217262,31723,10.968,-1.636,1.33,-308153,-491694,121030,731.7,4431.2
193218283,32744,10.94,-1.39,1.137,-308214,-490655,120222,731.7,4431.2
193219304,33765,10.66,-1.304,0.912,-308824,-490290,119283,731.7,4431.2
193220324,34785,10.633,-1.157,0.676,-308883,-489670,118300,731.7,4431.2
193221345,35806,10.64,-1.119,0.496,-308867,-489510,117548,731.7,4431.2
193222366,36827,10.732,-1.114,0.636,-308667,-489487,118131,731.7,4431.2
193223387,37848,10.296,-0.766,0.953,-309618,-488016,119455,731.7,4431.2
193224408,38869,10.225,-0.47,1.501,-309773,-486764,121744,731.7,4431.2
193225429,39890,10.27,-0.537,1.952,-309676,-487047,123628,731.7,4431.2
193226450,40911,10.748,-0.858,2.102,-308632,-488404,124253,731.7,4431.2
193227471,41932,10.795,-0.933,1.678,-308529,-488723,122484,731.7,4431.2
193228492,42953,10.745,-0.826,1.623,-308638,-488270,122253,731.7,4431.2
193229513,43974,10.575,-0.718,2.013,-309010,-487815,123879,731.7,4431.2
193230535,44996,10.348,-0.533,2.429,-309505,-487031,125618,731.7,4431.2
193231557,46018,10.158,-0.588,2.2,-309919,-487265,124662,731.7,4431.2
193232579,47040,10.474,-0.849,2.136,-309231,-488367,124394,731.7,4431.2
193233600,48061,10.686,-0.996,2.115,-308767,-488989,124306,731.7,4431.2
193234622,49083,10.54,-1.111,1.819,-309086,-489474,123073,731.7,4431.2
193235644,50105,10.769,-1.307,1.28,-308587,-490301,120819,731.7,4431.2
193236666,51127,10.978,-1.296,1.141,-308131,-490256,120239,731.7,4431.2
193237688,52149,10.876,-1.249,1.187,-308352,-490059,120433,731.7,4431.2
193238709,53170,10.705,-1.075,1.504,-308727,-489323,121757,731.7,4431.2
