t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4100159790,0,26.606,-1.325,5.628,-274030,-490305,139023,2094.8,4744.1
4100160406,616,27.418,-1.08,6.245,-272258,-489268,141598,2094.8,4744.1
4100161425,1635,25.615,0.963,6.807,-276192,-480638,143942,2094.8,4744.1
4100162445,2655,26.457,-1.017,6.319,-274354,-489006,141907,2094.8,4744.1
4100163464,3674,27.752,-1.021,6.207,-271529,-489022,141441,2094.8,4744.1
4100164484,4694,26.44,-0.392,4.799,-274391,-486361,135564,2094.8,4744.1
4100165503,5713,26.256,-1.601,5.108,-274793,-491473,136851,2094.8,4744.1
4100166523,6733,27.577,-2.727,4.65,-271911,-496228,134943,2094.8,4744.1
4100167542,7752,27.677,-2.353,3.405,-271693,-494648,129746,2094.8,4744.1
4100168562,8772,25.196,-0.675,4.862,-277105,-487559,135825,2094.8,4744.1
4100169581,9791,25.605,-2.637,5.912,-276213,-495850,140210,2094.8,4744.1
4100170601,10811,27.808,-4.854,3.464,-271406,-505216,129991,2094.8,4744.1
4100171620,11830,28.797,-4.101,4.425,-269249,-502037,134003,2094.8,4744.1
4100172640,12850,27.826,-2.72,5.292,-271368,-496199,137622,2094.8,4744.1
4100173659,13869,26.509,-0.929,5.63,-274242,-488632,139033,2094.8,4744.1
4100174679,14889,25.562,-1.571,4.784,-276307,-491345,135500,2094.8,4744.1
4100175698,15908,26.774,-2.933,5.362,-273662,-497098,137914,2094.8,4744.1
4100176718,16928,28.712,-4.341,7.69,-269433,-503050,147629,2094.8,4744.1
4100177737,17947,28.628,-3.047,7.937,-269618,-497581,148661,2094.8,4744.1
4100178757,18967,27.009,-2.342,5.947,-273150,-494604,140354,2094.8,4744.1
4100179777,19987,26.537,-1.707,5.181,-274181,-491920,137156,2094.8,4744.1
4100180796,21006,26.924,-2.517,4.557,-273335,-495342,134554,2094.8,4744.1
4100181816,22026,27.188,-1.866,4.062,-272760,-492591,132487,2094.8,4744.1
4100182835,23045,27.234,-2.851,2.625,-272659,-496755,126488,2094.8,4744.1
4100183855,24065,27.885,-3.526,2.976,-271239,-499604,127953,2094.8,4744.1
4100184874,25084,27.031,-2.675,4.36,-273103,-496010,133731,2094.8,4744.1
4100185894,26104,27.172,-3.126,3.552,-272794,-497915,130358,2094.8,4744.1
4100186925,27135,27.455,-2.748,3.437,-272177,-496319,129880,2094.8,4744.1
4100188000,28210,27.455,-2.748,3.437,-272177,-496319,129880,2094.8,4744.1
4100189064,29274,26.943,-2.747,5.824,-273295,-496312,139840,2094.8,4744.1
4100190085,30295,27.2,-3.087,4.104,-272733,-497749,132663,2094.8,4744.1
4100191106,31316,27.392,-2.906,3.757,-272314,-496987,131214,2094.8,4744.1
4100192127,32337,27.615,-2.417,4.538,-271827,-494918,134474,2094.8,4744.1
4100193148,33358,27.477,-2.45,5.101,-272129,-495058,136822,2094.8,4744.1
4100194169,34379,26.819,-2.62,5.197,-273565,-495779,137225,2094.8,4744.1
4100195190,35400,27.691,-3.593,4.848,-271661,-499890,135766,2094.8,4744.1
4100196211,36421,26.103,-2.032,4.084,-275126,-493292,132578,2094.8,4744.1
4100197232,37442,26.563,-2.352,1.938,-274123,-494645,123623,2094.8,4744.1
4100198252,38462,28.401,-4.27,2.602,-270113,-502748,126392,2094.8,4744.1
4100199273,39483,27.982,-4.136,5.814,-271027,-502184,139799,2094.8,4744.1
4100200294,40504,27.361,-3.554,4.655,-272382,-499723,134964,2094.8,4744.1
4100201315,41525,27.451,-3.614,1.975,-272185,-499976,123779,2094.8,4744.1
4100202336,42546,29.292,-5.359,1.194,-268168,-507350,120518,2094.8,4744.1
4100203357,43567,28.885,-5.475,1.467,-269056,-507842,121658,2094.8,4744.1
