t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4085665646,0,0.023,0.107,-0.017,-332035,-484255,115436,2123.1,5052.8
4085666197,551,-0.066,0.007,0.092,-332230,-484675,115888,2123.1,5052.8
4085667219,1573,0.04,0.104,0.054,-331997,-484268,115733,2123.1,5052.8
4085668240,2594,-0.038,0.0,0.008,-332168,-484705,115538,2123.1,5052.8
4085669262,3616,-0.089,0.12,0.086,-332278,-484200,115866,2123.1,5052.8
4085670284,4638,0.068,0.147,0.007,-331936,-484087,115537,2123.1,5052.8
4085671306,5660,0.031,0.104,0.044,-332018,-484266,115689,2123.1,5052.8
4085672327,6681,0.029,0.05,0.049,-332022,-484497,115710,2123.1,5052.8
4085673349,7703,-0.018,0.039,0.114,-332124,-484543,115981,2123.1,5052.8
4085674371,8725,-0.089,0.091,0.072,-332280,-484322,115805,2123.1,5052.8
4085675393,9747,0.029,0.06,0.024,-332021,-484455,115606,2123.1,5052.8
4085676415,10769,0.081,0.043,0.058,-331909,-484524,115749,2123.1,5052.8
4085677436,11790,0.026,-0.02,0.066,-332029,-484793,115783,2123.1,5052.8
4085678458,12812,0.084,0.048,0.088,-331901,-484503,115872,2123.1,5052.8
4085679480,13834,0.11,-0.034,-0.01,-331844,-484850,115463,2123.1,5052.8
4085680502,14856,0.083,-0.042,0.047,-331904,-484885,115701,2123.1,5052.8
4085681523,15877,0.019,0.056,0.041,-332043,-484470,115675,2123.1,5052.8
4085682545,16899,0.152,0.034,-0.019,-331753,-484564,115428,2123.1,5052.8
4085683567,17921,-0.086,-0.008,0.04,-332272,-484742,115672,2123.1,5052.8
4085684589,18943,-0.074,-0.038,-0.014,-332247,-484867,115449,2123.1,5052.8
4085685611,19965,0.14,0.012,-0.005,-331780,-484658,115487,2123.1,5052.8
4085686632,20986,-0.082,-0.022,-0.007,-332264,-484798,115478,2123.1,5052.8
4085687654,22008,0.092,0.041,0.068,-331884,-484533,115789,2123.1,5052.8
4085688676,23030,-0.023,-0.011,0.012,-332136,-484754,115555,2123.1,5052.8
4085689698,24052,0.007,-0.007,-0.01,-332070,-484735,115464,2123.1,5052.8
4085690719,25073,-0.046,0.047,0.1,-332186,-484506,115924,2123.1,5052.8
4085691741,26095,-0.026,0.044,0.06,-332142,-484522,115756,2123.1,5052.8
4085692763,27117,-0.01,0.084,0.054,-332106,-484350,115732,2123.1,5052.8
4085693785,28139,-0.022,-0.005,0.001,-332132,-484727,115511,2123.1,5052.8
4085694807,29161,-0.023,0.045,0.013,-332136,-484516,115561,2123.1,5052.8
4085695828,30182,0.05,-0.01,0.078,-331975,-484749,115830,2123.1,5052.8
4085696850,31204,-0.079,0.087,0.109,-332258,-484341,115959,2123.1,5052.8
4085697872,32226,-0.043,0.007,-0.021,-332178,-484677,115417,2123.1,5052.8
4085698894,33248,0.067,0.042,0.055,-331938,-484528,115734,2123.1,5052.8
4085699915,34269,-0.101,0.015,0.028,-332306,-484645,115621,2123.1,5052.8
4085700937,35291,0.061,0.036,0.023,-331951,-484554,115603,2123.1,5052.8
4085701959,36313,-0.017,0.066,0.076,-332121,-484429,115822,2123.1,5052.8
4085702981,37335,0.025,-0.069,0.008,-332031,-484997,115538,2123.1,5052.8
4085704003,38357,-0.026,0.092,0.05,-332142,-484316,115714,2123.1,5052.8
4085705036,39390,0.026,0.109,0.04,-332029,-484248,115673,2123.1,5052.8
4085706112,40466,0.026,0.109,0.04,-332029,-484248,115673,2123.1,5052.8
4085707177,41531,0.183,0.057,-0.008,-331673,-484467,115499,2123.1,5052.8
4085708198,42552,-0.039,0.007,0.042,-332157,-484677,115708,2123.1,5052.8
4085709219,43573,-0.069,0.009,-0.014,-332221,-484669,115477,2123.1,5052.8
4085710239,44593,0.111,0.014,0.093,-331830,-484646,115924,2123.1,5052.8
4085711260,45614,0.019,0.005,0.015,-332031,-484687,115595,2123.1,5052.8
4085712281,46635,-0.019,-0.006,-0.003,-332112,-484733,115523,2123.1,5052.8
4085713302,47656,-0.008,-0.032,-0.026,-332088,-484840,115426,2123.1,5052.8
4085714323,48677,-0.013,0.036,-0.043,-332099,-484555,115354,2123.1,5052.8
4085715344,49698,0.017,0.077,0.017,-332034,-484380,115607,2123.1,5052.8
4085716365,50719,-0.068,0.033,0.046,-332219,-484566,115726,2123.1,5052.8
4085717386,51740,-0.099,-0.022,0.003,-332287,-484798,115545,2123.1,5052.8
4085718407,52761,-0.017,0.073,-0.032,-332109,-484400,115401,2123.1,5052.8
4085719427,53781,-0.103,0.019,0.035,-332297,-484625,115679,2123.1,5052.8
4085720448,54802,0.014,0.07,0.008,-332041,-484412,115568,2123.1,5052.8
4085721469,55823,-0.141,-0.002,-0.025,-332378,-484714,115429,2123.1,5052.8
