t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4069360082,-6.223,-0.157,0.032,-345775,-485556,115641,935.6,4738.2
4069361085,-6.381,-0.237,-0.06,-346120,-485895,115256,935.6,4738.2
4069362107,-6.23,-0.155,-0.011,-345789,-485549,115461,935.6,4738.2
4069363129,-6.305,-0.142,0.009,-345954,-485496,115545,935.6,4738.2
4069364151,-6.392,-0.148,0.077,-346143,-485518,115826,935.6,4738.2
4069365172,-6.285,-0.09,0.003,-345910,-485273,115518,935.6,4738.2
4069366194,-6.343,-0.143,0.111,-346036,-485499,115969,935.6,4738.2
4069367216,-6.402,-0.161,0.025,-346166,-485576,115611,935.6,4738.2
4069368238,-6.373,-0.327,0.0,-346101,-486277,115507,935.6,4738.2
4069369259,-6.46,-0.361,0.029,-346291,-486420,115627,935.6,4738.2
4069370281,-6.356,-0.378,0.061,-346064,-486494,115759,935.6,4738.2
4069371303,-6.331,-0.237,0.038,-346010,-485898,115663,935.6,4738.2
4069372325,-6.506,-0.362,0.092,-346393,-486423,115892,935.6,4738.2
4069373347,-6.487,-0.319,-0.049,-346351,-486244,115299,935.6,4738.2
4069374368,-6.444,-0.296,0.088,-346258,-486147,115875,935.6,4738.2
4069375390,-6.484,-0.358,0.078,-346344,-486407,115831,935.6,4738.2
4069376412,-6.386,-0.313,0.027,-346131,-486218,115620,935.6,4738.2
4069377434,-6.493,-0.216,0.127,-346363,-485807,116036,935.6,4738.2
4069378455,-6.449,-0.254,0.096,-346267,-485970,115907,935.6,4738.2
4069379477,-6.45,-0.227,0.067,-346271,-485853,115787,935.6,4738.2
4069380499,-6.516,-0.217,-0.008,-346415,-485813,115474,935.6,4738.2
4069381521,-6.431,-0.148,-0.006,-346228,-485520,115480,935.6,4738.2
4069382543,-6.522,-0.138,0.063,-346428,-485476,115770,935.6,4738.2
4069383564,-6.671,-0.221,0.033,-346752,-485827,115643,935.6,4738.2
4069384586,-6.594,-0.173,0.008,-346585,-485625,115539,935.6,4738.2
4069385620,-6.698,-0.276,0.152,-346811,-486061,116139,935.6,4738.2
4069386698,-6.698,-0.276,0.152,-346811,-486061,116139,935.6,4738.2
4069387763,-6.55,-0.225,0.061,-346370,-485555,116013,935.6,4738.2
4069388784,-6.599,-0.298,-0.018,-346478,-485863,115685,935.6,4738.2
4069389805,-6.527,-0.318,-0.003,-346320,-485948,115746,935.6,4738.2
4069390826,-6.588,-0.268,-0.017,-346453,-485735,115688,935.6,4738.2
4069391847,-6.738,-0.228,-0.044,-346781,-485565,115576,935.6,4738.2
4069392867,-6.781,-0.212,-0.03,-346874,-485501,115634,935.6,4738.2
4069393888,-6.664,-0.14,-0.05,-346620,-485193,115552,935.6,4738.2
4069394909,-6.58,-0.108,-0.016,-346435,-485058,115693,935.6,4738.2
4069395930,-6.774,-0.15,-0.031,-346859,-485236,115632,935.6,4738.2
4069396951,-6.85,-0.114,0.014,-347026,-485087,115819,935.6,4738.2
4069397972,-6.824,-0.17,-0.083,-346968,-485321,115412,935.6,4738.2
4069398993,-6.821,-0.121,-0.064,-346962,-485115,115492,935.6,4738.2
4069400014,-6.879,-0.135,-0.029,-347089,-485175,115637,935.6,4738.2
4069401035,-6.812,-0.133,-0.024,-346943,-485167,115661,935.6,4738.2
4069402055,-6.948,-0.215,-0.038,-347239,-485513,115599,935.6,4738.2
4069403077,-6.83,-0.232,0.012,-346981,-485583,115808,935.6,4738.2
4069404097,-6.732,-0.195,-0.019,-346767,-485429,115682,935.6,4738.2
4069405118,-6.78,-0.344,-0.068,-346873,-486057,115474,935.6,4738.2
4069406139,-6.909,-0.257,-0.069,-347153,-485690,115471,935.6,4738.2
4069407160,-6.828,-0.284,-0.081,-346976,-485805,115422,935.6,4738.2
4069408181,-6.927,-0.331,-0.047,-347193,-486001,115563,935.6,4738.2
4069409202,-6.849,-0.308,-0.047,-347022,-485904,115562,935.6,4738.2
4069410223,-6.935,-0.348,-0.02,-347210,-486074,115677,935.6,4738.2
4069411244,-6.848,-0.321,-0.055,-347020,-485961,115531,935.6,4738.2
4069412265,-6.855,-0.28,-0.062,-347035,-485787,115500,935.6,4738.2
4069413287,-6.83,-0.304,-0.096,-346982,-485888,115360,935.6,4738.2
4069414308,-6.931,-0.281,-0.06,-347202,-485790,115511,935.6,4738.2
4069415330,-6.915,-0.171,-0.023,-347166,-485325,115665,935.6,4738.2
4069416352,-7.015,-0.274,-0.122,-347386,-485762,115252,935.6,4738.2
4069417374,-6.884,-0.199,-0.118,-347100,-485443,115268,935.6,4738.2
4069418395,-7.062,-0.26,-0.068,-347487,-485703,115474,935.6,4738.2
4069419417,-7.17,-0.252,-0.132,-347724,-485669,115209,935.6,4738.2
4069420439,-7.008,-0.251,-0.07,-347369,-485664,115468,935.6,4738.2
4069421461,-7.019,-0.136,-0.051,-347393,-485180,115546,935.6,4738.2
4069422483,-7.122,-0.249,-0.09,-347618,-485656,115386,935.6,4738.2
4069423504,-7.064,-0.313,-0.03,-347491,-485928,115633,935.6,4738.2
4069424526,-7.101,-0.294,-0.003,-347573,-485847,115746,935.6,4738.2
4069425548,-7.103,-0.279,-0.042,-347578,-485783,115586,935.6,4738.2
4069426570,-7.147,-0.382,-0.08,-347673,-486219,115424,935.6,4738.2
4069427591,-7.234,-0.499,-0.02,-347862,-486713,115678,935.6,4738.2
4069428613,-7.204,-0.492,-0.07,-347797,-486683,115466,935.6,4738.2
4069429635,-7.218,-0.461,-0.021,-347829,-486553,115672,935.6,4738.2
4069430657,-7.33,-0.579,-0.067,-348072,-487049,115478,935.6,4738.2
4069431679,-7.094,-0.512,-0.01,-347558,-486767,115717,935.6,4738.2
4069432700,-7.087,-0.558,-0.063,-347543,-486962,115498,935.6,4738.2
4069433722,-7.213,-0.53,-0.059,-347816,-486845,115512,935.6,4738.2
4069434744,-7.25,-0.479,-0.014,-347898,-486627,115700,935.6,4738.2
4069435766,-7.255,-0.304,-0.094,-347909,-485888,115366,935.6,4738.2
4069436787,-7.248,-0.151,-0.092,-347894,-485243,115377,935.6,4738.2
