# Participant: P4
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250610
# Time: 121252
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
594688667,0,-9.113,-0.093,0.001,-353296,-487897,114104,,,587438667,587.438667
594689068,401,-9.231,-0.096,0.018,-353556,-487909,114177,,,587439068,587.439068
594690089,1422,-9.312,0.019,-0.054,-353734,-487424,113874,,,587440089,587.440089
594691110,2443,-9.302,-0.035,0.065,-353711,-487650,114372,,,587441110,587.44111
594692130,3463,-9.4,-0.101,0.052,-353926,-487932,114318,,,587442130,587.44213
594693151,4484,-9.376,-0.007,0.089,-353874,-487533,114472,,,587443151,587.443151
594694172,5505,-9.435,-0.027,-0.002,-354004,-487618,114090,,,587444172,587.444172
594695193,6526,-9.57,-0.026,0.121,-354300,-487613,114608,,,587445193,587.445193
594696214,7547,-9.609,-0.098,0.163,-354385,-487919,114782,,,587446214,587.4462139999999
594697235,8568,-9.64,-0.003,0.122,-354453,-487516,114610,,,587447235,587.447235
594698255,9588,-9.682,-0.009,0.232,-354545,-487539,115075,,,587448255,587.448255
594699276,10609,-9.685,0.111,0.223,-354553,-487032,115037,,,587449276,587.4492759999999
594700297,11630,-9.744,-0.01,0.216,-354681,-487545,115008,,,587450297,587.450297
594701318,12651,-9.775,-0.041,0.229,-354749,-487676,115062,,,587451318,587.451318
594702339,13672,-9.786,-0.078,0.174,-354775,-487833,114828,,,587452339,587.4523389999999
594703360,14693,-9.751,-0.068,0.142,-354698,-487792,114696,,,587453360,587.45336
594704380,15713,-9.626,-0.065,0.166,-354423,-487777,114797,,,587454380,587.45438
594705401,16734,-9.615,-0.032,0.108,-354398,-487639,114552,,,587455401,587.4554009999999
594706422,17755,-9.704,-0.042,0.07,-354595,-487680,114395,,,587456422,587.456422
594707443,18776,-9.487,-0.098,0.143,-354118,-487918,114699,,,587457443,587.457443
594708464,19797,-9.563,-0.015,0.082,-354285,-487567,114442,,,587458464,587.4584639999999
594709485,20818,-9.647,-0.112,0.059,-354468,-487977,114346,,,587459485,587.459485
594710506,21839,-9.731,-0.113,0.015,-354654,-487984,114164,,,587460506,587.460506
594711526,22859,-9.617,-0.016,0.004,-354404,-487570,114116,,,587461526,587.4615259999999
594712547,23880,-9.765,-0.149,-0.01,-354729,-488138,114058,,,587462547,587.462547
594713568,24901,-9.738,-0.086,0.001,-354668,-487867,114103,,,587463568,587.463568
594714589,25922,-9.745,-0.054,0.059,-354684,-487731,114347,,,587464589,587.4645889999999
594715610,26943,-9.822,-0.073,0.097,-354853,-487811,114508,,,587465610,587.46561
594716630,27963,-9.82,-0.013,0.039,-354849,-487558,114262,,,587466630,587.46663
594717651,28984,-9.979,-0.05,0.084,-355199,-487717,114453,,,587467651,587.4676509999999
594718672,30005,-9.823,0.035,0.073,-354855,-487353,114405,,,587468672,587.468672
594719693,31026,-9.892,-0.007,0.045,-355007,-487532,114290,,,587469693,587.469693
594720714,32047,-9.902,-0.017,0.094,-355028,-487573,114495,,,587470714,587.4707139999999
594721735,33068,-9.864,-0.04,0.113,-354945,-487673,114572,,,587471735,587.471735
594722756,34089,-10.098,0.082,0.032,-355460,-487155,114234,,,587472756,587.472756
594723776,35109,-10.038,0.05,0.035,-355327,-487288,114247,,,587473776,587.4737759999999
594724797,36130,-10.104,0.048,0.081,-355472,-487299,114439,,,587474797,587.474797
594725818,37151,-10.072,0.08,0.094,-355402,-487164,114494,,,587475818,587.475818
594726839,38172,-10.154,-0.025,0.101,-355583,-487609,114522,,,587476839,587.4768389999999
594727860,39193,-10.124,0.105,0.036,-355517,-487057,114249,,,587477860,587.47786
594728881,40214,-10.076,-0.02,0.058,-355411,-487587,114341,,,587478881,587.478881
594729901,41234,-10.186,0.12,0.028,-355652,-486993,114217,,,587479901,587.4799009999999
594730922,42255,-10.133,0.109,0.052,-355537,-487038,114319,,,587480922,587.480922
594731943,43276,-10.157,0.074,0.032,-355589,-487190,114234,,,587481943,587.481943
594732964,44297,-10.179,0.053,0.04,-355636,-487279,114268,,,587482964,587.4829639999999
594733985,45318,-10.201,0.052,0.094,-355685,-487282,114495,,,587483985,587.483985
594735006,46339,-10.31,0.113,0.074,-355925,-487024,114409,,,587485006,587.485006
594736027,47360,-10.216,-0.059,0.117,-355719,-487754,114591,,,587486027,587.4860269999999
594737047,48380,-10.234,0.042,0.082,-355757,-487325,114442,,,587487047,587.487047
594738080,49413,-10.3,0.102,0.044,-355902,-487068,114284,,,587488080,587.48808
594739156,50489,-10.3,0.102,0.044,-355902,-487068,114284,,,587489156,587.489156
594740220,51553,-10.362,-0.063,0.126,-355994,-487662,114743,,,587490220,587.49022
594741241,52574,-10.341,0.033,0.033,-355947,-487254,114353,,,587491241,587.491241
594742262,53595,-10.423,0.034,0.052,-356127,-487248,114430,,,587492262,587.492262
594743283,54616,-10.297,-0.003,0.085,-355850,-487405,114569,,,587493283,587.493283
594744304,55637,-10.331,0.083,0.049,-355925,-487039,114418,,,587494304,587.4943039999999
594745324,56657,-10.438,-0.052,0.068,-356161,-487615,114501,,,587495324,587.495324
594746345,57678,-10.493,0.031,0.076,-356280,-487260,114533,,,587496345,587.496345
594747366,58699,-10.55,0.053,0.119,-356407,-487168,114713,,,587497366,587.4973659999999
594748387,59720,-10.456,0.046,0.026,-356200,-487199,114322,,,587498387,587.498387
594749408,60741,-10.536,0.071,-0.002,-356376,-487092,114207,,,587499408,587.499408
594750429,61762,-10.601,0.032,-0.022,-356517,-487257,114120,,,587500429,587.5004289999999
594751449,62782,-10.516,0.065,0.044,-356331,-487116,114400,,,587501449,587.501449
594752470,63803,-10.648,0.058,0.105,-356621,-487146,114653,,,587502470,587.50247
594753491,64824,-10.581,-0.019,0.088,-356474,-487473,114582,,,587503491,587.5034909999999
594754512,65845,-10.586,0.06,0.06,-356484,-487140,114464,,,587504512,587.504512
594755533,66866,-10.663,-0.004,0.038,-356653,-487412,114373,,,587505533,587.505533
594756554,67887,-10.68,-0.099,-0.051,-356692,-487816,114001,,,587506554,587.5065539999999
594757575,68908,-10.788,-0.016,0.04,-356928,-487460,114380,,,587507575,587.507575
594758595,69928,-10.738,0.026,0.087,-356819,-487285,114580,,,587508595,587.508595
594759616,70949,-10.787,-0.044,-0.043,-356927,-487579,114032,,,587509616,587.5096159999999
594760637,71970,-10.754,-0.079,-0.061,-356854,-487731,113958,,,587510637,587.510637
594761658,72991,-10.937,-0.134,0.014,-357255,-487965,114272,,,587511658,587.511658
594762679,74012,-10.858,-0.113,-0.025,-357081,-487872,114110,,,587512679,587.5126789999999
594763700,75033,-11.168,-0.048,-0.017,-357763,-487598,114142,,,587513700,587.5137
594764720,76053,-11.014,-0.039,0.077,-357424,-487558,114538,,,587514720,587.51472
594765741,77074,-11.183,-0.033,0.014,-357796,-487532,114274,,,587515741,587.5157409999999
594766763,78096,-11.153,-0.074,-0.004,-357729,-487709,114198,,,587516763,587.516763
594767784,79117,-11.023,-0.001,0.02,-357445,-487398,114297,,,587517784,587.517784
594768806,80139,-11.083,-0.08,0.042,-357577,-487735,114392,,,587518806,587.5188059999999
594769828,81161,-11.135,0.024,0.032,-357690,-487290,114349,,,587519828,587.519828
594770849,82182,-11.145,0.004,-0.035,-357711,-487378,114069,,,587520849,587.520849
594771871,83204,-11.221,-0.021,-0.104,-357879,-487484,113779,,,587521871,587.5218709999999
594772893,84226,-11.124,-0.03,-0.073,-357667,-487523,113907,,,587522893,587.522893
594773915,85248,-11.241,-0.054,-0.066,-357922,-487622,113937,,,587523915,587.523915
594774936,86269,-11.19,-0.076,-0.165,-357811,-487715,113521,,,587524936,587.524936
594775958,87291,-11.091,-0.109,-0.096,-357593,-487858,113809,,,587525958,587.525958
594776980,88313,-11.281,-0.173,-0.095,-358011,-488130,113815,,,587526980,587.52698
594778002,89335,-11.319,-0.195,-0.105,-358095,-488223,113775,,,587528002,587.528002
594779023,90356,-11.404,-0.163,-0.113,-358281,-488087,113739,,,587529023,587.5290229999999
