# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: frc_reset
# Date: 20250610
# Time: 121049
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
471845820,0,-0.126,0.003,0.028,-333563,-487528,114189,132.4,2338.7,464595820,464.59582
471846764,944,-0.185,-0.034,0.065,-333692,-487685,114345,132.4,2338.7,464596764,464.59676399999995
471847785,1965,-0.09,0.112,-0.029,-333484,-487062,113951,132.4,2338.7,464597785,464.597785
471848806,2986,-0.21,0.043,0.04,-333747,-487357,114237,132.4,2338.7,464598806,464.59880599999997
471849827,4007,-0.24,0.013,0.038,-333814,-487483,114230,132.4,2338.7,464599827,464.599827
471850848,5028,-0.175,0.004,-0.059,-333672,-487522,113822,132.4,2338.7,464600848,464.600848
471851869,6049,-0.15,0.006,0.039,-333616,-487512,114233,132.4,2338.7,464601869,464.60186899999997
471852889,7069,-0.012,0.043,-0.037,-333313,-487355,113916,132.4,2338.7,464602889,464.602889
471853910,8090,-0.189,-0.001,0.037,-333701,-487543,114227,132.4,2338.7,464603910,464.60391
471854931,9111,-0.122,0.009,0.05,-333555,-487499,114279,132.4,2338.7,464604931,464.60493099999997
471855952,10132,-0.008,0.052,0.022,-333305,-487317,114164,132.4,2338.7,464605952,464.605952
471856973,11153,-0.24,0.021,0.003,-333814,-487450,114085,132.4,2338.7,464606973,464.606973
471857994,12174,-0.169,0.107,0.078,-333658,-487082,114399,132.4,2338.7,464607994,464.60799399999996
471859014,13194,-0.139,0.044,0.044,-333592,-487353,114257,132.4,2338.7,464609014,464.609014
471860035,14215,-0.096,-0.008,0.012,-333498,-487571,114123,132.4,2338.7,464610035,464.610035
471861056,15236,-0.108,0.017,-0.029,-333523,-487468,113951,132.4,2338.7,464611056,464.61105599999996
471862077,16257,-0.205,-0.02,-0.021,-333736,-487622,113981,132.4,2338.7,464612077,464.612077
471863098,17278,-0.095,-0.051,0.033,-333496,-487757,114208,132.4,2338.7,464613098,464.613098
471864119,18299,-0.147,-0.052,0.076,-333609,-487761,114389,132.4,2338.7,464614119,464.61411899999996
471865139,19319,-0.208,0.001,0.026,-333743,-487536,114180,132.4,2338.7,464615139,464.615139
471866160,20340,-0.102,-0.012,-0.023,-333511,-487590,113974,132.4,2338.7,464616160,464.61616
471867181,21361,-0.126,0.035,0.011,-333564,-487391,114118,132.4,2338.7,464617181,464.61718099999996
471868202,22382,-0.065,0.084,-0.002,-333430,-487184,114063,132.4,2338.7,464618202,464.618202
471869223,23403,-0.079,0.025,0.001,-333461,-487432,114075,132.4,2338.7,464619223,464.619223
471870244,24424,-0.137,-0.012,0.003,-333588,-487588,114082,132.4,2338.7,464620244,464.62024399999996
471871264,25444,-0.036,0.018,-0.03,-333365,-487462,113946,132.4,2338.7,464621264,464.621264
471872285,26465,-0.09,0.091,-0.017,-333484,-487152,114001,132.4,2338.7,464622285,464.622285
471873306,27486,-0.068,0.062,-0.005,-333437,-487277,114051,132.4,2338.7,464623306,464.62330599999996
471874327,28507,-0.043,0.065,-0.081,-333382,-487263,113730,132.4,2338.7,464624327,464.624327
471875348,29528,-0.052,0.012,0.022,-333401,-487489,114162,132.4,2338.7,464625348,464.625348
471876369,30549,-0.149,0.041,-0.036,-333615,-487365,113921,132.4,2338.7,464626369,464.62636899999995
471877389,31569,-0.028,0.048,-0.053,-333349,-487333,113848,132.4,2338.7,464627389,464.627389
471878410,32590,-0.116,0.043,-0.068,-333542,-487357,113785,132.4,2338.7,464628410,464.62841
