# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250610
# Time: 120946
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
408871653,0,-2.821,1.83,-0.298,-339482,-479723,112792,81.0,2878.9,401621653,401.621653
408872484,831,-2.476,1.694,-0.926,-338723,-480303,110153,81.0,2878.9,401622484,401.622484
408873504,1851,-2.146,1.42,-1.077,-337998,-481465,109521,81.0,2878.9,401623504,401.62350399999997
408874523,2870,-1.886,1.175,-1.086,-337428,-482506,109484,81.0,2878.9,401624523,401.62452299999995
408875542,3889,-1.697,0.693,-1.292,-337014,-484556,108619,81.0,2878.9,401625542,401.625542
408876562,4909,-1.459,0.39,-1.289,-336491,-485844,108632,81.0,2878.9,401626562,401.626562
408877581,5928,-1.564,-0.032,-1.327,-336720,-487639,108471,81.0,2878.9,401627581,401.62758099999996
408878601,6948,-1.782,-0.456,-1.25,-337200,-489442,108792,81.0,2878.9,401628601,401.628601
408879620,7967,-2.071,-0.498,-0.852,-337835,-489619,110465,81.0,2878.9,401629620,401.62962
408880640,8987,-2.688,-0.454,-0.56,-339188,-489431,111693,81.0,2878.9,401630640,401.63063999999997
408881659,10006,-3.171,-0.689,-0.489,-340250,-490433,111988,81.0,2878.9,401631659,401.63165899999996
408882679,11026,-3.367,-0.245,0.35,-340679,-488545,115511,81.0,2878.9,401632679,401.632679
408883698,12045,-3.466,-0.265,1.074,-340897,-488629,118553,81.0,2878.9,401633698,401.633698
408884718,13065,-3.671,0.142,1.089,-341348,-486901,118616,81.0,2878.9,401634718,401.63471799999996
408885737,14084,-3.814,0.457,0.937,-341661,-485562,117976,81.0,2878.9,401635737,401.635737
408886756,15103,-3.717,0.463,0.542,-341448,-485534,116317,81.0,2878.9,401636756,401.636756
408887776,16123,-3.397,0.159,-0.107,-340745,-486827,113593,81.0,2878.9,401637776,401.637776
408888795,17142,-3.125,-0.016,-0.502,-340148,-487571,111936,81.0,2878.9,401638795,401.63879499999996
408889815,18162,-2.785,-0.715,-0.633,-339402,-490542,111383,81.0,2878.9,401639815,401.639815
408890834,19181,-2.777,-0.969,-1.078,-339385,-491623,109516,81.0,2878.9,401640834,401.640834
408891854,20201,-2.978,-1.441,-1.523,-339825,-493630,107649,81.0,2878.9,401641854,401.64185399999997
408892873,21220,-2.988,-1.993,-1.533,-339847,-495973,107605,81.0,2878.9,401642873,401.642873
408893893,22240,-3.18,-2.043,-1.117,-340269,-496188,109353,81.0,2878.9,401643893,401.643893
408894912,23259,-3.652,-2.022,-1.028,-341305,-496097,109725,81.0,2878.9,401644912,401.644912
408895932,24279,-4.22,-1.77,-0.987,-342552,-495027,109898,81.0,2878.9,401645932,401.64593199999996
408896963,25310,-4.454,-1.666,-0.729,-343066,-494584,110980,81.0,2878.9,401646963,401.64696299999997
408898041,26388,-4.454,-1.666,-0.729,-343066,-494584,110980,81.0,2878.9,401648041,401.648041
408899106,27453,-4.864,-1.106,-0.464,-343966,-492240,112122,81.0,2878.9,401649106,401.64910599999996
408900126,28473,-4.829,-0.937,-0.544,-343891,-491521,111787,81.0,2878.9,401650126,401.650126
408901147,29494,-4.901,-0.706,-0.223,-344048,-490540,113134,81.0,2878.9,401651147,401.651147
408902168,30515,-4.716,-0.791,-1.18,-343641,-490902,109117,81.0,2878.9,401652168,401.65216799999996
408903189,31536,-4.443,-1.017,-1.432,-343042,-491861,108059,81.0,2878.9,401653189,401.653189
408904210,32557,-4.885,-1.176,-0.134,-344014,-492540,113509,81.0,2878.9,401654210,401.65421
408905231,33578,-5.073,-1.245,0.639,-344426,-492830,116755,81.0,2878.9,401655231,401.65523099999996
408906251,34598,-4.854,-1.58,-0.434,-343945,-494257,112247,81.0,2878.9,401656251,401.656251
408907272,35619,-4.553,-2.097,-1.311,-343283,-496455,108566,81.0,2878.9,401657272,401.657272
408908293,36640,-5.188,-2.153,-1.015,-344678,-496691,109810,81.0,2878.9,401658293,401.65829299999996
408909314,37661,-5.769,-1.858,-0.522,-345955,-495438,111881,81.0,2878.9,401659314,401.659314
408910335,38682,-6.257,-1.639,-0.427,-347025,-494508,112278,81.0,2878.9,401660335,401.660335
408911356,39703,-6.482,-1.112,-0.172,-347519,-492265,113347,81.0,2878.9,401661356,401.66135599999996
408912376,40723,-6.725,-0.722,0.253,-348053,-490609,115134,81.0,2878.9,401662376,401.662376
408913397,41744,-6.926,-0.34,0.781,-348495,-488986,117349,81.0,2878.9,401663397,401.663397
408914418,42765,-7.107,-0.028,1.712,-348892,-487657,121258,81.0,2878.9,401664418,401.66441799999996
408915439,43786,-7.392,0.073,2.327,-349518,-487229,123842,81.0,2878.9,401665439,401.665439
408916460,44807,-7.816,0.489,2.749,-350448,-485460,125610,81.0,2878.9,401666460,401.66646
408917481,45828,-7.908,0.998,3.038,-350651,-483297,126825,81.0,2878.9,401667481,401.667481
408918501,46848,-7.645,1.067,2.627,-350074,-483002,125099,81.0,2878.9,401668501,401.668501
408919522,47869,-7.315,0.452,2.163,-349348,-485616,123153,81.0,2878.9,401669522,401.669522
408920543,48890,-7.252,-0.025,1.894,-349211,-487647,122021,81.0,2878.9,401670543,401.670543
408921564,49911,-7.296,0.077,1.644,-349307,-487210,120971,81.0,2878.9,401671564,401.671564
408922585,50932,-7.44,0.375,1.269,-349622,-485943,119400,81.0,2878.9,401672585,401.67258499999997
408923606,51953,-7.592,0.239,0.909,-349956,-486525,117885,81.0,2878.9,401673606,401.673606
408924628,52975,-7.548,0.12,0.851,-349861,-487027,117643,81.0,2878.9,401674628,401.674628
408925650,53997,-7.699,0.043,0.849,-350192,-487357,117634,81.0,2878.9,401675650,401.67564999999996
408926671,55018,-7.767,0.211,0.897,-350342,-486644,117838,81.0,2878.9,401676671,401.676671
408927693,56040,-7.833,0.49,0.879,-350486,-485454,117759,81.0,2878.9,401677693,401.677693
408928715,57062,-7.76,0.849,0.875,-350326,-483930,117744,81.0,2878.9,401678715,401.67871499999995
408929737,58084,-7.922,0.852,0.845,-350682,-483919,117620,81.0,2878.9,401679737,401.679737
408930758,59105,-7.644,0.939,0.671,-350071,-483547,116887,81.0,2878.9,401680758,401.68075799999997
408931780,60127,-7.653,0.918,0.563,-350091,-483637,116434,81.0,2878.9,401681780,401.68178
408932802,61149,-7.48,0.859,0.359,-349711,-483885,115576,81.0,2878.9,401682802,401.682802
408933823,62170,-7.354,0.717,0.226,-349435,-484491,115019,81.0,2878.9,401683823,401.68382299999996
408934845,63192,-7.399,0.537,0.147,-349534,-485255,114687,81.0,2878.9,401684845,401.684845
408935867,64214,-7.326,0.738,0.213,-349372,-484402,114964,81.0,2878.9,401685867,401.685867
408936889,65236,-7.278,0.899,0.19,-349267,-483716,114868,81.0,2878.9,401686889,401.686889
408937910,66257,-7.501,0.991,0.299,-349758,-483325,115327,81.0,2878.9,401687910,401.68791
408938932,67279,-7.574,0.652,0.517,-349918,-484769,116240,81.0,2878.9,401688932,401.68893199999997
408939954,68301,-7.724,0.318,0.705,-350246,-486185,117030,81.0,2878.9,401689954,401.689954
408940975,69322,-7.724,0.341,0.9,-350246,-486088,117851,81.0,2878.9,401690975,401.690975
408941997,70344,-7.81,0.957,0.959,-350435,-483472,118098,81.0,2878.9,401691997,401.69199699999996
408943019,71366,-7.624,1.16,0.91,-350026,-482608,117893,81.0,2878.9,401693019,401.693019
408944041,72388,-7.625,1.275,0.682,-350030,-482118,116934,81.0,2878.9,401694041,401.69404099999997
408945063,73410,-7.68,1.174,0.881,-350151,-482546,117770,81.0,2878.9,401695063,401.695063
408946084,74431,-7.663,1.068,1.297,-350112,-482997,119515,81.0,2878.9,401696084,401.696084
408947106,75453,-7.724,1.165,1.299,-350246,-482588,119526,81.0,2878.9,401697106,401.69710599999996
408948128,76475,-7.253,1.302,0.893,-349212,-482004,117820,81.0,2878.9,401698128,401.698128
408949149,77496,-6.805,1.213,0.566,-348229,-482381,116446,81.0,2878.9,401699149,401.699149
408950171,78518,-6.462,1.153,0.184,-347475,-482638,114845,81.0,2878.9,401700171,401.70017099999995
408951193,79540,-6.113,1.028,0.0,-346710,-483170,114073,81.0,2878.9,401701193,401.701193
408952215,80562,-5.856,1.585,0.227,-346145,-480800,115023,81.0,2878.9,401702215,401.70221499999997
408953236,81583,-5.723,-0.453,0.039,-345854,-489465,114236,81.0,2878.9,401703236,401.703236
408954258,82605,-5.731,-1.153,-0.224,-345870,-492442,113130,81.0,2878.9,401704258,401.704258
408955280,83627,-5.622,-0.726,-0.224,-345632,-490627,113132,81.0,2878.9,401705280,401.70527999999996
408956301,84648,-5.42,-0.427,-0.199,-345188,-489356,113234,81.0,2878.9,401706301,401.706301
408957323,85670,-5.219,-0.377,-0.19,-344747,-489141,113273,81.0,2878.9,401707323,401.707323
408958345,86692,-5.457,-0.147,-0.07,-345269,-488164,113779,81.0,2878.9,401708345,401.708345
408959367,87714,-5.662,-0.033,0.089,-345719,-487679,114446,81.0,2878.9,401709367,401.709367
408960388,88735,-5.711,-0.311,0.084,-345826,-488861,114425,81.0,2878.9,401710388,401.71038799999997
408961410,89757,-6.023,-0.226,0.099,-346512,-488499,114485,81.0,2878.9,401711410,401.71141
408962432,90779,-5.934,-0.224,0.05,-346317,-488492,114279,81.0,2878.9,401712432,401.712432
408963454,91801,-5.908,-0.165,-0.158,-346260,-488239,113406,81.0,2878.9,401713454,401.71345399999996
408964475,92822,-5.846,-0.189,-0.213,-346123,-488342,113177,81.0,2878.9,401714475,401.714475
408965497,93844,-5.969,0.02,-0.271,-346394,-487453,112933,81.0,2878.9,401715497,401.71549699999997
408966519,94866,-5.984,0.111,-0.49,-346425,-487068,112012,81.0,2878.9,401716519,401.716519
408967541,95888,-5.962,0.023,-0.551,-346377,-487443,111759,81.0,2878.9,401717541,401.717541
408968562,96909,-5.917,0.101,-0.567,-346278,-487111,111690,81.0,2878.9,401718562,401.71856199999996
408969584,97931,-5.901,0.036,-0.596,-346244,-487386,111567,81.0,2878.9,401719584,401.719584
408970606,98953,-5.96,0.131,-0.578,-346373,-486980,111644,81.0,2878.9,401720606,401.720606
408971627,99974,-5.941,0.113,-0.645,-346332,-487059,111362,81.0,2878.9,401721627,401.72162699999996
408972649,100996,-5.858,-0.028,-0.656,-346150,-487657,111318,81.0,2878.9,401722649,401.722649
408973671,102018,-6.011,-0.263,-0.686,-346486,-488659,111189,81.0,2878.9,401723671,401.72367099999997
408974693,103040,-6.145,-0.343,-0.474,-346779,-488996,112079,81.0,2878.9,401724693,401.724693
408975714,104061,-6.18,-0.542,-0.443,-346856,-489843,112212,81.0,2878.9,401725714,401.725714
408976736,105083,-6.203,-0.721,-0.574,-346907,-490602,111663,81.0,2878.9,401726736,401.72673599999996
408977758,106105,-6.441,-0.802,-0.678,-347430,-490950,111224,81.0,2878.9,401727758,401.727758
408978780,107127,-6.527,-1.034,-0.751,-347619,-491935,110917,81.0,2878.9,401728780,401.72878
408979801,108148,-6.787,-0.928,-0.717,-348190,-491486,111061,81.0,2878.9,401729801,401.729801
408980823,109170,-6.872,-0.712,-0.676,-348375,-490564,111233,81.0,2878.9,401730823,401.730823
408981845,110192,-6.972,-0.821,-0.76,-348596,-491028,110879,81.0,2878.9,401731845,401.73184499999996
408982867,111214,-7.023,0.031,-0.789,-348707,-487407,110757,81.0,2878.9,401732867,401.732867
408983888,112235,-7.149,0.86,-0.81,-348984,-483884,110669,81.0,2878.9,401733888,401.733888
408984910,113257,-7.554,1.471,-0.74,-349873,-481287,110966,81.0,2878.9,401734910,401.73490999999996
408985932,114279,-7.904,1.962,-0.462,-350641,-479200,112132,81.0,2878.9,401735932,401.735932
408986953,115300,-8.027,2.228,-0.454,-350911,-478065,112164,81.0,2878.9,401736953,401.73695299999997
408987975,116322,-8.248,2.686,-0.381,-351398,-476122,112473,81.0,2878.9,401737975,401.737975
408988997,117344,-8.527,2.62,-0.36,-352010,-476401,112558,81.0,2878.9,401738997,401.738997
