# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250610
# Time: 120523
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
145104781,0,-0.059,-0.003,-0.044,-333363,-487406,114002,22.3,2257.7,137854781,137.854781
145105654,873,0.001,0.12,0.047,-333231,-486882,114382,22.3,2257.7,137855654,137.855654
145106673,1892,-0.059,0.026,-0.017,-333363,-487283,114112,22.3,2257.7,137856673,137.856673
145107692,2911,-0.02,0.03,0.01,-333277,-487265,114229,22.3,2257.7,137857692,137.857692
145108712,3931,0.008,-0.017,-0.046,-333215,-487467,113992,22.3,2257.7,137858712,137.858712
145109731,4950,-0.139,0.046,0.085,-333538,-487196,114542,22.3,2257.7,137859731,137.85973099999998
145110751,5970,-0.042,0.069,0.071,-333326,-487102,114484,22.3,2257.7,137860751,137.860751
145111770,6989,-0.197,0.011,-0.034,-333667,-487346,114043,22.3,2257.7,137861770,137.86177
145112790,8009,-0.157,0.053,0.114,-333578,-487170,114663,22.3,2257.7,137862790,137.86279
145113809,9028,-0.108,-0.027,0.001,-333471,-487508,114189,22.3,2257.7,137863809,137.863809
145114829,10048,-0.126,0.087,-0.005,-333510,-487026,114165,22.3,2257.7,137864829,137.864829
145115848,11067,-0.022,0.059,-0.031,-333281,-487144,114056,22.3,2257.7,137865848,137.865848
145116868,12087,-0.115,0.053,0.082,-333486,-487168,114530,22.3,2257.7,137866868,137.86686799999998
145117887,13106,-0.068,0.075,0.04,-333382,-487073,114352,22.3,2257.7,137867887,137.867887
145118907,14126,-0.131,0.061,0.09,-333522,-487136,114563,22.3,2257.7,137868907,137.868907
145119926,15145,-0.036,0.041,0.09,-333312,-487221,114565,22.3,2257.7,137869926,137.869926
145120945,16164,0.078,0.071,-0.036,-333062,-487090,114033,22.3,2257.7,137870945,137.870945
145121965,17184,0.147,0.025,0.071,-332912,-487286,114483,22.3,2257.7,137871965,137.871965
145122984,18203,0.153,0.057,0.01,-332898,-487150,114229,22.3,2257.7,137872984,137.872984
145124004,19223,0.042,-0.034,0.103,-333141,-487536,114619,22.3,2257.7,137874004,137.87400399999999
145125023,20242,0.133,0.058,0.076,-332941,-487146,114503,22.3,2257.7,137875023,137.875023
145126043,21262,0.038,0.035,-0.007,-333150,-487246,114157,22.3,2257.7,137876043,137.87604299999998
145127062,22281,0.112,0.091,-0.054,-332987,-487008,113957,22.3,2257.7,137877062,137.877062
145128082,23301,0.132,0.007,0.045,-332944,-487363,114374,22.3,2257.7,137878082,137.878082
145129101,24320,0.111,0.038,0.031,-332990,-487232,114317,22.3,2257.7,137879101,137.879101
145130121,25340,0.171,-0.018,-0.028,-332858,-487471,114067,22.3,2257.7,137880121,137.880121
145131140,26359,0.124,0.069,0.052,-332962,-487102,114404,22.3,2257.7,137881140,137.88114
145132159,27378,0.027,-0.012,-0.027,-333175,-487446,114073,22.3,2257.7,137882159,137.882159
145133179,28398,0.157,0.035,-0.061,-332890,-487245,113931,22.3,2257.7,137883179,137.88317899999998
145134198,29417,0.13,0.103,-0.097,-332948,-486956,113780,22.3,2257.7,137884198,137.884198
145135218,30437,0.229,0.024,0.048,-332730,-487293,114388,22.3,2257.7,137885218,137.88521799999998
145136237,31456,0.101,0.032,-0.036,-333011,-487256,114036,22.3,2257.7,137886237,137.886237
145137257,32476,0.178,0.086,-0.036,-332842,-487029,114036,22.3,2257.7,137887257,137.887257
145138276,33495,0.097,0.035,-0.093,-333021,-487247,113797,22.3,2257.7,137888276,137.888276
145139296,34515,0.052,0.085,-0.001,-333120,-487032,114183,22.3,2257.7,137889296,137.889296
145140315,35534,0.001,-0.006,0.057,-333231,-487419,114426,22.3,2257.7,137890315,137.890315
145141335,36554,-0.145,-0.001,-0.036,-333552,-487400,114036,22.3,2257.7,137891335,137.891335
145142354,37573,-0.049,0.024,0.039,-333342,-487291,114348,22.3,2257.7,137892354,137.89235399999998
145143373,38592,0.016,0.09,0.03,-333199,-487010,114310,22.3,2257.7,137893373,137.893373
145144393,39612,-0.026,0.038,0.016,-333291,-487234,114252,22.3,2257.7,137894393,137.89439299999998
145145413,40632,0.044,-0.005,0.034,-333136,-487415,114328,22.3,2257.7,137895413,137.895413
145146432,41651,0.019,-0.004,0.026,-333191,-487410,114294,22.3,2257.7,137896432,137.896432
145147451,42670,0.001,-0.039,-0.048,-333232,-487560,113983,22.3,2257.7,137897451,137.897451
145148471,43690,-0.028,0.018,-0.014,-333296,-487318,114125,22.3,2257.7,137898471,137.898471
145149490,44709,0.163,-0.005,-0.007,-332876,-487414,114154,22.3,2257.7,137899490,137.89949
145150510,45729,0.078,-0.016,0.044,-333062,-487461,114370,22.3,2257.7,137900510,137.90051
145151529,46748,0.036,-0.045,0.044,-333155,-487586,114369,22.3,2257.7,137901529,137.90152899999998
145152549,47768,0.037,-0.059,-0.002,-333153,-487645,114177,22.3,2257.7,137902549,137.902549
145153568,48787,0.03,-0.047,0.023,-333168,-487594,114280,22.3,2257.7,137903568,137.903568
145154588,49807,0.073,0.003,0.019,-333073,-487380,114266,22.3,2257.7,137904588,137.904588
145155607,50826,-0.032,0.013,0.055,-333304,-487337,114418,22.3,2257.7,137905607,137.905607
145156626,51845,0.029,-0.033,-0.032,-333169,-487534,114052,22.3,2257.7,137906626,137.906626
145157646,52865,-0.056,0.022,0.062,-333356,-487300,114444,22.3,2257.7,137907646,137.907646
145158665,53884,-0.054,0.021,0.093,-333352,-487303,114575,22.3,2257.7,137908665,137.90866499999998
145159685,54904,0.101,0.004,0.034,-333013,-487375,114326,22.3,2257.7,137909685,137.909685
145160704,55923,0.018,0.073,0.048,-333195,-487084,114386,22.3,2257.7,137910704,137.91070399999998
145161724,56943,-0.006,-0.01,0.041,-333247,-487435,114358,22.3,2257.7,137911724,137.911724
145162743,57962,-0.038,-0.026,0.058,-333317,-487502,114429,22.3,2257.7,137912743,137.912743
145163763,58982,0.008,0.028,0.038,-333215,-487275,114343,22.3,2257.7,137913763,137.913763
145164782,60001,0.095,0.039,0.053,-333024,-487227,114408,22.3,2257.7,137914782,137.914782
145165802,61021,-0.007,-0.053,-0.022,-333250,-487618,114094,22.3,2257.7,137915802,137.91580199999999
145166821,62040,0.023,0.004,0.033,-333183,-487378,114325,22.3,2257.7,137916821,137.916821
145167841,63060,-0.008,-0.036,-0.018,-333251,-487546,114108,22.3,2257.7,137917841,137.91784099999998
145168860,64079,-0.072,-0.004,-0.014,-333392,-487412,114125,22.3,2257.7,137918860,137.91886
145169880,65099,-0.015,0.024,-0.046,-333267,-487293,113994,22.3,2257.7,137919880,137.91988
145170899,66118,0.042,0.039,-0.004,-333141,-487228,114167,22.3,2257.7,137920899,137.920899
145171918,67137,-0.117,0.023,0.016,-333490,-487297,114254,22.3,2257.7,137921918,137.921918
145172938,68157,-0.069,-0.018,0.032,-333386,-487469,114318,22.3,2257.7,137922938,137.922938
145173957,69176,-0.034,-0.031,0.04,-333309,-487527,114355,22.3,2257.7,137923957,137.923957
145174977,70196,0.027,0.03,-0.036,-333174,-487267,114036,22.3,2257.7,137924977,137.92497699999998
145176008,71227,-0.016,-0.029,0.003,-333268,-487517,114198,22.3,2257.7,137926008,137.926008
145177085,72304,-0.016,-0.029,0.003,-333268,-487517,114198,22.3,2257.7,137927085,137.927085
145178150,73369,-0.155,0.065,0.015,-333588,-487116,114249,22.3,2257.7,137928150,137.92815
145179171,74390,0.04,0.002,0.036,-333158,-487385,114335,22.3,2257.7,137929171,137.929171
145180192,75411,0.042,0.022,-0.013,-333155,-487299,114131,22.3,2257.7,137930192,137.930192
145181213,76432,-0.136,0.065,0.051,-333546,-487119,114401,22.3,2257.7,137931213,137.93121299999999
145182233,77452,-0.01,0.063,0.052,-333268,-487125,114402,22.3,2257.7,137932233,137.932233
145183254,78473,0.179,0.077,0.049,-332855,-487066,114393,22.3,2257.7,137933254,137.933254
145184275,79494,0.002,-0.023,0.057,-333243,-487493,114423,22.3,2257.7,137934275,137.93427499999999
145185296,80515,0.093,-0.022,0.039,-333042,-487487,114350,22.3,2257.7,137935296,137.935296
145186317,81536,0.013,0.056,0.03,-333218,-487156,114311,22.3,2257.7,137936317,137.936317
145187338,82557,-0.018,0.028,-0.068,-333286,-487273,113900,22.3,2257.7,137937338,137.93733799999998
145188359,83578,-0.119,0.098,0.064,-333508,-486979,114453,22.3,2257.7,137938359,137.938359
145189379,84598,-0.117,0.035,0.001,-333504,-487244,114189,22.3,2257.7,137939379,137.939379
145190400,85619,-0.002,-0.043,0.094,-333252,-487578,114580,22.3,2257.7,137940400,137.94039999999998
145191421,86640,-0.001,-0.021,0.017,-333250,-487482,114256,22.3,2257.7,137941421,137.941421
145192442,87661,0.147,0.035,0.017,-332925,-487244,114258,22.3,2257.7,137942442,137.942442
145193463,88682,-0.018,-0.02,0.011,-333287,-487477,114231,22.3,2257.7,137943463,137.94346299999998
145194483,89702,-0.107,-0.045,0.093,-333482,-487585,114577,22.3,2257.7,137944483,137.944483
145195504,90723,-0.004,-0.003,0.01,-333256,-487406,114227,22.3,2257.7,137945504,137.945504
145196525,91744,0.017,0.049,-0.016,-333210,-487185,114117,22.3,2257.7,137946525,137.94652499999998
145197546,92765,-0.038,-0.04,0.074,-333331,-487564,114496,22.3,2257.7,137947546,137.947546
145198567,93786,-0.093,0.092,0.106,-333451,-487004,114629,22.3,2257.7,137948567,137.948567
145199588,94807,-0.141,0.068,-0.051,-333557,-487106,113970,22.3,2257.7,137949588,137.949588
145200608,95827,-0.011,0.081,-0.037,-333271,-487048,114029,22.3,2257.7,137950608,137.950608
