# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: deep_breathing
# Date: 20250610
# Time: 133439
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1206858957,0,3.381,0.071,0.03,-325528,-486378,114681,29.9,3051.2,1199608957,1199.608957
1206859818,861,3.437,0.035,0.078,-325406,-486531,114879,29.9,3051.2,1199609818,1199.609818
1206860837,1880,3.422,0.027,0.136,-325439,-486565,115123,29.9,3051.2,1199610837,1199.610837
1206861857,2900,3.441,-0.002,-0.052,-325398,-486688,114336,29.9,3051.2,1199611857,1199.6118569999999
1206862876,3919,3.36,0.031,0.044,-325576,-486547,114738,29.9,3051.2,1199612876,1199.612876
1206863896,4939,3.218,0.015,-0.008,-325886,-486617,114521,29.9,3051.2,1199613896,1199.6138959999998
1206864915,5958,3.313,0.099,-0.003,-325679,-486260,114541,29.9,3051.2,1199614915,1199.6149149999999
1206865935,6978,3.367,0.025,-0.027,-325559,-486572,114442,29.9,3051.2,1199615935,1199.615935
1206866954,7997,3.363,-0.002,0.007,-325568,-486687,114584,29.9,3051.2,1199616954,1199.6169539999999
1206867974,9017,3.402,0.019,-0.008,-325483,-486600,114520,29.9,3051.2,1199617974,1199.617974
1206868993,10036,3.442,-0.07,0.044,-325396,-486977,114737,29.9,3051.2,1199618993,1199.618993
1206870012,11055,3.399,0.037,-0.02,-325490,-486523,114471,29.9,3051.2,1199620012,1199.6200119999999
1206871032,12075,3.339,-0.023,0.045,-325622,-486777,114741,29.9,3051.2,1199621032,1199.621032
1206872063,13106,3.305,0.067,0.006,-325696,-486394,114579,29.9,3051.2,1199622063,1199.622063
1206873139,14182,3.305,0.067,0.006,-325696,-486394,114579,29.9,3051.2,1199623139,1199.623139
1206874204,15247,3.238,-0.022,-0.006,-325830,-486810,114501,29.9,3051.2,1199624204,1199.624204
1206875225,16268,3.19,-0.058,0.006,-325935,-486960,114552,29.9,3051.2,1199625225,1199.625225
1206876245,17288,3.17,-0.02,-0.049,-325979,-486798,114321,29.9,3051.2,1199626245,1199.626245
1206877266,18309,3.207,-0.073,-0.081,-325898,-487023,114186,29.9,3051.2,1199627266,1199.627266
1206878287,19330,3.188,-0.035,-0.094,-325939,-486862,114130,29.9,3051.2,1199628287,1199.628287
1206879308,20351,3.214,-0.044,-0.003,-325882,-486902,114514,29.9,3051.2,1199629308,1199.629308
1206880329,21372,3.27,-0.016,-0.021,-325760,-486785,114437,29.9,3051.2,1199630329,1199.6303289999998
1206881350,22393,3.432,0.007,0.018,-325404,-486684,114599,29.9,3051.2,1199631350,1199.6313499999999
1206882371,23414,3.127,0.055,-0.01,-326073,-486484,114482,29.9,3051.2,1199632371,1199.632371
1206883391,24434,3.235,0.006,0.086,-325837,-486689,114884,29.9,3051.2,1199633391,1199.6333909999998
