# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250610
# Time: 133642
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1329207250,0,-1.048,0.17,0.131,-335259,-486066,114988,192.5,3859.1,1321957250,1321.95725
1329208156,906,-0.965,0.117,0.057,-335078,-486290,114679,192.5,3859.1,1321958156,1321.958156
1329209177,1927,-0.829,0.185,0.092,-334780,-486002,114824,192.5,3859.1,1321959177,1321.959177
1329210198,2948,-0.867,0.094,0.109,-334864,-486391,114898,192.5,3859.1,1321960198,1321.960198
1329211219,3969,-0.818,0.158,0.059,-334755,-486118,114687,192.5,3859.1,1321961219,1321.961219
1329212240,4990,-0.708,0.219,0.032,-334515,-485860,114575,192.5,3859.1,1321962240,1321.9622399999998
1329213261,6011,-0.551,0.123,0.036,-334170,-486268,114589,192.5,3859.1,1321963261,1321.9632609999999
1329214281,7031,-0.64,0.092,0.061,-334366,-486396,114695,192.5,3859.1,1321964281,1321.964281
1329215302,8052,-0.485,0.141,0.125,-334027,-486191,114963,192.5,3859.1,1321965302,1321.9653019999998
1329216323,9073,-0.442,0.244,0.002,-333932,-485752,114449,192.5,3859.1,1321966323,1321.9663229999999
1329217344,10094,-0.333,0.163,0.123,-333694,-486098,114953,192.5,3859.1,1321967344,1321.967344
1329218365,11115,-0.295,0.138,0.02,-333611,-486204,114521,192.5,3859.1,1321968365,1321.968365
1329219386,12136,-0.096,0.109,0.086,-333174,-486326,114800,192.5,3859.1,1321969386,1321.969386
1329220407,13157,-0.081,0.236,0.122,-333140,-485786,114949,192.5,3859.1,1321970407,1321.970407
1329221427,14177,0.078,0.213,0.088,-332792,-485884,114807,192.5,3859.1,1321971427,1321.971427
1329222448,15198,0.155,0.251,0.117,-332624,-485725,114928,192.5,3859.1,1321972448,1321.972448
1329223469,16219,0.269,0.205,0.136,-332375,-485917,115009,192.5,3859.1,1321973469,1321.973469
1329224490,17240,0.406,0.206,0.155,-332074,-485914,115089,192.5,3859.1,1321974490,1321.9744899999998
1329225511,18261,0.499,0.214,0.161,-331870,-485882,115112,192.5,3859.1,1321975511,1321.9755109999999
1329226532,19282,0.531,0.247,0.237,-331799,-485741,115434,192.5,3859.1,1321976532,1321.976532
1329227552,20302,0.654,0.211,0.13,-331531,-485893,114982,192.5,3859.1,1321977552,1321.9775519999998
