# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250610
# Time: 133626
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1313363411,0,-12.161,-0.121,-0.008,-359597,-487301,114464,203.6,3761.4,1306113411,1306.113411
1313364149,738,-12.344,-0.111,0.081,-359997,-487258,114834,203.6,3761.4,1306114149,1306.114149
1313365170,1759,-12.328,-0.158,0.049,-359962,-487458,114702,203.6,3761.4,1306115170,1306.11517
1313366191,2780,-12.32,-0.061,0.038,-359945,-487047,114655,203.6,3761.4,1306116191,1306.1161909999998
1313367211,3800,-12.323,-0.054,-0.059,-359951,-487019,114250,203.6,3761.4,1306117211,1306.117211
1313368232,4821,-12.335,-0.024,0.065,-359977,-486889,114767,203.6,3761.4,1306118232,1306.118232
1313369253,5842,-12.216,-0.054,0.081,-359718,-487018,114835,203.6,3761.4,1306119253,1306.1192529999998
1313370274,6863,-12.313,-0.123,0.088,-359929,-487308,114864,203.6,3761.4,1306120274,1306.1202739999999
1313371295,7884,-12.365,-0.124,0.013,-360044,-487314,114551,203.6,3761.4,1306121295,1306.121295
1313372316,8905,-12.365,-0.159,0.019,-360043,-487464,114575,203.6,3761.4,1306122316,1306.122316
1313373337,9926,-12.463,-0.069,-0.047,-360258,-487079,114300,203.6,3761.4,1306123337,1306.123337
1313374357,10946,-12.444,-0.202,-0.022,-360216,-487647,114405,203.6,3761.4,1306124357,1306.124357
1313375378,11967,-12.643,-0.218,-0.029,-360652,-487711,114375,203.6,3761.4,1306125378,1306.125378
1313376399,12988,-12.702,-0.238,0.019,-360781,-487796,114577,203.6,3761.4,1306126399,1306.126399
1313377420,14009,-12.742,-0.231,0.042,-360869,-487769,114673,203.6,3761.4,1306127420,1306.12742
1313378441,15030,-12.866,-0.176,-0.047,-361142,-487535,114301,203.6,3761.4,1306128441,1306.1284409999998
1313379462,16051,-13.021,-0.221,-0.029,-361482,-487727,114375,203.6,3761.4,1306129462,1306.1294619999999
1313380482,17071,-12.98,-0.154,-0.017,-361392,-487442,114426,203.6,3761.4,1306130482,1306.130482
1313381503,18092,-13.02,-0.142,0.028,-361479,-487390,114614,203.6,3761.4,1306131503,1306.1315029999998
1313382524,19113,-12.986,-0.02,0.065,-361405,-486873,114767,203.6,3761.4,1306132524,1306.1325239999999
1313383545,20134,-13.062,-0.094,0.065,-361571,-487187,114767,203.6,3761.4,1306133545,1306.133545
1313384566,21155,-13.078,-0.013,0.081,-361605,-486842,114834,203.6,3761.4,1306134566,1306.134566
1313385587,22176,-13.077,-0.035,0.121,-361604,-486937,115005,203.6,3761.4,1306135587,1306.135587
1313386608,23197,-12.955,-0.08,0.064,-361336,-487126,114765,203.6,3761.4,1306136608,1306.136608
1313387629,24218,-13.096,-0.127,-0.025,-361645,-487328,114392,203.6,3761.4,1306137629,1306.1376289999998
1313388649,25238,-12.977,-0.164,0.017,-361385,-487482,114568,203.6,3761.4,1306138649,1306.138649
1313389670,26259,-13.086,-0.103,0.03,-361623,-487226,114623,203.6,3761.4,1306139670,1306.13967
1313390691,27280,-13.172,-0.284,-0.031,-361812,-487995,114366,203.6,3761.4,1306140691,1306.1406909999998
1313391712,28301,-13.255,-0.268,-0.103,-361994,-487923,114065,203.6,3761.4,1306141712,1306.1417119999999
1313392733,29322,-13.463,-0.27,-0.055,-362450,-487933,114265,203.6,3761.4,1306142733,1306.142733
1313393754,30343,-13.521,-0.192,-0.093,-362577,-487603,114108,203.6,3761.4,1306143754,1306.143754
1313394775,31364,-13.525,-0.272,-0.075,-362586,-487940,114181,203.6,3761.4,1306144775,1306.144775
1313395795,32384,-13.609,-0.233,-0.043,-362769,-487777,114315,203.6,3761.4,1306145795,1306.145795
1313396816,33405,-13.834,-0.191,-0.044,-363262,-487598,114311,203.6,3761.4,1306146816,1306.146816
1313397837,34426,-13.804,-0.257,-0.026,-363196,-487877,114387,203.6,3761.4,1306147837,1306.147837
1313398858,35447,-13.801,-0.188,0.021,-363191,-487587,114586,203.6,3761.4,1306148858,1306.148858
1313399879,36468,-13.905,-0.147,-0.001,-363417,-487413,114492,16.0,3444.5,1306149879,1306.1498789999998
1313400900,37489,-14.002,-0.13,0.01,-363630,-487338,114539,16.0,3444.5,1306150900,1306.1508999999999
1313401920,38509,-14.046,-0.124,0.015,-363726,-487314,114560,16.0,3444.5,1306151920,1306.15192
1313402941,39530,-14.193,-0.198,0.015,-364050,-487629,114559,16.0,3444.5,1306152941,1306.1529409999998
1313403962,40551,-14.197,-0.116,0.006,-364058,-487278,114520,16.0,3444.5,1306153962,1306.1539619999999
1313404983,41572,-14.298,-0.133,0.018,-364279,-487354,114570,16.0,3444.5,1306154983,1306.154983
1313406004,42593,-14.302,-0.129,0.015,-364288,-487334,114561,16.0,3444.5,1306156004,1306.156004
1313407025,43614,-14.261,-0.173,0.017,-364199,-487520,114568,16.0,3444.5,1306157025,1306.157025
1313408046,44635,-14.302,-0.243,-0.074,-364288,-487821,114186,16.0,3444.5,1306158046,1306.158046
1313409066,45655,-14.251,-0.176,-0.076,-364175,-487536,114177,16.0,3444.5,1306159066,1306.159066
1313410087,46676,-14.553,-0.202,-0.083,-364837,-487643,114149,16.0,3444.5,1306160087,1306.160087
1313411108,47697,-14.563,-0.207,-0.022,-364859,-487668,114406,16.0,3444.5,1306161108,1306.161108
1313412129,48718,-14.494,-0.246,-0.036,-364709,-487832,114344,16.0,3444.5,1306162129,1306.162129
1313413150,49739,-14.508,-0.099,-0.089,-364739,-487210,114122,16.0,3444.5,1306163150,1306.1631499999999
1313414171,50760,-14.65,-0.159,0.053,-365051,-487463,114717,16.0,3444.5,1306164171,1306.164171
1313415191,51780,-14.83,-0.091,-0.072,-365445,-487174,114195,16.0,3444.5,1306165191,1306.165191
1313416212,52801,-14.65,-0.104,0.035,-365051,-487230,114642,16.0,3444.5,1306166212,1306.1662119999999
1313417233,53822,-14.649,-0.091,-0.082,-365047,-487174,114153,16.0,3444.5,1306167233,1306.167233
1313418254,54843,-14.797,-0.131,-0.027,-365372,-487344,114383,16.0,3444.5,1306168254,1306.168254
1313419275,55864,-14.843,-0.25,-0.078,-365474,-487848,114169,16.0,3444.5,1306169275,1306.169275
1313420296,56885,-14.915,-0.182,-0.053,-365630,-487562,114274,16.0,3444.5,1306170296,1306.170296
1313421317,57906,-14.975,-0.19,-0.082,-365762,-487592,114154,16.0,3444.5,1306171317,1306.171317
1313422338,58927,-14.962,-0.174,-0.104,-365733,-487525,114061,16.0,3444.5,1306172338,1306.1723379999999
1313423358,59947,-15.145,-0.144,-0.018,-366134,-487398,114419,16.0,3444.5,1306173358,1306.173358
1313424379,60968,-15.12,-0.176,-0.086,-366080,-487535,114137,16.0,3444.5,1306174379,1306.174379
1313425400,61989,-15.015,-0.216,-0.029,-365849,-487703,114373,16.0,3444.5,1306175400,1306.1753999999999
1313426421,63010,-15.176,-0.162,-0.053,-366203,-487474,114276,16.0,3444.5,1306176421,1306.176421
1313427442,64031,-15.221,-0.171,-0.032,-366301,-487512,114361,16.0,3444.5,1306177442,1306.177442
1313428463,65052,-15.29,-0.218,-0.018,-366452,-487711,114423,16.0,3444.5,1306178463,1306.178463
1313429483,66072,-15.29,-0.196,-0.047,-366452,-487618,114300,16.0,3444.5,1306179483,1306.179483
1313430504,67093,-15.347,-0.185,-0.015,-366578,-487574,114434,16.0,3444.5,1306180504,1306.180504
1313431525,68114,-15.309,-0.075,0.0,-366495,-487104,114497,16.0,3444.5,1306181525,1306.181525
1313432546,69135,-15.412,-0.136,-0.021,-366720,-487364,114410,16.0,3444.5,1306182546,1306.182546
1313433567,70156,-15.306,-0.206,-0.014,-366488,-487663,114436,16.0,3444.5,1306183567,1306.183567
1313434588,71177,-15.409,-0.058,0.04,-366713,-487036,114663,16.0,3444.5,1306184588,1306.1845879999998
1313435608,72197,-15.369,-0.22,0.02,-366625,-487723,114582,16.0,3444.5,1306185608,1306.185608
1313436629,73218,-15.448,-0.099,-0.083,-366798,-487210,114149,16.0,3444.5,1306186629,1306.186629
1313437650,74239,-15.481,-0.199,-0.001,-366871,-487634,114494,16.0,3444.5,1306187650,1306.1876499999998
1313438671,75260,-15.51,-0.198,-0.097,-366935,-487629,114090,16.0,3444.5,1306188671,1306.1886709999999
1313439692,76281,-15.693,-0.202,-0.057,-367336,-487647,114256,16.0,3444.5,1306189692,1306.189692
1313440713,77302,-15.794,-0.261,-0.092,-367556,-487897,114109,16.0,3444.5,1306190713,1306.190713
1313441734,78323,-15.66,-0.15,-0.022,-367264,-487424,114403,16.0,3444.5,1306191734,1306.191734
1313442754,79343,-15.648,-0.173,-0.032,-367236,-487523,114362,16.0,3444.5,1306192754,1306.192754
1313443775,80364,-15.703,-0.089,0.043,-367358,-487165,114675,16.0,3444.5,1306193775,1306.193775
1313444796,81385,-15.695,-0.17,0.037,-367341,-487511,114653,16.0,3444.5,1306194796,1306.194796
1313445817,82406,-15.716,-0.121,0.025,-367387,-487302,114599,16.0,3444.5,1306195817,1306.195817
1313446838,83427,-15.641,-0.077,-0.07,-367221,-487113,114205,16.0,3444.5,1306196838,1306.1968379999998
1313447859,84448,-15.557,-0.178,-0.09,-367037,-487544,114119,16.0,3444.5,1306197859,1306.1978589999999
1313448879,85468,-15.759,-0.168,0.031,-367481,-487499,114627,16.0,3444.5,1306198879,1306.198879
1313449900,86489,-15.786,-0.162,0.019,-367539,-487475,114575,16.0,3444.5,1306199900,1306.1998999999998
1313450921,87510,-15.796,-0.162,-0.013,-367561,-487477,114440,16.0,3444.5,1306200921,1306.2009209999999
1313451942,88531,-15.813,-0.131,0.016,-367598,-487343,114565,16.0,3444.5,1306201942,1306.201942
1313452963,89552,-15.759,-0.168,-0.08,-367481,-487502,114162,16.0,3444.5,1306202963,1306.202963
1313453984,90573,-15.744,-0.199,-0.066,-367448,-487634,114218,16.0,3444.5,1306203984,1306.203984
1313455005,91594,-15.836,-0.129,-0.033,-367649,-487336,114360,16.0,3444.5,1306205005,1306.205005
1313456025,92614,-15.805,-0.099,-0.03,-367582,-487210,114372,16.0,3444.5,1306206025,1306.206025
1313457046,93635,-15.907,-0.126,-0.06,-367804,-487322,114247,16.0,3444.5,1306207046,1306.207046
1313458067,94656,-15.942,-0.16,-0.031,-367882,-487465,114365,16.0,3444.5,1306208067,1306.208067
1313459088,95677,-15.817,-0.102,-0.054,-367607,-487220,114269,16.0,3444.5,1306209088,1306.2090879999998
1313460109,96698,-15.893,-0.15,-0.06,-367773,-487424,114245,16.0,3444.5,1306210109,1306.2101089999999
1313461130,97719,-15.958,-0.053,-0.054,-367917,-487011,114269,16.0,3444.5,1306211130,1306.21113
1313462151,98740,-15.908,-0.093,0.007,-367806,-487181,114525,16.0,3444.5,1306212151,1306.212151
1313463183,99772,-15.884,-0.13,-0.049,-367753,-487340,114292,16.0,3444.5,1306213183,1306.2131829999998
1313464259,100848,-15.884,-0.13,-0.049,-367753,-487340,114292,16.0,3444.5,1306214259,1306.2142589999999
1313465323,101912,-16.055,-0.212,-0.066,-368128,-487651,114191,16.0,3444.5,1306215323,1306.215323
1313466344,102933,-15.912,-0.141,-0.027,-367816,-487348,114353,16.0,3444.5,1306216344,1306.216344
1313467365,103954,-16.045,-0.117,0.02,-368107,-487248,114553,16.0,3444.5,1306217365,1306.217365
1313468386,104975,-15.915,-0.125,0.04,-367822,-487283,114637,16.0,3444.5,1306218386,1306.218386
1313469407,105996,-15.842,-0.196,0.007,-367663,-487582,114496,16.0,3444.5,1306219407,1306.219407
1313470428,107017,-15.986,-0.201,-0.1,-367977,-487605,114049,16.0,3444.5,1306220428,1306.2204279999999
1313471449,108038,-16.022,-0.168,-0.027,-368057,-487465,114354,16.0,3444.5,1306221449,1306.221449
1313472469,109058,-16.034,-0.135,-0.063,-368083,-487324,114202,16.0,3444.5,1306222469,1306.222469
1313473490,110079,-16.15,-0.184,-0.018,-368336,-487531,114392,16.0,3444.5,1306223490,1306.2234899999999
1313474511,111100,-16.048,-0.219,-0.121,-368113,-487680,113959,16.0,3444.5,1306224511,1306.224511
1313475532,112121,-16.167,-0.115,-0.114,-368375,-487238,113989,16.0,3444.5,1306225532,1306.225532
1313476553,113142,-16.119,-0.196,-0.084,-368270,-487584,114116,16.0,3444.5,1306226553,1306.226553
1313477574,114163,-16.217,-0.184,-0.041,-368484,-487531,114298,16.0,3444.5,1306227574,1306.227574
1313478595,115184,-16.256,-0.094,0.082,-368570,-487150,114811,16.0,3444.5,1306228595,1306.228595
1313479615,116204,-16.244,-0.188,-0.07,-368542,-487548,114173,16.0,3444.5,1306229615,1306.229615
1313480636,117225,-16.239,-0.116,0.048,-368531,-487245,114667,16.0,3444.5,1306230636,1306.230636
1313481657,118246,-16.284,-0.204,0.012,-368630,-487616,114518,16.0,3444.5,1306231657,1306.231657
1313482678,119267,-16.128,-0.094,0.032,-368289,-487149,114601,16.0,3444.5,1306232678,1306.2326779999999
1313483699,120288,-16.142,-0.12,0.041,-368320,-487259,114638,16.0,3444.5,1306233699,1306.233699
1313484720,121309,-16.18,-0.188,0.036,-368402,-487549,114618,16.0,3444.5,1306234720,1306.23472
1313485740,122329,-16.313,-0.125,-0.04,-368693,-487283,114299,16.0,3444.5,1306235740,1306.2357399999999
1313486761,123350,-16.379,-0.215,-0.094,-368839,-487664,114073,16.0,3444.5,1306236761,1306.236761
1313487782,124371,-16.341,-0.222,0.009,-368755,-487695,114504,16.0,3444.5,1306237782,1306.237782
1313488804,125393,-16.356,-0.279,-0.029,-368789,-487937,114348,16.0,3444.5,1306238804,1306.2388039999998
1313489826,126415,-16.346,-0.237,-0.001,-368766,-487755,114464,16.0,3444.5,1306239826,1306.239826
1313490847,127436,-16.409,-0.131,-0.066,-368905,-487306,114191,16.0,3444.5,1306240847,1306.240847
1313491869,128458,-16.522,-0.241,-0.035,-369151,-487775,114321,16.0,3444.5,1306241869,1306.241869
1313492891,129480,-16.621,-0.168,-0.151,-369369,-487463,113834,16.0,3444.5,1306242891,1306.2428909999999
1313493913,130502,-16.511,-0.271,-0.025,-369128,-487900,114362,16.0,3444.5,1306243913,1306.243913
1313494934,131523,-16.543,-0.245,-0.007,-369197,-487790,114440,16.0,3444.5,1306244934,1306.2449339999998
1313495956,132545,-16.698,-0.28,-0.11,-369538,-487941,114007,16.0,3444.5,1306245956,1306.245956
1313496978,133567,-16.682,-0.289,-0.024,-369503,-487979,114368,16.0,3444.5,1306246978,1306.246978
1313498000,134589,-16.71,-0.122,-0.036,-369565,-487270,114316,16.0,3444.5,1306248000,1306.248
