# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: frc_reset_init
# Date: 20250610
# Time: 134328
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1735429168,0,9.628,0.145,0.128,-311786,-486061,115024,551.2,4667.4,1728179168,1728.179168
1735430087,919,9.544,0.139,0.066,-311969,-486083,114764,551.2,4667.4,1728180087,1728.180087
1735431106,1938,9.651,0.256,0.123,-311735,-485588,115003,551.2,4667.4,1728181106,1728.181106
1735432126,2958,9.544,0.157,0.047,-311970,-486010,114685,551.2,4667.4,1728182126,1728.182126
1735433145,3977,9.638,-0.001,-0.077,-311764,-486678,114164,551.2,4667.4,1728183145,1728.183145
1735434164,4996,9.572,-0.22,-0.153,-311908,-487609,113847,551.2,4667.4,1728184164,1728.184164
1735435184,6016,9.628,-0.488,-0.22,-311784,-488745,113567,551.2,4667.4,1728185184,1728.185184
1735436203,7035,9.717,-0.751,-0.237,-311590,-489864,113493,551.2,4667.4,1728186203,1728.186203
1735437223,8055,9.748,-0.763,-0.158,-311521,-489913,113824,551.2,4667.4,1728187223,1728.187223
1735438242,9074,9.605,-0.775,-0.073,-311836,-489963,114183,551.2,4667.4,1728188242,1728.188242
1735439262,10094,9.602,-0.952,0.07,-311841,-490716,114782,551.2,4667.4,1728189262,1728.1892619999999
1735440281,11113,9.727,-1.002,0.07,-311569,-490929,114782,551.2,4667.4,1728190281,1728.190281
1735441301,12133,9.777,-0.878,0.111,-311459,-490400,114954,551.2,4667.4,1728191301,1728.1913009999998
1735442320,13152,9.839,-0.559,0.033,-311323,-489046,114627,551.2,4667.4,1728192320,1728.1923199999999
1735443340,14172,9.982,-0.442,0.031,-311009,-488551,114619,551.2,4667.4,1728193340,1728.19334
1735444359,15191,9.821,-0.357,0.144,-311361,-488188,115092,551.2,4667.4,1728194359,1728.1943589999998
