# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250610
# Time: 133838
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1445699131,0,15.684,0.563,-0.026,-298468,-484106,114550,648.4,4011.7,1438449131,1438.4491309999999
1445699900,769,15.613,4.025,-0.003,-298623,-469418,114648,648.4,4011.7,1438449900,1438.4498999999998
1445700919,1788,15.714,3.766,-0.334,-298403,-470516,113259,648.4,4011.7,1438450919,1438.4509189999999
1445701939,2808,15.575,0.983,-0.608,-298706,-482321,112113,648.4,4011.7,1438451939,1438.451939
1445702958,3827,15.575,0.631,-0.35,-298706,-483816,113193,648.4,4011.7,1438452958,1438.4529579999999
1445703977,4846,15.531,0.657,-0.074,-298804,-483704,114349,648.4,4011.7,1438453977,1438.453977
1445704997,5866,15.683,0.821,-0.264,-298470,-483009,113552,648.4,4011.7,1438454997,1438.454997
1445706016,6885,15.539,0.583,-0.542,-298786,-484020,112390,648.4,4011.7,1438456016,1438.4560159999999
1445707036,7905,15.461,0.303,-0.538,-298956,-485208,112406,648.4,4011.7,1438457036,1438.457036
1445708055,8924,15.482,-0.154,-0.349,-298911,-487147,113196,648.4,4011.7,1438458055,1438.4580549999998
1445709075,9944,15.455,0.004,-0.203,-298970,-486476,113808,648.4,4011.7,1438459075,1438.459075
1445710094,10963,15.532,-1.071,-0.245,-298800,-491036,113631,648.4,4011.7,1438460094,1438.460094
1445711114,11983,15.526,-1.188,-0.357,-298814,-491533,113162,648.4,4011.7,1438461114,1438.461114
1445712136,13005,15.469,-1.061,-0.281,-298938,-490994,113481,648.4,4011.7,1438462136,1438.4621359999999
1445713158,14027,15.559,-0.255,0.065,-298741,-487576,114933,648.4,4011.7,1438463158,1438.463158
1445714179,15048,15.762,1.223,0.66,-298296,-481303,117425,648.4,4011.7,1438464179,1438.4641789999998
1445715201,16070,15.897,-0.649,0.794,-298001,-489245,117987,648.4,4011.7,1438465201,1438.465201
1445716223,17092,15.761,-1.55,0.646,-298299,-493067,117366,648.4,4011.7,1438466223,1438.466223
1445717245,18114,15.678,-1.097,0.393,-298480,-491147,116304,648.4,4011.7,1438467245,1438.467245
1445718266,19135,15.492,-0.02,0.328,-298889,-486577,116031,648.4,4011.7,1438468266,1438.4682659999999
1445719288,20157,15.133,1.987,0.437,-299676,-478061,116488,648.4,4011.7,1438469288,1438.469288
1445720310,21179,15.229,1.993,0.111,-299465,-478036,115125,648.4,4011.7,1438470310,1438.47031
1445721332,22201,15.231,2.192,-0.376,-299461,-477193,113085,648.4,4011.7,1438471332,1438.4713319999998
1445722353,23222,15.264,0.771,-0.848,-299388,-483223,111107,648.4,4011.7,1438472353,1438.4723529999999
1445723375,24244,15.43,2.311,-0.836,-299025,-476688,111155,648.4,4011.7,1438473375,1438.473375
1445724397,25266,15.52,2.654,-0.879,-298826,-475233,110975,648.4,4011.7,1438474397,1438.474397
1445725419,26288,15.489,0.677,-0.826,-298895,-483622,111197,648.4,4011.7,1438475419,1438.4754189999999
1445726440,27309,15.364,-0.334,-0.327,-299168,-487911,113287,648.4,4011.7,1438476440,1438.47644
1445727462,28331,15.311,-0.447,0.224,-299285,-488389,115598,648.4,4011.7,1438477462,1438.4774619999998
1445728484,29353,15.094,0.061,0.38,-299761,-486235,116249,648.4,4011.7,1438478484,1438.478484
1445729506,30375,14.979,-0.429,0.352,-300012,-488314,116135,648.4,4011.7,1438479506,1438.479506
1445730527,31396,15.132,-0.947,0.213,-299678,-490509,115550,648.4,4011.7,1438480527,1438.480527
1445731549,32418,15.166,-1.835,0.13,-299602,-494279,115205,648.4,4011.7,1438481549,1438.4815489999999
1445732571,33440,14.691,-0.765,0.047,-300643,-489739,114856,648.4,4011.7,1438482571,1438.482571
1445733593,34462,14.65,0.919,-0.08,-300734,-482593,114323,648.4,4011.7,1438483593,1438.483593
1445734614,35483,14.588,1.959,-0.019,-300870,-478183,114578,648.4,4011.7,1438484614,1438.484614
1445735636,36505,14.675,0.233,0.049,-300679,-485505,114862,648.4,4011.7,1438485636,1438.4856359999999
1445736658,37527,14.69,-0.183,-0.06,-300646,-487270,114406,648.4,4011.7,1438486658,1438.486658
1445737680,38549,14.693,0.729,-0.404,-300640,-483400,112968,648.4,4011.7,1438487680,1438.48768
1445738701,39570,14.935,1.46,-0.436,-300110,-480297,112833,648.4,4011.7,1438488701,1438.488701
1445739723,40592,15.088,2.132,-0.003,-299773,-477448,114645,648.4,4011.7,1438489723,1438.489723
1445740745,41614,15.09,1.673,0.097,-299770,-479394,115065,648.4,4011.7,1438490745,1438.4907449999998
1445741767,42636,15.167,-0.457,0.086,-299600,-488431,115020,648.4,4011.7,1438491767,1438.491767
