# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: zeroing
# Date: 20250610
# Time: 133809
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1416512114,0,-0.951,0.375,-0.144,-335061,-485232,113836,177.1,3547.4,1409262114,1409.2621139999999
1416512286,172,-1.041,0.337,-0.155,-335259,-485395,113790,177.1,3547.4,1409262286,1409.262286
1416513308,1194,-1.046,0.384,-0.113,-335270,-485195,113967,177.1,3547.4,1409263308,1409.2633079999998
1416514330,2216,-1.085,0.302,-0.16,-335355,-485545,113769,177.1,3547.4,1409264330,1409.26433
1416515351,3237,-1.16,0.27,-0.093,-335518,-485677,114050,177.1,3547.4,1409265351,1409.265351
1416516373,4259,-1.342,0.196,-0.113,-335919,-485993,113967,177.1,3547.4,1409266373,1409.266373
1416517395,5281,-1.301,0.131,-0.139,-335827,-486269,113855,177.1,3547.4,1409267395,1409.2673949999999
1416518417,6303,-1.419,0.032,-0.025,-336086,-486688,114334,177.1,3547.4,1409268417,1409.268417
1416519438,7324,-1.389,0.098,-0.078,-336020,-486410,114114,177.1,3547.4,1409269438,1409.269438
1416520460,8346,-1.466,-0.08,-0.044,-336190,-487164,114255,177.1,3547.4,1409270460,1409.27046
1416521482,9368,-1.55,-0.1,-0.07,-336374,-487250,114144,177.1,3547.4,1409271482,1409.2714819999999
1416522504,10390,-1.802,-0.042,-0.024,-336925,-487003,114338,177.1,3547.4,1409272504,1409.272504
1416523526,11412,-1.822,0.004,-0.03,-336970,-486809,114315,177.1,3547.4,1409273526,1409.273526
1416524547,12433,-1.907,0.028,-0.005,-337155,-486704,114419,177.1,3547.4,1409274547,1409.274547
1416525569,13455,-1.935,0.072,-0.011,-337217,-486520,114393,177.1,3547.4,1409275569,1409.275569
1416526591,14477,-1.99,0.104,0.079,-337338,-486382,114770,177.1,3547.4,1409276591,1409.2765909999998
1416527613,15499,-2.03,0.219,0.022,-337425,-485897,114531,177.1,3547.4,1409277613,1409.277613
1416528634,16520,-2.049,0.323,0.13,-337467,-485455,114986,177.1,3547.4,1409278634,1409.278634
1416529656,17542,-2.109,0.272,0.127,-337599,-485669,114970,177.1,3547.4,1409279656,1409.279656
1416530678,18564,-2.202,0.261,0.05,-337803,-485717,114647,177.1,3547.4,1409280678,1409.2806779999999
