# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: quiet_breathing
# Date: 20250610
# Time: 133135
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1022108704,0,-17.215,-0.034,0.11,-370522,-486569,115215,143.5,1923.9,1014858704,1014.858704
1022109533,829,-17.165,-0.006,0.221,-370413,-486450,115678,143.5,1923.9,1014859533,1014.8595329999999
1022110554,1850,-16.938,-0.084,0.229,-369914,-486782,115712,143.5,1923.9,1014860554,1014.860554
1022111576,2872,-16.968,-0.049,0.166,-369981,-486630,115447,143.5,1923.9,1014861576,1014.8615759999999
1022112598,3894,-16.871,0.031,0.228,-369768,-486294,115709,143.5,1923.9,1014862598,1014.8625979999999
1022113619,4915,-16.826,-0.134,0.113,-369669,-486991,115226,143.5,1923.9,1014863619,1014.863619
1022114641,5937,-16.755,-0.101,0.121,-369515,-486851,115260,143.5,1923.9,1014864641,1014.864641
1022115663,6959,-16.744,-0.147,0.128,-369491,-487049,115289,143.5,1923.9,1014865663,1014.8656629999999
1022116685,7981,-16.838,-0.116,0.016,-369697,-486916,114821,143.5,1923.9,1014866685,1014.866685
1022117706,9002,-16.97,-0.166,0.019,-369985,-487128,114833,143.5,1923.9,1014867706,1014.867706
1022118728,10024,-16.779,-0.196,0.003,-369566,-487253,114766,143.5,1923.9,1014868728,1014.8687279999999
1022119750,11046,-16.802,-0.204,-0.006,-369617,-487289,114728,143.5,1923.9,1014869750,1014.86975
1022120772,12068,-16.765,-0.13,-0.029,-369537,-486976,114632,143.5,1923.9,1014870772,1014.870772
1022121793,13089,-16.793,-0.17,0.1,-369597,-487143,115172,143.5,1923.9,1014871793,1014.8717929999999
1022122815,14111,-16.838,-0.116,0.405,-369695,-486917,116450,143.5,1923.9,1014872815,1014.872815
1022123837,15133,-16.725,-0.121,0.476,-369449,-486938,116746,143.5,1923.9,1014873837,1014.873837
1022124859,16155,-16.633,-0.035,0.395,-369247,-486571,116406,143.5,1923.9,1014874859,1014.8748589999999
1022125880,17176,-16.7,0.075,0.125,-369394,-486104,115277,143.5,1923.9,1014875880,1014.8758799999999
1022126902,18198,-16.5,-0.019,-0.061,-368956,-486503,114497,143.5,1923.9,1014876902,1014.876902
1022127924,19220,-16.391,-0.116,-0.166,-368717,-486914,114059,143.5,1923.9,1014877924,1014.877924
1022128946,20242,-16.487,-0.208,-0.099,-368927,-487306,114339,143.5,1923.9,1014878946,1014.8789459999999
1022129967,21263,-16.416,-0.212,-0.077,-368773,-487322,114429,143.5,1923.9,1014879967,1014.879967
1022130989,22285,-16.194,-0.224,-0.196,-368287,-487375,113931,143.5,1923.9,1014880989,1014.880989
1022132011,23307,-16.089,-0.202,-0.265,-368056,-487282,113643,143.5,1923.9,1014882011,1014.8820109999999
1022133033,24329,-16.062,-0.241,-0.266,-367996,-487447,113641,143.5,1923.9,1014883033,1014.883033
1022134054,25350,-15.892,-0.119,-0.212,-367625,-486929,113864,143.5,1923.9,1014884054,1014.884054
1022135076,26372,-15.897,-0.009,-0.027,-367635,-486460,114640,143.5,1923.9,1014885076,1014.8850759999999
1022136098,27394,-15.86,0.067,0.016,-367554,-486141,114820,143.5,1923.9,1014886098,1014.886098
1022137120,28416,-15.591,0.288,-0.035,-366966,-485203,114605,143.5,1923.9,1014887120,1014.88712
1022138141,29437,-15.624,0.357,0.017,-367037,-484911,114825,143.5,1923.9,1014888141,1014.8881409999999
1022139163,30459,-15.676,0.413,-0.058,-367152,-484673,114511,143.5,1923.9,1014889163,1014.8891629999999
1022140185,31481,-15.724,0.5,-0.049,-367257,-484306,114547,143.5,1923.9,1014890185,1014.890185
1022141207,32503,-15.604,0.521,-0.015,-366994,-484217,114690,143.5,1923.9,1014891207,1014.891207
1022142228,33524,-15.698,0.405,0.039,-367201,-484709,114918,143.5,1923.9,1014892228,1014.8922279999999
1022143250,34546,-15.508,0.484,0.038,-366785,-484370,114914,143.5,1923.9,1014893250,1014.89325
1022144272,35568,-15.571,0.418,0.125,-366922,-484651,115275,143.5,1923.9,1014894272,1014.894272
1022145294,36590,-15.444,0.282,0.042,-366645,-485229,114928,143.5,1923.9,1014895294,1014.8952939999999
1022146315,37611,-15.453,0.205,0.16,-366663,-485555,115424,143.5,1923.9,1014896315,1014.896315
1022147337,38633,-15.388,0.141,0.112,-366521,-485824,115224,143.5,1923.9,1014897337,1014.897337
1022148359,39655,-15.161,0.054,0.247,-366024,-486195,115786,143.5,1923.9,1014898359,1014.8983589999999
1022149381,40677,-15.377,-0.043,0.238,-366497,-486605,115751,143.5,1923.9,1014899381,1014.899381
1022150402,41698,-15.266,-0.061,0.237,-366254,-486682,115747,143.5,1923.9,1014900402,1014.900402
1022151424,42720,-15.021,-0.125,0.332,-365717,-486954,116145,143.5,1923.9,1014901424,1014.9014239999999
1022152446,43742,-15.025,-0.193,0.292,-365726,-487241,115977,143.5,1923.9,1014902446,1014.9024459999999
1022153468,44764,-15.039,-0.218,0.294,-365757,-487350,115986,143.5,1923.9,1014903468,1014.903468
1022154501,45797,-14.907,-0.218,0.307,-365468,-487350,116038,143.5,1923.9,1014904501,1014.904501
1022155575,46871,-14.907,-0.218,0.307,-365468,-487350,116038,143.5,1923.9,1014905575,1014.905575
1022156639,47935,-14.66,-0.238,0.317,-364944,-487434,116053,143.5,1923.9,1014906639,1014.9066389999999
1022157660,48956,-14.661,-0.359,0.27,-364946,-487946,115854,143.5,1923.9,1014907660,1014.90766
1022158681,49977,-14.461,-0.388,0.183,-364508,-488069,115490,143.5,1923.9,1014908681,1014.908681
1022159702,50998,-14.313,-0.423,0.202,-364184,-488215,115572,143.5,1923.9,1014909702,1014.9097019999999
1022160723,52019,-14.301,-0.328,0.214,-364158,-487814,115622,143.5,1923.9,1014910723,1014.910723
1022161744,53040,-14.185,-0.39,0.256,-363903,-488079,115797,143.5,1923.9,1014911744,1014.911744
