# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250610
# Time: 133121
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
1008242841,0,0.056,-0.013,0.007,-332720,-486479,114755,76.1,2252.6,1000992841,1000.992841
1008243526,685,-0.029,0.064,-0.002,-332906,-486151,114716,76.1,2252.6,1000993526,1000.993526
1008244545,1704,0.012,0.071,0.111,-332817,-486122,115188,76.1,2252.6,1000994545,1000.9945449999999
1008245565,2724,-0.012,0.029,-0.029,-332870,-486302,114602,76.1,2252.6,1000995565,1000.9955649999999
1008246584,3743,-0.007,0.031,-0.039,-332859,-486293,114560,76.1,2252.6,1000996584,1000.996584
1008247604,4763,-0.098,-0.015,-0.041,-333058,-486489,114551,76.1,2252.6,1000997604,1000.9976039999999
1008248623,5782,-0.035,0.046,0.062,-332920,-486229,114986,76.1,2252.6,1000998623,1000.998623
1008249643,6802,0.083,0.08,0.074,-332662,-486085,115036,76.1,2252.6,1000999643,1000.999643
1008250662,7821,0.109,0.045,0.041,-332605,-486233,114895,76.1,2252.6,1001000662,1001.0006619999999
1008251682,8841,0.004,0.074,0.011,-332833,-486110,114771,76.1,2252.6,1001001682,1001.001682
1008252701,9860,0.005,0.037,-0.071,-332831,-486268,114426,76.1,2252.6,1001002701,1001.002701
1008253721,10880,0.014,0.019,-0.01,-332813,-486343,114683,76.1,2252.6,1001003721,1001.0037209999999
1008254740,11899,0.135,0.049,0.06,-332548,-486215,114976,76.1,2252.6,1001004740,1001.00474
1008255760,12919,0.131,0.085,0.041,-332556,-486062,114896,76.1,2252.6,1001005760,1001.00576
1008256779,13938,0.093,-0.07,0.007,-332639,-486722,114753,76.1,2252.6,1001006779,1001.0067789999999
1008257799,14958,0.15,0.017,0.024,-332514,-486351,114824,76.1,2252.6,1001007799,1001.007799
1008258818,15977,0.034,0.047,-0.088,-332768,-486226,114358,76.1,2252.6,1001008818,1001.0088179999999
1008259838,16997,-0.002,0.042,-0.021,-332847,-486244,114635,76.1,2252.6,1001009838,1001.009838
1008260857,18016,-0.026,-0.021,0.025,-332899,-486512,114829,76.1,2252.6,1001010857,1001.010857
1008261877,19036,0.08,-0.025,0.025,-332668,-486529,114831,76.1,2252.6,1001011877,1001.0118769999999
1008262896,20055,0.037,-0.047,-0.003,-332762,-486623,114714,76.1,2252.6,1001012896,1001.012896
1008263916,21075,0.046,-0.039,0.004,-332742,-486588,114740,76.1,2252.6,1001013916,1001.013916
1008264935,22094,0.115,0.071,-0.0,-332592,-486123,114723,76.1,2252.6,1001014935,1001.0149349999999
1008265955,23114,0.04,-0.096,0.034,-332756,-486830,114866,76.1,2252.6,1001015955,1001.015955
1008266974,24133,0.059,-0.003,-0.047,-332714,-486437,114528,76.1,2252.6,1001016974,1001.016974
1008267994,25153,0.04,0.033,0.021,-332755,-486286,114814,76.1,2252.6,1001017994,1001.0179939999999
1008269013,26172,-0.044,0.016,-0.055,-332940,-486356,114494,76.1,2252.6,1001019013,1001.019013
1008270033,27192,0.097,-0.05,0.032,-332630,-486635,114860,76.1,2252.6,1001020033,1001.0200329999999
1008271052,28211,0.134,0.079,0.043,-332549,-486090,114906,76.1,2252.6,1001021052,1001.0210519999999
1008272071,29230,0.083,0.043,0.051,-332662,-486242,114939,76.1,2252.6,1001022071,1001.022071
1008273091,30250,0.134,-0.024,0.023,-332550,-486524,114821,76.1,2252.6,1001023091,1001.0230909999999
1008274110,31269,0.211,-0.111,0.027,-332381,-486896,114836,76.1,2252.6,1001024110,1001.02411
1008275130,32289,0.171,0.038,-0.032,-332468,-486263,114591,76.1,2252.6,1001025130,1001.02513
1008276149,33308,0.225,-0.002,0.029,-332351,-486433,114845,76.1,2252.6,1001026149,1001.0261489999999
1008277169,34328,0.284,-0.035,-0.053,-332220,-486573,114502,76.1,2252.6,1001027169,1001.027169
1008278200,35359,0.173,-0.002,0.013,-332463,-486432,114778,76.1,2252.6,1001028200,1001.0282
1008279278,36437,0.173,-0.002,0.013,-332463,-486432,114778,76.1,2252.6,1001029278,1001.029278
1008280343,37502,0.067,-0.016,-0.026,-332696,-486491,114617,76.1,2252.6,1001030343,1001.0303429999999
1008281363,38522,0.043,-0.066,-0.066,-332748,-486702,114447,76.1,2252.6,1001031363,1001.0313629999999
1008282384,39543,-0.002,-0.025,-0.011,-332847,-486530,114679,76.1,2252.6,1001032384,1001.032384
1008283405,40564,0.092,-0.028,-0.051,-332642,-486541,114513,76.1,2252.6,1001033405,1001.0334049999999
1008284426,41585,-0.075,-0.017,-0.006,-333007,-486495,114701,76.1,2252.6,1001034426,1001.0344259999999
1008285447,42606,-0.046,0.012,-0.019,-332943,-486374,114645,76.1,2252.6,1001035447,1001.035447
1008286468,43627,0.112,-0.025,-0.005,-332597,-486530,114702,76.1,2252.6,1001036468,1001.0364679999999
1008287489,44648,-0.123,0.038,-0.018,-333112,-486263,114651,76.1,2252.6,1001037489,1001.0374889999999
1008288510,45669,-0.014,0.041,0.048,-332874,-486250,114924,76.1,2252.6,1001038510,1001.03851
1008289531,46690,-0.096,-0.012,0.101,-333054,-486476,115149,76.1,2252.6,1001039531,1001.039531
1008290551,47710,-0.032,0.057,-0.037,-332912,-486181,114571,76.1,2252.6,1001040551,1001.0405509999999
1008291572,48731,-0.174,0.069,-0.005,-333223,-486133,114705,76.1,2252.6,1001041572,1001.041572
1008292593,49752,-0.165,-0.036,0.015,-333205,-486578,114787,76.1,2252.6,1001042593,1001.042593
1008293614,50773,-0.046,0.056,0.033,-332944,-486185,114861,76.1,2252.6,1001043614,1001.0436139999999
1008294635,51794,-0.082,0.059,0.013,-333023,-486174,114780,76.1,2252.6,1001044635,1001.044635
1008295656,52815,-0.126,-0.008,-0.025,-333119,-486458,114621,76.1,2252.6,1001045656,1001.045656
1008296677,53836,-0.122,0.015,0.056,-333111,-486361,114960,76.1,2252.6,1001046677,1001.0466769999999
1008297697,54856,-0.08,-0.06,0.053,-333017,-486677,114945,76.1,2252.6,1001047697,1001.047697
1008298718,55877,0.008,0.004,0.082,-332825,-486408,115068,76.1,2252.6,1001048718,1001.048718
1008299739,56898,0.001,0.008,-0.033,-332840,-486392,114587,76.1,2252.6,1001049739,1001.0497389999999
1008300760,57919,0.057,0.062,0.1,-332719,-486159,115144,76.1,2252.6,1001050760,1001.05076
1008301781,58940,0.105,0.004,-0.029,-332612,-486405,114604,76.1,2252.6,1001051781,1001.051781
1008302802,59961,0.073,0.072,0.024,-332683,-486117,114826,76.1,2252.6,1001052802,1001.0528019999999
1008303823,60982,0.157,0.141,-0.035,-332499,-485828,114580,76.1,2252.6,1001053823,1001.053823
1008304844,62003,0.146,-0.073,-0.02,-332523,-486733,114641,76.1,2252.6,1001054844,1001.054844
1008305866,63025,0.056,-0.001,0.068,-332720,-486426,115011,76.1,2252.6,1001055866,1001.0558659999999
1008306888,64047,0.074,0.017,0.045,-332680,-486350,114911,76.1,2252.6,1001056888,1001.056888
1008307910,65069,0.071,0.055,0.011,-332687,-486189,114772,76.1,2252.6,1001057910,1001.05791
1008308931,66090,0.088,0.006,0.013,-332651,-486399,114780,76.1,2252.6,1001058931,1001.0589309999999
1008309953,67112,0.134,-0.052,-0.031,-332549,-486645,114593,76.1,2252.6,1001059953,1001.059953
1008310975,68134,0.002,-0.015,-0.019,-332839,-486487,114647,76.1,2252.6,1001060975,1001.060975
1008311997,69156,0.055,-0.021,0.031,-332723,-486514,114855,76.1,2252.6,1001061997,1001.0619969999999
1008313018,70177,0.04,-0.069,-0.03,-332755,-486716,114600,76.1,2252.6,1001063018,1001.0630179999999
1008314040,71199,0.003,-0.065,-0.039,-332836,-486700,114561,76.1,2252.6,1001064040,1001.06404
1008315062,72221,0.007,-0.091,-0.051,-332827,-486811,114512,76.1,2252.6,1001065062,1001.0650619999999
1008316084,73243,-0.061,-0.043,-0.044,-332976,-486606,114539,76.1,2252.6,1001066084,1001.0660839999999
1008317105,74264,-0.065,-0.021,0.05,-332985,-486513,114934,76.1,2252.6,1001067105,1001.067105
1008318127,75286,-0.061,-0.1,-0.011,-332976,-486849,114679,76.1,2252.6,1001068127,1001.068127
1008319149,76308,-0.089,0.046,0.027,-333038,-486231,114836,76.1,2252.6,1001069149,1001.0691489999999
1008320170,77329,-0.065,-0.084,-0.066,-332985,-486780,114448,76.1,2252.6,1001070170,1001.07017
1008321192,78351,-0.038,-0.061,-0.093,-332926,-486684,114335,76.1,2252.6,1001071192,1001.071192
1008322214,79373,-0.058,-0.071,-0.026,-332970,-486723,114617,76.1,2252.6,1001072214,1001.0722139999999
1008323236,80395,-0.079,-0.073,0.031,-333015,-486732,114853,76.1,2252.6,1001073236,1001.073236
1008324257,81416,-0.019,0.046,0.062,-332885,-486230,114984,76.1,2252.6,1001074257,1001.074257
