# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250610
# Time: 133056
# Data alignment applied to particle measurements
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles,t_us_particles,time_s_particles
983251036,0,-14.476,-0.271,-0.107,-364528,-487377,114593,59.2,2129.1,976001036,976.001036
983251755,719,-14.563,-0.354,-0.087,-364719,-487729,114677,59.2,2129.1,976001755,976.001755
983252774,1738,-14.641,-0.309,-0.062,-364890,-487538,114780,59.2,2129.1,976002774,976.0027739999999
983253794,2758,-14.777,-0.318,-0.147,-365186,-487577,114428,59.2,2129.1,976003794,976.003794
983254813,3777,-14.702,-0.272,-0.063,-365023,-487383,114778,59.2,2129.1,976004813,976.0048129999999
983255833,4797,-14.744,-0.233,-0.043,-365115,-487217,114863,59.2,2129.1,976005833,976.0058329999999
983256852,5816,-14.867,-0.294,-0.077,-365383,-487474,114717,59.2,2129.1,976006852,976.006852
983257872,6836,-14.841,-0.242,-0.036,-365326,-487257,114889,59.2,2129.1,976007872,976.0078719999999
983258891,7855,-14.927,-0.255,-0.097,-365516,-487312,114634,59.2,2129.1,976008891,976.008891
983259910,8874,-14.901,-0.224,-0.069,-365459,-487180,114751,59.2,2129.1,976009910,976.00991
983260930,9894,-14.974,-0.259,-0.051,-365618,-487327,114826,59.2,2129.1,976010930,976.0109299999999
983261949,10913,-14.889,-0.207,-0.077,-365431,-487107,114717,59.2,2129.1,976011949,976.011949
983262969,11933,-15.012,-0.148,-0.088,-365702,-486857,114674,59.2,2129.1,976012969,976.012969
983263988,12952,-15.0,-0.235,-0.114,-365675,-487225,114563,59.2,2129.1,976013988,976.0139879999999
983265008,13972,-14.866,-0.204,0.034,-365381,-487096,115183,59.2,2129.1,976015008,976.015008
983266027,14991,-14.878,-0.206,-0.044,-365408,-487102,114856,59.2,2129.1,976016027,976.016027
983267047,16011,-14.989,-0.197,-0.05,-365650,-487065,114832,59.2,2129.1,976017047,976.0170469999999
983268066,17030,-14.974,-0.24,-0.049,-365617,-487246,114836,59.2,2129.1,976018066,976.018066
983269086,18050,-14.944,-0.231,-0.085,-365553,-487208,114686,59.2,2129.1,976019086,976.0190859999999
983270105,19069,-15.064,-0.278,-0.14,-365816,-487407,114457,59.2,2129.1,976020105,976.020105
983271125,20089,-15.106,-0.32,-0.121,-365907,-487584,114537,59.2,2129.1,976021125,976.021125
983272144,21108,-15.195,-0.318,-0.089,-366102,-487577,114670,59.2,2129.1,976022144,976.0221439999999
983273164,22128,-15.292,-0.312,-0.099,-366315,-487554,114626,59.2,2129.1,976023164,976.023164
983274183,23147,-15.346,-0.309,-0.104,-366432,-487541,114605,59.2,2129.1,976024183,976.024183
983275203,24167,-15.511,-0.336,-0.174,-366794,-487654,114311,59.2,2129.1,976025203,976.0252029999999
983276222,25186,-15.399,-0.317,-0.116,-366549,-487575,114557,59.2,2129.1,976026222,976.026222
983277241,26205,-15.555,-0.317,-0.132,-366889,-487575,114490,59.2,2129.1,976027241,976.027241
983278261,27225,-15.564,-0.264,-0.072,-366910,-487347,114742,59.2,2129.1,976028261,976.0282609999999
983279280,28244,-15.688,-0.271,-0.056,-367182,-487379,114807,59.2,2129.1,976029280,976.02928
983280300,29264,-15.721,-0.303,-0.087,-367253,-487514,114678,59.2,2129.1,976030300,976.0303
983281319,30283,-15.729,-0.272,-0.104,-367271,-487382,114607,59.2,2129.1,976031319,976.0313189999999
983282339,31303,-15.726,-0.254,-0.103,-367264,-487307,114612,59.2,2129.1,976032339,976.032339
983283360,32324,-15.745,-0.125,-0.06,-367305,-486758,114791,59.2,2129.1,976033360,976.0333599999999
983284382,33346,-15.783,-0.299,-0.084,-367389,-487498,114689,59.2,2129.1,976034382,976.0343819999999
983285403,34367,-15.814,-0.317,-0.087,-367457,-487572,114678,59.2,2129.1,976035403,976.035403
983286425,35389,-15.885,-0.3,-0.082,-367613,-487500,114697,59.2,2129.1,976036425,976.036425
983287447,36411,-15.816,-0.279,-0.061,-367461,-487413,114788,59.2,2129.1,976037447,976.0374469999999
983288469,37433,-15.783,-0.265,-0.084,-367389,-487351,114690,59.2,2129.1,976038469,976.038469
983289490,38454,-15.992,-0.276,-0.089,-367847,-487398,114667,59.2,2129.1,976039490,976.03949
983290512,39476,-15.924,-0.354,-0.088,-367697,-487732,114674,59.2,2129.1,976040512,976.0405119999999
983291534,40498,-16.057,-0.371,-0.098,-367989,-487802,114630,59.2,2129.1,976041534,976.041534
983292556,41520,-16.02,-0.26,-0.109,-367908,-487331,114586,59.2,2129.1,976042556,976.042556
983293577,42541,-15.966,-0.277,-0.152,-367789,-487405,114405,59.2,2129.1,976043577,976.0435769999999
983294599,43563,-16.048,-0.296,-0.071,-367969,-487483,114746,59.2,2129.1,976044599,976.044599
983295621,44585,-16.057,-0.318,-0.01,-367989,-487577,115000,59.2,2129.1,976045621,976.045621
983296643,45607,-16.116,-0.373,-0.108,-368119,-487812,114589,59.2,2129.1,976046643,976.0466429999999
983297664,46628,-16.124,-0.34,-0.152,-368136,-487669,114407,59.2,2129.1,976047664,976.0476639999999
983298686,47650,-16.304,-0.422,-0.101,-368529,-488020,114618,59.2,2129.1,976048686,976.048686
983299719,48683,-16.363,-0.387,-0.073,-368660,-487868,114734,59.2,2129.1,976049719,976.049719
983300795,49759,-16.363,-0.387,-0.073,-368660,-487868,114734,59.2,2129.1,976050795,976.050795
983301859,50823,-16.55,-0.381,-0.122,-369069,-487843,114532,59.2,2129.1,976051859,976.0518589999999
983302880,51844,-16.444,-0.416,-0.106,-368836,-487995,114598,59.2,2129.1,976052880,976.05288
983303901,52865,-16.585,-0.437,-0.123,-369145,-488081,114525,59.2,2129.1,976053901,976.053901
983304922,53886,-16.615,-0.392,-0.084,-369210,-487891,114691,59.2,2129.1,976054922,976.0549219999999
983305943,54907,-16.818,-0.382,-0.057,-369656,-487849,114803,59.2,2129.1,976055943,976.055943
983306964,55928,-16.792,-0.444,-0.094,-369598,-488112,114648,59.2,2129.1,976056964,976.056964
983307985,56949,-17.019,-0.468,-0.152,-370096,-488213,114404,59.2,2129.1,976057985,976.0579849999999
983309005,57969,-16.827,-0.295,-0.165,-369675,-487480,114350,59.2,2129.1,976059005,976.059005
983310026,58990,-16.886,-0.393,-0.051,-369805,-487896,114827,59.2,2129.1,976060026,976.060026
983311047,60011,-16.882,-0.416,-0.156,-369795,-487995,114389,59.2,2129.1,976061047,976.0610469999999
983312068,61032,-17.106,-0.396,-0.094,-370287,-487908,114650,59.2,2129.1,976062068,976.062068
983313089,62053,-17.158,-0.453,-0.121,-370400,-488148,114533,59.2,2129.1,976063089,976.063089
983314110,63074,-17.272,-0.372,-0.014,-370650,-487806,114981,59.2,2129.1,976064110,976.0641099999999
983315131,64095,-17.289,-0.304,-0.146,-370686,-487517,114432,59.2,2129.1,976065131,976.065131
983316151,65115,-17.415,-0.444,-0.038,-370963,-488112,114882,59.2,2129.1,976066151,976.066151
983317172,66136,-17.489,-0.378,-0.07,-371124,-487833,114748,59.2,2129.1,976067172,976.0671719999999
983318193,67157,-17.601,-0.339,-0.044,-371370,-487666,114858,59.2,2129.1,976068193,976.068193
983319214,68178,-17.632,-0.404,-0.068,-371437,-487942,114757,59.2,2129.1,976069214,976.069214
983320235,69199,-17.565,-0.448,-0.146,-371290,-488129,114431,59.2,2129.1,976070235,976.0702349999999
983321256,70220,-17.64,-0.385,-0.089,-371455,-487860,114668,59.2,2129.1,976071256,976.071256
983322277,71241,-17.697,-0.366,-0.002,-371580,-487780,115033,59.2,2129.1,976072277,976.072277
983323298,72262,-17.786,-0.395,-0.033,-371775,-487902,114902,59.2,2129.1,976073298,976.0732979999999
983324318,73282,-17.891,-0.386,-0.096,-372004,-487865,114640,59.2,2129.1,976074318,976.074318
983325339,74303,-17.943,-0.404,-0.067,-372118,-487942,114760,59.2,2129.1,976075339,976.075339
983326360,75324,-17.987,-0.328,-0.107,-372214,-487618,114593,59.2,2129.1,976076360,976.0763599999999
983327382,76346,-18.014,-0.427,-0.131,-372273,-488041,114491,59.2,2129.1,976077382,976.077382
983328403,77367,-18.04,-0.462,-0.165,-372330,-488186,114352,59.2,2129.1,976078403,976.078403
983329425,78389,-18.243,-0.437,-0.151,-372776,-488081,114408,59.2,2129.1,976079425,976.0794249999999
983330447,79411,-18.283,-0.495,-0.174,-372863,-488326,114315,59.2,2129.1,976080447,976.0804469999999
983331468,80432,-18.363,-0.443,-0.132,-373038,-488107,114489,59.2,2129.1,976081468,976.081468
983332490,81454,-18.531,-0.472,-0.054,-373406,-488231,114816,59.2,2129.1,976082490,976.08249
983333512,82476,-18.456,-0.453,-0.028,-373242,-488148,114925,59.2,2129.1,976083512,976.0835119999999
983334534,83498,-18.612,-0.319,-0.04,-373584,-487583,114876,59.2,2129.1,976084534,976.084534
983335555,84519,-18.695,-0.319,-0.061,-373765,-487582,114785,59.2,2129.1,976085555,976.085555
983336577,85541,-18.626,-0.415,-0.107,-373615,-487988,114594,59.2,2129.1,976086577,976.0865769999999
983337599,86563,-18.635,-0.392,-0.156,-373633,-487893,114387,59.2,2129.1,976087599,976.087599
983338621,87585,-18.877,-0.35,-0.166,-374164,-487715,114348,59.2,2129.1,976088621,976.088621
983339642,88606,-18.822,-0.321,-0.058,-374042,-487592,114797,59.2,2129.1,976089642,976.0896419999999
983340664,89628,-18.757,-0.358,-0.079,-373900,-487745,114710,59.2,2129.1,976090664,976.090664
983341686,90650,-18.907,-0.361,-0.139,-374229,-487759,114461,59.2,2129.1,976091686,976.091686
983342708,91672,-18.948,-0.473,-0.044,-374318,-488233,114857,59.2,2129.1,976092708,976.0927079999999
983343729,92693,-18.933,-0.429,-0.095,-374287,-488047,114644,59.2,2129.1,976093729,976.0937289999999
983344751,93715,-18.952,-0.412,-0.004,-374327,-487978,115025,59.2,2129.1,976094751,976.094751
983345773,94737,-19.046,-0.381,0.004,-374533,-487844,115057,59.2,2129.1,976095773,976.095773
983346795,95759,-19.032,-0.432,-0.103,-374502,-488062,114609,59.2,2129.1,976096795,976.0967949999999
983347816,96780,-19.105,-0.477,-0.166,-374662,-488251,114346,59.2,2129.1,976097816,976.097816
983348838,97802,-19.102,-0.424,-0.052,-374657,-488026,114823,59.2,2129.1,976098838,976.098838
983349860,98824,-19.223,-0.475,-0.191,-374922,-488243,114240,59.2,2129.1,976099860,976.0998599999999
983350882,99846,-19.225,-0.378,-0.088,-374925,-487831,114671,59.2,2129.1,976100882,976.100882
983351903,100867,-19.221,-0.433,-0.18,-374916,-488063,114287,59.2,2129.1,976101903,976.101903
983352925,101889,-19.45,-0.476,-0.142,-375418,-488246,114446,59.2,2129.1,976102925,976.1029249999999
983353947,102911,-19.542,-0.362,-0.072,-375620,-487765,114740,59.2,2129.1,976103947,976.103947
983354969,103933,-19.587,-0.413,-0.024,-375719,-487982,114943,59.2,2129.1,976104969,976.104969
983355990,104954,-19.468,-0.386,-0.099,-375457,-487866,114629,59.2,2129.1,976105990,976.1059899999999
983357012,105976,-19.58,-0.408,-0.09,-375703,-487958,114663,59.2,2129.1,976107012,976.1070119999999
983358034,106998,-19.53,-0.339,-0.018,-375594,-487668,114968,59.2,2129.1,976108034,976.108034
