# Participant: P4
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: deep_breathing
# Date: 20250610
# Time: 115657
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3934779288,24.513,-0.094,-0.017,-279634,-487906,113911,0.6,3110.3
3934780259,24.312,-0.063,-0.105,-280077,-487777,113543,0.6,3110.3
3934781279,24.483,-0.098,-0.095,-279700,-487923,113583,0.6,3110.3
3934782298,24.422,-0.167,-0.113,-279835,-488215,113510,0.6,3110.3
3934783318,24.274,-0.056,-0.06,-280159,-487746,113730,0.6,3110.3
3934784337,24.281,-0.141,-0.155,-280144,-488105,113332,0.6,3110.3
3934785357,24.283,-0.219,-0.195,-280140,-488440,113164,0.6,3110.3
3934786376,24.283,-0.093,-0.228,-280141,-487903,113028,0.6,3110.3
3934787396,24.312,-0.303,-0.179,-280077,-488796,113234,0.6,3110.3
3934788415,24.305,-0.384,-0.174,-280091,-489138,113252,0.6,3110.3
3934789434,24.238,-0.395,-0.261,-280238,-489186,112890,0.6,3110.3
3934790454,24.273,-0.389,-0.191,-280163,-489162,113183,0.6,3110.3
3934791473,24.15,-0.347,-0.179,-280433,-488982,113233,0.6,3110.3
3934792493,23.884,-0.419,-0.061,-281015,-489287,113729,0.6,3110.3
3934793512,23.94,-0.348,-0.081,-280892,-488988,113643,0.6,3110.3
3934794532,23.879,-0.258,-0.114,-281026,-488605,113503,0.6,3110.3
3934795551,23.733,-0.263,-0.111,-281348,-488625,113517,0.6,3110.3
3934796582,23.819,-0.189,0.013,-281159,-488311,114040,0.6,3110.3
3934797659,23.819,-0.189,0.013,-281159,-488311,114040,0.6,3110.3
3934798724,23.586,-0.071,0.038,-281671,-487846,114142,0.6,3110.3
3934799745,23.677,0.071,0.074,-281471,-487240,114293,0.6,3110.3
3934800766,23.424,0.11,0.057,-282025,-487077,114225,0.6,3110.3
3934801786,23.529,0.145,0.102,-281795,-486927,114412,0.6,3110.3
3934802807,23.436,0.292,0.208,-281999,-486303,114856,0.6,3110.3
3934803828,23.438,0.335,0.227,-281995,-486120,114937,0.6,3110.3
3934804849,23.357,0.35,0.201,-282174,-486055,114826,0.6,3110.3
3934805870,23.369,0.305,0.153,-282146,-486245,114626,0.6,3110.3
3934806891,23.258,0.203,0.241,-282391,-486681,114994,0.6,3110.3
3934807912,23.299,0.192,0.24,-282301,-486728,114992,0.6,3110.3
3934808932,23.195,0.367,0.165,-282528,-485983,114677,0.6,3110.3
3934809953,23.26,0.175,0.235,-282385,-486800,114970,0.6,3110.3
3934810974,23.372,0.287,0.149,-282140,-486322,114608,0.6,3110.3
3934811995,23.419,0.258,0.116,-282037,-486447,114471,0.6,3110.3
3934813016,23.347,0.253,0.127,-282196,-486469,114517,0.6,3110.3
3934814036,23.297,0.25,0.159,-282305,-486481,114651,0.6,3110.3
3934815057,23.119,0.282,0.219,-282696,-486347,114901,0.6,3110.3
3934816078,23.38,0.295,0.243,-282123,-486290,115003,0.6,3110.3
3934817099,23.112,0.198,0.211,-282710,-486700,114871,0.6,3110.3
3934818120,23.072,0.149,0.186,-282799,-486910,114764,0.6,3110.3
3934819141,23.2,0.062,0.144,-282518,-487279,114588,0.6,3110.3
3934820161,23.142,0.092,0.211,-282646,-487152,114868,0.6,3110.3
3934821182,23.245,0.018,0.18,-282418,-487466,114741,0.6,3110.3
3934822203,23.052,0.083,0.178,-282843,-487191,114729,0.6,3110.3
3934823224,23.122,-0.019,0.162,-282689,-487623,114665,0.6,3110.3
3934824245,23.114,0.04,0.094,-282707,-487375,114380,0.6,3110.3
3934825267,22.983,0.061,0.147,-282994,-487283,114599,0.6,3110.3
3934826288,23.06,0.026,0.109,-282825,-487433,114443,0.6,3110.3
3934827310,22.986,0.065,0.107,-282987,-487267,114434,0.6,3110.3
3934828332,23.063,0.044,0.093,-282819,-487358,114376,0.6,3110.3
