# Participant: P4
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250610
# Time: 120037
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
4154298111,-25.635,-0.01,0.081,-389791,-487732,114182,3.8,3073.8
4154298446,-25.605,0.023,0.073,-389724,-487591,114148,3.8,3073.8
4154299467,-25.747,0.003,0.182,-390037,-487674,114604,3.8,3073.8
4154300489,-25.728,-0.079,0.107,-389994,-488025,114290,3.8,3073.8
4154301511,-25.774,-0.015,0.088,-390095,-487754,114210,3.8,3073.8
4154302533,-25.794,-0.117,-0.01,-390141,-488187,113799,3.8,3073.8
4154303554,-25.907,-0.004,0.045,-390389,-487706,114028,3.8,3073.8
4154304576,-25.844,-0.08,0.087,-390249,-488029,114206,3.8,3073.8
4154305598,-25.888,0.027,0.072,-390346,-487574,114143,3.8,3073.8
4154306619,-26.062,0.0,0.078,-390728,-487687,114170,3.8,3073.8
4154307641,-26.076,-0.004,0.039,-390759,-487704,114003,3.8,3073.8
4154308663,-26.113,-0.035,0.058,-390841,-487838,114084,3.8,3073.8
4154309685,-26.11,-0.045,0.033,-390833,-487882,113978,3.8,3073.8
4154310706,-26.227,-0.121,0.076,-391091,-488204,114159,3.8,3073.8
4154311728,-26.32,0.018,0.05,-391295,-487612,114051,3.8,3073.8
4154312750,-26.37,-0.053,0.028,-391405,-487915,113957,3.8,3073.8
4154313771,-26.549,-0.08,0.137,-391799,-488031,114418,3.8,3073.8
4154314793,-26.343,-0.145,0.069,-391345,-488305,114130,3.8,3073.8
4154315815,-26.507,-0.075,-0.0,-391706,-488009,113840,3.8,3073.8
4154316837,-26.588,-0.076,0.017,-391884,-488013,113910,3.8,3073.8
4154317859,-26.646,-0.055,0.135,-392010,-487923,114409,3.8,3073.8
4154318880,-26.629,-0.061,0.139,-391973,-487950,114424,3.8,3073.8
4154319902,-26.833,-0.045,0.07,-392422,-487881,114134,3.8,3073.8
4154320924,-26.719,-0.152,0.087,-392171,-488337,114205,3.8,3073.8
4154321945,-27.017,-0.033,0.015,-392826,-487829,113903,3.8,3073.8
4154322967,-27.015,-0.062,0.016,-392821,-487954,113909,3.8,3073.8
4154323989,-27.15,-0.046,0.03,-393117,-487884,113967,3.8,3073.8
4154325011,-27.132,0.023,0.059,-393078,-487592,114089,3.8,3073.8
4154326032,-27.173,-0.011,0.068,-393169,-487736,114127,3.8,3073.8
4154327054,-27.172,-0.069,0.066,-393167,-487984,114118,3.8,3073.8
4154328076,-27.163,-0.059,0.028,-393146,-487939,113958,3.8,3073.8
4154329098,-27.239,0.017,0.054,-393313,-487617,114069,3.8,3073.8
4154330119,-27.2,0.021,0.028,-393227,-487600,113958,3.8,3073.8
4154331141,-27.389,-0.022,0.041,-393643,-487784,114013,3.8,3073.8
4154332163,-27.325,-0.068,0.066,-393503,-487979,114116,3.8,3073.8
4154333184,-27.389,0.071,0.093,-393643,-487389,114233,3.8,3073.8
4154334206,-27.27,0.063,0.072,-393381,-487419,114141,3.8,3073.8
4154335228,-27.368,-0.005,0.098,-393596,-487709,114254,3.8,3073.8
4154336249,-27.502,-0.018,0.129,-393891,-487765,114381,3.8,3073.8
4154337271,-27.352,0.007,0.044,-393562,-487660,114027,3.8,3073.8
4154338293,-27.413,-0.049,-0.017,-393695,-487899,113769,3.8,3073.8
4154339315,-27.506,-0.01,0.028,-393900,-487732,113958,3.8,3073.8
4154340337,-27.471,-0.003,0.055,-393822,-487701,114073,3.8,3073.8
4154341358,-27.606,-0.071,0.07,-394119,-487992,114136,3.8,3073.8
4154342380,-27.693,-0.082,0.014,-394310,-488039,113900,3.8,3073.8
4154343402,-27.729,-0.005,0.051,-394389,-487710,114054,3.8,3073.8
4154344423,-27.827,-0.193,0.042,-394605,-488511,114015,3.8,3073.8
4154345445,-27.788,-0.043,0.036,-394519,-487870,113990,3.8,3073.8
4154346467,-27.804,0.003,-0.003,-394555,-487674,113830,3.8,3073.8
4154347489,-27.774,-0.042,0.074,-394488,-487869,114152,3.8,3073.8
4154348510,-27.918,-0.045,-0.012,-394804,-487880,113791,3.8,3073.8
4154349532,-27.931,0.044,0.039,-394832,-487500,114006,3.8,3073.8
4154350554,-28.022,0.047,0.015,-395033,-487489,113903,3.8,3073.8
4154351576,-28.082,0.047,0.179,-395164,-487487,114592,3.8,3073.8
4154352597,-28.029,0.047,0.1,-395049,-487491,114259,3.8,3073.8
4154353619,-28.075,-0.005,0.102,-395148,-487711,114270,3.8,3073.8
4154354641,-28.098,-0.046,0.055,-395200,-487885,114073,3.8,3073.8
4154355662,-28.057,0.077,0.073,-395110,-487360,114146,3.8,3073.8
4154356684,-28.138,0.021,0.01,-395287,-487599,113882,3.8,3073.8
4154357706,-28.164,-0.006,0.123,-395344,-487713,114359,3.8,3073.8
4154358728,-28.071,0.082,0.064,-395140,-487340,114111,3.8,3073.8
4154359749,-28.204,0.067,0.099,-395432,-487405,114257,3.8,3073.8
4154360771,-28.215,-0.078,0.121,-395457,-488019,114350,3.8,3073.8
4154361793,-28.239,0.013,0.046,-395510,-487633,114035,3.8,3073.8
4154362815,-28.32,-0.029,0.091,-395686,-487810,114221,3.8,3073.8
4154363836,-28.284,-0.039,0.006,-395607,-487854,113866,3.8,3073.8
4154364858,-28.132,-0.01,0.066,-395274,-487732,114117,3.8,3073.8
4154365880,-28.346,-0.129,0.062,-395744,-488236,114102,3.8,3073.8
4154366901,-28.336,-0.019,0.072,-395723,-487768,114144,3.8,3073.8
4154367923,-28.337,-0.011,0.063,-395725,-487736,114106,3.8,3073.8
4154368945,-28.367,0.034,0.055,-395791,-487543,114072,3.8,3073.8
4154369967,-28.179,0.042,0.043,-395378,-487510,114020,3.8,3073.8
4154370988,-28.202,0.062,0.067,-395428,-487425,114123,3.8,3073.8
4154372010,-28.371,-0.047,0.051,-395799,-487890,114055,3.8,3073.8
4154373032,-28.289,0.041,0.1,-395618,-487514,114261,3.8,3073.8
4154374054,-28.297,-0.016,0.06,-395637,-487755,114092,3.8,3073.8
4154375075,-28.42,-0.049,-0.059,-395907,-487899,113594,3.8,3073.8
4154376097,-28.48,-0.036,-0.003,-396038,-487840,113826,3.8,3073.8
4154377119,-28.591,-0.037,0.011,-396282,-487845,113887,3.8,3073.8
4154378140,-28.667,-0.021,0.028,-396450,-487780,113959,3.8,3073.8
4154379162,-28.776,-0.053,0.082,-396688,-487914,114185,3.8,3073.8
4154380184,-28.628,0.042,0.051,-396363,-487509,114055,3.8,3073.8
4154381206,-28.716,-0.044,0.106,-396557,-487874,114286,3.8,3073.8
4154382227,-28.542,0.024,0.07,-396175,-487587,114134,3.8,3073.8
4154383249,-28.814,-0.098,0.051,-396772,-488104,114054,3.8,3073.8
4154384271,-28.778,-0.023,0.057,-396692,-487786,114079,3.8,3073.8
4154385293,-28.826,-0.03,0.057,-396799,-487816,114078,3.8,3073.8
4154386314,-28.821,0.018,0.057,-396787,-487614,114080,3.8,3073.8
4154387348,-28.766,-0.058,0.072,-396666,-487936,114141,3.8,3073.8
4154388423,-28.766,-0.058,0.072,-396666,-487936,114141,3.8,3073.8
4154389488,-28.85,-0.105,0.062,-396852,-488100,114102,3.8,3073.8
4154390508,-28.74,0.082,0.099,-396610,-487304,114258,3.8,3073.8
4154391529,-28.831,0.066,0.094,-396810,-487373,114237,3.8,3073.8
4154392550,-28.71,-0.065,0.125,-396544,-487928,114365,3.8,3073.8
4154393571,-28.723,0.012,0.104,-396573,-487602,114276,3.8,3073.8
4154394592,-28.844,-0.044,0.061,-396838,-487839,114097,3.8,3073.8
4154395613,-28.675,-0.001,0.043,-396467,-487658,114022,3.8,3073.8
4154396633,-28.95,-0.069,0.039,-397070,-487946,114005,3.8,3073.8
4154397654,-29.027,-0.035,0.067,-397239,-487803,114124,3.8,3073.8
4154398675,-28.888,-0.06,0.114,-396935,-487909,114319,3.8,3073.8
4154399696,-29.057,-0.115,0.048,-397306,-488141,114042,3.8,3073.8
4154400717,-28.954,-0.061,-0.029,-397080,-487912,113719,3.8,3073.8
4154401738,-28.997,-0.022,0.012,-397173,-487745,113889,3.8,3073.8
4154402758,-29.129,0.057,0.104,-397464,-487410,114277,3.8,3073.8
4154403779,-29.089,0.029,0.099,-397375,-487531,114256,3.8,3073.8
4154404800,-29.058,0.035,0.123,-397307,-487503,114357,3.8,3073.8
4154405821,-29.107,0.055,0.104,-397415,-487417,114279,3.8,3073.8
4154406842,-29.212,0.032,-0.024,-397645,-487515,113741,3.8,3073.8
4154407863,-29.189,-0.003,0.149,-397596,-487666,114465,3.8,3073.8
4154408883,-29.2,0.032,0.151,-397619,-487517,114474,3.8,3073.8
4154409904,-29.141,0.049,0.143,-397489,-487446,114441,3.8,3073.8
