# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: deep_breathing
# Date: 20250610
# Time: 120840
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
342915358,-21.488,-0.058,0.027,-380469,-487750,114183,110.0,2386.7
342916362,-21.466,-0.156,-0.008,-380419,-488164,114036,110.0,2386.7
342917384,-21.599,-0.135,0.033,-380712,-488077,114208,110.0,2386.7
342918406,-21.664,-0.01,-0.024,-380854,-487545,113970,110.0,2386.7
342919427,-21.647,-0.029,-0.037,-380817,-487627,113914,110.0,2386.7
342920449,-21.508,-0.073,0.052,-380511,-487813,114288,110.0,2386.7
342921471,-21.6,-0.165,-0.047,-380714,-488202,113875,110.0,2386.7
342922492,-21.696,-0.031,0.041,-380925,-487633,114241,110.0,2386.7
342923514,-21.605,0.011,0.027,-380726,-487455,114184,110.0,2386.7
342924536,-21.523,0.083,0.027,-380546,-487150,114183,110.0,2386.7
342925558,-21.473,-0.008,0.116,-380435,-487537,114557,110.0,2386.7
342926579,-21.44,-0.044,0.013,-380362,-487690,114127,110.0,2386.7
342927601,-21.584,-0.068,-0.012,-380678,-487791,114020,110.0,2386.7
342928623,-21.497,-0.066,-0.026,-380487,-487784,113961,110.0,2386.7
342929644,-21.558,0.019,0.016,-380622,-487421,114136,110.0,2386.7
342930666,-21.382,-0.106,0.051,-380236,-487952,114285,110.0,2386.7
342931688,-21.483,-0.099,0.057,-380458,-487925,114311,110.0,2386.7
342932710,-21.576,-0.149,0.017,-380661,-488137,114141,110.0,2386.7
342933731,-21.541,-0.131,-0.075,-380584,-488059,113757,110.0,2386.7
342934753,-21.487,-0.22,0.026,-380465,-488437,114179,110.0,2386.7
342935775,-21.705,-0.139,0.045,-380944,-488093,114258,110.0,2386.7
342936796,-21.817,-0.089,-0.024,-381191,-487881,113969,110.0,2386.7
342937818,-21.666,0.024,-0.016,-380858,-487399,114005,110.0,2386.7
342938840,-21.567,0.014,0.088,-380642,-487444,114442,110.0,2386.7
342939862,-21.482,-0.005,-0.04,-380454,-487525,113903,110.0,2386.7
342940883,-21.456,-0.021,-0.013,-380398,-487591,114018,110.0,2386.7
342941905,-21.469,-0.026,-0.005,-380426,-487611,114049,110.0,2386.7
342942927,-21.637,-0.035,0.015,-380795,-487653,114135,110.0,2386.7
342943948,-21.656,0.018,0.035,-380838,-487425,114217,110.0,2386.7
342944970,-21.572,0.028,0.057,-380652,-487385,114312,110.0,2386.7
342945992,-21.661,-0.067,-0.061,-380847,-487788,113813,110.0,2386.7
342947014,-21.665,-0.085,-0.031,-380857,-487864,113941,110.0,2386.7
342948035,-21.689,-0.072,0.07,-380909,-487810,114364,110.0,2386.7
342949057,-21.697,-0.038,0.035,-380926,-487663,114216,110.0,2386.7
342950079,-21.726,-0.051,-0.024,-380991,-487720,113971,110.0,2386.7
342951101,-21.726,-0.039,0.013,-380990,-487667,114124,110.0,2386.7
342952122,-21.707,0.018,-0.011,-380948,-487426,114025,110.0,2386.7
342953144,-21.526,0.082,0.064,-380552,-487152,114341,110.0,2386.7
342954166,-21.554,0.151,0.094,-380614,-486861,114465,110.0,2386.7
342955187,-21.429,0.073,0.157,-380339,-487191,114728,110.0,2386.7
342956209,-21.468,0.092,0.042,-380424,-487111,114249,110.0,2386.7
342957231,-21.554,-0.027,-0.018,-380613,-487616,113996,110.0,2386.7
342958253,-21.651,-0.039,0.117,-380825,-487670,114562,110.0,2386.7
342959274,-21.443,0.015,0.082,-380370,-487437,114417,110.0,2386.7
342960296,-21.417,0.02,0.083,-380313,-487419,114419,110.0,2386.7
342961318,-21.413,-0.006,0.021,-380304,-487527,114159,110.0,2386.7
342962340,-21.539,-0.02,0.018,-380581,-487587,114146,110.0,2386.7
342963361,-21.466,-0.14,0.012,-380419,-488097,114123,110.0,2386.7
342964383,-21.528,-0.127,-0.045,-380555,-488041,113881,110.0,2386.7
342965405,-21.575,-0.128,0.0,-380659,-488045,114072,110.0,2386.7
342966426,-21.706,-0.003,0.057,-380947,-487516,114311,110.0,2386.7
342967448,-21.794,-0.046,0.113,-381140,-487697,114547,110.0,2386.7
342968470,-21.593,0.056,0.093,-380698,-487263,114460,110.0,2386.7
342969503,-21.561,-0.006,0.109,-380629,-487526,114528,110.0,2386.7
342970580,-21.561,-0.006,0.109,-380629,-487526,114528,110.0,2386.7
342971645,-21.528,0.024,0.117,-380557,-487402,114564,110.0,2386.7
342972666,-21.564,-0.075,0.115,-380635,-487821,114554,110.0,2386.7
342973686,-21.658,-0.017,0.073,-380841,-487573,114377,110.0,2386.7
342974707,-21.679,0.015,0.007,-380887,-487438,114100,110.0,2386.7
342975728,-21.724,-0.113,0.056,-380987,-487983,114307,110.0,2386.7
342976749,-21.683,-0.066,0.03,-380896,-487784,114195,110.0,2386.7
342977770,-21.683,-0.055,0.05,-380897,-487737,114279,110.0,2386.7
342978791,-21.722,-0.055,-0.038,-380982,-487736,113910,110.0,2386.7
342979811,-21.808,-0.104,-0.016,-381171,-487946,114002,110.0,2386.7
342980832,-21.809,-0.083,0.043,-381172,-487855,114250,110.0,2386.7
342981853,-21.717,0.022,0.085,-380972,-487410,114428,110.0,2386.7
342982874,-21.767,0.01,0.066,-381081,-487462,114348,110.0,2386.7
342983895,-21.699,0.125,0.051,-380931,-486970,114286,110.0,2386.7
342984916,-21.51,-0.004,0.148,-380516,-487518,114693,110.0,2386.7
342985936,-21.491,0.087,-0.019,-380474,-487134,113992,110.0,2386.7
342986957,-21.462,0.047,-0.012,-380412,-487304,114022,110.0,2386.7
342987978,-21.433,-0.092,0.055,-380348,-487892,114301,110.0,2386.7
342988999,-21.472,-0.062,-0.056,-380433,-487767,113837,110.0,2386.7
342990020,-21.446,-0.142,-0.033,-380376,-488108,113933,110.0,2386.7
342991041,-21.68,-0.061,-0.027,-380889,-487760,113956,110.0,2386.7
342992061,-21.605,-0.083,-0.004,-380725,-487854,114053,110.0,2386.7
342993082,-21.762,-0.086,0.016,-381070,-487869,114137,110.0,2386.7
342994103,-21.687,-0.071,0.036,-380905,-487805,114220,110.0,2386.7
342995124,-21.785,-0.106,-0.072,-381121,-487955,113770,110.0,2386.7
342996145,-21.7,-0.087,-0.028,-380934,-487874,113955,110.0,2386.7
342997166,-21.728,-0.165,0.041,-380996,-488206,114241,110.0,2386.7
342998187,-21.735,-0.023,-0.003,-381011,-487600,114060,110.0,2386.7
342999208,-21.784,0.045,0.011,-381117,-487310,114115,110.0,2386.7
343000230,-21.74,0.089,0.088,-381021,-487125,114439,110.0,2386.7
343001252,-21.812,0.092,0.036,-381179,-487110,114220,110.0,2386.7
343002274,-21.722,-0.014,0.081,-380981,-487562,114409,110.0,2386.7
343003295,-21.784,0.006,0.06,-381119,-487475,114321,110.0,2386.7
343004317,-21.799,-0.097,-0.029,-381152,-487917,113951,110.0,2386.7
343005339,-21.792,0.04,-0.07,-381136,-487334,113779,110.0,2386.7
343006360,-21.786,0.0,0.005,-381122,-487501,114091,110.0,2386.7
343007382,-21.797,-0.004,0.023,-381147,-487520,114166,110.0,2386.7
343008404,-21.883,-0.043,-0.046,-381336,-487687,113876,110.0,2386.7
343009426,-21.896,-0.057,0.043,-381364,-487746,114250,110.0,2386.7
343010447,-21.973,-0.103,-0.022,-381532,-487939,113980,110.0,2386.7
343011469,-22.08,-0.045,0.019,-381769,-487695,114152,110.0,2386.7
343012491,-21.933,0.012,-0.015,-381446,-487451,114006,110.0,2386.7
343013513,-21.939,0.156,-0.064,-381458,-486838,113803,110.0,2386.7
343014534,-21.872,0.127,0.123,-381311,-486963,114587,110.0,2386.7
343015556,-21.841,0.186,-0.024,-381244,-486712,113971,110.0,2386.7
343016578,-21.728,0.067,0.221,-380994,-487216,114997,110.0,2386.7
343017599,-21.754,0.014,-0.004,-381053,-487445,114055,110.0,2386.7
343018621,-21.757,-0.076,-0.007,-381058,-487826,114041,110.0,2386.7
343019643,-21.911,-0.019,0.001,-381396,-487584,114077,110.0,2386.7
343020665,-21.845,-0.051,0.054,-381253,-487721,114298,110.0,2386.7
343021686,-21.86,-0.089,0.093,-381286,-487879,114460,110.0,2386.7
343022708,-21.958,-0.164,0.092,-381500,-488198,114455,110.0,2386.7
343023730,-21.901,-0.05,0.037,-381376,-487713,114227,110.0,2386.7
343024751,-21.947,-0.077,0.007,-381475,-487829,114101,110.0,2386.7
343025773,-21.895,-0.026,-0.001,-381362,-487612,114067,110.0,2386.7
343026795,-21.948,0.042,0.069,-381478,-487322,114359,110.0,2386.7
343027817,-21.872,-0.049,0.077,-381311,-487710,114395,110.0,2386.7
343028838,-21.945,-0.078,0.107,-381471,-487834,114521,110.0,2386.7
343029860,-21.969,0.058,0.054,-381525,-487258,114297,110.0,2386.7
343030882,-22.034,0.01,0.074,-381667,-487458,114380,110.0,2386.7
343031904,-21.764,0.091,0.063,-381074,-487116,114337,110.0,2386.7
343032925,-21.734,0.033,0.094,-381009,-487363,114465,110.0,2386.7
343033947,-21.711,-0.023,0.027,-380958,-487602,114186,110.0,2386.7
343034969,-21.696,-0.081,0.024,-380924,-487846,114172,110.0,2386.7
343035991,-21.8,-0.045,0.03,-381153,-487695,114197,110.0,2386.7
343037012,-21.806,-0.04,0.018,-381166,-487672,114145,110.0,2386.7
343038034,-21.859,-0.015,0.04,-381282,-487567,114237,110.0,2386.7
343039056,-21.871,-0.034,-0.093,-381310,-487647,113681,110.0,2386.7
343040077,-21.805,-0.041,0.011,-381165,-487676,114119,110.0,2386.7
343041099,-21.966,-0.169,0.018,-381518,-488223,114148,110.0,2386.7
343042121,-21.992,-0.168,0.013,-381575,-488217,114127,110.0,2386.7
343043143,-21.882,-0.028,-0.03,-381334,-487623,113945,110.0,2386.7
343044164,-21.923,-0.014,0.014,-381423,-487560,114130,110.0,2386.7
343045186,-21.881,0.018,0.092,-381330,-487426,114459,110.0,2386.7
343046208,-21.87,0.021,-0.014,-381306,-487413,114012,110.0,2386.7
343047230,-21.796,0.002,0.113,-381144,-487496,114546,110.0,2386.7
343048251,-21.705,-0.032,0.05,-380945,-487639,114282,110.0,2386.7
343049273,-21.833,-0.017,0.114,-381225,-487575,114550,110.0,2386.7
343050295,-21.859,-0.106,0.053,-381282,-487953,114293,110.0,2386.7
343051316,-21.82,-0.066,-0.019,-381197,-487783,113990,110.0,2386.7
343052338,-21.948,-0.092,-0.021,-381479,-487893,113984,110.0,2386.7
343053360,-21.914,-0.221,-0.087,-381404,-488444,113704,110.0,2386.7
343054381,-21.821,-0.221,-0.042,-381199,-488441,113894,110.0,2386.7
343055403,-21.986,-0.221,-0.015,-381561,-488443,114006,110.0,2386.7
343056425,-22.035,-0.191,0.011,-381670,-488315,114116,110.0,2386.7
343057447,-22.177,-0.156,0.047,-381982,-488166,114270,110.0,2386.7
343058468,-21.991,-0.185,-0.005,-381573,-488288,114051,110.0,2386.7
343059490,-22.139,-0.04,0.096,-381898,-487672,114473,110.0,2386.7
343060512,-21.974,-0.151,0.006,-381536,-488144,114098,110.0,2386.7
343061534,-22.119,-0.013,-0.05,-381854,-487557,113862,110.0,2386.7
343062555,-21.951,0.06,0.043,-381484,-487246,114253,110.0,2386.7
343063577,-21.932,-0.001,0.086,-381443,-487509,114432,110.0,2386.7
343064599,-21.843,0.041,0.158,-381248,-487330,114735,110.0,2386.7
343065621,-21.756,-0.089,0.041,-381056,-487880,114245,110.0,2386.7
343066642,-21.739,-0.177,0.019,-381020,-488257,114151,110.0,2386.7
343067664,-21.792,-0.193,-0.013,-381135,-488322,114018,110.0,2386.7
343068686,-22.004,-0.086,-0.023,-381602,-487868,113976,110.0,2386.7
343069707,-21.909,-0.113,-0.042,-381392,-487982,113895,110.0,2386.7
343070729,-21.916,-0.175,-0.057,-381407,-488245,113830,110.0,2386.7
343071751,-21.904,-0.119,-0.037,-381381,-488009,113915,110.0,2386.7
343072773,-21.972,-0.23,-0.059,-381531,-488479,113823,110.0,2386.7
343073806,-22.165,-0.15,-0.032,-381954,-488141,113936,110.0,2386.7
343074882,-22.165,-0.15,-0.032,-381954,-488141,113936,110.0,2386.7
343075947,-22.129,-0.009,0.036,-381876,-487576,114224,110.0,2386.7
343076968,-22.166,0.001,0.091,-381957,-487533,114452,110.0,2386.7
343077989,-21.972,0.065,-0.011,-381531,-487263,114026,110.0,2386.7
343079009,-21.959,0.073,0.08,-381503,-487229,114405,110.0,2386.7
343080030,-21.747,0.061,0.151,-381037,-487281,114706,110.0,2386.7
343081051,-21.889,0.003,0.079,-381348,-487527,114403,110.0,2386.7
343082072,-21.854,-0.058,0.0,-381271,-487785,114072,110.0,2386.7
343083093,-21.902,0.029,0.164,-381378,-487414,114760,110.0,2386.7
343084114,-21.973,-0.014,-0.016,-381534,-487597,114003,110.0,2386.7
343085134,-21.91,0.009,0.054,-381394,-487502,114299,110.0,2386.7
343086155,-22.006,-0.08,-0.03,-381605,-487879,113946,110.0,2386.7
343087176,-22.15,-0.13,-0.033,-381922,-488092,113934,110.0,2386.7
343088197,-22.013,0.002,-0.04,-381620,-487531,113902,110.0,2386.7
343089218,-22.159,-0.023,0.034,-381942,-487636,114214,110.0,2386.7
343090238,-22.082,-0.003,-0.082,-381773,-487552,113726,110.0,2386.7
343091259,-22.239,-0.059,-0.272,-382116,-487791,112927,110.0,2386.7
343092280,-22.048,0.086,-0.218,-381697,-487173,113155,110.0,2386.7
343093301,-22.126,0.171,0.136,-381870,-486812,114640,110.0,2386.7
343094322,-21.991,0.115,0.166,-381573,-487049,114766,110.0,2386.7
343095343,-21.926,0.147,0.038,-381429,-486916,114230,110.0,2386.7
343096364,-21.988,-0.04,-0.058,-381566,-487709,113828,110.0,2386.7
343097384,-21.983,0.081,0.078,-381556,-487194,114398,110.0,2386.7
343098405,-22.133,0.112,-0.001,-381885,-487064,114067,110.0,2386.7
343099426,-21.984,0.063,0.051,-381557,-487271,114287,110.0,2386.7
343100447,-22.143,0.108,-0.019,-381906,-487081,113991,110.0,2386.7
343101468,-22.25,0.003,-0.153,-382142,-487525,113429,110.0,2386.7
343102489,-22.005,0.047,-0.104,-381604,-487338,113634,110.0,2386.7
343103511,-22.198,0.097,0.018,-382028,-487127,114146,110.0,2386.7
343104533,-22.146,0.159,0.031,-381912,-486865,114200,110.0,2386.7
343105555,-22.078,0.213,0.014,-381764,-486633,114130,110.0,2386.7
343106576,-22.026,0.098,-0.046,-381650,-487121,113879,110.0,2386.7
343107598,-21.943,0.126,0.001,-381467,-487003,114077,110.0,2386.7
343108620,-21.835,0.179,0.085,-381230,-486779,114426,110.0,2386.7
343109641,-21.86,0.174,0.051,-381286,-486801,114284,110.0,2386.7
343110663,-21.792,0.138,0.006,-381135,-486954,114096,110.0,2386.7
343111685,-21.885,0.098,-0.017,-381340,-487124,114000,110.0,2386.7
343112707,-21.904,0.128,0.052,-381382,-486994,114288,110.0,2386.7
343113728,-21.887,0.108,-0.016,-381344,-487081,114002,110.0,2386.7
343114750,-21.969,0.025,-0.056,-381524,-487433,113835,110.0,2386.7
343115772,-22.139,-0.063,0.068,-381898,-487807,114356,110.0,2386.7
343116794,-22.102,-0.097,0.049,-381817,-487952,114277,110.0,2386.7
343117815,-22.146,-0.004,0.094,-381913,-487554,114467,110.0,2386.7
343118837,-22.286,0.058,0.17,-382220,-487294,114786,110.0,2386.7
343119859,-22.266,0.025,0.228,-382177,-487431,115029,110.0,2386.7
343120880,-22.344,0.032,0.203,-382348,-487401,114924,110.0,2386.7
343121902,-22.356,-0.036,0.195,-382373,-487694,114891,110.0,2386.7
343122924,-22.336,0.131,0.206,-382329,-486982,114937,110.0,2386.7
343123946,-22.472,0.176,0.248,-382628,-486789,115111,110.0,2386.7
343124967,-22.183,0.156,0.268,-381995,-486874,115198,110.0,2386.7
343125989,-22.068,0.142,0.236,-381742,-486934,115063,110.0,2386.7
343127011,-22.056,0.094,0.178,-381716,-487138,114820,110.0,2386.7
343128032,-21.955,0.01,0.094,-381494,-487495,114466,110.0,2386.7
343129054,-21.983,0.071,0.168,-381554,-487236,114776,110.0,2386.7
343130076,-21.928,-0.098,0.045,-381434,-487955,114261,110.0,2386.7
343131098,-21.937,-0.097,0.046,-381455,-487950,114264,110.0,2386.7
343132119,-21.899,-0.215,-0.067,-381371,-488455,113788,110.0,2386.7
343133141,-21.907,-0.272,-0.095,-381387,-488697,113672,110.0,2386.7
343134163,-21.921,-0.464,-0.152,-381419,-489510,113433,110.0,2386.7
343135184,-21.993,-0.498,-0.314,-381577,-489657,112752,110.0,2386.7
343136206,-21.817,-0.625,-0.305,-381191,-490194,112789,110.0,2386.7
343137228,-21.949,-0.368,-0.207,-381481,-489104,113202,110.0,2386.7
343138250,-22.066,-0.166,0.093,-381738,-488246,114462,110.0,2386.7
343139271,-22.048,0.099,0.129,-381697,-487118,114611,110.0,2386.7
343140293,-21.98,0.426,-0.057,-381549,-485730,113832,110.0,2386.7
343141315,-21.952,0.234,0.024,-381486,-486545,114172,110.0,2386.7
343142337,-21.925,0.231,-0.011,-381427,-486557,114026,110.0,2386.7
343143358,-22.009,0.33,0.08,-381612,-486135,114408,110.0,2386.7
343144380,-22.201,0.314,0.028,-382033,-486203,114189,110.0,2386.7
343145402,-22.131,0.232,0.072,-381879,-486551,114373,110.0,2386.7
343146423,-22.265,0.07,0.028,-382175,-487243,114189,110.0,2386.7
343147445,-22.135,-0.097,0.05,-381888,-487953,114279,110.0,2386.7
343148467,-22.197,-0.114,0.022,-382024,-488024,114165,110.0,2386.7
343149489,-22.09,-0.126,-0.008,-381790,-488073,114037,110.0,2386.7
343150510,-22.244,-0.155,-0.055,-382127,-488197,113839,110.0,2386.7
343151532,-22.218,-0.126,-0.052,-382072,-488073,113851,110.0,2386.7
343152554,-22.24,-0.034,-0.019,-382120,-487682,113992,110.0,2386.7
343153576,-22.363,0.011,0.062,-382389,-487491,114332,110.0,2386.7
343154597,-22.319,0.048,0.171,-382293,-487335,114787,110.0,2386.7
343155619,-22.008,0.167,0.086,-381610,-486828,114430,110.0,2386.7
343156640,-21.996,0.16,0.088,-381584,-486860,114441,110.0,2386.7
343157662,-22.021,0.044,0.145,-381638,-487350,114680,110.0,2386.7
343158684,-22.105,0.051,0.133,-381822,-487324,114630,110.0,2386.7
343159706,-22.143,0.162,0.169,-381907,-486849,114781,110.0,2386.7
343160727,-22.139,0.186,0.166,-381897,-486749,114768,110.0,2386.7
343161749,-22.241,0.071,0.165,-382122,-487235,114762,110.0,2386.7
343162771,-22.269,-0.052,0.118,-382184,-487762,114565,110.0,2386.7
343163793,-22.448,-0.071,0.06,-382575,-487842,114324,110.0,2386.7
343164814,-22.334,-0.099,0.037,-382325,-487958,114227,110.0,2386.7
