# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: frc_reset
# Date: 20250610
# Time: 121049
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
471845820,-0.126,0.003,0.028,-333563,-487528,114189,132.4,2338.7
471846764,-0.185,-0.034,0.065,-333692,-487685,114345,132.4,2338.7
471847785,-0.09,0.112,-0.029,-333484,-487062,113951,132.4,2338.7
471848806,-0.21,0.043,0.04,-333747,-487357,114237,132.4,2338.7
471849827,-0.24,0.013,0.038,-333814,-487483,114230,132.4,2338.7
471850848,-0.175,0.004,-0.059,-333672,-487522,113822,132.4,2338.7
471851869,-0.15,0.006,0.039,-333616,-487512,114233,132.4,2338.7
471852889,-0.012,0.043,-0.037,-333313,-487355,113916,132.4,2338.7
471853910,-0.189,-0.001,0.037,-333701,-487543,114227,132.4,2338.7
471854931,-0.122,0.009,0.05,-333555,-487499,114279,132.4,2338.7
471855952,-0.008,0.052,0.022,-333305,-487317,114164,132.4,2338.7
471856973,-0.24,0.021,0.003,-333814,-487450,114085,132.4,2338.7
471857994,-0.169,0.107,0.078,-333658,-487082,114399,132.4,2338.7
471859014,-0.139,0.044,0.044,-333592,-487353,114257,132.4,2338.7
471860035,-0.096,-0.008,0.012,-333498,-487571,114123,132.4,2338.7
471861056,-0.108,0.017,-0.029,-333523,-487468,113951,132.4,2338.7
471862077,-0.205,-0.02,-0.021,-333736,-487622,113981,132.4,2338.7
471863098,-0.095,-0.051,0.033,-333496,-487757,114208,132.4,2338.7
471864119,-0.147,-0.052,0.076,-333609,-487761,114389,132.4,2338.7
471865139,-0.208,0.001,0.026,-333743,-487536,114180,132.4,2338.7
471866160,-0.102,-0.012,-0.023,-333511,-487590,113974,132.4,2338.7
471867181,-0.126,0.035,0.011,-333564,-487391,114118,132.4,2338.7
471868202,-0.065,0.084,-0.002,-333430,-487184,114063,132.4,2338.7
471869223,-0.079,0.025,0.001,-333461,-487432,114075,132.4,2338.7
471870244,-0.137,-0.012,0.003,-333588,-487588,114082,132.4,2338.7
471871264,-0.036,0.018,-0.03,-333365,-487462,113946,132.4,2338.7
471872285,-0.09,0.091,-0.017,-333484,-487152,114001,132.4,2338.7
471873306,-0.068,0.062,-0.005,-333437,-487277,114051,132.4,2338.7
471874327,-0.043,0.065,-0.081,-333382,-487263,113730,132.4,2338.7
471875348,-0.052,0.012,0.022,-333401,-487489,114162,132.4,2338.7
471876369,-0.149,0.041,-0.036,-333615,-487365,113921,132.4,2338.7
471877389,-0.028,0.048,-0.053,-333349,-487333,113848,132.4,2338.7
471878410,-0.116,0.043,-0.068,-333542,-487357,113785,132.4,2338.7
471879431,-0.107,0.031,-0.018,-333522,-487407,113996,132.4,2338.7
471880452,-0.045,0.034,0.113,-333385,-487396,114547,132.4,2338.7
471881473,0.048,0.122,0.02,-333182,-487020,114156,132.4,2338.7
471882494,-0.117,0.08,-0.089,-333543,-487198,113699,132.4,2338.7
471883514,0.04,0.062,0.048,-333198,-487274,114273,132.4,2338.7
471884535,-0.143,-0.014,-0.003,-333601,-487597,114057,132.4,2338.7
471885556,-0.171,0.08,0.024,-333663,-487198,114173,132.4,2338.7
471886577,-0.081,0.046,0.081,-333465,-487344,114409,132.4,2338.7
471887598,-0.108,0.066,0.094,-333523,-487258,114467,132.4,2338.7
471888619,0.027,0.025,0.033,-333227,-487434,114211,132.4,2338.7
471889639,-0.059,0.101,0.075,-333417,-487108,114386,132.4,2338.7
471890660,0.006,-0.049,-0.01,-333274,-487748,114029,132.4,2338.7
471891681,0.021,0.091,0.06,-333241,-487152,114321,132.4,2338.7
471892702,-0.057,0.055,-0.043,-333413,-487304,113889,132.4,2338.7
471893723,0.01,-0.042,-0.049,-333265,-487717,113865,132.4,2338.7
471894744,-0.014,0.034,-0.058,-333317,-487393,113826,132.4,2338.7
471895776,-0.154,-0.01,0.048,-333625,-487582,114272,132.4,2338.7
471896852,-0.154,-0.01,0.048,-333625,-487582,114272,132.4,2338.7
471897916,0.026,0.06,0.034,-333230,-487247,114213,132.4,2338.7
471898937,0.08,0.025,0.075,-333112,-487396,114387,132.4,2338.7
471899958,-0.029,-0.031,0.012,-333350,-487634,114121,132.4,2338.7
471900979,-0.034,0.038,-0.009,-333362,-487342,114032,132.4,2338.7
471902000,-0.095,0.015,0.051,-333496,-487439,114287,132.4,2338.7
471903021,-0.041,0.074,-0.032,-333376,-487186,113938,132.4,2338.7
471904041,-0.13,0.014,0.007,-333572,-487443,114102,132.4,2338.7
471905062,0.014,-0.043,-0.023,-333257,-487685,113973,132.4,2338.7
471906083,-0.062,0.071,0.0,-333424,-487199,114072,132.4,2338.7
471907104,-0.143,-0.027,-0.019,-333601,-487616,113993,132.4,2338.7
471908125,-0.048,0.04,0.062,-333392,-487331,114330,132.4,2338.7
471909146,-0.165,0.051,0.002,-333649,-487284,114078,132.4,2338.7
471910167,-0.045,0.043,-0.022,-333385,-487321,113978,132.4,2338.7
