# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250610
# Time: 120946
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
408871653,0,-2.821,1.83,-0.298,-339482,-479723,112792,81.0,2878.9
408872484,831,-2.476,1.694,-0.926,-338723,-480303,110153,81.0,2878.9
408873504,1851,-2.146,1.42,-1.077,-337998,-481465,109521,81.0,2878.9
408874523,2870,-1.886,1.175,-1.086,-337428,-482506,109484,81.0,2878.9
408875542,3889,-1.697,0.693,-1.292,-337014,-484556,108619,81.0,2878.9
408876562,4909,-1.459,0.39,-1.289,-336491,-485844,108632,81.0,2878.9
408877581,5928,-1.564,-0.032,-1.327,-336720,-487639,108471,81.0,2878.9
408878601,6948,-1.782,-0.456,-1.25,-337200,-489442,108792,81.0,2878.9
408879620,7967,-2.071,-0.498,-0.852,-337835,-489619,110465,81.0,2878.9
408880640,8987,-2.688,-0.454,-0.56,-339188,-489431,111693,81.0,2878.9
408881659,10006,-3.171,-0.689,-0.489,-340250,-490433,111988,81.0,2878.9
408882679,11026,-3.367,-0.245,0.35,-340679,-488545,115511,81.0,2878.9
408883698,12045,-3.466,-0.265,1.074,-340897,-488629,118553,81.0,2878.9
408884718,13065,-3.671,0.142,1.089,-341348,-486901,118616,81.0,2878.9
408885737,14084,-3.814,0.457,0.937,-341661,-485562,117976,81.0,2878.9
408886756,15103,-3.717,0.463,0.542,-341448,-485534,116317,81.0,2878.9
408887776,16123,-3.397,0.159,-0.107,-340745,-486827,113593,81.0,2878.9
408888795,17142,-3.125,-0.016,-0.502,-340148,-487571,111936,81.0,2878.9
408889815,18162,-2.785,-0.715,-0.633,-339402,-490542,111383,81.0,2878.9
408890834,19181,-2.777,-0.969,-1.078,-339385,-491623,109516,81.0,2878.9
408891854,20201,-2.978,-1.441,-1.523,-339825,-493630,107649,81.0,2878.9
408892873,21220,-2.988,-1.993,-1.533,-339847,-495973,107605,81.0,2878.9
408893893,22240,-3.18,-2.043,-1.117,-340269,-496188,109353,81.0,2878.9
408894912,23259,-3.652,-2.022,-1.028,-341305,-496097,109725,81.0,2878.9
408895932,24279,-4.22,-1.77,-0.987,-342552,-495027,109898,81.0,2878.9
408896963,25310,-4.454,-1.666,-0.729,-343066,-494584,110980,81.0,2878.9
408898041,26388,-4.454,-1.666,-0.729,-343066,-494584,110980,81.0,2878.9
408899106,27453,-4.864,-1.106,-0.464,-343966,-492240,112122,81.0,2878.9
408900126,28473,-4.829,-0.937,-0.544,-343891,-491521,111787,81.0,2878.9
408901147,29494,-4.901,-0.706,-0.223,-344048,-490540,113134,81.0,2878.9
408902168,30515,-4.716,-0.791,-1.18,-343641,-490902,109117,81.0,2878.9
408903189,31536,-4.443,-1.017,-1.432,-343042,-491861,108059,81.0,2878.9
408904210,32557,-4.885,-1.176,-0.134,-344014,-492540,113509,81.0,2878.9
408905231,33578,-5.073,-1.245,0.639,-344426,-492830,116755,81.0,2878.9
408906251,34598,-4.854,-1.58,-0.434,-343945,-494257,112247,81.0,2878.9
408907272,35619,-4.553,-2.097,-1.311,-343283,-496455,108566,81.0,2878.9
