# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250610
# Time: 120523
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
145104781,-0.059,-0.003,-0.044,-333363,-487406,114002,22.3,2257.7
145105654,0.001,0.12,0.047,-333231,-486882,114382,22.3,2257.7
145106673,-0.059,0.026,-0.017,-333363,-487283,114112,22.3,2257.7
145107692,-0.02,0.03,0.01,-333277,-487265,114229,22.3,2257.7
145108712,0.008,-0.017,-0.046,-333215,-487467,113992,22.3,2257.7
145109731,-0.139,0.046,0.085,-333538,-487196,114542,22.3,2257.7
145110751,-0.042,0.069,0.071,-333326,-487102,114484,22.3,2257.7
145111770,-0.197,0.011,-0.034,-333667,-487346,114043,22.3,2257.7
145112790,-0.157,0.053,0.114,-333578,-487170,114663,22.3,2257.7
145113809,-0.108,-0.027,0.001,-333471,-487508,114189,22.3,2257.7
145114829,-0.126,0.087,-0.005,-333510,-487026,114165,22.3,2257.7
145115848,-0.022,0.059,-0.031,-333281,-487144,114056,22.3,2257.7
145116868,-0.115,0.053,0.082,-333486,-487168,114530,22.3,2257.7
145117887,-0.068,0.075,0.04,-333382,-487073,114352,22.3,2257.7
145118907,-0.131,0.061,0.09,-333522,-487136,114563,22.3,2257.7
145119926,-0.036,0.041,0.09,-333312,-487221,114565,22.3,2257.7
145120945,0.078,0.071,-0.036,-333062,-487090,114033,22.3,2257.7
145121965,0.147,0.025,0.071,-332912,-487286,114483,22.3,2257.7
145122984,0.153,0.057,0.01,-332898,-487150,114229,22.3,2257.7
145124004,0.042,-0.034,0.103,-333141,-487536,114619,22.3,2257.7
145125023,0.133,0.058,0.076,-332941,-487146,114503,22.3,2257.7
145126043,0.038,0.035,-0.007,-333150,-487246,114157,22.3,2257.7
145127062,0.112,0.091,-0.054,-332987,-487008,113957,22.3,2257.7
145128082,0.132,0.007,0.045,-332944,-487363,114374,22.3,2257.7
145129101,0.111,0.038,0.031,-332990,-487232,114317,22.3,2257.7
145130121,0.171,-0.018,-0.028,-332858,-487471,114067,22.3,2257.7
145131140,0.124,0.069,0.052,-332962,-487102,114404,22.3,2257.7
145132159,0.027,-0.012,-0.027,-333175,-487446,114073,22.3,2257.7
145133179,0.157,0.035,-0.061,-332890,-487245,113931,22.3,2257.7
145134198,0.13,0.103,-0.097,-332948,-486956,113780,22.3,2257.7
145135218,0.229,0.024,0.048,-332730,-487293,114388,22.3,2257.7
145136237,0.101,0.032,-0.036,-333011,-487256,114036,22.3,2257.7
145137257,0.178,0.086,-0.036,-332842,-487029,114036,22.3,2257.7
145138276,0.097,0.035,-0.093,-333021,-487247,113797,22.3,2257.7
145139296,0.052,0.085,-0.001,-333120,-487032,114183,22.3,2257.7
145140315,0.001,-0.006,0.057,-333231,-487419,114426,22.3,2257.7
145141335,-0.145,-0.001,-0.036,-333552,-487400,114036,22.3,2257.7
145142354,-0.049,0.024,0.039,-333342,-487291,114348,22.3,2257.7
145143373,0.016,0.09,0.03,-333199,-487010,114310,22.3,2257.7
145144393,-0.026,0.038,0.016,-333291,-487234,114252,22.3,2257.7
145145413,0.044,-0.005,0.034,-333136,-487415,114328,22.3,2257.7
145146432,0.019,-0.004,0.026,-333191,-487410,114294,22.3,2257.7
145147451,0.001,-0.039,-0.048,-333232,-487560,113983,22.3,2257.7
145148471,-0.028,0.018,-0.014,-333296,-487318,114125,22.3,2257.7
145149490,0.163,-0.005,-0.007,-332876,-487414,114154,22.3,2257.7
145150510,0.078,-0.016,0.044,-333062,-487461,114370,22.3,2257.7
145151529,0.036,-0.045,0.044,-333155,-487586,114369,22.3,2257.7
145152549,0.037,-0.059,-0.002,-333153,-487645,114177,22.3,2257.7
145153568,0.03,-0.047,0.023,-333168,-487594,114280,22.3,2257.7
145154588,0.073,0.003,0.019,-333073,-487380,114266,22.3,2257.7
145155607,-0.032,0.013,0.055,-333304,-487337,114418,22.3,2257.7
145156626,0.029,-0.033,-0.032,-333169,-487534,114052,22.3,2257.7
145157646,-0.056,0.022,0.062,-333356,-487300,114444,22.3,2257.7
145158665,-0.054,0.021,0.093,-333352,-487303,114575,22.3,2257.7
145159685,0.101,0.004,0.034,-333013,-487375,114326,22.3,2257.7
145160704,0.018,0.073,0.048,-333195,-487084,114386,22.3,2257.7
145161724,-0.006,-0.01,0.041,-333247,-487435,114358,22.3,2257.7
145162743,-0.038,-0.026,0.058,-333317,-487502,114429,22.3,2257.7
145163763,0.008,0.028,0.038,-333215,-487275,114343,22.3,2257.7
145164782,0.095,0.039,0.053,-333024,-487227,114408,22.3,2257.7
145165802,-0.007,-0.053,-0.022,-333250,-487618,114094,22.3,2257.7
145166821,0.023,0.004,0.033,-333183,-487378,114325,22.3,2257.7
145167841,-0.008,-0.036,-0.018,-333251,-487546,114108,22.3,2257.7
145168860,-0.072,-0.004,-0.014,-333392,-487412,114125,22.3,2257.7
145169880,-0.015,0.024,-0.046,-333267,-487293,113994,22.3,2257.7
145170899,0.042,0.039,-0.004,-333141,-487228,114167,22.3,2257.7
145171918,-0.117,0.023,0.016,-333490,-487297,114254,22.3,2257.7
145172938,-0.069,-0.018,0.032,-333386,-487469,114318,22.3,2257.7
145173957,-0.034,-0.031,0.04,-333309,-487527,114355,22.3,2257.7
145174977,0.027,0.03,-0.036,-333174,-487267,114036,22.3,2257.7
145176008,-0.016,-0.029,0.003,-333268,-487517,114198,22.3,2257.7
145177085,-0.016,-0.029,0.003,-333268,-487517,114198,22.3,2257.7
145178150,-0.155,0.065,0.015,-333588,-487116,114249,22.3,2257.7
145179171,0.04,0.002,0.036,-333158,-487385,114335,22.3,2257.7
145180192,0.042,0.022,-0.013,-333155,-487299,114131,22.3,2257.7
145181213,-0.136,0.065,0.051,-333546,-487119,114401,22.3,2257.7
145182233,-0.01,0.063,0.052,-333268,-487125,114402,22.3,2257.7
145183254,0.179,0.077,0.049,-332855,-487066,114393,22.3,2257.7
145184275,0.002,-0.023,0.057,-333243,-487493,114423,22.3,2257.7
145185296,0.093,-0.022,0.039,-333042,-487487,114350,22.3,2257.7
145186317,0.013,0.056,0.03,-333218,-487156,114311,22.3,2257.7
145187338,-0.018,0.028,-0.068,-333286,-487273,113900,22.3,2257.7
145188359,-0.119,0.098,0.064,-333508,-486979,114453,22.3,2257.7
145189379,-0.117,0.035,0.001,-333504,-487244,114189,22.3,2257.7
145190400,-0.002,-0.043,0.094,-333252,-487578,114580,22.3,2257.7
145191421,-0.001,-0.021,0.017,-333250,-487482,114256,22.3,2257.7
145192442,0.147,0.035,0.017,-332925,-487244,114258,22.3,2257.7
145193463,-0.018,-0.02,0.011,-333287,-487477,114231,22.3,2257.7
145194483,-0.107,-0.045,0.093,-333482,-487585,114577,22.3,2257.7
145195504,-0.004,-0.003,0.01,-333256,-487406,114227,22.3,2257.7
145196525,0.017,0.049,-0.016,-333210,-487185,114117,22.3,2257.7
145197546,-0.038,-0.04,0.074,-333331,-487564,114496,22.3,2257.7
145198567,-0.093,0.092,0.106,-333451,-487004,114629,22.3,2257.7
145199588,-0.141,0.068,-0.051,-333557,-487106,113970,22.3,2257.7
145200608,-0.011,0.081,-0.037,-333271,-487048,114029,22.3,2257.7
145201629,-0.059,0.024,0.016,-333376,-487291,114254,22.3,2257.7
145202650,0.033,0.06,-0.008,-333175,-487138,114151,22.3,2257.7
145203671,-0.042,0.024,-0.025,-333338,-487293,114079,22.3,2257.7
145204693,-0.044,0.124,-0.05,-333344,-486868,113977,22.3,2257.7
