# Participant: P4
# Mask Type: AURA
# Fit Condition: leak
# Exercise: zeroing
# Date: 20250610
# Time: 120442
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
104224323,5.485,0.06,0.14,-321461,-487469,114428,110.2,2296.8
104225040,5.506,0.258,0.167,-321415,-486628,114541,110.2,2296.8
104226062,5.659,0.166,0.196,-321079,-487020,114663,110.2,2296.8
104227084,5.478,-0.039,0.12,-321476,-487889,114345,110.2,2296.8
104228106,5.435,-0.023,0.049,-321572,-487821,114048,110.2,2296.8
104229127,5.281,0.05,0.06,-321909,-487512,114091,110.2,2296.8
104230149,5.262,0.119,0.17,-321952,-487219,114555,110.2,2296.8
104231171,5.403,0.157,0.148,-321641,-487056,114464,110.2,2296.8
104232193,5.348,0.029,0.132,-321762,-487604,114393,110.2,2296.8
104233214,5.317,0.09,0.075,-321831,-487341,114157,110.2,2296.8
104234236,5.236,0.065,0.073,-322008,-487449,114149,110.2,2296.8
104235258,5.208,0.051,0.128,-322070,-487509,114379,110.2,2296.8
104236280,5.18,0.047,0.079,-322132,-487524,114171,110.2,2296.8
104237301,5.146,0.121,0.084,-322207,-487210,114192,110.2,2296.8
104238323,5.157,0.177,0.103,-322181,-486973,114273,110.2,2296.8
104239345,5.041,0.009,-0.035,-322437,-487689,113695,110.2,2296.8
104240367,5.158,0.087,0.053,-322180,-487354,114065,110.2,2296.8
104241388,5.115,0.116,0.089,-322274,-487233,114215,110.2,2296.8
104242410,5.12,0.111,0.157,-322263,-487254,114499,110.2,2296.8
104243432,5.031,0.109,0.047,-322458,-487262,114037,110.2,2296.8
104244454,5.096,0.092,-0.004,-322316,-487332,113823,110.2,2296.8
104245475,4.957,0.015,0.064,-322621,-487662,114111,110.2,2296.8
104246497,4.948,0.001,0.076,-322640,-487720,114159,110.2,2296.8
104247519,4.744,0.024,-0.079,-323089,-487624,113507,110.2,2296.8
104248541,4.636,0.111,-0.014,-323325,-487253,113782,110.2,2296.8
104249562,4.752,0.239,0.141,-323072,-486709,114432,110.2,2296.8
104250584,4.567,0.145,0.101,-323478,-487109,114263,110.2,2296.8
104251606,4.455,-0.08,-0.041,-323723,-488065,113668,110.2,2296.8
104252628,4.208,-0.13,-0.101,-324267,-488280,113418,110.2,2296.8
104253649,4.093,0.147,-0.015,-324518,-487100,113777,110.2,2296.8
104254671,4.382,0.439,0.13,-323884,-485859,114385,110.2,2296.8
104255693,4.829,0.579,0.344,-322903,-485261,115284,110.2,2296.8
104256714,4.992,0.211,0.192,-322544,-486827,114646,110.2,2296.8
104257736,4.665,-0.404,0.013,-323262,-489442,113896,110.2,2296.8
104258758,4.028,-0.615,-0.349,-324661,-490339,112374,110.2,2296.8
104259780,3.46,-0.176,-0.145,-325908,-488475,113231,110.2,2296.8
104260801,3.689,0.619,0.143,-325405,-485095,114442,110.2,2296.8
104261823,4.482,1.259,0.521,-323665,-482371,116028,110.2,2296.8
104262845,5.329,0.837,0.475,-321804,-484167,115836,110.2,2296.8
104263867,5.243,-0.585,-0.207,-321993,-490213,112973,110.2,2296.8
104264888,3.614,-2.247,-0.979,-325570,-497282,109730,110.2,2296.8
104265910,1.395,-2.055,-1.148,-330445,-496462,109018,110.2,2296.8
104266932,0.558,0.16,-0.588,-332282,-487045,111373,110.2,2296.8
104267954,1.921,2.325,0.528,-329288,-477838,116058,110.2,2296.8
104268975,4.163,2.357,1.074,-324366,-477702,118351,110.2,2296.8
104269997,5.229,0.018,0.376,-322023,-487650,115418,110.2,2296.8
104271019,3.546,-3.252,-1.015,-325721,-501555,109580,110.2,2296.8
104272040,-0.026,-3.723,-1.522,-333566,-503558,107449,110.2,2296.8
104273062,-2.396,-1.071,-0.48,-338771,-492281,111825,110.2,2296.8
104274084,-2.72,0.765,0.652,-339482,-484471,116580,110.2,2296.8
104275106,-2.015,1.048,1.031,-337934,-483268,118170,110.2,2296.8
104276127,-0.978,0.81,0.644,-335656,-484282,116544,110.2,2296.8
104277149,0.489,1.052,0.293,-332433,-483250,115073,110.2,2296.8
104278171,2.013,1.396,0.502,-329086,-481791,115949,110.2,2296.8
104279193,1.809,0.302,0.315,-329536,-486442,115163,110.2,2296.8
104280214,-0.352,-1.551,-0.324,-334281,-494320,112478,110.2,2296.8
104281236,-2.421,-1.019,-0.314,-338826,-492058,112523,110.2,2296.8
104282258,-3.145,-0.04,-0.244,-340415,-487895,112815,110.2,2296.8
104283280,-2.508,1.018,0.031,-339017,-483397,113970,110.2,2296.8
104284301,-0.052,2.625,0.891,-333622,-476561,117582,110.2,2296.8
104285323,2.459,2.37,0.92,-328108,-477649,117706,110.2,2296.8
104286345,3.84,0.808,0.372,-325075,-484291,115401,110.2,2296.8
104287367,0.892,-3.782,-1.24,-331548,-503806,108633,110.2,2296.8
104288388,-2.502,-2.469,-1.287,-339004,-498222,108436,110.2,2296.8
104289410,-4.352,-0.687,-0.449,-343066,-490647,111955,110.2,2296.8
104290432,-4.447,0.916,0.101,-343275,-483832,114266,110.2,2296.8
104291454,-3.556,0.499,0.375,-341317,-485605,115416,110.2,2296.8
104292475,-3.444,-1.001,-0.625,-341073,-491982,111215,110.2,2296.8
104293497,-2.471,-0.062,-0.452,-338935,-487989,111942,110.2,2296.8
104294519,-0.929,0.929,0.2,-335548,-483776,114679,110.2,2296.8
104295541,0.775,2.324,1.291,-331806,-477843,119263,110.2,2296.8
104296562,1.819,2.01,1.488,-329512,-479179,120088,110.2,2296.8
104297584,1.432,0.395,0.722,-330364,-486045,116874,110.2,2296.8
104298606,0.244,-0.491,-0.029,-332972,-489811,113718,110.2,2296.8
