# Participant: P4
# Mask Type: AURA
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250610
# Time: 115310
t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
3707346228,-38.943,0.114,-0.001,-400885,-487352,114316,0.6,2956.9
3707346933,-38.883,0.209,0.05,-400754,-486950,114530,0.6,2956.9
3707347952,-38.697,0.213,0.028,-400345,-486931,114438,0.6,2956.9
3707348972,-38.708,0.228,0.096,-400370,-486868,114722,0.6,2956.9
3707349991,-38.571,0.13,0.044,-400069,-487286,114504,0.6,2956.9
3707351011,-38.502,0.231,0.035,-399918,-486857,114468,0.6,2956.9
3707352030,-38.339,0.188,0.017,-399561,-487037,114390,0.6,2956.9
3707353051,-38.42,0.161,0.032,-399738,-487153,114454,0.6,2956.9
3707354072,-38.342,0.079,-0.079,-399568,-487503,113988,0.6,2956.9
3707355094,-38.329,0.097,0.069,-399538,-487427,114610,0.6,2956.9
3707356116,-38.531,0.052,-0.034,-399982,-487616,114177,0.6,2956.9
3707357138,-38.333,0.039,-0.016,-399547,-487671,114255,0.6,2956.9
3707358159,-38.353,0.093,-0.075,-399590,-487442,114006,0.6,2956.9
3707359181,-38.444,0.001,-0.131,-399791,-487833,113772,0.6,2956.9
3707360203,-38.466,0.087,-0.016,-399839,-487469,114254,0.6,2956.9
3707361225,-38.532,0.155,-0.019,-399984,-487179,114241,0.6,2956.9
3707362246,-38.376,0.196,-0.016,-399641,-487005,114255,0.6,2956.9
3707363268,-38.433,0.16,0.067,-399766,-487158,114602,0.6,2956.9
3707364290,-38.382,0.151,-0.017,-399654,-487197,114249,0.6,2956.9
3707365312,-38.274,0.221,0.049,-399417,-486899,114524,0.6,2956.9
3707366333,-38.18,0.238,0.071,-399212,-486827,114619,0.6,2956.9
3707367355,-38.197,0.242,0.114,-399248,-486810,114798,0.6,2956.9
3707368377,-38.137,0.176,0.01,-399118,-487091,114363,0.6,2956.9
3707369398,-38.279,0.114,0.077,-399429,-487354,114642,0.6,2956.9
3707370420,-38.189,0.148,-0.051,-399232,-487209,114108,0.6,2956.9
3707371442,-38.139,0.171,-0.029,-399121,-487110,114197,0.6,2956.9
3707372464,-38.285,0.155,-0.089,-399441,-487180,113946,0.6,2956.9
3707373485,-38.239,0.173,0.088,-399342,-487104,114690,0.6,2956.9
3707374507,-38.007,0.163,-0.05,-398833,-487144,114110,0.6,2956.9
3707375529,-38.093,0.204,-0.006,-399020,-486969,114296,0.6,2956.9
3707376550,-37.987,0.181,0.072,-398789,-487068,114624,0.6,2956.9
3707377572,-38.119,0.138,-0.007,-399077,-487251,114290,0.6,2956.9
3707378594,-38.015,0.109,-0.01,-398850,-487374,114277,0.6,2956.9
3707379616,-38.003,0.052,-0.049,-398823,-487618,114114,0.6,2956.9
3707380649,-37.917,0.041,-0.069,-398635,-487661,114033,0.6,2956.9
3707381724,-37.917,0.041,-0.069,-398635,-487661,114033,0.6,2956.9
3707382789,-37.959,0.136,-0.044,-398726,-487259,114134,0.6,2956.9
3707383810,-37.953,0.039,0.06,-398713,-487673,114574,0.6,2956.9
3707384831,-37.895,0.114,0.032,-398587,-487355,114453,0.6,2956.9
3707385852,-37.922,0.279,0.075,-398646,-486651,114635,0.6,2956.9
3707386872,-37.806,0.312,0.12,-398391,-486513,114824,0.6,2956.9
3707387893,-37.738,0.251,0.108,-398241,-486769,114773,0.6,2956.9
3707388914,-37.559,0.171,-0.001,-397849,-487109,114318,0.6,2956.9
3707389935,-37.568,0.18,0.035,-397868,-487073,114469,0.6,2956.9
3707390956,-37.573,0.116,-0.015,-397880,-487346,114256,0.6,2956.9
3707391977,-37.474,0.003,-0.028,-397662,-487823,114205,0.6,2956.9
3707392998,-37.729,0.173,0.038,-398223,-487104,114478,0.6,2956.9
3707394018,-37.525,0.201,0.012,-397774,-486982,114371,0.6,2956.9
3707395039,-37.634,0.126,-0.025,-398013,-487303,114215,0.6,2956.9
3707396060,-37.533,0.112,0.031,-397792,-487360,114452,0.6,2956.9
3707397081,-37.354,0.124,0.049,-397399,-487309,114524,0.6,2956.9
3707398102,-37.491,0.127,-0.029,-397700,-487296,114199,0.6,2956.9
3707399123,-37.533,0.044,-0.055,-397792,-487651,114088,0.6,2956.9
3707400143,-37.525,0.141,-0.027,-397775,-487237,114209,0.6,2956.9
3707401164,-37.587,0.073,-0.09,-397911,-487526,113943,0.6,2956.9
3707402185,-37.451,0.109,-0.028,-397612,-487373,114205,0.6,2956.9
3707403206,-37.554,0.142,-0.048,-397837,-487234,114120,0.6,2956.9
3707404227,-37.576,0.184,-0.003,-397887,-487055,114309,0.6,2956.9
3707405248,-37.344,0.121,-0.029,-397377,-487325,114200,0.6,2956.9
3707406269,-37.546,0.009,0.039,-397820,-487798,114483,0.6,2956.9
3707407289,-37.471,0.065,0.042,-397656,-487562,114496,0.6,2956.9
3707408311,-37.472,0.093,-0.087,-397659,-487443,113954,0.6,2956.9
3707409333,-37.518,0.123,-0.002,-397758,-487314,114311,0.6,2956.9
3707410355,-37.485,0.203,-0.007,-397686,-486973,114289,0.6,2956.9
3707411376,-37.31,0.255,-0.011,-397302,-486753,114276,0.6,2956.9
3707412398,-37.477,0.158,0.046,-397668,-487165,114512,0.6,2956.9
3707413420,-37.299,0.081,0.028,-397278,-487495,114437,0.6,2956.9
3707414441,-37.367,0.082,0.017,-397427,-487487,114393,0.6,2956.9
3707415463,-37.388,0.259,0.07,-397473,-486736,114616,0.6,2956.9
3707416485,-37.323,0.227,-0.005,-397331,-486874,114299,0.6,2956.9
3707417507,-37.196,0.294,0.145,-397053,-486588,114928,0.6,2956.9
3707418528,-37.055,0.18,0.054,-396743,-487072,114547,0.6,2956.9
3707419550,-36.996,0.202,0.1,-396613,-486979,114742,0.6,2956.9
3707420572,-37.062,0.183,0.066,-396759,-487061,114596,0.6,2956.9
3707421594,-36.772,0.158,0.119,-396123,-487168,114821,0.6,2956.9
3707422615,-36.698,0.182,0.037,-395959,-487065,114474,0.6,2956.9
3707423637,-36.817,0.129,0.084,-396221,-487290,114672,0.6,2956.9
3707424659,-36.822,0.12,0.032,-396231,-487327,114455,0.6,2956.9
3707425681,-36.736,0.171,0.022,-396044,-487112,114411,0.6,2956.9
3707426702,-36.811,0.051,0.022,-396208,-487619,114413,0.6,2956.9
3707427724,-36.755,-0.014,-0.011,-396084,-487896,114273,0.6,2956.9
3707428746,-36.82,0.047,-0.031,-396227,-487639,114191,0.6,2956.9
3707429768,-36.782,0.03,0.037,-396145,-487708,114474,0.6,2956.9
3707430789,-36.828,0.054,0.029,-396246,-487608,114440,0.6,2956.9
3707431811,-36.945,0.013,-0.002,-396501,-487784,114311,0.6,2956.9
3707432833,-36.751,0.093,0.008,-396075,-487443,114356,0.6,2956.9
3707433855,-36.843,0.167,-0.033,-396278,-487129,114184,0.6,2956.9
3707434876,-36.842,0.117,0.049,-396276,-487339,114525,0.6,2956.9
3707435898,-36.864,0.228,0.04,-396324,-486867,114488,0.6,2956.9
3707436920,-36.658,0.131,0.015,-395871,-487279,114383,0.6,2956.9
3707437941,-36.665,0.226,0.028,-395888,-486879,114439,0.6,2956.9
3707438963,-36.792,0.212,0.075,-396165,-486938,114636,0.6,2956.9
3707439985,-36.652,0.143,0.043,-395858,-487230,114499,0.6,2956.9
3707441007,-36.687,0.117,0.121,-395935,-487341,114828,0.6,2956.9
3707442028,-36.661,0.093,0.028,-395879,-487444,114439,0.6,2956.9
3707443050,-36.556,0.147,0.057,-395648,-487213,114559,0.6,2956.9
3707444072,-36.621,0.133,0.008,-395790,-487274,114352,0.6,2956.9
3707445094,-36.545,0.129,-0.017,-395624,-487289,114249,0.6,2956.9
3707446115,-36.543,0.105,0.058,-395620,-487390,114565,0.6,2956.9
3707447137,-36.578,0.109,-0.018,-395697,-487375,114245,0.6,2956.9
3707448159,-36.531,0.125,0.033,-395594,-487308,114458,0.6,2956.9
3707449180,-36.427,0.125,-0.009,-395365,-487307,114283,0.6,2956.9
3707450202,-36.276,0.093,0.01,-395034,-487441,114362,0.6,2956.9
3707451224,-36.368,0.128,-0.021,-395236,-487294,114231,0.6,2956.9
3707452246,-36.309,0.055,-0.001,-395107,-487604,114318,0.6,2956.9
3707453267,-36.388,0.112,0.072,-395280,-487361,114624,0.6,2956.9
3707454289,-36.571,0.182,0.056,-395682,-487064,114555,0.6,2956.9
3707455311,-36.366,0.134,0.03,-395231,-487269,114445,0.6,2956.9
3707456333,-36.359,0.16,0.056,-395215,-487159,114554,0.6,2956.9
3707457354,-36.227,0.128,0.012,-394927,-487294,114372,0.6,2956.9
3707458376,-36.162,0.077,0.09,-394784,-487508,114696,0.6,2956.9
3707459398,-36.342,0.079,0.013,-395178,-487500,114375,0.6,2956.9
3707460420,-36.222,0.081,0.081,-394916,-487492,114661,0.6,2956.9
3707461441,-36.22,0.048,0.086,-394912,-487633,114682,0.6,2956.9
3707462463,-36.219,0.084,0.023,-394909,-487481,114418,0.6,2956.9
3707463485,-36.243,0.131,0.066,-394962,-487281,114596,0.6,2956.9
3707464506,-36.215,0.128,0.045,-394899,-487293,114508,0.6,2956.9
3707465528,-36.247,0.094,0.021,-394970,-487438,114408,0.6,2956.9
3707466550,-36.203,-0.008,-0.013,-394874,-487873,114265,0.6,2956.9
3707467572,-36.247,0.166,-0.052,-394970,-487130,114103,0.6,2956.9
3707468593,-36.207,0.058,0.024,-394883,-487590,114420,0.6,2956.9
3707469615,-36.318,0.217,-0.042,-395126,-486916,114144,0.6,2956.9
3707470637,-36.277,0.144,-0.052,-395035,-487225,114101,0.6,2956.9
3707471659,-36.138,0.208,0.08,-394732,-486954,114657,0.6,2956.9
3707472680,-36.056,0.244,0.075,-394550,-486802,114636,0.6,2956.9
3707473702,-35.99,0.202,-0.002,-394407,-486978,114311,0.6,2956.9
3707474724,-35.881,0.212,0.041,-394167,-486936,114491,0.6,2956.9
3707475746,-35.819,0.192,0.098,-394032,-487021,114733,0.6,2956.9
3707476767,-35.786,0.125,0.027,-393959,-487307,114434,0.6,2956.9
3707477789,-35.726,0.216,0.031,-393827,-486921,114452,0.6,2956.9
3707478811,-35.694,0.056,0.003,-393756,-487601,114332,0.6,2956.9
3707479832,-35.798,0.02,-0.081,-393984,-487753,113980,0.6,2956.9
3707480854,-35.674,0.045,-0.063,-393712,-487644,114058,0.6,2956.9
3707481876,-35.741,0.115,-0.068,-393861,-487347,114034,0.6,2956.9
3707482898,-35.764,0.09,0.054,-393911,-487455,114547,0.6,2956.9
3707483919,-35.623,0.109,-0.028,-393602,-487374,114202,0.6,2956.9
3707484953,-35.801,0.078,-0.068,-393992,-487507,114037,0.6,2956.9
3707486028,-35.801,0.078,-0.068,-393992,-487507,114037,0.6,2956.9
3707487092,-35.704,0.222,0.066,-393761,-486895,114625,0.6,2956.9
3707488113,-35.687,0.267,0.068,-393724,-486703,114636,0.6,2956.9
3707489134,-35.609,0.181,0.065,-393552,-487067,114623,0.6,2956.9
3707490155,-35.548,0.158,-0.044,-393417,-487168,114166,0.6,2956.9
3707491176,-35.442,0.12,-0.069,-393185,-487326,114058,0.6,2956.9
3707492197,-35.509,0.103,0.068,-393333,-487398,114635,0.6,2956.9
3707493217,-35.439,0.132,0.019,-393179,-487275,114429,0.6,2956.9
3707494238,-35.621,0.166,-0.013,-393579,-487134,114294,0.6,2956.9
3707495259,-35.308,0.174,0.034,-392891,-487098,114493,0.6,2956.9
3707496280,-35.475,0.073,-0.01,-393258,-487527,114306,0.6,2956.9
3707497301,-35.407,0.012,-0.078,-393108,-487785,114023,0.6,2956.9
3707498322,-35.416,0.072,-0.074,-393129,-487530,114040,0.6,2956.9
3707499342,-35.418,0.241,-0.129,-393132,-486813,113807,0.6,2956.9
3707500363,-35.321,0.164,0.005,-392921,-487140,114369,0.6,2956.9
3707501384,-35.307,0.133,0.043,-392889,-487274,114530,0.6,2956.9
3707502405,-35.446,0.147,-0.038,-393195,-487211,114190,0.6,2956.9
3707503426,-35.249,0.177,-0.058,-392763,-487085,114104,0.6,2956.9
3707504447,-35.231,0.129,0.097,-392722,-487289,114757,0.6,2956.9
3707505468,-35.186,0.242,0.082,-392624,-486809,114691,0.6,2956.9
3707506488,-35.207,0.123,0.004,-392671,-487315,114365,0.6,2956.9
3707507509,-35.141,0.09,-0.066,-392525,-487453,114073,0.6,2956.9
3707508530,-35.262,0.041,-0.05,-392790,-487662,114139,0.6,2956.9
3707509551,-35.212,0.036,-0.058,-392682,-487686,114105,0.6,2956.9
3707510572,-35.198,0.199,-0.02,-392650,-486991,114267,0.6,2956.9
3707511593,-35.04,0.132,0.008,-392303,-487276,114381,0.6,2956.9
3707512615,-35.057,0.17,-0.025,-392341,-487115,114244,0.6,2956.9
3707513636,-35.026,0.151,0.028,-392273,-487196,114468,0.6,2956.9
3707514658,-34.882,0.078,-0.057,-391957,-487504,114109,0.6,2956.9
3707515680,-35.133,0.063,0.016,-392507,-487570,114417,0.6,2956.9
3707516702,-34.897,0.075,-0.031,-391990,-487518,114217,0.6,2956.9
3707517723,-35.047,0.194,0.061,-392319,-487014,114607,0.6,2956.9
3707518745,-34.953,0.14,0.034,-392112,-487243,114490,0.6,2956.9
3707519767,-34.773,0.161,0.055,-391718,-487155,114579,0.6,2956.9
3707520789,-34.793,0.194,0.033,-391761,-487011,114486,0.6,2956.9
3707521810,-34.738,0.056,0.067,-391642,-487601,114632,0.6,2956.9
3707522832,-34.719,0.062,0.001,-391600,-487572,114355,0.6,2956.9
3707523854,-34.629,0.186,-0.07,-391402,-487048,114056,0.6,2956.9
3707524876,-34.592,0.093,0.08,-391320,-487440,114685,0.6,2956.9
3707525897,-34.562,0.147,-0.02,-391254,-487212,114265,0.6,2956.9
3707526919,-34.487,0.054,-0.059,-391090,-487607,114100,0.6,2956.9
3707527941,-34.498,0.069,0.079,-391114,-487544,114680,0.6,2956.9
3707528962,-34.471,0.116,-0.064,-391056,-487344,114079,0.6,2956.9
3707529984,-34.428,0.064,-0.022,-390961,-487565,114255,0.6,2956.9
3707531006,-34.532,0.086,-0.067,-391190,-487471,114069,0.6,2956.9
3707532028,-34.453,0.027,-0.081,-391016,-487723,114011,0.6,2956.9
3707533049,-34.568,0.093,-0.081,-391267,-487443,114009,0.6,2956.9
3707534071,-34.47,0.118,-0.072,-391052,-487334,114047,0.6,2956.9
3707535093,-34.572,0.01,-0.021,-391277,-487795,114262,0.6,2956.9
3707536115,-34.455,0.079,-0.04,-391019,-487500,114180,0.6,2956.9
3707537136,-34.463,0.173,-0.019,-391038,-487101,114270,0.6,2956.9
3707538158,-34.462,0.169,-0.007,-391036,-487120,114320,0.6,2956.9
3707539180,-34.386,0.207,0.091,-390869,-486959,114730,0.6,2956.9
3707540201,-34.331,0.193,0.047,-390749,-487016,114546,0.6,2956.9
3707541223,-34.295,0.194,0.003,-390670,-487011,114363,0.6,2956.9
3707542245,-34.347,0.124,0.022,-390783,-487312,114440,0.6,2956.9
3707543267,-34.225,0.13,-0.02,-390515,-487286,114263,0.6,2956.9
3707544288,-34.323,0.179,-0.067,-390730,-487077,114069,0.6,2956.9
3707545310,-34.069,0.103,-0.042,-390174,-487398,114171,0.6,2956.9
3707546332,-34.105,0.038,-0.017,-390252,-487674,114277,0.6,2956.9
3707547354,-34.299,0.104,-0.075,-390677,-487394,114036,0.6,2956.9
3707548375,-34.159,0.119,-0.021,-390370,-487332,114262,0.6,2956.9
3707549397,-34.15,0.091,-0.027,-390351,-487450,114234,0.6,2956.9
3707550419,-34.067,0.135,0.03,-390168,-487262,114476,0.6,2956.9
3707551441,-34.047,0.05,-0.013,-390126,-487625,114295,0.6,2956.9
3707552462,-34.121,0.056,-0.021,-390287,-487599,114261,0.6,2956.9
3707553484,-34.03,0.171,-0.011,-390088,-487111,114301,0.6,2956.9
3707554506,-34.013,0.206,0.072,-390051,-486960,114652,0.6,2956.9
3707555527,-34.128,0.182,-0.001,-390302,-487065,114346,0.6,2956.9
3707556549,-33.823,0.22,0.007,-389633,-486902,114377,0.6,2956.9
3707557571,-33.898,0.146,0.059,-389799,-487215,114596,0.6,2956.9
3707558593,-33.654,0.146,-0.029,-389263,-487216,114226,0.6,2956.9
3707559614,-33.722,0.243,0.084,-389412,-486806,114700,0.6,2956.9
3707560636,-33.764,0.134,-0.014,-389505,-487268,114291,0.6,2956.9
3707561658,-33.6,0.141,-0.026,-389145,-487238,114238,0.6,2956.9
3707562680,-33.609,0.089,0.031,-389164,-487459,114477,0.6,2956.9
3707563701,-33.52,0.127,-0.059,-388969,-487299,114103,0.6,2956.9
3707564723,-33.465,0.072,-0.004,-388848,-487531,114331,0.6,2956.9
3707565745,-33.585,0.061,0.031,-389112,-487580,114477,0.6,2956.9
3707566767,-33.366,0.166,0.031,-388631,-487131,114479,0.6,2956.9
3707567788,-33.296,0.041,-0.046,-388478,-487661,114157,0.6,2956.9
3707568810,-33.391,0.08,-0.024,-388686,-487498,114248,0.6,2956.9
3707569832,-33.518,0.058,0.0,-388965,-487591,114350,0.6,2956.9
