# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: frc_reset
# Date: 20250610
# Time: 133642
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1329207250,0,-1.048,0.17,0.131,-335259,-486066,114988,192.5,3859.1
1329208156,906,-0.965,0.117,0.057,-335078,-486290,114679,192.5,3859.1
1329209177,1927,-0.829,0.185,0.092,-334780,-486002,114824,192.5,3859.1
1329210198,2948,-0.867,0.094,0.109,-334864,-486391,114898,192.5,3859.1
1329211219,3969,-0.818,0.158,0.059,-334755,-486118,114687,192.5,3859.1
1329212240,4990,-0.708,0.219,0.032,-334515,-485860,114575,192.5,3859.1
1329213261,6011,-0.551,0.123,0.036,-334170,-486268,114589,192.5,3859.1
1329214281,7031,-0.64,0.092,0.061,-334366,-486396,114695,192.5,3859.1
1329215302,8052,-0.485,0.141,0.125,-334027,-486191,114963,192.5,3859.1
1329216323,9073,-0.442,0.244,0.002,-333932,-485752,114449,192.5,3859.1
1329217344,10094,-0.333,0.163,0.123,-333694,-486098,114953,192.5,3859.1
1329218365,11115,-0.295,0.138,0.02,-333611,-486204,114521,192.5,3859.1
1329219386,12136,-0.096,0.109,0.086,-333174,-486326,114800,192.5,3859.1
1329220407,13157,-0.081,0.236,0.122,-333140,-485786,114949,192.5,3859.1
1329221427,14177,0.078,0.213,0.088,-332792,-485884,114807,192.5,3859.1
1329222448,15198,0.155,0.251,0.117,-332624,-485725,114928,192.5,3859.1
1329223469,16219,0.269,0.205,0.136,-332375,-485917,115009,192.5,3859.1
1329224490,17240,0.406,0.206,0.155,-332074,-485914,115089,192.5,3859.1
1329225511,18261,0.499,0.214,0.161,-331870,-485882,115112,192.5,3859.1
1329226532,19282,0.531,0.247,0.237,-331799,-485741,115434,192.5,3859.1
1329227552,20302,0.654,0.211,0.13,-331531,-485893,114982,192.5,3859.1
1329228573,21323,0.715,0.28,0.095,-331397,-485601,114837,192.5,3859.1
1329229594,22344,0.954,0.141,0.031,-330873,-486189,114570,192.5,3859.1
1329230615,23365,0.86,0.144,0.093,-331079,-486179,114827,192.5,3859.1
1329231636,24386,0.973,0.199,0.056,-330831,-485942,114673,192.5,3859.1
1329232657,25407,1.062,0.199,0.097,-330636,-485945,114847,192.5,3859.1
1329233678,26428,1.309,0.14,0.161,-330096,-486196,115112,192.5,3859.1
1329234698,27448,1.414,0.151,0.054,-329865,-486148,114666,192.5,3859.1
1329235719,28469,1.528,0.094,0.032,-329615,-486391,114574,192.5,3859.1
1329236740,29490,1.544,0.189,0.18,-329580,-485984,115194,192.5,3859.1
1329237761,30511,1.637,0.223,0.108,-329376,-485843,114892,192.5,3859.1
1329238782,31532,1.72,0.186,0.09,-329195,-485997,114816,192.5,3859.1
1329239803,32553,1.863,0.176,0.0,-328880,-486040,114440,192.5,3859.1
1329240824,33574,1.788,0.139,0.079,-329046,-486200,114772,192.5,3859.1
1329241844,34594,1.905,0.187,0.095,-328789,-485993,114839,192.5,3859.1
1329242865,35615,2.097,0.21,-0.021,-328368,-485896,114350,192.5,3859.1
1329243886,36636,2.095,0.165,0.047,-328372,-486086,114637,192.5,3859.1
1329244907,37657,2.136,0.11,0.008,-328282,-486322,114472,192.5,3859.1
1329245928,38678,2.276,0.134,0.039,-327977,-486219,114602,192.5,3859.1
1329246949,39699,2.275,0.137,0.135,-327978,-486205,115003,192.5,3859.1
1329247969,40719,2.328,0.283,0.067,-327861,-485588,114719,192.5,3859.1
1329248990,41740,2.442,0.254,0.027,-327612,-485712,114554,192.5,3859.1
1329250011,42761,2.521,0.226,0.036,-327438,-485828,114591,192.5,3859.1
1329251032,43782,2.642,0.198,0.043,-327175,-485949,114618,192.5,3859.1
1329252053,44803,2.626,0.21,0.106,-327210,-485898,114882,192.5,3859.1
1329253074,45824,2.913,0.202,0.085,-326580,-485929,114794,192.5,3859.1
1329254095,46845,2.815,0.169,0.017,-326795,-486072,114510,192.5,3859.1
1329255115,47865,2.95,0.141,-0.022,-326499,-486191,114349,192.5,3859.1
1329256136,48886,2.965,0.118,0.013,-326466,-486287,114492,192.5,3859.1
1329257157,49907,3.064,0.198,0.074,-326250,-485948,114749,192.5,3859.1
1329258178,50928,3.076,0.137,0.109,-326223,-486205,114896,192.5,3859.1
1329259199,51949,3.295,0.111,0.157,-325743,-486319,115099,192.5,3859.1
1329260220,52970,3.315,0.079,0.011,-325699,-486453,114485,192.5,3859.1
1329261240,53990,3.393,0.021,-0.093,-325528,-486699,114048,192.5,3859.1
1329262273,55023,3.411,0.086,0.018,-325489,-486421,114514,192.5,3859.1
1329263349,56099,3.411,0.086,0.018,-325489,-486421,114514,192.5,3859.1
1329264414,57164,3.573,0.084,0.073,-325133,-486433,114774,192.5,3859.1
1329265434,58184,3.429,0.074,0.008,-325450,-486473,114503,192.5,3859.1
1329266455,59205,3.554,0.1,0.083,-325176,-486362,114817,192.5,3859.1
1329267476,60226,3.526,0.051,0.033,-325236,-486573,114605,192.5,3859.1
1329268497,61247,3.608,0.111,0.021,-325056,-486315,114556,192.5,3859.1
1329269518,62268,3.659,0.154,0.07,-324945,-486133,114760,192.5,3859.1
1329270539,63289,3.508,0.068,0.055,-325277,-486499,114697,192.5,3859.1
1329271560,64310,3.559,0.097,0.11,-325164,-486377,114928,192.5,3859.1
1329272580,65330,3.77,0.217,0.062,-324703,-485866,114728,192.5,3859.1
1329273601,66351,3.646,0.109,0.135,-324973,-486324,115034,192.5,3859.1
1329274622,67372,3.678,0.119,-0.0,-324904,-486285,114466,192.5,3859.1
1329275643,68393,3.814,0.035,0.02,-324605,-486638,114550,192.5,3859.1
1329276664,69414,3.742,-0.025,0.047,-324763,-486895,114665,192.5,3859.1
1329277685,70435,3.828,-0.001,-0.032,-324574,-486791,114334,192.5,3859.1
1329278705,71455,3.761,0.132,0.027,-324721,-486230,114582,192.5,3859.1
1329279726,72476,3.973,0.138,0.038,-324258,-486201,114627,192.5,3859.1
1329280747,73497,3.864,0.098,0.005,-324495,-486373,114488,192.5,3859.1
1329281768,74518,3.745,0.021,-0.044,-324758,-486697,114283,192.5,3859.1
1329282789,75539,3.916,0.018,0.005,-324383,-486713,114488,192.5,3859.1
1329283810,76560,3.938,-0.019,0.042,-324333,-486868,114644,192.5,3859.1
1329284831,77581,3.881,-0.066,-0.0,-324459,-487068,114466,192.5,3859.1
1329285851,78601,3.944,0.025,-0.039,-324321,-486682,114306,192.5,3859.1
1329286872,79622,3.896,-0.009,0.029,-324426,-486826,114591,192.5,3859.1
1329287893,80643,3.695,0.017,-0.092,-324867,-486715,114083,192.5,3859.1
1329288914,81664,3.822,0.05,-0.001,-324589,-486574,114463,192.5,3859.1
1329289935,82685,3.917,0.017,0.049,-324381,-486714,114675,192.5,3859.1
1329290957,83707,3.789,0.049,0.028,-324661,-486579,114587,192.5,3859.1
1329291978,84728,3.816,0.017,0.015,-324601,-486716,114530,192.5,3859.1
1329293000,85750,3.724,0.043,0.035,-324802,-486606,114614,192.5,3859.1
1329294022,86772,3.661,0.061,0.043,-324942,-486529,114646,192.5,3859.1
1329295044,87794,3.811,0.044,0.082,-324612,-486600,114811,192.5,3859.1
1329296066,88816,3.835,0.032,0.047,-324560,-486653,114664,192.5,3859.1
1329297087,89837,3.664,-0.002,0.01,-324935,-486798,114511,192.5,3859.1
1329298109,90859,3.76,-0.069,0.001,-324723,-487081,114472,192.5,3859.1
1329299131,91881,3.662,0.01,-0.0,-324939,-486747,114466,192.5,3859.1
1329300152,92902,3.586,0.047,0.043,-325105,-486590,114650,192.5,3859.1
1329301174,93924,3.849,-0.029,0.079,-324529,-486912,114797,192.5,3859.1
1329302196,94946,3.746,0.02,0.044,-324754,-486703,114652,192.5,3859.1
1329303218,95968,3.742,-0.07,0.029,-324763,-487086,114589,192.5,3859.1
1329304240,96990,3.624,0.025,0.009,-325023,-486683,114504,192.5,3859.1
1329305261,98011,3.603,-0.034,0.066,-325069,-486934,114743,192.5,3859.1
1329306283,99033,3.611,-0.055,0.03,-325050,-487023,114594,192.5,3859.1
1329307305,100055,3.389,-0.071,0.012,-325536,-487088,114520,192.5,3859.1
1329308326,101076,3.33,-0.138,0.007,-325667,-487374,114498,192.5,3859.1
1329309348,102098,3.392,-0.075,0.015,-325530,-487104,114530,192.5,3859.1
1329310370,103120,3.305,0.042,0.09,-325721,-486609,114844,192.5,3859.1
1329311392,104142,3.42,0.033,0.045,-325468,-486647,114658,192.5,3859.1
1329312413,105163,3.366,-0.098,-0.009,-325587,-487203,114431,192.5,3859.1
