# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: frc_reset_init
# Date: 20250610
# Time: 133626
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1313363411,0,-12.161,-0.121,-0.008,-359597,-487301,114464,203.6,3761.4
1313364149,738,-12.344,-0.111,0.081,-359997,-487258,114834,203.6,3761.4
1313365170,1759,-12.328,-0.158,0.049,-359962,-487458,114702,203.6,3761.4
1313366191,2780,-12.32,-0.061,0.038,-359945,-487047,114655,203.6,3761.4
1313367211,3800,-12.323,-0.054,-0.059,-359951,-487019,114250,203.6,3761.4
1313368232,4821,-12.335,-0.024,0.065,-359977,-486889,114767,203.6,3761.4
1313369253,5842,-12.216,-0.054,0.081,-359718,-487018,114835,203.6,3761.4
1313370274,6863,-12.313,-0.123,0.088,-359929,-487308,114864,203.6,3761.4
1313371295,7884,-12.365,-0.124,0.013,-360044,-487314,114551,203.6,3761.4
1313372316,8905,-12.365,-0.159,0.019,-360043,-487464,114575,203.6,3761.4
1313373337,9926,-12.463,-0.069,-0.047,-360258,-487079,114300,203.6,3761.4
1313374357,10946,-12.444,-0.202,-0.022,-360216,-487647,114405,203.6,3761.4
1313375378,11967,-12.643,-0.218,-0.029,-360652,-487711,114375,203.6,3761.4
1313376399,12988,-12.702,-0.238,0.019,-360781,-487796,114577,203.6,3761.4
1313377420,14009,-12.742,-0.231,0.042,-360869,-487769,114673,203.6,3761.4
1313378441,15030,-12.866,-0.176,-0.047,-361142,-487535,114301,203.6,3761.4
1313379462,16051,-13.021,-0.221,-0.029,-361482,-487727,114375,203.6,3761.4
1313380482,17071,-12.98,-0.154,-0.017,-361392,-487442,114426,203.6,3761.4
1313381503,18092,-13.02,-0.142,0.028,-361479,-487390,114614,203.6,3761.4
1313382524,19113,-12.986,-0.02,0.065,-361405,-486873,114767,203.6,3761.4
1313383545,20134,-13.062,-0.094,0.065,-361571,-487187,114767,203.6,3761.4
1313384566,21155,-13.078,-0.013,0.081,-361605,-486842,114834,203.6,3761.4
1313385587,22176,-13.077,-0.035,0.121,-361604,-486937,115005,203.6,3761.4
1313386608,23197,-12.955,-0.08,0.064,-361336,-487126,114765,203.6,3761.4
1313387629,24218,-13.096,-0.127,-0.025,-361645,-487328,114392,203.6,3761.4
1313388649,25238,-12.977,-0.164,0.017,-361385,-487482,114568,203.6,3761.4
1313389670,26259,-13.086,-0.103,0.03,-361623,-487226,114623,203.6,3761.4
1313390691,27280,-13.172,-0.284,-0.031,-361812,-487995,114366,203.6,3761.4
1313391712,28301,-13.255,-0.268,-0.103,-361994,-487923,114065,203.6,3761.4
1313392733,29322,-13.463,-0.27,-0.055,-362450,-487933,114265,203.6,3761.4
1313393754,30343,-13.521,-0.192,-0.093,-362577,-487603,114108,203.6,3761.4
1313394775,31364,-13.525,-0.272,-0.075,-362586,-487940,114181,203.6,3761.4
1313395795,32384,-13.609,-0.233,-0.043,-362769,-487777,114315,203.6,3761.4
1313396816,33405,-13.834,-0.191,-0.044,-363262,-487598,114311,203.6,3761.4
1313397837,34426,-13.804,-0.257,-0.026,-363196,-487877,114387,203.6,3761.4
1313398858,35447,-13.801,-0.188,0.021,-363191,-487587,114586,203.6,3761.4
1313399879,36468,-13.905,-0.147,-0.001,-363417,-487413,114492,16.0,3444.5
1313400900,37489,-14.002,-0.13,0.01,-363630,-487338,114539,16.0,3444.5
1313401920,38509,-14.046,-0.124,0.015,-363726,-487314,114560,16.0,3444.5
1313402941,39530,-14.193,-0.198,0.015,-364050,-487629,114559,16.0,3444.5
1313403962,40551,-14.197,-0.116,0.006,-364058,-487278,114520,16.0,3444.5
1313404983,41572,-14.298,-0.133,0.018,-364279,-487354,114570,16.0,3444.5
