t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1631500771,11.506,-0.794,-0.102,-307657,-489973,114119,97.5,4248.7
1631501771,11.441,-0.232,-0.066,-307800,-487585,114266,97.5,4248.7
1631502791,11.392,0.473,-0.124,-307907,-484594,114024,97.5,4248.7
1631503810,11.349,-0.374,-0.198,-308000,-488191,113714,97.5,4248.7
1631504830,11.376,-0.526,-0.314,-307942,-488832,113228,97.5,4248.7
1631505849,11.275,0.928,-0.126,-308163,-482664,114016,97.5,4248.7
1631506880,11.175,1.401,-0.13,-308383,-480657,113999,97.5,4248.7
1631507958,11.175,1.401,-0.13,-308383,-480657,113999,97.5,4248.7
1631509023,11.246,1.382,-0.099,-308239,-480774,114101,97.5,4248.7
1631510044,11.403,0.784,-0.121,-307893,-483311,114008,97.5,4248.7
1631511065,11.354,0.06,-0.343,-308001,-486385,113080,97.5,4248.7
1631512086,11.457,-0.516,-0.416,-307776,-488827,112771,97.5,4248.7
1631513107,11.259,-0.813,-0.373,-308209,-490090,112952,97.5,4248.7
1631514127,11.273,-0.255,-0.187,-308179,-487719,113734,97.5,4248.7
1631515148,11.39,-0.307,-0.153,-307922,-487939,113874,97.5,4248.7
1631516169,11.482,-0.903,-0.098,-307720,-490469,114104,97.5,4248.7
1631517190,11.357,-1.036,0.14,-307995,-491035,115102,97.5,4248.7
1631518211,11.317,-1.067,0.313,-308082,-491168,115828,97.5,4248.7
1631519232,11.353,-0.651,0.561,-308003,-489399,116867,97.5,4248.7
1631520253,11.318,-0.349,0.465,-308080,-488120,116464,97.5,4248.7
1631521273,11.196,-0.406,0.43,-308347,-488360,116317,97.5,4248.7
1631522294,11.236,-0.264,0.206,-308260,-487760,115381,97.5,4248.7
1631523315,11.202,0.238,0.19,-308335,-485630,115313,97.5,4248.7
1631524336,11.243,0.03,0.268,-308244,-486512,115639,97.5,4248.7
1631525357,11.237,-0.368,0.12,-308257,-488200,115020,97.5,4248.7
1631526378,11.296,0.348,-0.067,-308128,-485161,114235,97.5,4248.7
1631527398,11.295,0.898,-0.128,-308131,-482826,113980,97.5,4248.7
1631528419,11.306,0.942,-0.114,-308106,-482642,114040,97.5,4248.7
1631529440,11.394,0.462,-0.141,-307914,-484679,113924,97.5,4248.7
1631530461,11.127,-0.055,0.028,-308500,-486873,114635,97.5,4248.7
