t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1735429168,9.628,0.145,0.128,-311786,-486061,115024,551.2,4667.4
1735430087,9.544,0.139,0.066,-311969,-486083,114764,551.2,4667.4
1735431106,9.651,0.256,0.123,-311735,-485588,115003,551.2,4667.4
1735432126,9.544,0.157,0.047,-311970,-486010,114685,551.2,4667.4
1735433145,9.638,-0.001,-0.077,-311764,-486678,114164,551.2,4667.4
1735434164,9.572,-0.22,-0.153,-311908,-487609,113847,551.2,4667.4
1735435184,9.628,-0.488,-0.22,-311784,-488745,113567,551.2,4667.4
1735436203,9.717,-0.751,-0.237,-311590,-489864,113493,551.2,4667.4
1735437223,9.748,-0.763,-0.158,-311521,-489913,113824,551.2,4667.4
1735438242,9.605,-0.775,-0.073,-311836,-489963,114183,551.2,4667.4
1735439262,9.602,-0.952,0.07,-311841,-490716,114782,551.2,4667.4
1735440281,9.727,-1.002,0.07,-311569,-490929,114782,551.2,4667.4
1735441301,9.777,-0.878,0.111,-311459,-490400,114954,551.2,4667.4
1735442320,9.839,-0.559,0.033,-311323,-489046,114627,551.2,4667.4
1735443340,9.982,-0.442,0.031,-311009,-488551,114619,551.2,4667.4
1735444359,9.821,-0.357,0.144,-311361,-488188,115092,551.2,4667.4
1735445379,9.884,-0.321,0.124,-311224,-488036,115009,551.2,4667.4
1735446410,9.703,-0.233,0.088,-311621,-487662,114856,551.2,4667.4
1735447487,9.703,-0.233,0.088,-311621,-487662,114856,551.2,4667.4
1735448551,9.778,-0.925,0.042,-311457,-490601,114665,551.2,4667.4
1735449572,9.825,-0.518,-0.041,-311353,-488874,114317,551.2,4667.4
1735450593,9.795,0.094,-0.085,-311419,-486274,114133,551.2,4667.4
1735451614,9.822,-0.578,-0.058,-311360,-489128,114243,551.2,4667.4
1735452635,9.864,-1.072,-0.116,-311268,-491226,114003,551.2,4667.4
1735453656,9.862,-0.49,-0.057,-311271,-488756,114248,551.2,4667.4
1735454676,9.784,-0.04,0.1,-311442,-486843,114906,551.2,4667.4
1735455697,9.738,0.144,0.03,-311544,-486065,114613,551.2,4667.4
1735456718,9.834,-0.015,0.008,-311334,-486738,114519,551.2,4667.4
1735457739,9.717,-0.48,-0.091,-311589,-488710,114106,551.2,4667.4
1735458760,9.816,-1.025,-0.132,-311372,-491024,113934,551.2,4667.4
1735459781,9.88,-0.802,-0.315,-311233,-490079,113166,551.2,4667.4
1735460802,9.855,-0.738,-0.436,-311288,-489808,112659,551.2,4667.4
1735461822,9.875,-0.513,-0.338,-311244,-488852,113069,551.2,4667.4
1735462843,9.94,-0.202,-0.216,-311101,-487534,113580,551.2,4667.4
1735463864,9.618,-0.077,0.034,-311806,-487000,114631,551.2,4667.4
1735464885,9.469,0.122,0.198,-312134,-486156,115316,551.2,4667.4
1735465906,9.535,0.178,0.317,-311989,-485919,115818,551.2,4667.4
1735466927,9.515,0.108,0.365,-312033,-486216,116019,551.2,4667.4
1735467948,9.565,0.036,0.291,-311923,-486522,115709,238.1,4235.3
1735468968,9.51,0.16,0.328,-312044,-485994,115861,238.1,4235.3
1735469989,9.38,0.135,0.266,-312329,-486102,115604,238.1,4235.3
1735471010,9.31,0.025,0.181,-312481,-486569,115248,238.1,4235.3
1735472031,9.289,0.529,0.188,-312527,-484431,115274,238.1,4235.3
1735473052,9.331,0.17,0.099,-312437,-485951,114904,238.1,4235.3
1735474074,9.434,-0.357,0.085,-312211,-488191,114844,238.1,4235.3
1735475096,9.484,-0.646,-0.147,-312101,-489417,113870,238.1,4235.3
1735476117,9.432,-0.087,-0.199,-312214,-487044,113652,238.1,4235.3
1735477139,9.754,0.802,-0.01,-311509,-483272,114446,238.1,4235.3
1735478161,9.503,0.007,-0.047,-312058,-486644,114291,238.1,4235.3
1735479183,9.458,-0.357,-0.012,-312158,-488190,114436,238.1,4235.3
1735480204,9.437,-0.183,0.146,-312203,-487450,115101,238.1,4235.3
1735481226,9.336,0.183,0.283,-312425,-485900,115672,238.1,4235.3
1735482248,9.472,0.136,0.294,-312128,-486096,115721,238.1,4235.3
1735483270,9.466,-0.162,0.193,-312140,-487361,115298,238.1,4235.3
1735484291,9.358,-0.457,0.159,-312377,-488613,115153,238.1,4235.3
1735485313,9.399,-0.592,0.182,-312286,-489186,115249,238.1,4235.3
1735486335,9.291,-0.774,0.097,-312524,-489958,114896,238.1,4235.3
1735487357,9.457,-0.573,0.013,-312159,-489107,114543,238.1,4235.3
1735488378,9.553,-0.591,0.034,-311950,-489181,114632,238.1,4235.3
1735489400,9.382,-0.632,0.084,-312324,-489358,114841,238.1,4235.3
1735490422,9.38,-0.492,0.158,-312328,-488761,115151,238.1,4235.3
1735491444,9.169,-0.365,0.266,-312791,-488224,115604,238.1,4235.3
1735492465,9.117,-0.345,0.339,-312906,-488139,115910,238.1,4235.3
1735493487,9.051,-0.283,0.366,-313049,-487876,116020,238.1,4235.3
