# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: quiet_breathing
# Date: 20250610
# Time: 133838
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1445699131,0,15.684,0.563,-0.026,-298468,-484106,114550,648.4,4011.7
1445699900,769,15.613,4.025,-0.003,-298623,-469418,114648,648.4,4011.7
1445700919,1788,15.714,3.766,-0.334,-298403,-470516,113259,648.4,4011.7
1445701939,2808,15.575,0.983,-0.608,-298706,-482321,112113,648.4,4011.7
1445702958,3827,15.575,0.631,-0.35,-298706,-483816,113193,648.4,4011.7
1445703977,4846,15.531,0.657,-0.074,-298804,-483704,114349,648.4,4011.7
1445704997,5866,15.683,0.821,-0.264,-298470,-483009,113552,648.4,4011.7
1445706016,6885,15.539,0.583,-0.542,-298786,-484020,112390,648.4,4011.7
1445707036,7905,15.461,0.303,-0.538,-298956,-485208,112406,648.4,4011.7
1445708055,8924,15.482,-0.154,-0.349,-298911,-487147,113196,648.4,4011.7
1445709075,9944,15.455,0.004,-0.203,-298970,-486476,113808,648.4,4011.7
1445710094,10963,15.532,-1.071,-0.245,-298800,-491036,113631,648.4,4011.7
1445711114,11983,15.526,-1.188,-0.357,-298814,-491533,113162,648.4,4011.7
1445712136,13005,15.469,-1.061,-0.281,-298938,-490994,113481,648.4,4011.7
1445713158,14027,15.559,-0.255,0.065,-298741,-487576,114933,648.4,4011.7
1445714179,15048,15.762,1.223,0.66,-298296,-481303,117425,648.4,4011.7
1445715201,16070,15.897,-0.649,0.794,-298001,-489245,117987,648.4,4011.7
1445716223,17092,15.761,-1.55,0.646,-298299,-493067,117366,648.4,4011.7
1445717245,18114,15.678,-1.097,0.393,-298480,-491147,116304,648.4,4011.7
1445718266,19135,15.492,-0.02,0.328,-298889,-486577,116031,648.4,4011.7
1445719288,20157,15.133,1.987,0.437,-299676,-478061,116488,648.4,4011.7
1445720310,21179,15.229,1.993,0.111,-299465,-478036,115125,648.4,4011.7
1445721332,22201,15.231,2.192,-0.376,-299461,-477193,113085,648.4,4011.7
1445722353,23222,15.264,0.771,-0.848,-299388,-483223,111107,648.4,4011.7
1445723375,24244,15.43,2.311,-0.836,-299025,-476688,111155,648.4,4011.7
1445724397,25266,15.52,2.654,-0.879,-298826,-475233,110975,648.4,4011.7
1445725419,26288,15.489,0.677,-0.826,-298895,-483622,111197,648.4,4011.7
1445726440,27309,15.364,-0.334,-0.327,-299168,-487911,113287,648.4,4011.7
1445727462,28331,15.311,-0.447,0.224,-299285,-488389,115598,648.4,4011.7
1445728484,29353,15.094,0.061,0.38,-299761,-486235,116249,648.4,4011.7
1445729506,30375,14.979,-0.429,0.352,-300012,-488314,116135,648.4,4011.7
1445730527,31396,15.132,-0.947,0.213,-299678,-490509,115550,648.4,4011.7
1445731549,32418,15.166,-1.835,0.13,-299602,-494279,115205,648.4,4011.7
1445732571,33440,14.691,-0.765,0.047,-300643,-489739,114856,648.4,4011.7
1445733593,34462,14.65,0.919,-0.08,-300734,-482593,114323,648.4,4011.7
1445734614,35483,14.588,1.959,-0.019,-300870,-478183,114578,648.4,4011.7
1445735636,36505,14.675,0.233,0.049,-300679,-485505,114862,648.4,4011.7
1445736658,37527,14.69,-0.183,-0.06,-300646,-487270,114406,648.4,4011.7
1445737680,38549,14.693,0.729,-0.404,-300640,-483400,112968,648.4,4011.7
1445738701,39570,14.935,1.46,-0.436,-300110,-480297,112833,648.4,4011.7
1445739723,40592,15.088,2.132,-0.003,-299773,-477448,114645,648.4,4011.7
1445740745,41614,15.09,1.673,0.097,-299770,-479394,115065,648.4,4011.7
1445741767,42636,15.167,-0.457,0.086,-299600,-488431,115020,648.4,4011.7
1445742789,43658,15.025,-1.042,-0.243,-299911,-490914,113639,648.4,4011.7
1445743810,44679,15.071,-0.39,-0.303,-299810,-488147,113390,648.4,4011.7
1445744832,45701,15.181,0.566,-0.029,-299570,-484090,114537,648.4,4011.7
1445745854,46723,15.262,0.361,0.024,-299392,-484960,114761,648.4,4011.7
1445746876,47745,15.213,-0.097,-0.205,-299500,-486904,113800,648.4,4011.7
1445747897,48766,15.243,-0.647,-0.637,-299435,-489238,111991,648.4,4011.7
1445748919,49788,15.483,-0.418,-0.799,-298909,-488267,111313,648.4,4011.7
1445749941,50810,15.37,0.414,-0.878,-299156,-484737,110980,648.4,4011.7
1445750963,51832,15.343,1.024,-0.804,-299215,-482148,111290,648.4,4011.7
1445751984,52853,15.321,-0.472,-0.658,-299263,-488497,111901,648.4,4011.7
1445753006,53875,15.019,-0.768,-0.417,-299924,-489751,112912,648.4,4011.7
1445754028,54897,14.984,0.812,-0.018,-300002,-483047,114584,648.4,4011.7
1445755050,55919,14.899,1.404,0.499,-300187,-480537,116750,648.4,4011.7
1445756071,56940,14.997,1.98,0.607,-299973,-478093,117200,648.4,4011.7
1445757093,57962,14.921,0.875,0.411,-300139,-482780,116382,648.4,4011.7
1445758115,58984,15.085,2.274,0.265,-299781,-476845,115770,648.4,4011.7
1445759137,60006,15.024,-0.216,0.053,-299915,-487410,114881,648.4,4011.7
1445760158,61027,14.987,-0.647,0.057,-299995,-489239,114899,648.4,4011.7
1445761180,62049,15.04,0.592,0.371,-299879,-483980,116215,648.4,4011.7
1445762202,63071,14.836,0.16,0.547,-300325,-485812,116950,648.4,4011.7
1445763224,64093,14.701,-0.957,0.028,-300622,-490553,114777,648.4,4011.7
1445764245,65114,14.756,-1.577,-0.39,-300501,-493185,113026,648.4,4011.7
1445765267,66136,14.954,-1.122,-0.517,-300068,-491253,112491,648.4,4011.7
1445766289,67158,14.927,-0.347,-0.16,-300127,-487966,113987,648.4,4011.7
1445767311,68180,14.675,0.304,0.011,-300679,-485203,114705,648.4,4011.7
1445768332,69201,14.609,-0.542,-0.05,-300823,-488792,114450,648.4,4011.7
1445769354,70223,14.588,-1.148,-0.203,-300869,-491364,113808,648.4,4011.7
1445770376,71245,14.663,-0.45,-0.054,-300706,-488400,114432,648.4,4011.7
1445771398,72267,14.574,-0.029,0.37,-300900,-486616,116211,648.4,4011.7
1445772419,73288,14.699,-0.475,0.468,-300626,-488510,116621,648.4,4011.7
1445773441,74310,14.607,-1.131,0.083,-300827,-491290,115007,648.4,4011.7
1445774463,75332,14.723,-0.866,-0.483,-300573,-490165,112636,648.4,4011.7
1445775485,76354,14.635,-1.318,-0.582,-300766,-492085,112220,648.4,4011.7
1445776507,77376,14.577,-1.922,-0.077,-300893,-494646,114336,648.4,4011.7
1445777528,78397,14.631,-1.706,0.169,-300776,-493731,115367,648.4,4011.7
1445778550,79419,14.765,-1.243,0.155,-300481,-491766,115308,648.4,4011.7
1445779572,80441,14.886,-0.353,-0.526,-300216,-487991,112457,648.4,4011.7
1445780593,81462,14.895,-0.677,-0.965,-300196,-489363,110616,648.4,4011.7
1445781615,82484,14.929,-0.816,-0.881,-300122,-489953,110967,648.4,4011.7
1445782637,83506,14.876,-0.012,-0.643,-300239,-486544,111964,648.4,4011.7
1445783659,84528,14.77,0.726,-0.163,-300471,-483414,113975,648.4,4011.7
1445784681,85550,14.683,0.74,0.039,-300661,-483353,114823,648.4,4011.7
1445785702,86571,14.68,0.209,0.03,-300668,-485607,114784,648.4,4011.7
1445786724,87593,14.66,-1.055,0.106,-300711,-490970,115103,648.4,4011.7
1445787746,88615,14.705,-0.008,0.092,-300612,-486526,115043,648.4,4011.7
1445788768,89637,14.692,1.887,0.066,-300641,-478486,114934,648.4,4011.7
1445789789,90658,14.7,0.628,-0.131,-300624,-483829,114109,648.4,4011.7
