# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: rainbow
# Date: 20250610
# Time: 134250
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1697496575,0,1.073,-0.301,-0.349,-330538,-487952,113023,77.7,4268.3
1697497544,969,0.879,-0.315,-0.425,-330963,-488010,112706,77.7,4268.3
1697498565,1990,1.11,-0.374,-0.401,-330458,-488264,112805,77.7,4268.3
1697499586,3011,0.878,-0.387,-0.176,-330966,-488316,113748,77.7,4268.3
1697500606,4031,0.753,-0.343,-0.257,-331239,-488130,113410,77.7,4268.3
1697501627,5052,0.908,-0.479,-0.64,-330901,-488706,111804,77.7,4268.3
1697502648,6073,0.716,-0.668,-0.853,-331320,-489510,110913,77.7,4268.3
1697503669,7094,0.78,-0.726,-0.899,-331180,-489756,110720,77.7,4268.3
1697504690,8115,0.634,-0.725,-0.761,-331501,-489753,111298,77.7,4268.3
1697505711,9136,0.389,-0.643,-0.698,-332037,-489405,111561,77.7,4268.3
1697506731,10156,0.507,-0.547,-0.681,-331780,-488995,111633,77.7,4268.3
1697507752,11177,0.336,-0.568,-0.667,-332153,-489084,111692,77.7,4268.3
1697508773,12198,0.363,-0.665,-0.542,-332095,-489497,112217,77.7,4268.3
1697509794,13219,0.142,-0.534,-0.353,-332580,-488939,113008,77.7,4268.3
1697510815,14240,0.008,-0.395,-0.086,-332872,-488353,114126,77.7,4268.3
1697511836,15261,-0.124,-0.255,0.157,-333163,-487759,115146,77.7,4268.3
1697512857,16282,-0.159,-0.161,0.293,-333238,-487357,115714,77.7,4268.3
1697513877,17302,-0.344,-0.031,0.326,-333644,-486806,115853,77.7,4268.3
1697514898,18323,-0.35,0.09,0.395,-333657,-486292,116142,77.7,4268.3
1697515919,19344,-0.427,0.128,0.478,-333826,-486131,116491,77.7,4268.3
1697516940,20365,-0.463,0.214,0.494,-333906,-485767,116559,77.7,4268.3
1697517961,21386,-0.29,0.111,0.404,-333525,-486202,116182,77.7,4268.3
1697518982,22407,-0.403,0.202,0.373,-333773,-485818,116051,77.7,4268.3
