# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: leak
# Exercise: zero_check
# Date: 20250610
# Time: 133824
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1431945904,0,-0.047,0.016,0.145,-332926,-486424,115239,224.8,3429.8
1431946431,527,0.069,-0.004,0.072,-332673,-486508,114931,224.8,3429.8
1431947450,1546,0.244,-0.1,0.009,-332288,-486915,114667,224.8,3429.8
1431948470,2566,0.081,-0.011,0.037,-332646,-486540,114786,224.8,3429.8
1431949489,3585,0.159,-0.039,0.049,-332475,-486658,114834,224.8,3429.8
1431950509,4605,0.108,-0.032,0.044,-332586,-486627,114813,224.8,3429.8
1431951528,5624,0.097,0.031,0.085,-332611,-486362,114985,224.8,3429.8
1431952547,6643,0.096,-0.017,0.094,-332614,-486565,115023,224.8,3429.8
1431953567,7663,-0.001,-0.039,0.004,-332825,-486658,114645,224.8,3429.8
1431954586,8682,0.195,-0.079,-0.026,-332397,-486829,114523,224.8,3429.8
1431955606,9702,0.165,-0.063,0.104,-332461,-486758,115067,224.8,3429.8
1431956625,10721,0.176,-0.072,0.077,-332438,-486797,114952,224.8,3429.8
1431957645,11741,0.057,-0.145,0.029,-332699,-487106,114753,224.8,3429.8
1431958664,12760,0.079,-0.053,-0.018,-332650,-486719,114553,224.8,3429.8
1431959684,13780,0.077,-0.06,-0.116,-332654,-486748,114143,224.8,3429.8
1431960703,14799,0.034,-0.063,-0.08,-332749,-486761,114296,224.8,3429.8
1431961723,15819,0.117,0.073,0.027,-332566,-486181,114744,224.8,3429.8
1431962742,16838,-0.009,-0.078,0.089,-332843,-486824,115005,224.8,3429.8
1431963762,17858,0.006,-0.014,0.077,-332811,-486552,114951,224.8,3429.8
1431964781,18877,0.017,-0.008,-0.046,-332787,-486527,114438,224.8,3429.8
1431965801,19897,-0.019,-0.094,-0.006,-332865,-486890,114605,224.8,3429.8
1431966820,20916,-0.047,0.031,0.017,-332927,-486361,114700,224.8,3429.8
1431967839,21935,0.044,0.025,0.043,-332726,-486388,114810,224.8,3429.8
1431968859,22955,-0.03,0.032,0.05,-332890,-486358,114839,224.8,3429.8
1431969878,23974,0.031,-0.052,-0.002,-332756,-486712,114620,224.8,3429.8
1431970898,24994,-0.024,-0.01,0.064,-332875,-486533,114899,224.8,3429.8
1431971917,26013,0.033,0.013,0.02,-332752,-486437,114716,224.8,3429.8
1431972937,27033,0.056,-0.061,0.017,-332701,-486753,114702,224.8,3429.8
1431973956,28052,0.079,0.044,-0.044,-332650,-486304,114447,224.8,3429.8
1431974976,29072,0.031,0.003,0.017,-332756,-486481,114700,224.8,3429.8
1431975995,30091,0.045,0.021,0.055,-332725,-486403,114859,224.8,3429.8
1431977015,31111,-0.026,0.037,0.013,-332881,-486335,114686,224.8,3429.8
1431978034,32130,0.081,-0.048,-0.005,-332647,-486696,114611,224.8,3429.8
1431979053,33149,-0.073,-0.072,-0.015,-332984,-486798,114567,224.8,3429.8
1431980073,34169,-0.011,-0.021,0.079,-332847,-486580,114962,224.8,3429.8
1431981092,35188,0.073,-0.082,-0.033,-332663,-486841,114493,224.8,3429.8
1431982112,36208,0.018,-0.03,0.04,-332784,-486619,114798,224.8,3429.8
1431983131,37227,-0.004,-0.086,-0.053,-332832,-486858,114410,224.8,3429.8
1431984151,38247,0.019,-0.036,-0.033,-332781,-486647,114494,224.8,3429.8
1431985170,39266,0.002,-0.108,-0.092,-332820,-486952,114244,224.8,3429.8
1431986190,40286,0.039,-0.046,0.011,-332737,-486686,114675,224.8,3429.8
1431987209,41305,0.037,-0.063,-0.017,-332743,-486761,114557,224.8,3429.8
1431988229,42325,0.022,-0.017,0.049,-332776,-486564,114834,224.8,3429.8
1431989248,43344,0.028,-0.026,-0.044,-332763,-486605,114446,224.8,3429.8
1431990268,44364,-0.173,-0.052,-0.075,-333202,-486713,114314,224.8,3429.8
1431991287,45383,-0.055,-0.069,0.065,-332943,-486786,114901,224.8,3429.8
1431992307,46403,-0.086,-0.01,-0.048,-333011,-486536,114428,224.8,3429.8
1431993326,47422,-0.135,-0.01,-0.063,-333119,-486535,114366,224.8,3429.8
1431994346,48442,-0.114,0.044,0.027,-333073,-486304,114745,224.8,3429.8
1431995365,49461,-0.144,0.05,0.035,-333138,-486281,114778,224.8,3429.8
1431996384,50480,-0.026,0.008,0.02,-332880,-486458,114712,224.8,3429.8
1431997404,51500,-0.021,-0.047,-0.042,-332869,-486694,114454,224.8,3429.8
1431998423,52519,-0.029,0.015,0.141,-332888,-486427,115222,224.8,3429.8
1431999443,53539,-0.056,-0.042,-0.015,-332947,-486670,114567,224.8,3429.8
1432000462,54558,0.011,0.087,0.074,-332800,-486125,114942,224.8,3429.8
1432001482,55578,0.016,0.081,0.098,-332788,-486150,115040,224.8,3429.8
1432002501,56597,0.044,-0.004,0.076,-332727,-486509,114947,224.8,3429.8
1432003521,57617,0.153,-0.041,-0.03,-332488,-486666,114504,224.8,3429.8
1432004540,58636,0.159,-0.021,-0.033,-332476,-486583,114490,224.8,3429.8
1432005560,59656,0.188,-0.053,-0.007,-332412,-486717,114602,224.8,3429.8
1432006579,60675,0.12,-0.01,-0.001,-332560,-486537,114626,224.8,3429.8
1432007599,61695,0.128,-0.06,-0.003,-332543,-486749,114616,224.8,3429.8
1432008618,62714,0.183,-0.089,-0.037,-332423,-486871,114474,224.8,3429.8
1432009638,63734,0.122,-0.072,-0.041,-332556,-486799,114458,224.8,3429.8
1432010657,64753,0.166,-0.098,-0.038,-332460,-486907,114471,224.8,3429.8
1432011676,65772,0.19,-0.052,-0.017,-332407,-486714,114559,224.8,3429.8
1432012696,66792,0.056,-0.082,-0.034,-332701,-486841,114488,224.8,3429.8
1432013715,67811,-0.05,0.022,-0.092,-332932,-486400,114245,224.8,3429.8
1432014735,68831,0.073,0.044,-0.05,-332664,-486307,114422,224.8,3429.8
1432015754,69850,0.194,0.016,-0.076,-332398,-486425,114311,224.8,3429.8
1432016774,70870,0.028,-0.027,-0.063,-332762,-486606,114365,224.8,3429.8
1432017793,71889,0.016,-0.059,-0.034,-332788,-486745,114486,224.8,3429.8
1432018813,72909,-0.049,-0.023,0.018,-332930,-486592,114705,224.8,3429.8
1432019832,73928,-0.017,-0.078,0.061,-332860,-486823,114885,224.8,3429.8
1432020851,74947,0.018,0.056,0.054,-332783,-486255,114856,224.8,3429.8
1432021871,75967,0.069,0.048,0.047,-332672,-486287,114826,224.8,3429.8
1432022890,76986,-0.081,-0.028,0.017,-333002,-486611,114702,224.8,3429.8
1432023910,78006,0.056,-0.019,0.024,-332700,-486573,114731,224.8,3429.8
1432024929,79025,-0.016,0.025,0.016,-332858,-486388,114698,224.8,3429.8
1432025949,80045,-0.06,0.021,0.061,-332956,-486403,114884,224.8,3429.8
1432026968,81064,0.071,-0.001,0.01,-332669,-486499,114674,224.8,3429.8
1432027988,82084,0.045,-0.029,-0.043,-332724,-486615,114448,224.8,3429.8
1432029007,83103,-0.013,-0.005,0.034,-332851,-486515,114772,224.8,3429.8
1432030027,84123,0.065,-0.032,-0.028,-332680,-486628,114512,224.8,3429.8
1432031046,85142,0.099,0.056,0.0,-332607,-486257,114632,224.8,3429.8
1432032066,86162,0.076,-0.059,-0.035,-332657,-486742,114482,224.8,3429.8
1432033085,87181,0.094,-0.034,0.037,-332617,-486635,114786,224.8,3429.8
1432034105,88201,0.029,-0.075,0.031,-332761,-486809,114760,224.8,3429.8
1432035124,89220,0.033,-0.063,-0.001,-332751,-486759,114626,224.8,3429.8
1432036143,90239,-0.092,-0.003,-0.061,-333024,-486506,114375,224.8,3429.8
1432037163,91259,0.01,0.088,-0.052,-332801,-486121,114413,224.8,3429.8
1432038182,92278,0.053,0.02,0.01,-332708,-486406,114672,224.8,3429.8
1432039202,93298,0.076,-0.094,-0.017,-332657,-486892,114560,224.8,3429.8
1432040221,94317,-0.085,-0.042,0.039,-333009,-486673,114794,224.8,3429.8
1432041241,95337,-0.026,-0.055,0.021,-332880,-486726,114720,224.8,3429.8
1432042272,96368,-0.01,0.024,0.067,-332845,-486390,114910,224.8,3429.8
1432043347,97443,-0.01,0.024,0.067,-332845,-486390,114910,224.8,3429.8
1432044411,98507,-0.002,0.022,-0.008,-332827,-486399,114596,224.8,3429.8
1432045432,99528,-0.003,0.036,-0.021,-332831,-486341,114543,224.8,3429.8
1432046453,100549,-0.009,-0.019,0.007,-332843,-486574,114658,224.8,3429.8
1432047474,101570,0.083,-0.061,0.054,-332641,-486752,114856,224.8,3429.8
1432048495,102591,0.015,0.078,0.051,-332790,-486162,114846,224.8,3429.8
1432049516,103612,-0.101,-0.009,-0.071,-333045,-486530,114332,224.8,3429.8
1432050536,104632,-0.131,-0.07,0.017,-333110,-486789,114702,224.8,3429.8
1432051557,105653,-0.081,-0.082,0.026,-333002,-486840,114738,224.8,3429.8
1432052578,106674,-0.121,0.007,0.05,-333088,-486462,114841,224.8,3429.8
1432053599,107695,0.064,-0.051,-0.007,-332683,-486707,114601,224.8,3429.8
1432054620,108716,0.031,-0.034,-0.018,-332756,-486638,114555,224.8,3429.8
1432055641,109737,0.119,-0.0,-0.034,-332562,-486494,114488,224.8,3429.8
1432056662,110758,0.037,-0.124,0.002,-332743,-487020,114638,224.8,3429.8
1432057683,111779,0.061,-0.021,0.03,-332689,-486580,114755,224.8,3429.8
1432058703,112799,0.084,-0.004,0.016,-332640,-486508,114696,224.8,3429.8
1432059724,113820,0.168,-0.068,0.062,-332456,-486780,114892,224.8,3429.8
1432060745,114841,0.04,-0.054,0.007,-332735,-486722,114661,224.8,3429.8
1432061766,115862,-0.043,-0.063,-0.028,-332917,-486759,114511,224.8,3429.8
1432062787,116883,-0.035,-0.037,0.055,-332901,-486649,114862,224.8,3429.8
1432063808,117904,-0.05,-0.014,-0.021,-332932,-486553,114541,224.8,3429.8
1432064828,118924,0.089,-0.012,0.05,-332629,-486544,114840,224.8,3429.8
1432065849,119945,0.058,-0.001,0.06,-332696,-486498,114882,224.8,3429.8
1432066870,120966,-0.143,-0.004,0.035,-333137,-486509,114775,224.8,3429.8
1432067891,121987,-0.079,-0.012,0.068,-332996,-486543,114916,224.8,3429.8
1432068912,123008,-0.007,0.032,-0.054,-332838,-486357,114404,224.8,3429.8
1432069933,124029,-0.004,0.057,0.105,-332833,-486252,115070,224.8,3429.8
1432070955,125051,0.158,0.096,0.009,-332478,-486086,114666,224.8,3429.8
1432071977,126073,0.055,0.014,0.064,-332702,-486434,114900,224.8,3429.8
1432072999,127095,0.03,0.044,0.048,-332757,-486304,114833,224.8,3429.8
1432074020,128116,0.164,-0.022,0.013,-332465,-486587,114684,224.8,3429.8
1432075042,129138,0.011,-0.018,0.005,-332800,-486570,114651,224.8,3429.8
1432076064,130160,0.107,-0.005,0.053,-332590,-486514,114853,224.8,3429.8
1432077086,131182,-0.021,0.014,0.017,-332870,-486433,114703,224.8,3429.8
1432078107,132203,-0.036,-0.033,0.043,-332903,-486633,114809,224.8,3429.8
1432079129,133225,-0.046,-0.046,0.005,-332924,-486687,114651,224.8,3429.8
1432080151,134247,-0.15,-0.01,-0.01,-333153,-486534,114588,224.8,3429.8
1432081173,135269,-0.008,-0.022,0.045,-332840,-486588,114820,224.8,3429.8
1432082194,136290,-0.008,-0.022,0.078,-332840,-486587,114956,224.8,3429.8
1432083216,137312,-0.019,-0.056,0.033,-332865,-486732,114767,224.8,3429.8
1432084238,138334,-0.063,-0.021,-0.007,-332962,-486583,114600,224.8,3429.8
1432085260,139356,-0.035,0.048,-0.048,-332900,-486290,114431,224.8,3429.8
1432086282,140378,-0.083,0.026,0.058,-333006,-486384,114875,224.8,3429.8
1432087303,141399,0.023,-0.002,0.072,-332772,-486500,114930,224.8,3429.8
1432088325,142421,-0.022,-0.002,0.059,-332871,-486501,114879,224.8,3429.8
1432089347,143443,-0.078,0.029,-0.002,-332995,-486370,114621,224.8,3429.8
1432090368,144464,0.127,-0.039,0.045,-332545,-486660,114818,224.8,3429.8
1432091390,145486,0.013,0.067,-0.035,-332794,-486207,114483,224.8,3429.8
1432092412,146508,0.078,-0.026,0.082,-332653,-486602,114973,224.8,3429.8
1432093434,147530,0.071,-0.063,0.052,-332669,-486758,114848,224.8,3429.8
1432094456,148552,0.064,-0.017,-0.013,-332683,-486564,114576,224.8,3429.8
1432095477,149573,0.045,-0.039,-0.052,-332725,-486660,114411,224.8,3429.8
1432096499,150595,0.14,-0.092,-0.025,-332516,-486881,114525,224.8,3429.8
1432097521,151617,0.039,-0.046,0.07,-332739,-486686,114923,224.8,3429.8
1432098543,152639,-0.069,-0.014,0.023,-332974,-486552,114726,224.8,3429.8
1432099564,153660,-0.083,-0.042,0.076,-333006,-486671,114947,224.8,3429.8
1432100586,154682,0.005,-0.045,-0.029,-332812,-486685,114508,224.8,3429.8
1432101608,155704,-0.021,-0.06,0.046,-332870,-486747,114822,224.8,3429.8
1432102630,156726,-0.059,0.058,0.015,-332952,-486248,114691,224.8,3429.8
1432103651,157747,-0.17,0.054,0.048,-333195,-486263,114831,224.8,3429.8
1432104673,158769,-0.107,-0.015,0.0,-333058,-486556,114631,224.8,3429.8
1432105695,159791,-0.11,-0.014,-0.004,-333065,-486552,114615,224.8,3429.8
1432106717,160813,-0.018,-0.046,0.056,-332864,-486686,114864,224.8,3429.8
1432107739,161835,-0.044,-0.007,0.057,-332920,-486521,114871,224.8,3429.8
1432108760,162856,-0.182,-0.008,0.015,-333223,-486526,114693,224.8,3429.8
1432109782,163878,0.031,0.028,-0.038,-332755,-486373,114471,224.8,3429.8
1432110804,164900,-0.003,-0.036,0.032,-332830,-486647,114764,224.8,3429.8
1432111826,165922,-0.108,-0.061,0.034,-333061,-486752,114774,224.8,3429.8
1432112847,166943,0.004,0.041,0.012,-332815,-486318,114681,224.8,3429.8
1432113869,167965,-0.063,-0.051,0.056,-332962,-486707,114867,224.8,3429.8
1432114891,168987,-0.078,-0.029,0.018,-332995,-486616,114705,224.8,3429.8
1432115913,170009,0.054,-0.058,0.041,-332706,-486737,114802,224.8,3429.8
1432116934,171030,0.077,-0.025,-0.001,-332655,-486599,114626,224.8,3429.8
1432117956,172052,-0.016,-0.036,-0.059,-332859,-486646,114383,224.8,3429.8
1432118978,173074,0.156,-0.023,-0.02,-332481,-486590,114548,224.8,3429.8
1432120000,174096,0.095,-0.018,0.015,-332615,-486567,114693,224.8,3429.8
1432121021,175117,0.145,-0.055,-0.058,-332506,-486724,114386,224.8,3429.8
1432122043,176139,0.048,-0.101,0.01,-332719,-486921,114672,224.8,3429.8
1432123065,177161,0.053,-0.067,-0.063,-332708,-486775,114367,224.8,3429.8
1432124087,178183,0.084,-0.038,0.005,-332639,-486652,114651,224.8,3429.8
1432125108,179204,0.011,-0.1,-0.006,-332800,-486916,114604,224.8,3429.8
1432126130,180226,-0.013,-0.094,-0.001,-332851,-486891,114625,224.8,3429.8
1432127152,181248,0.043,-0.055,-0.045,-332730,-486725,114440,224.8,3429.8
1432128174,182270,-0.026,-0.041,-0.066,-332880,-486666,114352,224.8,3429.8
1432129195,183291,-0.07,-0.023,0.075,-332976,-486591,114946,224.8,3429.8
1432130217,184313,-0.1,0.002,0.027,-333043,-486484,114744,224.8,3429.8
1432131239,185335,-0.097,-0.058,0.014,-333036,-486737,114687,224.8,3429.8
1432132261,186357,-0.095,-0.009,0.047,-333031,-486529,114828,224.8,3429.8
1432133282,187378,0.091,-0.025,0.039,-332625,-486600,114794,224.8,3429.8
1432134304,188400,-0.149,0.03,0.023,-333150,-486367,114728,224.8,3429.8
1432135326,189422,-0.005,0.013,0.047,-332835,-486436,114826,224.8,3429.8
1432136348,190444,-0.025,0.071,-0.05,-332878,-486193,114421,224.8,3429.8
1432137369,191465,-0.092,0.023,-0.054,-333024,-486396,114405,224.8,3429.8
1432138391,192487,0.039,-0.052,-0.006,-332738,-486713,114607,224.8,3429.8
1432139413,193509,0.045,0.02,0.052,-332724,-486406,114847,224.8,3429.8
1432140435,194531,0.045,0.015,0.005,-332725,-486429,114652,224.8,3429.8
1432141456,195552,0.13,-0.068,-0.001,-332538,-486783,114627,224.8,3429.8
1432142478,196574,-0.036,-0.018,0.018,-332902,-486570,114705,224.8,3429.8
1432143500,197596,0.104,-0.045,0.038,-332595,-486685,114791,224.8,3429.8
1432144522,198618,0.184,-0.076,-0.026,-332421,-486817,114520,224.8,3429.8
1432145544,199640,0.13,-0.103,0.012,-332538,-486929,114680,224.8,3429.8
1432146577,200673,0.075,-0.081,-0.084,-332659,-486838,114279,224.8,3429.8
1432147655,201751,0.075,-0.081,-0.084,-332659,-486838,114279,224.8,3429.8
1432148720,202816,0.023,-0.069,-0.021,-332786,-486749,114544,224.8,3429.8
1432149741,203837,0.02,-0.064,-0.045,-332794,-486729,114443,224.8,3429.8
1432150762,204858,-0.008,-0.003,0.025,-332855,-486468,114735,224.8,3429.8
1432151782,205878,0.036,-0.095,0.048,-332759,-486861,114831,224.8,3429.8
1432152803,206899,-0.002,-0.034,-0.054,-332842,-486602,114405,224.8,3429.8
