# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: quiet_breathing
# Date: 20250610
# Time: 133135
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1022108704,0,-17.215,-0.034,0.11,-370522,-486569,115215,143.5,1923.9
1022109533,829,-17.165,-0.006,0.221,-370413,-486450,115678,143.5,1923.9
1022110554,1850,-16.938,-0.084,0.229,-369914,-486782,115712,143.5,1923.9
1022111576,2872,-16.968,-0.049,0.166,-369981,-486630,115447,143.5,1923.9
1022112598,3894,-16.871,0.031,0.228,-369768,-486294,115709,143.5,1923.9
1022113619,4915,-16.826,-0.134,0.113,-369669,-486991,115226,143.5,1923.9
1022114641,5937,-16.755,-0.101,0.121,-369515,-486851,115260,143.5,1923.9
1022115663,6959,-16.744,-0.147,0.128,-369491,-487049,115289,143.5,1923.9
1022116685,7981,-16.838,-0.116,0.016,-369697,-486916,114821,143.5,1923.9
1022117706,9002,-16.97,-0.166,0.019,-369985,-487128,114833,143.5,1923.9
1022118728,10024,-16.779,-0.196,0.003,-369566,-487253,114766,143.5,1923.9
1022119750,11046,-16.802,-0.204,-0.006,-369617,-487289,114728,143.5,1923.9
1022120772,12068,-16.765,-0.13,-0.029,-369537,-486976,114632,143.5,1923.9
1022121793,13089,-16.793,-0.17,0.1,-369597,-487143,115172,143.5,1923.9
1022122815,14111,-16.838,-0.116,0.405,-369695,-486917,116450,143.5,1923.9
1022123837,15133,-16.725,-0.121,0.476,-369449,-486938,116746,143.5,1923.9
1022124859,16155,-16.633,-0.035,0.395,-369247,-486571,116406,143.5,1923.9
1022125880,17176,-16.7,0.075,0.125,-369394,-486104,115277,143.5,1923.9
1022126902,18198,-16.5,-0.019,-0.061,-368956,-486503,114497,143.5,1923.9
1022127924,19220,-16.391,-0.116,-0.166,-368717,-486914,114059,143.5,1923.9
1022128946,20242,-16.487,-0.208,-0.099,-368927,-487306,114339,143.5,1923.9
1022129967,21263,-16.416,-0.212,-0.077,-368773,-487322,114429,143.5,1923.9
1022130989,22285,-16.194,-0.224,-0.196,-368287,-487375,113931,143.5,1923.9
1022132011,23307,-16.089,-0.202,-0.265,-368056,-487282,113643,143.5,1923.9
1022133033,24329,-16.062,-0.241,-0.266,-367996,-487447,113641,143.5,1923.9
1022134054,25350,-15.892,-0.119,-0.212,-367625,-486929,113864,143.5,1923.9
1022135076,26372,-15.897,-0.009,-0.027,-367635,-486460,114640,143.5,1923.9
1022136098,27394,-15.86,0.067,0.016,-367554,-486141,114820,143.5,1923.9
1022137120,28416,-15.591,0.288,-0.035,-366966,-485203,114605,143.5,1923.9
1022138141,29437,-15.624,0.357,0.017,-367037,-484911,114825,143.5,1923.9
1022139163,30459,-15.676,0.413,-0.058,-367152,-484673,114511,143.5,1923.9
1022140185,31481,-15.724,0.5,-0.049,-367257,-484306,114547,143.5,1923.9
1022141207,32503,-15.604,0.521,-0.015,-366994,-484217,114690,143.5,1923.9
1022142228,33524,-15.698,0.405,0.039,-367201,-484709,114918,143.5,1923.9
1022143250,34546,-15.508,0.484,0.038,-366785,-484370,114914,143.5,1923.9
1022144272,35568,-15.571,0.418,0.125,-366922,-484651,115275,143.5,1923.9
1022145294,36590,-15.444,0.282,0.042,-366645,-485229,114928,143.5,1923.9
1022146315,37611,-15.453,0.205,0.16,-366663,-485555,115424,143.5,1923.9
1022147337,38633,-15.388,0.141,0.112,-366521,-485824,115224,143.5,1923.9
1022148359,39655,-15.161,0.054,0.247,-366024,-486195,115786,143.5,1923.9
1022149381,40677,-15.377,-0.043,0.238,-366497,-486605,115751,143.5,1923.9
1022150402,41698,-15.266,-0.061,0.237,-366254,-486682,115747,143.5,1923.9
1022151424,42720,-15.021,-0.125,0.332,-365717,-486954,116145,143.5,1923.9
1022152446,43742,-15.025,-0.193,0.292,-365726,-487241,115977,143.5,1923.9
1022153468,44764,-15.039,-0.218,0.294,-365757,-487350,115986,143.5,1923.9
1022154501,45797,-14.907,-0.218,0.307,-365468,-487350,116038,143.5,1923.9
1022155575,46871,-14.907,-0.218,0.307,-365468,-487350,116038,143.5,1923.9
1022156639,47935,-14.66,-0.238,0.317,-364944,-487434,116053,143.5,1923.9
1022157660,48956,-14.661,-0.359,0.27,-364946,-487946,115854,143.5,1923.9
1022158681,49977,-14.461,-0.388,0.183,-364508,-488069,115490,143.5,1923.9
1022159702,50998,-14.313,-0.423,0.202,-364184,-488215,115572,143.5,1923.9
1022160723,52019,-14.301,-0.328,0.214,-364158,-487814,115622,143.5,1923.9
1022161744,53040,-14.185,-0.39,0.256,-363903,-488079,115797,143.5,1923.9
1022162764,54060,-13.999,-0.439,0.173,-363497,-488284,115449,143.5,1923.9
1022163785,55081,-14.0,-0.415,0.262,-363499,-488182,115821,143.5,1923.9
1022164806,56102,-13.844,-0.33,0.171,-363156,-487824,115440,143.5,1923.9
1022165827,57123,-13.844,-0.322,0.098,-363156,-487787,115135,143.5,1923.9
1022166848,58144,-13.734,-0.273,0.257,-362917,-487583,115800,143.5,1923.9
1022167869,59165,-13.651,-0.304,0.158,-362735,-487712,115387,143.5,1923.9
1022168890,60186,-13.545,-0.261,0.21,-362503,-487531,115603,143.5,1923.9
1022169910,61206,-13.429,-0.195,0.215,-362248,-487252,115624,143.5,1923.9
1022170931,62227,-13.307,-0.201,0.182,-361981,-487278,115486,143.5,1923.9
1022171952,63248,-13.186,-0.146,0.147,-361715,-487043,115339,143.5,1923.9
1022172973,64269,-13.165,-0.14,0.2,-361670,-487019,115562,143.5,1923.9
1022173994,65290,-13.178,-0.147,0.164,-361698,-487046,115410,143.5,1923.9
1022175015,66311,-13.022,-0.179,0.096,-361356,-487181,115125,143.5,1923.9
1022176036,67332,-13.038,-0.238,0.107,-361392,-487434,115174,143.5,1923.9
1022177057,68353,-12.915,-0.135,0.182,-361122,-486995,115488,143.5,1923.9
1022178078,69374,-12.781,-0.218,0.117,-360829,-487349,115213,143.5,1923.9
1022179098,70394,-12.765,-0.17,0.087,-360795,-487143,115087,143.5,1923.9
1022180120,71416,-12.646,-0.14,0.063,-360533,-487016,114988,143.5,1923.9
1022181142,72438,-12.565,-0.156,0.033,-360356,-487087,114861,143.5,1923.9
1022182163,73459,-12.505,-0.226,0.049,-360225,-487384,114930,143.5,1923.9
1022183185,74481,-12.429,-0.169,0.105,-360058,-487141,115165,143.5,1923.9
1022184207,75503,-12.321,-0.164,0.077,-359821,-487121,115046,143.5,1923.9
1022185229,76525,-12.298,-0.102,0.113,-359772,-486858,115198,143.5,1923.9
1022186250,77546,-12.15,-0.038,0.129,-359447,-486585,115264,143.5,1923.9
1022187272,78568,-12.163,0.001,0.048,-359475,-486420,114926,143.5,1923.9
1022188294,79590,-11.809,-0.021,0.069,-358700,-486515,115014,143.5,1923.9
1022189316,80612,-11.902,-0.03,0.037,-358905,-486552,114879,143.5,1923.9
1022190337,81633,-11.784,-0.117,0.094,-358647,-486921,115116,143.5,1923.9
1022191359,82655,-11.758,-0.148,-0.028,-358590,-487050,114608,143.5,1923.9
