t_us,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1272840431,16.977,0.054,-0.351,-295740,-486524,113027,64.2,3508.2
1272841419,17.014,-0.099,-0.574,-295659,-487171,112093,64.2,3508.2
1272842441,16.727,-0.139,-0.271,-296288,-487342,113360,64.2,3508.2
1272843462,16.986,-0.679,-0.114,-295720,-489631,114019,64.2,3508.2
1272844484,16.902,-0.834,-0.13,-295904,-490289,113951,64.2,3508.2
1272845506,16.916,-0.815,-0.181,-295874,-490209,113736,64.2,3508.2
1272846528,16.878,-0.609,-0.273,-295957,-489336,113352,64.2,3508.2
1272847549,16.964,-0.426,-0.152,-295769,-488559,113861,64.2,3508.2
1272848571,16.858,-0.662,-0.019,-296002,-489561,114418,64.2,3508.2
1272849593,16.858,-0.82,0.008,-296001,-490232,114529,64.2,3508.2
1272850615,16.801,-0.788,0.077,-296127,-490093,114819,64.2,3508.2
1272851636,16.597,-0.502,0.051,-296572,-488882,114708,64.2,3508.2
1272852658,16.712,-0.188,0.206,-296320,-487550,115360,64.2,3508.2
1272853680,16.594,-0.096,0.493,-296580,-487157,116562,64.2,3508.2
1272854702,16.518,-0.178,0.673,-296747,-487507,117318,64.2,3508.2
1272855724,16.549,-0.314,0.825,-296679,-488082,117954,64.2,3508.2
1272856745,16.744,-0.374,0.448,-296251,-488340,116375,64.2,3508.2
1272857767,16.916,-0.416,0.169,-295875,-488518,115204,64.2,3508.2
1272858789,17.129,-0.462,-0.06,-295408,-488711,114247,64.2,3508.2
1272859810,16.989,-0.712,-0.219,-295713,-489770,113578,64.2,3508.2
1272860832,17.197,-0.854,-0.221,-295259,-490374,113571,64.2,3508.2
1272861854,17.247,-1.105,-0.33,-295149,-491440,113115,64.2,3508.2
1272862876,17.323,-1.159,-0.187,-294983,-491670,113712,64.2,3508.2
1272863898,17.42,-1.071,-0.073,-294770,-491296,114189,64.2,3508.2
1272864919,17.389,-1.007,-0.137,-294837,-491025,113921,64.2,3508.2
1272865941,17.381,-0.715,-0.192,-294855,-489783,113690,64.2,3508.2
1272866963,17.406,-0.5,-0.215,-294801,-488871,113594,64.2,3508.2
1272867985,17.5,-0.318,-0.335,-294594,-488099,113091,64.2,3508.2
