# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: zero_check
# Date: 20250610
# Time: 133121
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1008242841,0,0.056,-0.013,0.007,-332720,-486479,114755,76.1,2252.6
1008243526,685,-0.029,0.064,-0.002,-332906,-486151,114716,76.1,2252.6
1008244545,1704,0.012,0.071,0.111,-332817,-486122,115188,76.1,2252.6
1008245565,2724,-0.012,0.029,-0.029,-332870,-486302,114602,76.1,2252.6
1008246584,3743,-0.007,0.031,-0.039,-332859,-486293,114560,76.1,2252.6
1008247604,4763,-0.098,-0.015,-0.041,-333058,-486489,114551,76.1,2252.6
1008248623,5782,-0.035,0.046,0.062,-332920,-486229,114986,76.1,2252.6
1008249643,6802,0.083,0.08,0.074,-332662,-486085,115036,76.1,2252.6
1008250662,7821,0.109,0.045,0.041,-332605,-486233,114895,76.1,2252.6
1008251682,8841,0.004,0.074,0.011,-332833,-486110,114771,76.1,2252.6
1008252701,9860,0.005,0.037,-0.071,-332831,-486268,114426,76.1,2252.6
1008253721,10880,0.014,0.019,-0.01,-332813,-486343,114683,76.1,2252.6
1008254740,11899,0.135,0.049,0.06,-332548,-486215,114976,76.1,2252.6
1008255760,12919,0.131,0.085,0.041,-332556,-486062,114896,76.1,2252.6
1008256779,13938,0.093,-0.07,0.007,-332639,-486722,114753,76.1,2252.6
1008257799,14958,0.15,0.017,0.024,-332514,-486351,114824,76.1,2252.6
1008258818,15977,0.034,0.047,-0.088,-332768,-486226,114358,76.1,2252.6
1008259838,16997,-0.002,0.042,-0.021,-332847,-486244,114635,76.1,2252.6
1008260857,18016,-0.026,-0.021,0.025,-332899,-486512,114829,76.1,2252.6
1008261877,19036,0.08,-0.025,0.025,-332668,-486529,114831,76.1,2252.6
1008262896,20055,0.037,-0.047,-0.003,-332762,-486623,114714,76.1,2252.6
1008263916,21075,0.046,-0.039,0.004,-332742,-486588,114740,76.1,2252.6
1008264935,22094,0.115,0.071,-0.0,-332592,-486123,114723,76.1,2252.6
1008265955,23114,0.04,-0.096,0.034,-332756,-486830,114866,76.1,2252.6
1008266974,24133,0.059,-0.003,-0.047,-332714,-486437,114528,76.1,2252.6
1008267994,25153,0.04,0.033,0.021,-332755,-486286,114814,76.1,2252.6
1008269013,26172,-0.044,0.016,-0.055,-332940,-486356,114494,76.1,2252.6
1008270033,27192,0.097,-0.05,0.032,-332630,-486635,114860,76.1,2252.6
1008271052,28211,0.134,0.079,0.043,-332549,-486090,114906,76.1,2252.6
1008272071,29230,0.083,0.043,0.051,-332662,-486242,114939,76.1,2252.6
1008273091,30250,0.134,-0.024,0.023,-332550,-486524,114821,76.1,2252.6
1008274110,31269,0.211,-0.111,0.027,-332381,-486896,114836,76.1,2252.6
1008275130,32289,0.171,0.038,-0.032,-332468,-486263,114591,76.1,2252.6
1008276149,33308,0.225,-0.002,0.029,-332351,-486433,114845,76.1,2252.6
1008277169,34328,0.284,-0.035,-0.053,-332220,-486573,114502,76.1,2252.6
1008278200,35359,0.173,-0.002,0.013,-332463,-486432,114778,76.1,2252.6
1008279278,36437,0.173,-0.002,0.013,-332463,-486432,114778,76.1,2252.6
1008280343,37502,0.067,-0.016,-0.026,-332696,-486491,114617,76.1,2252.6
1008281363,38522,0.043,-0.066,-0.066,-332748,-486702,114447,76.1,2252.6
1008282384,39543,-0.002,-0.025,-0.011,-332847,-486530,114679,76.1,2252.6
1008283405,40564,0.092,-0.028,-0.051,-332642,-486541,114513,76.1,2252.6
1008284426,41585,-0.075,-0.017,-0.006,-333007,-486495,114701,76.1,2252.6
1008285447,42606,-0.046,0.012,-0.019,-332943,-486374,114645,76.1,2252.6
1008286468,43627,0.112,-0.025,-0.005,-332597,-486530,114702,76.1,2252.6
