# Participant: P4
# Mask Type: HONEYWELL
# Fit Condition: no_leak
# Exercise: zeroing
# Date: 20250610
# Time: 133056
t_us,t_us_zero,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
983251036,0,-14.476,-0.271,-0.107,-364528,-487377,114593,59.2,2129.1
983251755,719,-14.563,-0.354,-0.087,-364719,-487729,114677,59.2,2129.1
983252774,1738,-14.641,-0.309,-0.062,-364890,-487538,114780,59.2,2129.1
983253794,2758,-14.777,-0.318,-0.147,-365186,-487577,114428,59.2,2129.1
983254813,3777,-14.702,-0.272,-0.063,-365023,-487383,114778,59.2,2129.1
983255833,4797,-14.744,-0.233,-0.043,-365115,-487217,114863,59.2,2129.1
983256852,5816,-14.867,-0.294,-0.077,-365383,-487474,114717,59.2,2129.1
983257872,6836,-14.841,-0.242,-0.036,-365326,-487257,114889,59.2,2129.1
983258891,7855,-14.927,-0.255,-0.097,-365516,-487312,114634,59.2,2129.1
983259910,8874,-14.901,-0.224,-0.069,-365459,-487180,114751,59.2,2129.1
983260930,9894,-14.974,-0.259,-0.051,-365618,-487327,114826,59.2,2129.1
983261949,10913,-14.889,-0.207,-0.077,-365431,-487107,114717,59.2,2129.1
983262969,11933,-15.012,-0.148,-0.088,-365702,-486857,114674,59.2,2129.1
983263988,12952,-15.0,-0.235,-0.114,-365675,-487225,114563,59.2,2129.1
983265008,13972,-14.866,-0.204,0.034,-365381,-487096,115183,59.2,2129.1
983266027,14991,-14.878,-0.206,-0.044,-365408,-487102,114856,59.2,2129.1
983267047,16011,-14.989,-0.197,-0.05,-365650,-487065,114832,59.2,2129.1
983268066,17030,-14.974,-0.24,-0.049,-365617,-487246,114836,59.2,2129.1
983269086,18050,-14.944,-0.231,-0.085,-365553,-487208,114686,59.2,2129.1
983270105,19069,-15.064,-0.278,-0.14,-365816,-487407,114457,59.2,2129.1
983271125,20089,-15.106,-0.32,-0.121,-365907,-487584,114537,59.2,2129.1
983272144,21108,-15.195,-0.318,-0.089,-366102,-487577,114670,59.2,2129.1
