# Participant: PTEST4_AURA_zeroing
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 184435
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1746166667,1738166667,0.03,-0.13,0.013,-331374,-484828,115796,,
1746167688,1738167688,-0.028,-0.046,-0.054,-331500,-484472,115516,,
1746168709,1738168709,-0.196,0.011,-0.057,-331867,-484231,115503,,
1746169730,1738169730,-0.289,-0.094,-0.011,-332069,-484676,115695,,
1746170751,1738170751,-0.213,0.055,-0.003,-331904,-484045,115726,,
1746171772,1738171772,-0.118,0.063,-0.04,-331697,-484015,115574,,
1746172793,1738172793,-0.173,0.092,-0.07,-331817,-483893,115449,,
1746173814,1738173814,0.051,0.02,-0.007,-331329,-484195,115713,,
1746174835,1738174835,-0.033,0.082,0.088,-331512,-483934,116105,,
1746175856,1738175856,0.171,-0.039,0.074,-331069,-484442,116046,,
1746176876,1738176876,0.313,0.043,0.007,-330759,-484096,115770,,
1746177897,1738177897,0.135,0.012,0.079,-331146,-484229,116067,,
1746178918,1738178918,0.139,-0.058,0.11,-331138,-484523,116196,,
1746179939,1738179939,0.051,-0.081,-0.032,-331329,-484621,115606,,
1746180960,1738180960,0.144,-0.096,-0.003,-331127,-484684,115729,,
1746181981,1738181981,0.037,-0.122,-0.152,-331360,-484794,115106,,
1746183002,1738183002,0.231,-0.221,-0.059,-330937,-485211,115496,,
1746184023,1738184023,0.106,-0.3,-0.062,-331209,-485544,115482,,
1746185044,1738185044,0.168,-0.126,-0.095,-331075,-484809,115345,,
1746186065,1738186065,-0.104,-0.113,-0.103,-331666,-484753,115313,,
1746187086,1738187086,-0.112,-0.007,0.048,-331683,-484309,115940,,
1746188106,1738188106,-0.131,0.05,0.019,-331726,-484067,115821,,
1746189127,1738189127,-0.114,-0.025,0.042,-331689,-484384,115913,,
1746190148,1738190148,-0.131,0.082,0.018,-331726,-483934,115814,,
1746191169,1738191169,-0.056,-0.021,0.047,-331561,-484368,115934,,
1746192190,1738192190,0.083,0.015,0.013,-331260,-484215,115793,,
1746193211,1738193211,-0.068,0.059,0.029,-331588,-484029,115860,,
1746194232,1738194232,0.021,-0.061,-0.047,-331394,-484536,115545,,
1746195253,1738195253,-0.049,0.069,0.019,-331546,-483988,115821,,
1746196274,1738196274,-0.064,-0.049,0.026,-331579,-484486,115850,,
1746197295,1738197295,-0.081,-0.031,0.033,-331617,-484407,115877,,
1746198316,1738198316,0.023,-0.041,0.053,-331391,-484451,115961,,
1746199336,1738199336,-0.038,-0.041,-0.028,-331523,-484450,115625,,
1746200357,1738200357,-0.097,-0.088,-0.059,-331652,-484647,115495,,
1746201378,1738201378,-0.034,-0.059,-0.035,-331515,-484527,115593,,
1746202399,1738202399,-0.093,-0.075,0.04,-331642,-484594,115907,,
1746203420,1738203420,-0.098,0.014,0.026,-331653,-484220,115848,,
1746204441,1738204441,-0.093,0.126,0.023,-331643,-483746,115835,,
1746205462,1738205462,-0.045,0.107,-0.041,-331537,-483829,115571,,
1746206483,1738206483,-0.181,0.022,-0.041,-331833,-484186,115571,,
1746207504,1738207504,-0.177,0.096,0.023,-331824,-483872,115836,,
1746208525,1738208525,-0.063,0.054,0.012,-331578,-484049,115791,,
1746209546,1738209546,-0.047,-0.001,-0.021,-331543,-484282,115654,,
1746210567,1738210567,-0.029,0.038,0.119,-331503,-484118,116237,,
1746211587,1738211587,-0.052,0.027,-0.033,-331554,-484163,115603,,
1746212608,1738212608,-0.004,-0.03,0.022,-331448,-484403,115830,,
1746213629,1738213629,0.037,0.016,-0.032,-331360,-484209,115605,,
1746214650,1738214650,0.052,-0.054,-0.038,-331327,-484505,115582,,
1746215671,1738215671,0.102,-0.039,0.025,-331219,-484444,115844,,
1746216692,1738216692,0.085,0.026,0.002,-331255,-484168,115748,,
1746217713,1738217713,0.228,0.02,-0.058,-330944,-484193,115498,,
1746218734,1738218734,0.043,-0.089,-0.008,-331346,-484654,115705,,
1746219755,1738219755,0.101,-0.067,-0.041,-331220,-484561,115568,,
1746220776,1738220776,0.091,-0.048,0.021,-331243,-484479,115826,,
1746221797,1738221797,0.112,0.015,-0.026,-331196,-484214,115633,,
1746222817,1738222817,0.099,0.04,0.033,-331225,-484108,115879,,
1746223838,1738223838,0.042,-0.067,-0.013,-331348,-484562,115688,,
1746224859,1738224859,-0.057,-0.045,-0.004,-331565,-484470,115722,,
1746225880,1738225880,-0.029,-0.092,-0.032,-331504,-484667,115609,,
1746226901,1738226901,-0.078,-0.047,-0.118,-331609,-484476,115249,,
1746227922,1738227922,-0.054,-0.089,-0.141,-331557,-484652,115153,,
1746228943,1738228943,-0.014,-0.072,-0.02,-331470,-484582,115658,,
1746229964,1738229964,-0.206,0.016,0.056,-331889,-484211,115973,,
1746230985,1738230985,-0.147,0.024,0.001,-331760,-484176,115744,,
1746232006,1738232006,-0.089,-0.008,0.058,-331634,-484311,115980,,
1746233027,1738233027,-0.111,0.052,0.011,-331681,-484060,115786,,
1746234047,1738234047,-0.055,0.014,0.076,-331560,-484221,116056,,
1746235068,1738235068,0.043,0.093,0.029,-331346,-483887,115861,,
1746236089,1738236089,0.019,0.061,0.07,-331399,-484020,116031,,
1746237110,1738237110,-0.0,-0.032,0.065,-331441,-484415,116011,,
1746238131,1738238131,0.034,0.031,-0.018,-331367,-484147,115664,,
1746239152,1738239152,0.134,-0.001,0.029,-331149,-484281,115862,,
1746240173,1738240173,0.0,0.002,-0.016,-331440,-484269,115673,,
1746241194,1738241194,-0.022,-0.114,0.023,-331487,-484759,115834,,
1746242215,1738242215,-0.022,-0.018,0.003,-331487,-484356,115751,,
1746243236,1738243236,-0.073,-0.015,-0.037,-331598,-484340,115585,,
1746244257,1738244257,-0.018,0.015,-0.003,-331480,-484215,115727,,
1746245278,1738245278,-0.083,-0.022,-0.02,-331620,-484373,115657,,
1746246299,1738246299,0.027,-0.027,-0.03,-331381,-484391,115617,,
1746247319,1738247319,-0.106,-0.038,0.036,-331670,-484439,115892,,
1746248340,1738248340,-0.208,-0.019,0.058,-331892,-484357,115981,,
1746249361,1738249361,-0.179,0.002,0.055,-331829,-484272,115969,,
1746250382,1738250382,-0.118,0.215,0.08,-331696,-483375,116073,,
1746251403,1738251403,-0.109,0.113,0.074,-331678,-483804,116048,,
1746252424,1738252424,0.047,0.03,-0.016,-331338,-484150,115674,,
1746253445,1738253445,-0.073,0.042,0.063,-331599,-484102,116001,,
1746254466,1738254466,0.176,-0.024,0.045,-331058,-484381,115927,,
1746255487,1738255487,-0.047,0.041,0.054,-331543,-484104,115965,,
1746256508,1738256508,0.186,0.031,0.068,-331036,-484148,116024,,
1746257529,1738257529,-0.07,-0.022,0.0,-331593,-484371,115742,,
1746258549,1738258549,0.098,-0.012,-0.06,-331226,-484331,115491,,
1746259570,1738259570,0.122,-0.019,-0.037,-331174,-484360,115586,,
1746260591,1738260591,0.147,-0.179,-0.156,-331121,-485033,115090,,
1746261612,1738261612,0.08,-0.188,-0.066,-331266,-485070,115465,,
1746262633,1738262633,0.027,-0.109,-0.031,-331382,-484736,115613,,
1746263666,1738263666,0.021,-0.134,-0.021,-331394,-484843,115653,,
1746264741,1738264741,0.021,-0.134,-0.021,-331394,-484843,115653,,
1746265806,1738265806,-0.088,-0.025,0.016,-331631,-484418,115805,,
1746266827,1738266827,-0.041,-0.086,-0.068,-331529,-484677,115459,,
1746267848,1738267848,-0.031,-0.037,0.103,-331508,-484471,116170,,
1746268869,1738268869,-0.087,0.023,0.066,-331629,-484219,116015,,
1746269890,1738269890,-0.012,0.059,0.04,-331467,-484068,115906,,
1746270911,1738270911,-0.028,0.019,0.026,-331500,-484236,115848,,
1746271932,1738271932,-0.088,-0.025,0.045,-331631,-484422,115928,,
1746272953,1738272953,0.045,0.068,0.001,-331343,-484030,115744,,
1746273974,1738273974,-0.032,-0.022,-0.001,-331509,-484407,115737,,
1746274995,1738274995,-0.033,-0.001,-0.008,-331512,-484321,115705,,
1746276015,1738276015,0.025,0.038,0.076,-331386,-484156,116058,,
1746277036,1738277036,-0.063,0.026,0.066,-331578,-484207,116016,,
1746278057,1738278057,-0.044,-0.02,-0.022,-331536,-484400,115647,,
1746279078,1738279078,-0.073,-0.018,-0.022,-331599,-484391,115647,,
1746280099,1738280099,-0.042,-0.071,-0.043,-331532,-484614,115560,,
1746281120,1738281120,-0.039,-0.117,0.02,-331524,-484807,115822,,
1746282141,1738282141,-0.023,0.012,-0.059,-331490,-484263,115496,,
1746283162,1738283162,-0.119,0.084,-0.011,-331699,-483962,115694,,
1746284183,1738284183,-0.038,0.016,0.093,-331522,-484248,116127,,
1746285204,1738285204,0.036,0.06,0.034,-331361,-484064,115883,,
1746286225,1738286225,0.072,-0.027,0.025,-331283,-484428,115846,,
1746287246,1738287246,0.104,-0.041,-0.065,-331215,-484489,115470,,
1746288266,1738288266,0.085,-0.003,-0.024,-331256,-484329,115639,,
1746289287,1738289287,-0.151,-0.08,0.03,-331769,-484650,115864,,
1746290308,1738290308,-0.005,-0.001,0.045,-331450,-484318,115929,,
1746291329,1738291329,0.063,-0.126,0.029,-331303,-484847,115859,,
1746292351,1738292351,-0.003,-0.14,-0.032,-331447,-484903,115607,,
1746293373,1738293373,-0.092,-0.081,-0.028,-331641,-484655,115622,,
1746294395,1738294395,-0.098,-0.092,0.052,-331653,-484701,115957,,
1746295417,1738295417,-0.178,-0.001,-0.027,-331827,-484319,115629,,
1746296439,1738296439,-0.121,0.129,0.044,-331704,-483772,115923,,
1746297460,1738297460,-0.109,0.013,0.048,-331676,-484258,115941,,
1746298482,1738298482,0.03,0.037,0.039,-331375,-484160,115904,,
1746299504,1738299504,0.002,-0.026,0.063,-331436,-484425,116001,,
1746300526,1738300526,0.077,0.054,-0.038,-331273,-484086,115581,,
1746301547,1738301547,0.027,-0.001,0.003,-331382,-484317,115752,,
1746302569,1738302569,0.029,0.013,-0.037,-331377,-484260,115585,,
1746303591,1738303591,-0.141,-0.061,0.033,-331746,-484573,115878,,
1746304613,1738304613,-0.023,-0.082,-0.012,-331491,-484659,115691,,
1746305635,1738305635,-0.196,-0.033,-0.039,-331866,-484455,115578,,
1746306656,1738306656,0.087,-0.064,-0.049,-331251,-484583,115537,,
1746307678,1738307678,0.097,-0.088,0.06,-331230,-484686,115991,,
1746308700,1738308700,0.043,-0.064,-0.006,-331346,-484584,115716,,
1746309722,1738309722,0.038,-0.072,0.047,-331358,-484616,115936,,
1746310744,1738310744,-0.013,-0.019,0.011,-331468,-484393,115786,,
1746311765,1738311765,-0.016,-0.058,0.047,-331474,-484559,115937,,
1746312787,1738312787,-0.099,0.037,-0.003,-331656,-484157,115728,,
1746313809,1738313809,-0.123,0.013,0.017,-331708,-484258,115810,,
1746314831,1738314831,-0.143,-0.11,-0.022,-331751,-484779,115649,,
1746315853,1738315853,-0.086,-0.081,0.064,-331626,-484656,116006,,
1746316874,1738316874,-0.064,0.074,0.054,-331579,-484001,115965,,
1746317896,1738317896,0.041,-0.076,0.012,-331351,-484633,115792,,
1746318918,1738318918,-0.009,-0.154,0.046,-331460,-484964,115931,,
1746319940,1738319940,-0.093,-0.045,-0.035,-331643,-484506,115596,,
1746320962,1738320962,-0.093,0.077,0.011,-331642,-483990,115785,,
1746321983,1738321983,-0.064,0.07,-0.004,-331579,-484020,115725,,
1746323005,1738323005,0.058,0.019,-0.005,-331313,-484233,115720,,
1746324027,1738324027,0.055,-0.013,-0.006,-331321,-484369,115716,,
1746325049,1738325049,0.028,-0.017,0.021,-331379,-484385,115827,,
1746326070,1738326070,0.157,0.001,0.04,-331099,-484312,115906,,
1746327092,1738327092,0.092,-0.093,0.05,-331240,-484705,115950,,
1746328114,1738328114,0.067,-0.074,0.024,-331295,-484626,115841,,
1746329136,1738329136,0.058,-0.013,0.013,-331314,-484368,115795,,
1746330158,1738330158,-0.051,-0.059,0.057,-331550,-484563,115978,,
1746331179,1738331179,0.011,0.003,-0.091,-331417,-484304,115360,,
1746332201,1738332201,-0.078,-0.013,-0.064,-331610,-484368,115473,,
1746333223,1738333223,-0.049,-0.047,-0.082,-331546,-484512,115399,,
1746334245,1738334245,-0.031,-0.022,-0.052,-331508,-484407,115525,,
1746335267,1738335267,-0.1,0.013,-0.059,-331658,-484262,115494,,
1746336288,1738336288,-0.26,0.035,0.08,-332005,-484169,116073,,
1746337310,1738337310,-0.158,0.048,0.008,-331783,-484113,115773,,
1746338332,1738338332,-0.249,0.069,0.018,-331982,-484023,115813,,
1746339354,1738339354,-0.187,0.094,0.082,-331847,-483918,116080,,
1746340375,1738340375,0.024,0.054,0.066,-331388,-484089,116015,,
1746341397,1738341397,-0.02,0.021,0.112,-331483,-484226,116208,,
1746342419,1738342419,0.168,-0.05,0.082,-331075,-484526,116082,,
1746343441,1738343441,0.046,-0.089,0.044,-331339,-484689,115923,,
1746344463,1738344463,0.118,0.018,-0.009,-331184,-484238,115704,,
1746345484,1738345484,0.224,-0.001,0.046,-330953,-484318,115930,,
1746346506,1738346506,0.08,0.087,0.044,-331267,-483948,115924,,
1746347528,1738347528,0.136,-0.073,0.005,-331144,-484624,115762,,
1746348550,1738348550,0.12,-0.057,-0.0,-331180,-484556,115740,,
1746349572,1738349572,0.119,0.007,-0.053,-331182,-484286,115520,,
1746350593,1738350593,0.163,-0.075,-0.064,-331086,-484631,115473,,
1746351615,1738351615,0.151,-0.074,0.097,-331112,-484627,116144,,
1746352637,1738352637,0.111,-0.068,-0.018,-331198,-484601,115667,,
1746353659,1738353659,0.115,-0.092,-0.054,-331190,-484703,115516,,
1746354681,1738354681,0.031,-0.078,-0.038,-331373,-484643,115580,,
1746355702,1738355702,-0.156,-0.047,-0.009,-331780,-484512,115702,,
1746356724,1738356724,0.039,0.008,-0.058,-331355,-484283,115498,,
1746357746,1738357746,-0.216,0.038,-0.007,-331910,-484156,115710,,
1746358768,1738358768,-0.217,-0.028,-0.031,-331911,-484431,115611,,
1746359790,1738359790,-0.222,0.054,0.042,-331922,-484088,115914,,
1746360811,1738360811,-0.162,0.109,-0.012,-331792,-483856,115689,,
1746361833,1738361833,-0.214,0.185,0.061,-331906,-483537,115995,,
1746362855,1738362855,-0.314,0.053,0.042,-332123,-484092,115913,,
1746363877,1738363877,-0.254,0.182,0.08,-331992,-483548,116075,,
1746364898,1738364898,-0.044,0.124,0.027,-331536,-483793,115852,,
1746365920,1738365920,0.038,0.156,0.176,-331358,-483657,116471,,
1746366942,1738366942,0.206,0.073,0.129,-330991,-484008,116277,,
1746367975,1738367975,0.129,-0.055,-0.025,-331159,-484547,115636,,
1746369052,1738369052,0.129,-0.055,-0.025,-331159,-484547,115636,,
1746370117,1738370117,0.197,0.036,0.116,-331012,-484125,116221,,
1746371138,1738371138,0.232,-0.111,-0.005,-330935,-484745,115718,,
1746372159,1738372159,0.047,-0.104,-0.1,-331338,-484716,115323,,
1746373180,1738373180,-0.006,-0.114,-0.056,-331454,-484759,115506,,
1746374201,1738374201,-0.032,-0.064,-0.095,-331510,-484550,115343,,
1746375222,1738375222,-0.098,-0.082,-0.019,-331654,-484623,115662,,
1746376243,1738376243,-0.079,-0.08,-0.047,-331612,-484615,115545,,
1746377264,1738377264,-0.113,-0.024,-0.021,-331685,-484381,115654,,
1746378285,1738378285,-0.073,0.071,0.076,-331599,-483978,116056,,
1746379306,1738379306,0.042,0.021,0.04,-331348,-484192,115905,,
1746380326,1738380326,-0.052,0.017,0.018,-331554,-484205,115814,,
1746381347,1738381347,0.033,-0.026,0.085,-331369,-484388,116094,,
1746382368,1738382368,0.092,0.011,0.081,-331239,-484231,116079,,
1746383389,1738383389,0.115,-0.015,-0.007,-331190,-484340,115713,,
1746384410,1738384410,0.047,-0.098,-0.014,-331338,-484691,115682,,
1746385431,1738385431,0.073,-0.024,-0.023,-331281,-484381,115643,,
1746386452,1738386452,0.002,-0.157,-0.003,-331435,-484938,115728,,
1746387473,1738387473,-0.028,-0.129,-0.024,-331500,-484821,115639,,
1746388494,1738388494,-0.2,-0.063,-0.012,-331876,-484544,115691,,
1746389515,1738389515,-0.046,-0.134,-0.035,-331539,-484844,115594,,
1746390536,1738390536,-0.168,-0.013,-0.05,-331806,-484333,115533,,
1746391557,1738391557,0.012,0.024,0.043,-331413,-484177,115919,,
