# Participant: PTEST4_AURA_zero_check
# Mask Type: unknown
# Fit Condition: unknown
# Exercise: unknown
# Date: 20250611
# Time: 184447
t_us,t_us_particles,Pa_Global,Pa_Vertical,Pa_Horizontal,raw_Global,raw_Vertical,raw_Horizontal,mask_particles,ambient_particles
1758494180,1750494180,0.182,-0.114,-0.102,-331041,-484800,115390,,
1758495178,1750495178,0.138,-0.078,-0.155,-331137,-484648,115170,,
1758496199,1750496199,0.105,-0.077,-0.148,-331209,-484646,115202,,
1758497220,1750497220,-0.037,-0.035,-0.057,-331518,-484469,115579,,
1758498241,1750498241,-0.084,-0.015,-0.096,-331620,-484384,115415,,
1758499262,1750499262,-0.105,-0.008,0.017,-331666,-484354,115885,,
1758500283,1750500283,-0.103,-0.058,-0.077,-331660,-484564,115494,,
1758501304,1750501304,-0.016,-0.025,-0.031,-331472,-484424,115688,,
1758502325,1750502325,-0.044,-0.02,0.0,-331533,-484402,115818,,
1758503346,1750503346,-0.218,0.002,0.078,-331912,-484310,116141,,
1758504367,1750504367,-0.266,0.118,0.106,-332015,-483823,116259,,
1758505388,1750505388,-0.345,0.092,0.022,-332187,-483932,115907,,
1758506408,1750506408,-0.305,0.103,0.092,-332101,-483887,116201,,
1758507429,1750507429,-0.213,-0.019,0.05,-331901,-484399,116025,,
1758508450,1750508450,0.026,-0.011,0.052,-331380,-484368,116031,,
1758509471,1750509471,0.079,-0.031,-0.022,-331266,-484451,115726,,
1758510492,1750510492,0.118,0.054,-0.02,-331180,-484091,115732,,
1758511513,1750511513,0.154,0.045,0.025,-331101,-484131,115919,,
1758512534,1750512534,0.128,-0.031,0.094,-331159,-484452,116207,,
1758513555,1750513555,0.22,0.024,0.056,-330958,-484217,116051,,
1758514576,1750514576,0.006,-0.07,0.032,-331424,-484613,115949,,
1758515597,1750515597,0.263,-0.071,-0.029,-330865,-484619,115694,,
1758516618,1750516618,0.292,-0.108,-0.029,-330802,-484774,115697,,
1758517639,1750517639,0.327,-0.164,-0.013,-330725,-485011,115763,,
1758518660,1750518660,0.239,-0.109,-0.055,-330918,-484779,115586,,
